Arboretum w Wojsławicach;(71)3225957;;
Ogród Botaniczny Uniwersytetu im. Adama Mickiewicza w Poznaniu;(61)8292013;;
Ogród Botaniczny Uniwersytetu im. Adama Mickiewicza w Poznaniu;(61)8292008;;
Akwarium Gdyńskie MIR-PIB;(58)7326601;;
Akwarium Gdyńskie MIR-PIB;(58)7326611;;
BOCHENKOWA ZAGRODA MINI ZOO Krzelków;697743969;;
Cosmo Green;(71)7580042;;
Cosmo Green;(71)7580043;;
Fundacja Miejski Park i Ogród Zoologiczny Kraków;(12)4253551-52;;
Fundacja Miejski Park i Ogród Zoologiczny Kraków;(12)4252710;;
KUCYK Mini ZOO;604580616;;
KUCYK Mini ZOO;530740323;;
Leśny Park Kultury i Wypoczynku MYŚLĘCINEK Sp. z o.o.;(52)3280009;;
Leśny Park Kultury i Wypoczynku MYŚLĘCINEK Sp. z o.o.;(52)3280023;;
LEŚNY PARK NIESPODZIANEK;515255161;;
LEŚNY PARK NIESPODZIANEK;(33)4446050;;
MAŁE RANCZO Mini-Zoo;792311945;;
Małe ZOO Nałęczowski Zwierzyniec;665363262;;
Miejski Ogród Zoologiczny;(24)3660511;;
Miejski Ogród Zoologiczny;(24)3660513;;
Miejski Ogród Zoologiczny;(42)6327579;;
Miejski Ogród Zoologiczny;(42)6329290;;
Miejski Ogród Zoologiczny;(22)6194041;;
Miejski Ogród Zoologiczny;(22)6195898;;
Miejski Ogród Zoologiczny Wybrzeża;(58)5520042;;
Miejski Ogród Zoologiczny Wybrzeża;(58)5521751Dyrektor;;
MINI ZOO;(83)3781281;;
MINI ZOO;600044617;;
Oceanarium;(91)4315261;;
Oceanarium;505183300;;
Ogród Botaniczny;(42)6884420;;
Ogród Botaniczny;(42)6884414;;
Ogród Botaniczny Uniwersytetu Jagiellońskiego;(12)4212620;;
Ogród Botaniczny Uniwersytetu Jagiellońskiego;(12)6633635;;
Ogród Botaniczny Uniwersytetu Zielonogórskiego;601902283;;
Ogród Botaniczny Uniwersytetu Zielonogórskiego;(68)3283093;;
Ogród Dendrologiczny w Przelewicach;(91)5643080;;
Ogród Dendrologiczny w Przelewicach;(91)5790088;;
Ogród na Rozstajach;(41)3579265;;
Ogród Zoobotaniczny w Toruniu;(56)6224210;;
Ogród Zoobotaniczny w Toruniu;(56)6549302;;
Ogród Zoologiczny;(77)4564267;;
Ogród Zoologiczny;(77)4542858;;
Ogród Zoologiczny im. Stefana Milera;(84)6393479;;
Ogród Zoologiczny im. Stefana Milera;(84)6393470;;
Palmiarnia;(68)4784550;;
Palmiarnia;(68)4784553;;
Palmiarnia Poznańska;(61)8658907;;
Palmiarnia Poznańska;(61)8663435;;
Śląski Ogród Botaniczny - Związek Stowarzyszeń z siedzibą w Centrum Edukacji Przyrodniczej i Ekologicznej;(32)7797602;;
Śląski Ogród Botaniczny - Związek Stowarzyszeń z siedzibą w Centrum Edukacji Przyrodniczej i Ekologicznej;534994574;;
Śląski Ogród Zoologiczny;(32)7937166;;
Śląski Ogród Zoologiczny;666031496;;
ZOO FARMA;(74)8458756;;
ZOO Poznań;(61)8768209;;
ZOO Poznań;(61)8768225;;
Zoo Safari Borysew Ogród Zoologiczny;(43)6784748;;
Zoo Safari Borysew Ogród Zoologiczny;(43)6789110;;
ZOO SAFARI ŚWIERKOCIN Sp. z o.o.;(95)7511929;;
ZOO SAFARI ŚWIERKOCIN Sp. z o.o.;(95)7511877;;
ZOO WOJCIECHÓW;669190202;;
ZOO Wrocław Sp. z o.o.;(71)3483024-26;;
ZOO Wrocław Sp. z o.o.;(71)3483768;;
MPB & MAJSTER LIS Skład Materiałow Budowlanych;(62)7352321;;
MPB & MAJSTER LIS Skład Materiałow Budowlanych;(62)7351823;;
Park Edukacyjny Zoo - Egzotyczne Kaszuby;600342128;;
Park Jurajsko-Botaniczny DINO-PARK;(46)8747686;;
Park Jurajsko-Botaniczny DINO-PARK;(46)8740553;;
