Constantia ColorCap Sp. z o.o.;(32)7560500-01;;
Constantia ColorCap Sp. z o.o.;(32)4302352;;
Drukarnia MIKOPOL;(32)2898275;;
Drukarnia MIKOPOL;(32)2898276;;
Firma Produkcyjno-Usługowo-Handlowa MARCO;(12)2784812;;
Firma Produkcyjno-Usługowo-Handlowa MARCO;602623757;;
FORTY Sp.j.;(22)6648931;;
FORTY Sp.j.;(22)6648126;;
HEINZ Plastics Polska Sp. z o.o.;(23)6981600;;
HEINZ Plastics Polska Sp. z o.o.;(23)6981624;;
MAGA-BIOTAL Sp. z o.o.;(32)2791278;;
MAGA-BIOTAL Sp. z o.o.;(32)2316667;;
Marbach Polska Sp. z o.o.;(32)7834400;;
Marbach Polska Sp. z o.o.;(32)7834419;;
POLIKARTON;602465701;;
POLIKARTON;(94)3736718;;
POLIX PPH Sp.j.;(81)7489390;;
POLIX PPH Sp.j.;601273082;;
ROLLMAX Sp. z o.o.;(58)5368510;;
Stenqvist Poland Sp. z o.o.;(95)7514448;;
Stenqvist Poland Sp. z o.o.;(95)7514450;;
3K Sp.j. Jan Kucharczyk, Piotr Kucharczyk, Agata Kucharczyk;(32)2569321;;
ABRA CASES Andrzej Sokołowski;(89)7541453;;
ABRA CASES Andrzej Sokołowski;510912979;;
AEC Trade Sp. z o.o.;(71)3033517;;
AEC Trade Sp. z o.o.;(71)3033514;;
Albea Warsaw Sp. z o.o.;(22)7029200;;
Albea Warsaw Sp. z o.o.;(22)7029222;;
ALFA-PAK;(22)6130258;;
ALOPAK Sp. z o.o.;(62)7303448;;
ALOPAK Sp. z o.o.;531697077;;
ALPLA Opakowania z Tworzyw Sztucznych Sp. z o.o.;(33)8664800;;
ALPLA Opakowania z Tworzyw Sztucznych Sp. z o.o.;(33)8664802;;
ALUPOL PACKAGING S.A.;(32)3245700;;
ALUPOL PACKAGING S.A.;(32)3291155;;
Anko;601400634;;
ANMA S.c. Andrzej Moes, Maciej Rokosz;(22)7558288;;
ANMA S.c. Andrzej Moes, Maciej Rokosz;602335114;;
APP Packaging Aneta Peszko;(95)7620125;;
APP Packaging Aneta Peszko;600885980;;
Arexim Packaging Sp. z o.o.;(22)6630931;;
Arexim Packaging Sp. z o.o.;(22)6630821;;
ARTPLAST POLSKA Sp. z o.o.;(32)6258980;;
ARTPLAST POLSKA Sp. z o.o.;(32)6457909;;
BECZKOPOL Wytwórnia Opakowań Blaszanych Sp. z o.o.;+48(56)4665002;;
BECZKOPOL Wytwórnia Opakowań Blaszanych Sp. z o.o.;+48(56)4665003;;
BIS-PAK Sp. z o.o.;(94)3650070;;
BIS-PAK Sp. z o.o.;(94)3650071;;
BOGER;605399991;;
BOGER;(71)3439610;;
CAN-PACK S.A.;(12)6623403;;
CAN-PACK S.A.;(12)6623419;;
Centrum Recyklingu Palet WOPAL Sp. z o.o.;(55)2358088;;
Centrum Recyklingu Palet WOPAL Sp. z o.o.;(55)2366145;;
Chem-Pak ZPH Władysław Wojtczak;(24)3554557;;
Chem-Pak ZPH Władysław Wojtczak;(24)3552382;;
Complex Pack Service Sp. z o.o.;(42)6810520;;
Complex Pack Service Sp. z o.o.;(42)6810540;;
ERKAR-OPAKOWANIA;(48)6644759;;
ERKAR-OPAKOWANIA;(48)6641346;;
F.H. LIDER;(58)3424299;;
F.H. LIDER;(58)3221989;;
Firma Handlowo-Produkcyjna PAK Sp. z o.o.;(56)6571110;;
Firma Handlowo-Produkcyjna PAK Sp. z o.o.;(56)6571100;;
FORMED P. i P. Dziuba Sp.j.;(22)7832491;;
GEMINI Sp. z o.o.;(32)3538028;;
GEMINI Sp. z o.o.;(32)2033052;;
GEMMA Bogdan Miszewski;(24)2547687;;
GREIF Poland Sp. z o.o.;(32)4295040;;
GREIF Poland Sp. z o.o.;(32)4295041;;
Hurtownia Opakowań PROFIT;(61)8780463;;
Hurtownia Opakowań PROFIT;501509849;;
INTERPLAST;(61)8173316;;
INTERPLAST;(61)8172525;;
JOPPOL Sp. z o.o.;(61)8689959;;
JOPPOL Sp. z o.o.;(61)8630012;;
KAPAK Marcin Szolc;694708817;;
KAPAK Marcin Szolc;881213455;;
KARTON FOLIA FORMA K.F.F.;(025)7577182;;
KARTON FOLIA FORMA K.F.F.;694457877;;
LIGUM POL Sp. z o.o.;(76)8341565;;
LIGUM POL Sp. z o.o.;(76)8335038;;
MADROX S.A.;(25)7581431;;
MADROX S.A.;(25)7585689;;
Makart-Box Bojakowscy;(71)3017897;;
Makart-Box Bojakowscy;(71)3017899;;
MARES PACKAGING Co.;(61)8442211;;
MARES PACKAGING Co.;(61)8422200;;
MARGRAF Sp.j. Anna i Grzegorz Kwiecień;(55)2726717;;
MARGRAF Sp.j. Anna i Grzegorz Kwiecień;(55)2731352;;
MARPOL S.A.;(85)7474397;;
MARPOL S.A.;(85)6631150;;
MAWI S.c. Maciej Zieliński, Wielisława Chruściel;(42)2766600;;
MAWI S.c. Maciej Zieliński, Wielisława Chruściel;601226939;;
MPack Sp. z o.o.;(22)7800500;;
OPAK;(94)3742002;;
OPAK;(94)3749798;;
Opakowania KRAJ;(25)6825347;;
Opakowania KRAJ;601236341;;
P.P.H.U. CZES-POL S.c. Małgorzata Kociołek, Wioleta Kociołek;(42)2153380;;
P.P.H.U. CZES-POL S.c. Małgorzata Kociołek, Wioleta Kociołek;(42)2274938;;
P.P.H.U. POLIPACK Sp.j.;(58)5720202;;
P.P.H.U. POLIPACK Sp.j.;(58)5720204;;
PackOn Sp. z o.o.;(44)6840400;;
PackOn Sp. z o.o.;695740909;;
PAKFOL S.c. Lidia i Marek Czeniek;(12)4292744;;
PAKFOL S.c. Lidia i Marek Czeniek;(12)4324321;;
Paknex S.c. Niewiadomy Tomasz, Piotr, Wojciech;(33)4706916;;
Paknex S.c. Niewiadomy Tomasz, Piotr, Wojciech;606470103;;
PAPIERNIK;(17)5830884;;
PAPIERNIK;502084707;;
PLAST;(12)3565684;;
PLAST SERVICE PACK Konrad Rumiński;(22)7561544;;
PLAST SERVICE PACK Konrad Rumiński;(22)7561586;;
POLIKARTON;(61)8677917;;
POLIKARTON;(61)6517337;;
POPRAWA Producent Opakowań Tekturowych;(62)7316186;;
POPRAWA Producent Opakowań Tekturowych;(62)5940029;;
PPH RADO St. Dominiak, E. Rączka Sp.j. - Producent tulei papierowych;(13)4481966;;
PPH RADO St. Dominiak, E. Rączka Sp.j. - Producent tulei papierowych;(13)4429590;;
Producent Opakowań OPAKOMET Sp.j. K. i P. Krasińscy;(59)8622790;;
Producent Opakowań PET;606992158;;
Producent Opakowań PET;(61)8185496;;
Producent Opakowań ROSSEM PACK;(12)6588853;;
Producent Opakowań ROSSEM PACK;605030398;;
Przedsiębiorstwo Handlowo-Usługowe MAX-POL Sławomir Połczynski;(59)8229540;;
Przedsiębiorstwo Handlowo-Usługowe MAX-POL Sławomir Połczynski;(59)8229549;;
SUPERTAPE Polska Sp. z o.o.;(61)8998991;;
SUPERTAPE Polska Sp. z o.o.;(61)8998995;;
SWISSGRAF Sp. z o.o.;(71)3426508;;
TAZBIR;(94)3163370;;
TEDMARK Sp. z o.o.;(91)4853916;;
TEDMARK Sp. z o.o.;(91)4853819;;
TUBY K.Jakubowski Sp. z o.o.;(22)8130784;;
TUBY K.Jakubowski Sp. z o.o.;(22)8703899;;
Usługi Wielobranżowe PARTNER S.c.;(34)3145327;;
YANKO Sp. z o.o.;(17)7725720;;
YANKO Sp. z o.o.;(17)7725730;;
Zakład Wielobranżowy Hurt-Detal TEKFOL Zakład Pracy Chronionej Wiesław Szewczuk, Marian Bakuniak Sp.j.;(84)6166947;;
Zakład Wielobranżowy Hurt-Detal TEKFOL Zakład Pracy Chronionej Wiesław Szewczuk, Marian Bakuniak Sp.j.;(84)6166934-35;;
ABC-PAK Sp. z o.o. Sp.k.;(63)2714410;;
ABC-PAK Sp. z o.o. Sp.k.;(63)2714052;;
AGROSAK S.A.;(42)6718300;;
AGROSAK S.A.;(42)6718333;;
ARIS OPAKOWANIA;(65)5204835;;
ARIS OPAKOWANIA;509446767;;
BESKID PLUS Sp.j.;(33)4707781-83;;
BESKID PLUS Sp.j.;660426349;;
BESKID Sp. z o.o.;(33)8222701;;
BESKID Sp. z o.o.;(33)8122729;;
BUDZYŃSCY Sp. z o.o.;(56)6886712;;
Centr Pack S.c. Dariusz Kacprzak, Nikodem Kozielski;(24)7221051;;
Centr Pack S.c. Dariusz Kacprzak, Nikodem Kozielski;606208965;;
CERTUS PACK;(61)4421020;;
CERTUS PACK;609150544;;
DIS-PACK Opakowania;(12)3784034;;
DIS-PACK Opakowania;(12)3784035;;
DRUKPAK Sp. z o.o.;(54)2828200;;
DRUKPAK Sp. z o.o.;(54)2828203;;
EKO-AWAL;(58)6731642;;
EKO-AWAL;(58)6734346;;
EKOSERWIS Marcin Łysiak;790855755;;
F.P.H.U. BUTELX;(32)6491000;;
