Fundacja Pro Futurum;(22)6255598;;
Fundacja Pro Futurum;(22)6597689;;
Centrum Opieki Zdrowotnej Safmed;(32)2918295;;
Centrum Opieki Zdrowotnej Safmed;(32)2918297;;
MEDICAMONITOR Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Promocji Zdrowia;(22)7841903;;
MEDICAMONITOR Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Promocji Zdrowia;605610344;;
NZOZ SKANMEX Diagnostyka;(71)7889630-32;;
TS Klinika;(22)3041855;;
TS Klinika;605088288;;
ZiębaClinic Niepubliczny Zakład Opieki Zdrowotnej;(32)2023635;;
AMBULANS Pogotowie Ratunkowe;(74)8313233;;
AMBULANS Pogotowie Ratunkowe;510124855;;
ANTROPOSS;(12)6345112;;
ANTROPOSS;501293977;;
Centrum Medyczno-Diagnostyczne Sp. z o.o.;(25)6440740Biuro;;
Centrum Medyczno-Diagnostyczne Sp. z o.o.;(25)6333555Centrala;;
CertusVia Sp. z o.o.;(89)5413570;;
DIVEMED;502575443;;
DIVEMED;507695507;;
Dom Opieki Pielęgniarskiej Małgorzata Rybarczyk;(61)8788621;;
Dom Opieki Pielęgniarskiej Małgorzata Rybarczyk;500074580;;
EMERGENCY24 Sp. z o.o.;796389833;;
ENDOLAB Specjalistyczny Zakład Opieki Zdrowotnej;(62)7572935;;
Fizjoterapia S.c.;(16)6786666w.36Dyrekcja;;
Fizjoterapia S.c.;(16)6786666w.21Rejestracja;;
Hospicjum Królowej Apostołów;(48)3668144;;
Hospicjum Królowej Apostołów;605980214;;
Hospmed;(34)3435857;;
Hospmed;(34)3614397;;
ImprezMED Ela Dołowa;605420041;;
ImprezMED Ela Dołowa;(22)8360160;;
MOTOERKA;608340007;;
Słamed Danuta Pawlik;(46)8740182;;
Słamed Danuta Pawlik;600134566;;
TRANS MEDICS;(91)4345904;;
TRANS MEDICS;505791322;;
Wyjazdowa Praktyka Pielęgniarska;726262662;;
ARS MED NZOZ;666700999efon24h;;
ARS MED NZOZ;602599118;;
GoldCare;500101515;;
Centra Medyczne Medyceusz NZOZ;(42)6136900;;
Centra Medyczne Medyceusz NZOZ;(42)6136906;;
Centrum Flebologii Klinika Zdrowych Nóg;(22)6136256;;
Centrum Flebologii Klinika Zdrowych Nóg;0801000655;;
Centrum Medyczne i Rehabilitacji KRIOSONIK;(22)8115173;;
Centrum Medyczne MML Sp. z o.o.;692988098;;
Centrum Medyczne MML Sp. z o.o.;(22)4065422;;
Centrum MULTI-MEDICA Sp. z o.o.;(22)7868191Centrala;;
Centrum MULTI-MEDICA Sp. z o.o.;797995318Stomatologia;;
Centrum Rehabilitacji TUKAN;(18)4791080-ŁABOWA;;
Centrum Rehabilitacji TUKAN;(18)4791082-ŁABOWA;;
Centrum Zdrowia Psychicznego NZOZ;(22)8579081;;
Centrum Zdrowia Psychicznego NZOZ;(22)8579082;;
ELD-MED Sklep Medyczny Elżbieta Staszewska-Dyrda, Dariusz Dyrda Sp.j.;(52)3752100;;
ELD-MED Sklep Medyczny Elżbieta Staszewska-Dyrda, Dariusz Dyrda Sp.j.;513843327;;
ESKULAP Lekarska Specjalistyczna Spółdzielnia Pracy;(85)7450036-37ul.NowyŚwiat;;
ESKULAP Lekarska Specjalistyczna Spółdzielnia Pracy;(85)7323152ul.Malmeda6;;
KRAJMED Centrum Medyczne;(22)4586967-69;;
KRAJMED Centrum Medyczne;(22)4586970;;
LIFE-SAVER Daria Wandrasz;793385527;;
NZOZ Euroklinika Sp. z o.o.;(33)4859440;;
NZOZ Euroklinika Sp. z o.o.;720890740MedycynaEstetyczna;;
NZOZ Medicor System Opieki Medycznej;(22)8410511;;
NZOZ Medicor System Opieki Medycznej;(22)4970972;;
Ośrodek Diagnostyki Neurorozwojowej i Rehabilitacji w Pile;(67)2154682;;
Przychodnia Medyczna;(58)6201428;;
Przychodnia Medyczna;(58)6202379;;
Przychodnia Rehabilitacyjno-Lecznicza BIOMED;(22)8646425;;
Przychodnia Rehabilitacyjno-Lecznicza BIOMED;531282323;;
RE-VITA Gabinet Rehabilitacji-Fizjoterapia;(12)4138603;;
RE-VITA Gabinet Rehabilitacji-Fizjoterapia;608433899;;
Rehabilitacja Kraków NZOZ Prolo-Med Przychodnia Rehabilitacyjna;(12)6410088;;
Centrum Diagnostyki Medycznej ENDOMED;(58)5577223ul.Subisława;;
Centrum Diagnostyki Medycznej ENDOMED;(58)5577239ul.Subisława;;
Centrum Medycyny NOWA EUROPA;(42)2568787;;
Centrum Medycyny NOWA EUROPA;(42)6899440;;
Centrum Medyczne DIAGNOZA A.Błażewska-Gruszczyk, M.Słowiaczek Sp.j.;(12)6380473;;
Centrum Medyczne DIAGNOZA A.Błażewska-Gruszczyk, M.Słowiaczek Sp.j.;660446574;;
Centrum Medyczne Luxmed Sp. z o.o.;(81)5323711;;
FINCLUB POLAND Sp. z o.o.;800133177(Bezpłatna);;
FINCLUB POLAND Sp. z o.o.;(33)8510195;;
Firma DELFIN Piotr Dołkowski;(23)6627616;;
Firma DELFIN Piotr Dołkowski;604541712;;
Gabinet Masażu i Rehabilitacji, Terapia Manualna Vita Max;502911232;;
Med-Orzeł Sp. z o.o.;(32)3877633;;
Neuro-Care Szpital i Poradnia Specjalistyczna;(32)3539359;;
Neuro-Care Szpital i Poradnia Specjalistyczna;(32)2053288;;
NZOZ Poradnia Zdrowia Psychosomatycznego VIAMED;508117896;;
NZOZ Poradnia Zdrowia Psychosomatycznego VIAMED;(81)5328461;;
Ośrodek Rehabilitacyjno-Szkoleniowy Neurorehabilitacyjny N.Z.O.Z.;(61)4473260;;
Śląskie Centrum Medyczne Sp. z o.o.;(32)4569002;;
Śląskie Centrum Medyczne Sp. z o.o.;(32)7298858;;
ASKLEPIOS Niepubliczne Zakłady Opieki Zdrowotnej;(17)8503700-01;;
ASKLEPIOS Niepubliczne Zakłady Opieki Zdrowotnej;(17)8503711;;
Centrum Medyczne ALFA-LEK;(22)8264502;;
Centrum Medyczne ALFA-LEK;(22)8262310;;
Centrum Szkoleniowo-Usługowe Krzysztof Świciński;607122664;;
Dom Opieki Liliowy Dworek;(41)2548115;;
Dom Opieki Liliowy Dworek;513091812;;
Dom Seniora Stały Ląd;512904574;;
ELDERM Dermatologia i Kosmetologia Lekarska;(52)3460202;;
ELDERM Dermatologia i Kosmetologia Lekarska;600807018;;
ELIT med;(32)6082965;;
ELIT med;(32)2591696;;
Firma Usługowo Handlowa Pomocna Dłoń Katarzyna Poloczek;883452396;;
Firma Usługowo Handlowa Pomocna Dłoń Katarzyna Poloczek;512707059;;
MEDICA NZOZ;(22)6190160;;
MEDICA NZOZ;(22)6194023;;
Medica Sp.j.;517766756;;
Medicus Usługi Opiekuńczo-Pielęgniarskie;503650903;;
NZOZ Villa Optica Sp. z o.o.;(22)7293205;;
POD DĘBAMI Dom Seniora;533344733;;
POD DĘBAMI Dom Seniora;668072015;;
Przychodnia Rehabilitacji KOWAL-MED;515520515;;
Przychodnia Rehabilitacji KOWAL-MED;519114519;;
Samodzielny Publiczny Zespół Opieki Zdrowotnej we Włodawie;797702705;;
Samodzielny Publiczny Zespół Opieki Zdrowotnej we Włodawie;(82)5724170;;
Stowarzyszenie Opieki Hospicyjnej Ziemi Częstochowskiej;(34)3605491;;
Stowarzyszenie Opieki Hospicyjnej Ziemi Częstochowskiej;(34)3605537;;
SZPITAL NA WYSPIE Sp. z o.o.;(68)4757600;;
SZPITAL NA WYSPIE Sp. z o.o.;(68)4757700;;
Uni-Med Centrum Medyczno-Stomatologiczne;(32)7852255-56;;
Uni-Med Centrum Medyczno-Stomatologiczne;(32)7979756;;
KJ Gabinet Kosmetyczno-Podologiczny Karolina Jędryczka;(61)6706081;;
KJ Gabinet Kosmetyczno-Podologiczny Karolina Jędryczka;510076641;;
Ośrodek Leczenia Nerwic i Zaburzeń Jedzenia DĄBRÓWKA;(32)2383470;;
Specjalistyczny Gabinet Kosmetyczno-Podologiczny I-KOSMETYKA;605045639;;
Centrum Medyczne Panorama;666810815;;
Centrum Medyczne Panorama;(22)7605062;;
Hematolog dr n.med. Aleksandra Butrym;502657840;;
Indywidualna Praktyka Pielęgniarska Tomasz Kałun;736940526;;
PROFEMED;(61)6287500;;
PROFEMED;(22)3322844;;
TCMED Twoje Centrum Medyczne;720313131;;
WAN-MED;533666073;;
ADAD - Specjalistyczne Centrum Medyczne;(22)6136424;;
ADAD - Specjalistyczne Centrum Medyczne;(22)6108724;;
AFGRU-MED Sp.j.;691433132;;
AFGRU-MED Sp.j.;508030839;;
Agamed Trans;539404040;;
Agamed Trans;502441366;;
AGMEDICA Usługi Pielęgniarsko-Położnicze;603249780;;
AIR MED ESCORT;792112113;;
AIR MED ESCORT;(22)2034030;;
Akademia Mowy i Słuchu Prywatna Praktyka Logopedyczna i Audiologiczna Julia Szymorek;784085557;;
AMA-TRANS Transport Sanitarny;790679757;;
AMBU-MED;608612288;;
AMBU-MED;502340426;;
AMed Łódź NZOZ;(42)6899587;;
AMed Łódź NZOZ;603684066;;
AMICUS Niepubliczny Zakład Opieki Zdrowotnej Zakład Pielęgnacyjno-Opiekuńczy Sp.partnerska;(32)2466836;;
AMICUS Niepubliczny Zakład Opieki Zdrowotnej Zakład Pielęgnacyjno-Opiekuńczy Sp.partnerska;(32)2464520;;
Anna Podolak Usługi Pielęgniarskie;668345531;;
ARKADIA-MED;(32)3537578;;
ARKADIA-MED;(32)7818015;;
BabyClinic CENTRUM MEDYCZNE TWOJE DZIECKO;(22)8555191;;
BabyClinic CENTRUM MEDYCZNE TWOJE DZIECKO;604334439;;
Beskidzkie WOPR;(33)8123786;;
Błaszczyna Natasza Indywidualna Praktyka Lekarska;796702988;;
Bobomed Inwest Sp. z o. o.;(62)7658653;;
Bobomed Inwest Sp. z o. o.;(62)7659440;;
CALL-MED;604137235;;
CALL-MED;(41)3698276;;
CAR VISION;888024999;;
CARE-MED;500246222;;
Centrum Medycyny Sportowej OLIMP;(68)4580576;;
Centrum Medyczne APOMED;(77)4426080;;
Centrum Medyczne Chodźki;(81)7405555;;
Centrum Medyczne Chodźki;500600134;;
Centrum Medyczne CORVITA;(33)8223346;;
Centrum Medyczne CORVITA;604244022;;
Centrum Medyczne ESKULAP;(14)6240043;;
Centrum Medyczne Golden Care;(71)7336650;;
Centrum Medyczne Golden Care;692449999;;
Centrum Medyczne IMED;(58)6721102;;
Centrum Medyczne Maszachaba;(12)6327027;;
