GoldCare;500101515;;
Polonia CARE24 Sp. z o.o.;(94)3408045;;
Polonia CARE24 Sp. z o.o.;512585110;;
PROMYK Dom Spokojnej Starości;507282424;;
PROMYK Dom Spokojnej Starości;(23)6805510;;
Śląskie Centrum Medyczne Sp. z o.o.;(32)4569002;;
Śląskie Centrum Medyczne Sp. z o.o.;(32)7298858;;
Dom Dla Osób Starszych STARZYK;(74)8454086;;
Dom Dla Osób Starszych STARZYK;512205801;;
Dom Opieki im. A.Alzheimera Zbigniew Lasota;602403333;;
Dom Opieki im. A.Alzheimera Zbigniew Lasota;606232386;;
Dom Opieki Liliowy Dworek;(41)2548115;;
Dom Opieki Liliowy Dworek;513091812;;
Dom Opieki NESTOR;602880553;;
Dom Opieki NESTOR;535543922;;
Dom Pod Klonami;(12)2730547;;
Dom Pod Klonami;(12)2743677;;
Dom Rodzinny JESIENNA RÓŻA;(32)2282600;;
Dom Rodzinny JESIENNA RÓŻA;888529879;;
Dom Seniora Dąbrówka;602304980;;
Dom Seniora Dąbrówka;883383488;;
Dom Seniora POD JAWORZYNKĄ;(18)3315915;;
Dom Seniora POD JAWORZYNKĄ;512178237;;
Dom Seniora Stały Ląd;512904574;;
Firma Usługowo Handlowa Pomocna Dłoń Katarzyna Poloczek;883452396;;
Firma Usługowo Handlowa Pomocna Dłoń Katarzyna Poloczek;512707059;;
Medicus Usługi Opiekuńczo-Pielęgniarskie;503650903;;
opieka.radom.pl;507833390;;
opieka.radom.pl;792582725;;
Ośrodek Opiekuńczo-Rehabilitacyjny DOM NAD ŚWIDREM;(22)7181700;;
Ośrodek Opiekuńczo-Rehabilitacyjny DOM NAD ŚWIDREM;(22)7883722;;
Pensjonat RADOSNA JESIEŃ;(61)8193862;;
Pensjonat RADOSNA JESIEŃ;697528113;;
POD DĘBAMI Dom Seniora;533344733;;
POD DĘBAMI Dom Seniora;668072015;;
Prywatny Dom Pogodnego Seniora SŁONECZKO;887526210;;
Renata Kawalec Firma Usługowa;505310021;;
Stowarzyszenie Domu Opieki ZŁOTA JESIEŃ;(58)5592132;;
Willa JANTAR;(91)3215526;;
Willa JANTAR;(91)3214830;;
Willa Seniora;(33)8176284;;
Willa Seniora;515478040;;
Fundacja Pro Futurum;(22)6255598;;
Fundacja Pro Futurum;(22)6597689;;
CONRADO;(52)3152679;;
CONRADO;784336979;;
Ośrodek Rehabilitacyjno-Szkoleniowy Neurorehabilitacyjny N.Z.O.Z.;(61)4473260;;
Słamed Danuta Pawlik;(46)8740182;;
Słamed Danuta Pawlik;600134566;;
Specjalistyczne Centrum Pielęgnacyjno-Opiekuńcze Ewa-Med Sp. z o.o.;(71)3101413;;
WEST-ARBEIT Agencja Pośrednictwa Pracy KAMIL KOZIK;(81)8228582;;
WEST-ARBEIT Agencja Pośrednictwa Pracy KAMIL KOZIK;605863434;;
Dom Seniora Aurum Vitae;(34)3577240;;
Dom Seniora Aurum Vitae;501 337 778;;
Pflege Mit Herzen 24 Sp. z o.o. Sp.komandytowa;508624683;;
Pflege Mit Herzen 24 Sp. z o.o. Sp.komandytowa;(52)3390526Bydgoszcz;;
Pronobel;(32)7220402;;
Pronobel;(32)7220469;;
Adamax7 Usługi Opiekuńcze dla Osób Starszych;600214264;;
Agencja CURATIO Domowe Usługi Opiekuńcze;(71)3545082;;
Agencja CURATIO Domowe Usługi Opiekuńcze;502159612;;
Agencja Opiekunek My też Mamy Dzieci;515518077;;
Agencja Pielęgnacyjno-Opiekuńcza EGIDA;(81)5322517;;
Agencja POMOCNA;505900295;;
Agencja POMOCNA;(71)7924851;;
Agencja Servitum;533336789;;
Agencja Servitum;533336789;;
ANDERS Dom Seniora;609004093;;
ANDERS Dom Seniora;(44)7441648;;
ANIMUS AWG;(22)4239801;;
ANIMUS AWG;601337345;;
ANNA Dom Opieki;602458765;;
ANNA Dom Opieki;787160800;;
