AVIT Adam Rytel;(23)6766814;;
AVIT Adam Rytel;(23)6619586;;
LA-SAD Sp. z o.o.;(48)3703680;;
AGROCON Sp.j. E.Przyborowska i S-ka;(22)6252921;;
AGROCON Sp.j. E.Przyborowska i S-ka;(22)6252967;;
AGROFRUIT Marcin Pawlak;509577090;;
AGROFRUIT Marcin Pawlak;509256336;;
DAPOL Sp.j. Aldona Dadas, Witold Dadas;602306732;;
DAPOL Sp.j. Aldona Dadas, Witold Dadas;(22)7215930;;
ELPA FRUIT Sp. z o.o.;(48)6680004;;
ELPA FRUIT Sp. z o.o.;605051531;;
FPH PAULA Sp. z o.o. Sp.komandytowa;(62)7654911;;
FPH PAULA Sp. z o.o. Sp.komandytowa;(62)7654912;;
FRUTICA;694030666;;
FRUTICA;696311661;;
GLOBAL Zakład Produkcyjno-Handlowy Andrzej Dębowski Sp.j.;(34)3177310;;
GLOBAL Zakład Produkcyjno-Handlowy Andrzej Dębowski Sp.j.;(34)3103684;;
JARZYNY-MEYER Sp. z o.o.;(68)4599184;;
JARZYNY-MEYER Sp. z o.o.;(68)3552253;;
Józefów Sad Sp. z o.o.;783784715;;
Józefów Sad Sp. z o.o.;781351535DziałHandlowy;;
LST Polska;(81)5173763;;
LST Polska;(81)5172615;;
Marek Gawryszewski Export Własnych Płodów Rolnych;(22)6152589;;
Marek Gawryszewski Export Własnych Płodów Rolnych;(22)6158833;;
MATERNE-POLSKA Sp. z o.o.;(81)8826311;;
MATERNE-POLSKA Sp. z o.o.;(81)8826310;;
POLSUSZ Sp. z o.o.;(54)2730555;;
POLSUSZ Sp. z o.o.;(54)2730585;;
Przetwórstwo Owoców i Warzyw JOLAN Jolanta Byśkiniewicz;(22)6155641;;
Przetwórstwo Owoców i Warzyw JOLAN Jolanta Byśkiniewicz;506177782;;
Warszawski Rolno-Spożywczy Rynek Hurtowy S.A.;(22)7215510;;
Warszawski Rolno-Spożywczy Rynek Hurtowy S.A.;(22)7215500;;
AGMAR Doradztwo WPR;(22)3322152;;
AGMAR Doradztwo WPR;501242718;;
AGMAR FPUH;(34)3170520;;
AGMAR FPUH;695370968;;
AGRO SERWIS;(33)8744770;;
AGRO SERWIS;604439072;;
Agrofresh Sp. z o.o.;(22)7215655;;
Agrofresh Sp. z o.o.;(22)7215654;;
ARED Zakład Przetwórstwa Owoców i Warzyw Stanisław Stępniewski;(48)6635043;;
ARED Zakład Przetwórstwa Owoców i Warzyw Stanisław Stępniewski;601670660;;
F.H. Konkret;(22)7272121;;
F.H. Konkret;(22)7274803;;
FIMINSKY Sp. z o.o. Sp.komandytowa;(68)3860895;;
FIMINSKY Sp. z o.o. Sp.komandytowa;(68)3868747;;
Firma Handlowo-Usługowa LEMON Andrzej Rudnik;(94)3542549;;
Firma Handlowo-Usługowa LEMON Andrzej Rudnik;(94)3542938;;
P.P.U.H SWEET Ewa Muzyk;506050834;;
P.P.U.H SWEET Ewa Muzyk;601715174;;
POLGRAIN;(22)6788703;;
POLGRAIN;(22)6789519;;
PPHU POLFRUCT Sp.j.;(41)3701943;;
PPHU POLFRUCT Sp.j.;606995239;;
RENEX Regina Jędrych Tomasz Jędrych Sp.j.;(52)3604800;;
RENEX Regina Jędrych Tomasz Jędrych Sp.j.;(52)3604815;;
SMAKI MAZOWSZA Sp. z o.o.;501777477;;
TAT-POL Sp. z o.o.;(43)8413245;;
TAT-POL Sp. z o.o.;(43)8413162;;
Wild Polska Sp. z o.o.;(89)7419501;;
Wild Polska Sp. z o.o.;(89)7419532;;
Zakład Produkcyjno-Handlowy JAR-DO;(61)8757327;;
Zakład Produkcyjno-Handlowy JAR-DO;501483660;;
Zakład Produkcyjno-Handlowy KILIAN;514015288;;
Zakład Produkcyjno-Handlowy KILIAN;(15)8312531;;
AL-DA Alicja Leszko, Dariusz Basiak Sp.j.;(22)7891223;;
AL-DA Alicja Leszko, Dariusz Basiak Sp.j.;(22)7891097;;
AUSTRIA JUICE Poland Sp. z o.o.;(82)5622111;;
AUSTRIA JUICE Poland Sp. z o.o.;(46)8132340;;
BADYL PARTNER DAWIEC, MIŚKOWIEC Sp.j. Oddział Kraków;604452042;;
BADYL PARTNER DAWIEC, MIŚKOWIEC Sp.j. Oddział Kraków;660665959;;
Białośliwska Spółdzielcza Grupa Producentów Owoców SADY KRAJNY;693465087;;
Białośliwska Spółdzielcza Grupa Producentów Owoców SADY KRAJNY;500371310;;
BOTOMA Sp. z o.o. Gospodarstwo WINOWICZ;(43)8290618;;
BOTOMA Sp. z o.o. Gospodarstwo WINOWICZ;603598395;;
BRADLO;(14)6211055;;
BRADLO;503037355;;
Cool Fruit Sp. z o.o.;795522476;;
Cool Fruit Sp. z o.o.;795522477;;
DAP FRUIT Sp. z o.o.;(22)7232901;;
DAP FRUIT Sp. z o.o.;(22)7232902;;
DARPOL Przetwórstwo Owocowo-Warzywne;(14)6264323;;
FHU FRUKTUS Lucyna Plota;607308316;;
FHU FRUKTUS Lucyna Plota;(62)7667186;;
Firma Handlowa M&M Rulak;(63)2743001;;
Firma Handlowa M&M Rulak;504070007;;
Fruit Logistics Sp. z o.o.;(48)6676310;;
Fruit Logistics Sp. z o.o.;(48)6614984;;
GGP HandloSad;(48)6676310;;
GLOBFRUIT Sp. z o.o.;(022)7232901;;
GLOBFRUIT Sp. z o.o.;(022)7232903;;
Gomar Pińczów Sp. z o.o. S.K.A.;(41)3785800;;
Gomar Pińczów Sp. z o.o. S.K.A.;(41)3785801;;
Gospodarstwo Rolno-Warzywne Kwaszarnia Kapusty i Ogórków Jan Sznajder;(71)3849058;;
Gospodarstwo Rolno-Warzywne Kwaszarnia Kapusty i Ogórków Jan Sznajder;609193950;;
Gospodarstwo Sadownicze Aneta & Jacek Zając;509926580;;
Gospodarstwo Sadownicze Aneta & Jacek Zając;513066978;;
GPHU KAPUSTA Zygmunt Kapusta;(46)8386534;;
GPHU KAPUSTA Zygmunt Kapusta;602682293;;
Grupa Producentów Owoców i Warzyw Trzebnickie Sady Sp. z o.o.;(71)3120280;;
Grupa Rolnik Polski Sp. z o.o.;(62)5024245;;
Grupa Rolnik Polski Sp. z o.o.;533179277;;
HOLSTAR Sp. z o.o.;(91)5613724;;
HOLSTAR Sp. z o.o.;(91)5613705;;
JAKPOL sp. j.;601197777;;
JAKPOL sp. j.;(48)6641955;;
MEGA Cash & Carry;(12)2830430;;
MEGA Cash & Carry;(12)2830431;;
MELBA Krystyna Spławiec-Dębska;(22)7278704;;
MELBA Krystyna Spławiec-Dębska;(22)4346071;;
P.H.U. POLMAX Renata Czajka;608682133;;
P.H.U. POLMAX Renata Czajka;661311133;;
P.P.H. RADOMAR Jacek Pawlak;602215339;;
P.P.H.U. Nasza Chata;(52)3982210-11;;
P.P.H.U. Nasza Chata;(52)3983474;;
PH MARPOL;(22)7973154;;
PH MARPOL;(22)7205212;;
PHU JEZNACH Sp.j.;(46)8621575;;
PHU JEZNACH Sp.j.;(46)8623262;;
Plantacja Borówki Amerykańskiej GLONEK;605465758;;
PPHU EKO-AR;(74)8698969;;
PPHU EKO-AR;502240600;;
PPHU FASOLEX S.Jasiak i Spółka Sp.j.;(41)3771034;;
PPHU FASOLEX S.Jasiak i Spółka Sp.j.;502288471;;
Prominex Sp. z o.o.;(12)3416843;;
Prominex Sp. z o.o.;(12)3416849(wewnętrzny);;
Przetwórnia Gil Sp. z o.o.;(65)5185483;;
Przetwórnia Gil Sp. z o.o.;(65)5185136;;
Sądecka Grupa Producentów Owoców i Warzyw Owoc Łącki Sp. z o.o.;(18)4446986;;
Sądecka Grupa Producentów Owoców i Warzyw Owoc Łącki Sp. z o.o.;728443222;;
Spółdzielnia Ogrodnicza Ziemi Sądeckiej;(18)4438307;;
Spółdzielnia Ogrodnicza Ziemi Sądeckiej;(18)4407450-51;;
Spółdzielnia Socjalna KUŹNIA SMAKU;514917419;;
Spółdzielnia Socjalna KUŹNIA SMAKU;511454033;;
Zakład Przetwórstwa Owocowo-Warzywnego ORZECH Sp. z o.o.;(17)2274783;;
Zakład Przetwórstwa Owocowo-Warzywnego ORZECH Sp. z o.o.;(17)2274784;;
Gospodarstwo Sadownicze Franciszek Winkowski;601925478;;
Gospodarstwo Sadownicze Franciszek Winkowski;607081593;;
Carrefour Express - najmniejszy Carrefour świata;(22)8285058;;
Agropol Sp. z o.o. Zakład Przetwórstwa Owocowo-Warzywnego;(22)7273543;;
CYKORIA S.A.;(52)3552000-03;;
CYKORIA S.A.;(52)3558211;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)2011724;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)7106013;;
UNIVAR Poland Sp. z o.o.;(22)2793585;;
UNIVAR Poland Sp. z o.o.;(22)2793560;;
Vidan - Zamrażalnia Vidansonder;(22)7257074;;
Vidan - Zamrażalnia Vidansonder;(22)7257284;;
DAGOMA Sp. z o.o.;(58)6732552;;
DAGOMA Sp. z o.o.;(58)6733700;;
FHU Import-Export KAMEX Teresa i Marian Chochorowscy S.c.;(18)4431904;;
FHU Import-Export KAMEX Teresa i Marian Chochorowscy S.c.;(18)4431286;;
HORTINO Zakład Przetwórstwa Owocowo-Warzywnego Leżajsk Sp. z o.o.;(17)2404200;;
HORTINO Zakład Przetwórstwa Owocowo-Warzywnego Leżajsk Sp. z o.o.;(17)2428237;;
MAZOWSZE Sp.j. Zakład Przetwórstwa Spożywczego;(24)2774620;;
MAZOWSZE Sp.j. Zakład Przetwórstwa Spożywczego;(24)2774039;;
P.P.H.U. BRUSPOL Grzyby, mrożone, suszone, marynowane;(52)3982372;;
P.P.H.U. BRUSPOL Grzyby, mrożone, suszone, marynowane;602339189;;
Wytwórnia Octu i Musztardy w Parczewie Sp. z o.o.;(83)3551795;;
Wytwórnia Octu i Musztardy w Parczewie Sp. z o.o.;(83)3551796;;
AGROFREEZE S.A.;(94)3754326;;
AGROFREEZE S.A.;(94)3755380;;
Aleksander Anapolski - ALEKS;+48(34)3594950;;
Aleksander Anapolski - ALEKS;+48604293565;;
CAJDEX - Grzyby i Owoce Mrożone i Suszone;(42)6467888;;
CAJDEX - Grzyby i Owoce Mrożone i Suszone;(42)6469444;;
Firma Handlowa LUPUS Export-Import;(23)6732604;;
Firma Handlowa LUPUS Export-Import;(23)6737688;;
Firma Zielarska NATURA Dorota Lewandowska;(65)5482386;;
Firma Zielarska NATURA Dorota Lewandowska;600455719;;
Gospodarstwo Szkółkarsko-Sadownicze Józef Lewicki;606786353;;
Gospodarstwo Szkółkarsko-Sadownicze Józef Lewicki;(54)2861186;;
IceQB Spółka z ograniczoną odpowiedzialnością;(68)4227490;;
IceQB Spółka z ograniczoną odpowiedzialnością;531407837;;
Julianex Przetwórstwo Spożywcze Józef Wicenciak;(61)8705146;;
Julianex Przetwórstwo Spożywcze Józef Wicenciak;(61)8719962;;
Przedsiębiorstwo-Techniczno-Handlowo -Produkcyjno-Usługowe Unicus Sp. z o.o.;(32)2412740;;
Przedsiębiorstwo-Techniczno-Handlowo -Produkcyjno-Usługowe Unicus Sp. z o.o.;(32)3457251-52;;
ROBSON Robert Jóźwiak;663775521;;
ROBSON Robert Jóźwiak;(65)5180267;;
Sadowniczy Zakład Doświadczalny Instytutu Ogrodnictwa BRZEZNA Sp. z o.o.;(18)4458411;;
Sadowniczy Zakład Doświadczalny Instytutu Ogrodnictwa BRZEZNA Sp. z o.o.;(18)4458410;;
F.H.U. FRUTINO;792420289;;
Frugola Dawid Gola;506729548;;
Hurtownia Owoców i Warzyw MIRON;507833425;;
PRODAN Handel Pośrednictwo Przetwórstwo Owoców i Warzyw;692471566;;
PRODAN Handel Pośrednictwo Przetwórstwo Owoców i Warzyw;601297528;;
A.H.M. JAKUBOWSKI;(22)6787590;;
A.H.M. JAKUBOWSKI;601344050;;
A.M.W. S.c. Małgorzata, Andrzej Wnuk;(22)7215718;;
A.M.W. S.c. Małgorzata, Andrzej Wnuk;601245746;;
