Centrum Rekreacji HARENDA;(74)8722412;;
Centrum Rekreacji HARENDA;732650336;;
Centrum Szkoleniowo-Wypoczynkowe ENERGETYK;(81)5016700;;
Centrum Szkoleniowo-Wypoczynkowe ENERGETYK;(81)5016709;;
Czarny Groń Sp. z o.o. Sp.komandytowa;(33)8701630;;
Czarny Groń Sp. z o.o. Sp.komandytowa;(33)8701635;;
DWÓR POMORSKI Sp. z o.o.;(94)7127506;;
DWÓR POMORSKI Sp. z o.o.;(94)7127509;;
JAMROZOWA POLANA Hotel & Browar Sp. z o.o.;(74)8667500;;
Ośrodek Kultury i Rekreacji - Mickiewiczowskie Centrum Turystyczne;(62)7407700;;
Ośrodek Kultury i Rekreacji - Mickiewiczowskie Centrum Turystyczne;(62)7402082;;
Ośrodek Szkoleniowo-Wypoczynkowy Hotel Wityng Sp. z o.o.;(63)2707021;;
Ośrodek Szkoleniowo-Wypoczynkowy Hotel Wityng Sp. z o.o.;(63)2707024;;
Ośrodek szkoleniowy Dolina Harmonii;(75)7541433;;
Ośrodek szkoleniowy Dolina Harmonii;693455797;;
Ośrodek Wczasowy WRZOS Sp. z o.o.;(91)3812685;;
Ośrodek Wczasowy WRZOS Sp. z o.o.;(91)3812692;;
Ośrodek Wczasów Zdrowotnych U Zbója;(58)6843657;;
Ośrodek Wypoczynkowo-Szkoleniowy ENERGETYK;725725675;;
Ośrodek Wypoczynkowo-Szkoleniowy ENERGETYK;609651010;;
Pałac Wąsowo;(61)4472613;;
Pałac Wąsowo;(61)6507874;;
PPH BIMEX Ośrodek Wypoczynkowy JANOWO;(95)7462413;;
PPH BIMEX Ośrodek Wypoczynkowy JANOWO;603057676;;
Agroturystyka Biebrza Mamucia Dolina;606650386;;
Agroturystyka Biebrza Mamucia Dolina;(86)2178686;;
CONRADO;(52)3152679;;
CONRADO;784336979;;
GRUPA INCO S.A. Ośrodek Wypoczynkowo-Szkoleniowy GAWRA;(89)6259449;;
GRUPA INCO S.A. Ośrodek Wypoczynkowo-Szkoleniowy GAWRA;695661179;;
NA KAMIEŃCU Ośrodek Szkolno-Wypoczynkowy;(18)2757479;;
NA KAMIEŃCU Ośrodek Szkolno-Wypoczynkowy;516305160;;
Ośrodek Konferencyjno-Wypoczynkowy Krucze Skały;(75)7697300;;
Ośrodek Konferencyjno-Wypoczynkowy Krucze Skały;(75)7697316;;
Ośrodek Mikstat Las;662761741;;
Ośrodek Mikstat Las;608316422;;
Ośrodek Szkoleniowo Wypoczynkowy SKALNICA (Na Sprzedaż);(33)8553925;;
Ośrodek Wypoczynkowy REJS;(52)3988258;;
Ośrodek Wypoczynkowy REJS;502610802;;
Rybaczówka Ruziec;665556979;;
Rybaczówka Ruziec;601419484;;
Zajazd POD BRZOZAMI;507065950;;
Zajazd POD BRZOZAMI;507652221;;
Centrum FALA 1 Sp. z o.o.;(94)3182991;;
Centrum FALA 1 Sp. z o.o.;(94)3182960;;
DOM LEKARZA;(85)6505362;;
DOM LEKARZA;691364404;;
Domki Letniskowe, Ośrodek Wypoczynkowo-Rekreacyjny POD LASEM;(58)6749553;;
Domki Letniskowe, Ośrodek Wypoczynkowo-Rekreacyjny POD LASEM;609294787;;
Hotel Azalia & SPA;(12)2841423;;
Hotel Azalia & SPA;(12)3129189;;
KASZUBSKI BÓR Ośrodek Wypoczynkowy i Stadnina Koni;723706709;;
KASZUBSKI BÓR Ośrodek Wypoczynkowy i Stadnina Koni;785084000;;
MITUR Ośrodek Wczasowo-Szkoleniowy;(33)8553663;;
MITUR Ośrodek Wczasowo-Szkoleniowy;(33)4867101;;
Nad Wodospadem Sp. z o.o.;(33)8662060;;
Nad Wodospadem Sp. z o.o.;796862060;;
Ośrodek Aktywnego Wypoczynku Żar;(33)8661046;;
Ośrodek Rekreacyjno-Sportowy IZYDORY;500126615;;
Ośrodek Rekreacyjno-Sportowy IZYDORY;602239259;;
Ośrodek Rekreacyjno-Wypoczynkowy GROSIK;604202769;;
Ośrodek Rekreacyjno-Wypoczynkowy GROSIK;692071217;;
Ośrodek Sanatoryjno-Wczasowy HAJDUCZEK;(18)4712048;;
Ośrodek Sanatoryjno-Wczasowy HAJDUCZEK;(18)4715408;;
Ośrodek Szkoleniowo-Turystyczny DWOREK-GORCE;(18)3323071;;
Ośrodek Szkoleniowo-Turystyczny DWOREK-GORCE;501645462;;
Ośrodek Szkoleniowo-Wypoczynkowy HUBAL Tourist;509703843;;
Ośrodek Szkoleniowo-Wypoczynkowy Moszczeniczanka;(18)2012772;;
Ośrodek Szkoleniowo-Wypoczynkowy Moszczeniczanka;(18)2066983;;
Ośrodek Szkoleniowo-Wypoczynkowy Zacisze;508531309;;
Ośrodek Wypoczynkowo-Szkoleniowy ZIMOWIT;(33)8551519;;
Ośrodek Wypoczynkowo-Szkoleniowy ZIMOWIT;602323708;;
Ośrodek Wypoczynkowy J.Karolczak;(89)7427819;;
Ośrodek Wypoczynkowy J.Karolczak;(89)7427832;;
PAŁAC PASS;785879149;;
Pałac Szczepowice Ośrodek Konferencyjno-Szkoleniowy;602366301;;
Pałac Szczepowice Ośrodek Konferencyjno-Szkoleniowy;(61)4431723;;
Pensjonat Kryniczanka;(55)2476199;;
Pensjonat Kryniczanka;782688013;;
Ośrodek Konferencyjno-Wypoczynkowy LWIGRÓD SPA & WELLNESS - Patrona;(71)3397137;;
Ośrodek Konferencyjno-Wypoczynkowy LWIGRÓD SPA & WELLNESS - Patrona;(71)3628611;;
Dom Wypoczynkowy, Pensjonat OSKAR;(58)7744633wew56;;
Dom Wypoczynkowy, Pensjonat OSKAR;609494589;;
DWOREK *** Hotel i Restauracja;(46)8325883;;
Holiday Inn Warszawa Józefów;(22)7783004(działsprzedaży);;
Holiday Inn Warszawa Józefów;(22)7783000(recepcja);;
Hotel i Restauracja POLONEZ Ośrodek Rekreacyjno-Wypoczynkowy;(94)3583278;;
Hotel i Restauracja POLONEZ Ośrodek Rekreacyjno-Wypoczynkowy;(94)3583437;;
Hotel U Pietrzaków ***;(22)7818847;;
AsPik Kompleks Wypoczynkowy;(91)3863375;;
AsPik Kompleks Wypoczynkowy;(91)3863212;;
BAŁTYK Ośrodek Wypoczynkowy;(55)2477257;;
BAŁTYK Ośrodek Wypoczynkowy;(55)2477237;;
Crosna SPA Pensjonat;(18)2623390;;
Crosna SPA Pensjonat;602601557;;
Hotel *** MODRZEWIÓWKA;(33)8702424;;
Hotel *** MODRZEWIÓWKA;665544432;;
Hotel Kamena **;(82)5656401-03;;
Hotel Kamena **;(82)5656400;;
HOTEL MŁAWA Sp.z o.o.;(23)6543942;;
HOTEL MŁAWA Sp.z o.o.;(23)6551252;;
Hotel ORLIK ***;(18)5330375;;
Hotel SYPNIEWO Sp. z o.o.;(67)2847091;;
Hotel Tumski - Restauracja;(24)2629060;;
Hotel Tumski - Restauracja;(24)2629061;;
Ośrodek Kolonijny JĘDREK;(87)6433273;;
Ośrodek Kolonijny JĘDREK;600822324;;
Ośrodek Wypoczynkowy BURSZTYN;664927617;;
Ośrodek Wypoczynkowy eFKa Wiele Firma Rodzinna;(58)6873465;;
Ośrodek Wypoczynkowy eFKa Wiele Firma Rodzinna;(58)6872525;;
Ośrodek Wypoczynkowy KABEL;(18)2014051;;
Ośrodek Wypoczynkowy KABEL;(18)2013484;;
Ośrodek Wypoczynkowy NIAGARA Sp. z o.o.;(33)8661038;;
Ośrodek Wypoczynkowy NIAGARA Sp. z o.o.;(33)8661119;;
Apartament nr 18 NAD WISŁĄ;(81)8810631;;
Apartament nr 18 NAD WISŁĄ;503194941;;
AS TATRYDOM Pokoje Gościnne;(18)2015109;;
AS TATRYDOM Pokoje Gościnne;601433503;;
BIAŁE PIASKI;(58)6735127w.7;;
BIAŁE PIASKI;602625949;;
Biuro Podróży POLTUR;(68)4537771;;
Biuro Podróży POLTUR;(68)3230965;;
Biuro Turystyczne KANION;(61)8475996;;
Biuro Turystyczne KANION;(61)2234989;;
Centrum Wypoczynkowo-Konferencyjne STILON;(95)7557587;;
Centrum Wypoczynkowo-Konferencyjne STILON;533350400;;
Centrum Wypoczynku i Rehabilitacji JANTAR;(91)3813012;;
Centrum Wypoczynku i Rehabilitacji JANTAR;(91)3813011;;
