Gminny Ośrodek Sportu i Rekreacji;(13)4381430;;
Gminny Ośrodek Sportu i Rekreacji;(13)4381431;;
Ośrodek Sportu i Rekreacji DWOREK GOZDAWA;(52)3155991;;
Ośrodek Sportu i Rekreacji DWOREK GOZDAWA;608733872;;
Ośrodek Sportu i Rekreacji m.st. Warszawy w Dzielnicy Żoliborz;(22)8324600;;
Ośrodek Sportu i Rekreacji m.st. Warszawy w Dzielnicy Żoliborz;(22)8324555;;
Centrum Wychowania Fizycznego i Sportu;(42)6655183;;
Centrum Wychowania Fizycznego i Sportu;(42)6655175;;
HALA PIŁKARSKA;(22)3236095;;
Klub Sportowy BUSHI;604308360;;
Krakowski Szkolny Ośrodek Sportowy im. Szarych Szeregów;(12)4115866;;
Krakowski Szkolny Ośrodek Sportowy im. Szarych Szeregów;(12)4117220;;
Miejski Ośrodek Sportu i Rekreacji;(32)2152706;;
Miejski Ośrodek Sportu i Rekreacji;(32)2156989;;
MOSiR Miejski Ośrodek Sportu i Rekreacji;(56)6226700;;
MOSiR Miejski Ośrodek Sportu i Rekreacji;(56)6226703;;
SanusFitness;(22)4059914;;
Słubicki Ośrodek Sportu i Rekreacji Sp. z o.o.;(95)7582501;;
Słubicki Ośrodek Sportu i Rekreacji Sp. z o.o.;(95)7584778;;
SPORT ZAKOPANE Ośrodek Przygotowań Olimpijskich w Zakopanem;(18)2632660sekretariat;;
SPORT ZAKOPANE Ośrodek Przygotowań Olimpijskich w Zakopanem;(18)2014906;;
Akademia Tai Chi Dao Yang;697693013;;
Akademicki Klub Karate AZS SHOGUN Szczecin;605060027;;
Automobilklub Krakowski;(12)4118963;;
Automobilklub Krakowski;697977279;;
Centrum Kultury Fizycznej w Brzezinach;(46)8752656-57;;
Centrum Kultury Fizycznej w Brzezinach;(46)8752646;;
Centrum Kultury i Sportu w Skawinie;(12)2762412;;
Centrum Kultury i Sportu w Skawinie;(12)2762601;;
Centrum Sportu i Rekreacji;(52)3210321;;
Centrum Sportu i Rekreacji;691121331;;
Fight Club Fanga;530903185;;
GOSiR - Kompleks Rekreacyjno-Sportowy;(61)4248600;;
GOSiR - Kompleks Rekreacyjno-Sportowy;(61)4248601;;
Klub Bokserski LEGIA Warszawa;606300493;;
Klub Karate KAMIKAZE;601884891;;
Klub Karate Kyokushin i Sportów Walki;504093457;;
Krav Maga Na Maxa;796100132;;
Legionowski Klub Sportów Walki TAJFUN;601267676;;
Lubelski Klub Karate Kyokushin;(81)5332446;;
Lubelski Klub Karate Kyokushin;665990344;;
Miejski Ośrodek Sportu i Rekreacji w Brzegu;(77)4046106;;
Miejski Ośrodek Sportu i Rekreacji w Brzegu;(77)4046109;;
Miejski Ośrodek Sportu i Rekreacji w Łańcucie;(17)2259380;;
Miejski Ośrodek Sportu i Rekreacji w Łańcucie;(17)2259381;;
Miejski Ośrodek Sportu i Rekreacji w Redzie;(58)6785802;;
Miejski Ośrodek Sportu i Rekreacji w Redzie;(58)6783164;;
Miejsko-Gminny Ośrodek Sportu i Rekreacji;785901200;;
Miejsko-Gminny Ośrodek Sportu i Rekreacji;785901202;;
OSiR Ośrodek Sportu i Rekreacji w Bielawie;(74)8339510;;
OSiR Ośrodek Sportu i Rekreacji w Bielawie;(74)8339512;;
Ośrodek Sportowo-Rekreacyjny w Zabierzowie;(12)2851154;;
Ośrodek Sportowo-Rekreacyjny w Zabierzowie;(12)2851200;;
Ośrodek Sportu i Rekreacji;(62)5860401;;
Ośrodek Sportu i Rekreacji;728454713;;
Ośrodek Sportu i Rekreacji;(46)8302028;;
Ośrodek Sportu i Rekreacji w Olsztynie;(89)5277402;;
Ośrodek Sportu i Rekreacji w Olsztynie;(89)5274510;;
Ośrodek Sportu i Rekreacji w Sierakowie;(61)2952868;;
Ośrodek Sportu i Rekreacji w Sierakowie;663312433;;
Podlaskie Centrum DEFENDO ALLIANCE;604576088;;
SHOSHIN DOJO Gdańsk;502053356;;
SOLPARK Kleszczów Sp. z o.o.;(44)7316517;;
SOLPARK Kleszczów Sp. z o.o.;(44)7316501;;
SZERMIERKA REKREACYJNA;601471311;;
Szkoła Karate-Do Fighter;608331944;;
Szkoła Karate-Do Fighter;695444416;;
Ślężański Ośrodek Kultury, Sportu i Rekreacji;(71)3162355;;
Towarzystwo Łyżwiarstwa Figurowego Walley;515184555;;
Ośrodek Kolonijny JĘDREK;(87)6433273;;
Ośrodek Kolonijny JĘDREK;600822324;;
Aquasfera GALERIA WARMIŃSKA Wodne Centrum Rekreacyjno-Sportowe;(89)5335968;;
SKIBNO Pensjonat Agroturystyczny, Jeździecki Klub Sportowy;(94)3185102;;
SKIBNO Pensjonat Agroturystyczny, Jeździecki Klub Sportowy;602217206;;
Sport-Timing;(18)2068858;;
Sport-Timing;601168858;;
Stowarzyszenie Rehabilitacyjno-Sportowe SZANSA-START GDAŃSK;(58)3000008;;
Stowarzyszenie Rehabilitacyjno-Sportowe SZANSA-START GDAŃSK;(58)7188926;;
Bialski Klub Sportowy STAL Bielsko-Biała;(33)4975263;;
Bialski Klub Sportowy STAL Bielsko-Biała;(33)4975262;;
J&J SPORT CENTER HAJTEK - SPÓŁKA JAWNA;(12)2609330;;
J&J SPORT CENTER HAJTEK - SPÓŁKA JAWNA;(12)2609365;;
Klub Sportowy Podwawelski;(12)2665405;;
Miejski Ośrodek Sportu i Rekracji MOSIR w Kielcach;(41)3676716;;
Miejski Ośrodek Sportu i Rekracji MOSIR w Kielcach;(41)3676796;;
Organizacja Zawodów Sportowych Camping POD KROKWIĄ;(18)2012256;;
Organizacja Zawodów Sportowych Camping POD KROKWIĄ;(18)2000451;;
Ośrodek Wypoczynku i Rekreacji;(17)7445454;;
Polski Związek Wushu;(22)6289084;;
Stowarzyszenie AKADEMIA SZERMIERKI;512027699;;
Klub Sportowy Konstancin;535495273;;
Klub Sportowy Konstancin;607603369;;
