BINDER B. i T.Prabuccy Sp.j.;(43)8215433;;
BINDER B. i T.Prabuccy Sp.j.;(43)8244937;;
F.P.H.U Zenter S. Motak - urządzenia pakujące;795708005;;
F.P.H.U Zenter S. Motak - urządzenia pakujące;665647217;;
FROMM;(22)8416030;;
P.H.U. MIZAR;(75)7423030;;
P.H.U. MIZAR;(75)7423035;;
Packsol Ryszard Warczyński;(61)4251373;;
Packsol Ryszard Warczyński;(61)4244182;;
TRANSACO GROUP Sp. z o.o.;(74)8335003;;
TRANSACO GROUP Sp. z o.o.;(74)8335001;;
WEGA-Elektronik Sylwester Wysocki i Wspólnicy Sp.j.;(61)8300311;;
WEGA-Elektronik Sylwester Wysocki i Wspólnicy Sp.j.;(61)8304039;;
BAT FORUM Maszyny i Technologie Sp. z o.o.;(58)5613021;;
BAT FORUM Maszyny i Technologie Sp. z o.o.;(58)5611687;;
BOKAMA;(52)3458601;;
BOKAMA;508224419;;
Euro-Band-Serwis Sp.j.;(74)8540506;;
JBM SERWIS;609900225;;
JBM SERWIS;667260504;;
Logi-Pack Malpak Sp. z o.o.;(46)8578221;;
PAKMA;(22)8125256;;
PAKMA;501534345;;
POLPAK Sp. z o.o.;(22)6144948;;
POLPAK Sp. z o.o.;(22)8118165;;
RAFIZ Strygner i Dyczkowscy Sp.j.;(48)6182828;;
RAFIZ Strygner i Dyczkowscy Sp.j.;(48)6183179;;
SIMPLEX Sp. z o.o.;(32)3220565;;
Spółdzielnia Pracy MLECZ-MASZ;(52)3255500;;
Spółdzielnia Pracy MLECZ-MASZ;(52)3255517;;
Bizera Spółka z o.o. (Eden Skład Handlowy);(22)6791035;;
Bizera Spółka z o.o. (Eden Skład Handlowy);(22)6778236;;
DI-ZET Bartosz i Anna Łowczyńscy Sp.j.;(22)5173580;;
DI-ZET Bartosz i Anna Łowczyńscy Sp.j.;(22)5173590;;
Elektromechanika Wytwarzanie Urządzeń Elektrycznych;(75)6449719;;
Elektromechanika Wytwarzanie Urządzeń Elektrycznych;603600735;;
EUROAS SYSTEMY PAKOWANIA;(15)8324028;;
EUROAS SYSTEMY PAKOWANIA;(15)8142506;;
FILMAT Producent Maszyn Pakujących;604523592;;
FILMAT Producent Maszyn Pakujących;(34)3590570-71;;
HEIRO S.c.;(17)8542040;;
Nobilla Sp. z o.o. Sp.komandytowa;(15)8414250;;
Nobilla Sp. z o.o. Sp.komandytowa;(15)8414251;;
Pol-Art Sp. z o.o.;(22)4256414;;
Pol-Art Sp. z o.o.;(22)8534738;;
Przedsiębiorstwo Wielobranżowe Torpak Mirosław Furmańczyk;(94)3416480;;
Przedsiębiorstwo Wielobranżowe Torpak Mirosław Furmańczyk;602738867;;
Serwispak;(44)7812208;;
Serwispak;509109415;;
SILNY & SALAMON Sp. z o.o.;(58)6225401;;
SILNY & SALAMON Sp. z o.o.;(58)6220135;;
TECHMAT Jan Krzemiński;(22)6626369;;
Zakład Techniki Próżniowej TEPRO S.A.;(94)3432481;;
Zakład Techniki Próżniowej TEPRO S.A.;(94)3432466;;
GRASO;(58)5625661;;
GRASO;(58)5625669;;
ITAX Sp. z o.o. Hurtownia Papieru i Tektury;(52)3718132;;
ITAX Sp. z o.o. Hurtownia Papieru i Tektury;(52)3489212;;
KRÜGER Polska Sp. z o.o.;(29)6440004;;
KRÜGER Polska Sp. z o.o.;(29)6442777;;
VERDETEC Justyna Włodarczyk;502378271;;
AGROMIX Z.P.H.;(12)2811008;;
AGROMIX Z.P.H.;(12)2811453;;
Chem-Pak ZPH Władysław Wojtczak;(24)3554557;;
Chem-Pak ZPH Władysław Wojtczak;(24)3552382;;
DELTA Jarysz;(67)2543333;;
Firma Handlowo-Produkcyjna PAK Sp. z o.o.;(56)6571110;;
Firma Handlowo-Produkcyjna PAK Sp. z o.o.;(56)6571100;;
FOLPOL R.Barczyk, J.Cygan Sp.j.;(22)7578088;;
GAL Przedsiębiorstwo Przedstawicielskie;(22)8497843;;
GAL Przedsiębiorstwo Przedstawicielskie;(22)8565500;;
Konsorcjum ANDZIAK Sp.j.;(94)3588298;;
Konsorcjum ANDZIAK Sp.j.;(94)3518180;;
MAR-PACK Wytwórnia Opakowań z Folii, Maszyny;(58)5528826;;
MAR-PACK Wytwórnia Opakowań z Folii, Maszyny;(58)5528827;;
OPAK;(94)3742002;;
OPAK;(94)3749798;;
P.P.U.H. WIZ S.c. W. i Z.Zborowski;(33)8562222;;
P.P.U.H. WIZ S.c. W. i Z.Zborowski;(33)8588341;;
P.U.H. Krzysztof Bieńkowski;(94)3737754;;
P.U.H. Krzysztof Bieńkowski;600908965;;
POLLABEL Bączek Mirosław;(22)7578339;;
POLLABEL Bączek Mirosław;793759885;;
SUPERTAPE Polska Sp. z o.o.;(61)8998991;;
SUPERTAPE Polska Sp. z o.o.;(61)8998995;;
Agencja Celna NUTKA S.c.;(22)8115707;;
Agencja Celna NUTKA S.c.;(22)7753829;;
AUTOJET;(61)8473548;;
AUTOJET;(61)8473960;;
Drukarnia EURO-DRUK;(52)3512316;;
ImtechGaz;(22)7285204;;
ImtechGaz;600391222;;
LINIA SZYCIA Mirosław Piłat;(61)8640268;;
LINIA SZYCIA Mirosław Piłat;508059435;;
Procosmetica Michał Matłoka;(67)2618691;;
Procosmetica Michał Matłoka;(67)2618699;;
PROMAR Przedsiębiorstwo Produkcyjno Handlowe Sp. z o.o.;(22)7686400-09Centrala;;
PROMAR Przedsiębiorstwo Produkcyjno Handlowe Sp. z o.o.;(22)7686481BiuroObsługiKlienta;;
Przedsiębiorstwo Wielobranżowe DREWMAX T.Sąsiadek i Wspólnicy Sp.j.;(77)4810122;;
Przedsiębiorstwo Wielobranżowe DREWMAX T.Sąsiadek i Wspólnicy Sp.j.;(77)4816251;;
Qubiqa;(67)3567010;;
Selen;(43)8282306;;
Selen;606421096;;
STAR-PAK Sp. z o.o.;(89)5330045;;
STAR-PAK Sp. z o.o.;(89)5341950;;
STELLA - Etykiety do Roślin;(25)7563999;;
STELLA - Etykiety do Roślin;600447744;;
TRANSLOG SYSTEMS Sp. z o.o.;(22)8153387;;
TRANSLOG SYSTEMS Sp. z o.o.;(22)8127728;;
WEMAPAK S.c.;(33)8534489;;
WEMAPAK S.c.;786816622;;
Zakład Usług Inżynierskich INREL Sp. z o.o.;(42)2507696;;
Zakład Usług Inżynierskich INREL Sp. z o.o.;728349954;;
Ariesgraf Firma Usługowo-Handlowa Janusz Baranek;(22)8362234;;
Ariesgraf Firma Usługowo-Handlowa Janusz Baranek;601362234;;
BART Sp. z o.o. Sp.komandytowa;(22)6662994;;
