UNITOR;(62)7512555;;
UNITOR;(62)7512205;;
"JET&JOY";609510731;;
Centrum Produkcji i Logistyki Opakowań ECO-PAL;509778940;;
Centrum Produkcji i Logistyki Opakowań ECO-PAL;512057308;;
F.H.U. KRAKMAR S.c.;(12)6507110;;
F.H.U. KRAKMAR S.c.;(12)6531880;;
PPUH RELPAL Adam Reluga;(29)6447262;;
PPUH RELPAL Adam Reluga;501545422;;
Przedsiębiorstwo Produkcyjno Handlowo Usługowe Mariusz Sysak;(77)4395965;;
Przedsiębiorstwo Produkcyjno Handlowo Usługowe Mariusz Sysak;602770876;;
Transport, Przetwórstwo Drewna Jacek Frankowski;(65)5379159;;
FUREX PHU;601369869;;
FUREX PHU;(48)6271176;;
NEPA Sp. z o.o.;(61)6334734;;
NEPA Sp. z o.o.;(61)6334737;;
RAVEN Sp. z o.o.;(95)7522026;;
RAVEN Sp. z o.o.;(95)7524117-18;;
Hal-Tech;(63)2458758;;
Hal-Tech;(63)2752883;;
IRENA S.c.;791108999;;
IRENA S.c.;791115999;;
JAR-MAN;609850891;;
P.P.H.U. A.G.H.;509866932;;
P.P.H.U. A.G.H.;603386922;;
P.W. MARKUS Jerzy Marek Sajewicz;(71)3854675;;
P.W. MARKUS Jerzy Marek Sajewicz;601882238;;
PALETEX;(65)5496218;;
PALETEX;693715709;;
SKR Krzemieniewo;(65)5366141;;
Transdrewneks Antoni Gadzała;(56)4648484;;
Transdrewneks Antoni Gadzała;(56)4648485;;
Przetwórstwo Drewna STANFOR Stanisław Formela;606891673;;
Przetwórstwo Drewna STANFOR Stanisław Formela;(58)6843531;;
Zakład Przerobu Drewna ROLBROD Witold Łoniewski;(89)6220101;;
Zakład Przerobu Drewna ROLBROD Witold Łoniewski;509667616;;
BATPOL;(18)4447288;;
BATPOL;(18)4447200;;
FALLKLANDY Stanisław i Edward Fal Sp.j.;(13)4644164;;
FALLKLANDY Stanisław i Edward Fal Sp.j.;695402140;;
Glob-Star Sp. z o.o.;(62)7691508;;
Glob-Star Sp. z o.o.;(62)7691509;;
MARES PACKAGING Co.;(61)8442211;;
MARES PACKAGING Co.;(61)8422200;;
OPAKODREW PPHU Sp. z o.o.;(32)2454444;;
OPAKODREW PPHU Sp. z o.o.;(32)7333991;;
Rozlewnia Wód Źródlanych Przedsiębiorstwo ŻYWIEC PERŁA Pękala Andrzej i Helena Sp.j.;(33)8641405;;
Rozlewnia Wód Źródlanych Przedsiębiorstwo ŻYWIEC PERŁA Pękala Andrzej i Helena Sp.j.;(33)8641809;;
WYKRO-TEC URZĄDZENIA DLA LOGISTYKI I PRZEMYSŁU SP. Z O.O.;(62)7320011;;
WYKRO-TEC URZĄDZENIA DLA LOGISTYKI I PRZEMYSŁU SP. Z O.O.;(62)7320012;;
WEST-MALL;534833961;;
Zakład Stolarski Anna Dobrzyńska-Sałek;604960069;;
Zakład Stolarski Anna Dobrzyńska-Sałek;(48)3221374;;
AC-PAL Artur Ciszewski;603801588;;
Adamus WPH;(62)7312910;;
Adamus WPH;(62)7312911;;
AGA-TRANS Artur Rojek;504517531;;
Alder s.c. BLASZCZYK M.J.;600393973;;
ALEJA;(61)8301666;;
ALEJA;604171756;;
BOHAR PALETY - Skup Palet 24h;511523590;;
BPR Sp. z o.o.;(22)5440532;;
BPR Sp. z o.o.;(22)6434677;;
CENTERPAL;502645075;;
CENTERPAL;(22)8377461;;
CEZAR;606666395;;
CEZAR;(22)7404173;;
CMC Sp. z o.o.;(33)8751445;;
CMC Sp. z o.o.;(33)8753166;;
DAGNES;502290511;;
DAMAG Wielkopolski Serwis Paletowy;(61)8682342;;
DAMAG Wielkopolski Serwis Paletowy;501081234;;
Drew-Mat Sp. z o.o.;(94)3126470;;
Drew-Mat Sp. z o.o.;(94)3124889;;
EMPOL Sp. z o.o.;(62)7631460;;
EMPOL Sp. z o.o.;(62)7631465;;
EP Serwis S.A.;(48)3820521;;
EP Serwis S.A.;(48)3820522;;
EUROAS;666018759;;
EUROAS;(22)6728067;;
Europejski Serwis Paletowy S.c.;519767853;;
EUROSERVICE S.c.;(91)4358302;;
EUROSERVICE S.c.;501563939;;
F.P.H.U DREW-POL Jan Kabacik;(33)8641044;;
F.P.H.U DREW-POL Jan Kabacik;695931309;;
F.U.T. KUBIAK-POL Kubiak Grzegorz;601056667;;
FHU ELHANDUS S.c.;(12)4197000;;
FHU ELHANDUS S.c.;(12)4197035;;
FHU Robex;508070555;;
FHU Robex;508070444;;
Firma Handlowa PALPOL SOCHALA Sp.j.;(42)6535459;;
