Firma Handlowo Usługowa TORN;502143104;;
PROAUTO Sp. z o.o.;(91)4858899;;
Przedsiębiorstwo MODEX-OIL;(55)2794251;;
Przedsiębiorstwo MODEX-OIL;(55)2794444;;
Atut Przedsiębiorstwo Wielobranżowe Sp. z o.o.;(61)4444580;;
Atut Przedsiębiorstwo Wielobranżowe Sp. z o.o.;(61)4444582;;
Centralne Smarowanie;501193336;;
Centralne Smarowanie;(22)4230464;;
EXPAND;(55)2725804;;
EXPAND;602506545;;
IMIX Szymanek Sebastian;506040196;;
IMIX Szymanek Sebastian;(22)3010283;;
Importer Formuły i Producent - PLASTMAL Polska;(22)8126096;;
Importer Formuły i Producent - PLASTMAL Polska;(22)8127279;;
Jednostka Innowacyjno-Wdrożeniowa PETROL S.c.;(24)2626928;;
Jednostka Innowacyjno-Wdrożeniowa PETROL S.c.;(24)2647537;;
JUTECH Sp. z o.o.;(71)3418525;;
JUTECH Sp. z o.o.;(71)3418476;;
Łącko Company S.c.;(18)4723102Diagnostyka;;
Łącko Company S.c.;(18)4723101StacjaPaliw;;
OKTAN Sp.j.;(59)8113478;;
OKTAN Sp.j.;(59)8113944;;
OLEUM Sp. z o.o.;(33)8568321;;
OLEUM Sp. z o.o.;(33)4796319;;
PHU BIOEKOL;603743528;;
PHU BIOEKOL;601322681;;
Proarp Sp. z o.o.;(32)2701851;;
Proarp Sp. z o.o.;607507688;;
Przedsiębiorstwo Handlowo-Transportowe TRACOM Sp. z o.o.;(89)7410780;;
Przedsiębiorstwo Handlowo-Transportowe TRACOM Sp. z o.o.;(89)7410750;;
TANKPOL R.Mosio i Wspólnicy Sp.j.;(14)6440120;;
TANKPOL R.Mosio i Wspólnicy Sp.j.;(14)6440121;;
VERA Sp. z o.o.;(52)5810101;;
VERA Sp. z o.o.;(52)5819715;;
Z.P.U.H. STILLA Stanisław Kępiński;(67)2664405;;
Z.P.U.H. STILLA Stanisław Kępiński;(67)2664412;;
Centrum Paliw i Rozpuszczalników Sp. z o.o.;(61)4360426;;
Centrum Paliw i Rozpuszczalników Sp. z o.o.;(61)4362421;;
CRYSPOL Sp. z o.o.;(52)3724538;;
CRYSPOL Sp. z o.o.;698663664;;
DAMO PLUS Sp. z o.o. Sp.komandytowa;(46)8301780;;
DAMO PLUS Sp. z o.o. Sp.komandytowa;(46)8301799;;
EKONAFT;(48)3627362;;
EKONAFT;660696003;;
F.H. Ka-Ma Magdalena Cholewik;(33)8455824;;
F.H. Ka-Ma Magdalena Cholewik;509124162;;
Handel Hurt Usługi Piotr Żuchowski;(58)3443092;;
Handel Hurt Usługi Piotr Żuchowski;602223935;;
IMSO Ki Sp. z o.o.;(94)3471860;;
IMSO Ki Sp. z o.o.;(94)3471861;;
Naftpol Sp.j.;(52)3824350;;
Naftpol Sp.j.;693555222;;
ORLEN Centrum Serwisowe Sp. z o.o.;(77)4515100;;
ORLEN Centrum Serwisowe Sp. z o.o.;(77)4515112;;
ORLEN OIL Sp. z o.o.;(12)6655500;;
ORLEN OIL Sp. z o.o.;(12)6655501;;
P.P.H. Dexpol S.A.;(71)7931302;;
P.P.H. Dexpol S.A.;(71)7931309(detalihurtpaliw);;
P.P.H.U. RAWSKI Witold Rawski;(22)7892058;;
P.P.H.U. RAWSKI Witold Rawski;(22)7896390;;
P.P.U.H. Milex Sp. z o.o.;(32)7396317;;
P.P.U.H. Milex Sp. z o.o.;(32)7396318;;
RETECH Polska Sp. z o.o.;(61)8107559;;
TROPOIL Przedsiębiorstwo Usługowo-Handlowe;(61)6524040;;
TROPOIL Przedsiębiorstwo Usługowo-Handlowe;(61)6524654;;
ALL SEASONS Polska Sp. z o.o.;(42)2920110;;
ALL SEASONS Polska Sp. z o.o.;513100077;;
ARON Sp. z o.o.;(41)3468310;;
ARON Sp. z o.o.;604605757;;
BGW Wielobranżowe Przedsiębiorstwo Handlowe Sp. z o.o.;(61)8725800;;
BGW Wielobranżowe Przedsiębiorstwo Handlowe Sp. z o.o.;(61)2973300;;
Biuro Handlowe INTERCO Sp. z o.o.;(32)2090249;;
Biuro Handlowe INTERCO Sp. z o.o.;(32)2552517;;
Car Oil;(71)7867004;;
Car Oil;606870176;;
Dolnośląskie Centrum Olejowe Roman Majka;(71)3147878;;
Dolnośląskie Centrum Olejowe Roman Majka;601512868;;
EKOPOL Górnośląski Holding S.A.;(32)3892550;;
EKOPOL Górnośląski Holding S.A.;(32)3892560;;
EXPLONAFT Sp. z o.o.;(22)2113305;;
EXPLONAFT Sp. z o.o.;(22)2113307;;
F.H.U. OIL-CHEM Wiesław Adriańczyk;(54)2841935;;
F.H.U. OIL-CHEM Wiesław Adriańczyk;500114648;;
KDM Polska Sp. z o.o. Sp.komandytowa;606619856;;
KDM Polska Sp. z o.o. Sp.komandytowa;(71)3261121;;
MAX-OIL;(75)6480303;;
MAX-OIL;601204037;;
MKAJ SKORUPA Sp. z o.o.;(42)7120250;;
MKAJ SKORUPA Sp. z o.o.;(42)7123813;;
NAFTOCHEM;(12)4214942;;
NAFTOCHEM;(12)4215908;;
NR OIL;(032)2765883;;
OIL-TRANS Sp. z o.o.;(71)3289601;;
OIL-TRANS Sp. z o.o.;(71)3289328;;
ORLE MONT-BUD Sp. z o.o.;(61)4156439;;
ORLE MONT-BUD Sp. z o.o.;(61)4156438;;
P.H.U. AGRATANK;501612131;;
P.H.U. FALKO-OIL;(85)7419580;;
P.H.U. FALKO-OIL;(85)7419581;;
P.H.U. PETROL-COM;(52)3810013;;
P.H.U. PETROL-COM;728935599;;
Petro Energia;(44)7144044;;
Petro Energia;(44)7144045;;
Platinum Oil Wielkopolskie Centrum Dystrybucji Sp. z o.o.;(61)8162600;;
Platinum Oil Wielkopolskie Centrum Dystrybucji Sp. z o.o.;(61)8162601;;
Pol-Oil Corporation Sp. z o.o.;(22)8650713;;
Pol-Oil Corporation Sp. z o.o.;(22)8652662;;
Przedsiębiorstwo Usługowo-Handlowe BIS Sp.j.;(62)7912400;;
Przedsiębiorstwo Usługowo-Handlowe BIS Sp.j.;(62)7912401;;
PW Pro-Service Sp. z o.o.;(77)4104031;;
TARNAWA Robert Gorzkowski;(22)7205257;;
Zakład Produkcyjno-Handlowy CORRECT Sp.j.;(94)3433859;;
Zakład Produkcyjno-Handlowy CORRECT Sp.j.;665804111;;
PETROL Sp. z o.o.;(32)2142978;;
PETROL Sp. z o.o.;602438608;;
MANTIS;793151745;;
MANTIS;(91)4607792;;
PETROL Sp. z o.o.;(71)3166172;;
PETROL Sp. z o.o.;(71)3167086;;
MOTOKOM;(54)4120810;;
MOTOKOM;502573111;;
Przedsiębiorstwo Handlowo-Usługowe VENTO;(12)4102850;;
Przedsiębiorstwo Handlowo-Usługowe VENTO;(12)4102851;;
AUTOMARK Sp. z o.o.;(43)8236705;;
AUTOMARK Sp. z o.o.;(43)8236891;;
BALTCHEM S.A. Zakłady Chemiczne w Szczecinie;(91)4624342;;
BALTCHEM S.A. Zakłady Chemiczne w Szczecinie;(91)4624351;;
BP Techem S.A.;(22)4896500;;
BP Techem S.A.;(22)4896555;;
Excor Sp. z o.o.;(42)6335373;;
F.H. KRYSTYNA;(22)4998035-36;;
F.H. KRYSTYNA;(22)8680009;;
F.U.H. AL-EKO Aniela Reiske;(94)3470843;;
F.U.H. AL-EKO Aniela Reiske;(94)3470848;;
Firma Handlowa MARCO-POLO;(32)6455271;;
Firma Handlowa MARCO-POLO;(32)6455171;;
Firma NOVA Krzysztof Dybczak;(33)8165490;;
Firma NOVA Krzysztof Dybczak;506033824;;
GEMMA Sp.j. Maciej Gąsiorek, Leszek Mlekodaj;(12)2703276;;
GEMMA Sp.j. Maciej Gąsiorek, Leszek Mlekodaj;(12)2703737;;
HIL-GAZ;(61)4254853;;
HIL-GAZ;607607406;;
JOW-POL Józef Owsik;(75)7719188;;
MOTOMARK;(43)8224557Sprzedaż;;
MOTOMARK;(43)8225149SzybkiSerwis;;
PHU MAKO Mały Sp.j.;(68)3566775;;
PHU MAKO Mały Sp.j.;(68)3567238;;
PKS - Przedsiębiorstwo Komunikacji Samochodowej Sieradz Sp. z o.o.;(43)8266311;;
PKS - Przedsiębiorstwo Komunikacji Samochodowej Sieradz Sp. z o.o.;(43)8221523;;
PKS Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Grójcu;(48)6642021;;
PKS Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Grójcu;(48)6642022;;
Przedsiębiorstwo Handlowo-Usługowo-Produkcyjne AMAROL;(44)6326266;;
Przedsiębiorstwo Handlowo-Usługowo-Produkcyjne AMAROL;600048441;;
Serwis Samochodów Dostawczych ASA.MISIARZ - naprawy Fiat Ducato, Iveco Daily;(71)7859642;;
Serwis Samochodów Dostawczych ASA.MISIARZ - naprawy Fiat Ducato, Iveco Daily;(71)7173468;;
Towarzystwo Gospodarcze MEGART Sp. z o.o.;(32)2260448;;
Towarzystwo Gospodarcze MEGART Sp. z o.o.;(32)7385130;;
UNIVAR Poland Sp. z o.o.;(22)2793585;;
UNIVAR Poland Sp. z o.o.;(22)2793560;;
Auto-Moto Ryszard Skowroński;(58)6833462;;
Auto-Moto Ryszard Skowroński;(58)6822428;;
AVIP - Kompleksowe Wyposażenie Warsztatów;662019111;;
CHEMTECH Zakład Zaopatrzenia Technicznego;(32)3304224;;
CHEMTECH Zakład Zaopatrzenia Technicznego;(32)3317523;;
ENERGOPAL Sp.j. Produkty Naftowe Jan Szudy, Wojciech Szudy;(13)4486150;;
ENERGOPAL Sp.j. Produkty Naftowe Jan Szudy, Wojciech Szudy;(13)4437032-kierownikstacji;;
ETON Przedsiębiorstwo Usługowo-Handlowe;(13)4341103;;
FALCO Mazurkiewicz, Gwiazda Sp.j.;(89)5333480;;
FALCO Mazurkiewicz, Gwiazda Sp.j.;(89)5330361;;
Firma KiM S.c. Józef Klinowski;(33)8652210;;
Firma KiM S.c. Józef Klinowski;601437687;;
Firma Transportowa TRANSMAR Marian Matłok;(71)3120102;;
Firma Transportowa TRANSMAR Marian Matłok;(71)3872777;;
GAZ PETROL Sp. z o.o.;(71)3166172;;
GAZ PETROL Sp. z o.o.;515204799;;
GRAND Andrzej Grygiel;(18)4417056;;
GRAND Andrzej Grygiel;(18)4443166;;
Handel International Spedition POZNACHOWSKI Sp. z o.o.;(95)7207347;;
Handel International Spedition POZNACHOWSKI Sp. z o.o.;(95)7202668;;
MPO Sp. z o.o.;(85)6768300;;
MPO Sp. z o.o.;(85)6768301;;
PETROL Sp. z o.o.;(77)4022500;;
PETROL Sp. z o.o.;(77)4022506;;
PKS - Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Wałczu;(67)2583271;;
PKS - Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Wałczu;(67)2583046;;
Przedsiębiorstwo REMAT Sp. z o.o.;(12)4215401;;
Przedsiębiorstwo Wielobranżowe MELIX Sp. z o.o.;(82)5655569;;
Przedsiębiorstwo Wielobranżowe MELIX Sp. z o.o.;(82)5654059;;
Techplast Sp. z o.o.;(17)7835712;;
Techplast Sp. z o.o.;(17)8642016;;
TRANS-WIERT Sp. z o.o.;(13)4468066;;
TRANS-WIERT Sp. z o.o.;(13)4468240;;
ABS Serwis Sp. z o.o.;601444162;;
Ad Moto Rafał Zawisz;(32)7856604;;
Ad Moto Rafał Zawisz;604580907;;
Auto Części Sławomir Skulski;(71)3423056;;
Auto Części Sławomir Skulski;697066789;;
AUTO MARKET Andrzej Jocz;(52)3404397;;
AUTO MARKET Andrzej Jocz;509506886;;
Auto Stop Bary i Hotele Polskie Sp. z o.o.;(12)2855800;;
Auto Stop Bary i Hotele Polskie Sp. z o.o.;(12)2855880;;
BEHEMOT S.c.;(33)8436671;;
BEHEMOT S.c.;509925709;;
Hegmar Sp.j. Henryk i Marek Wiśniewscy, Grzegorz Siewodnik;(52)3318505;;
