DOLINA SKRZATÓW;796725796;;
ZATORLAND Parki Rozrywki;667979220;;
ZATORLAND Parki Rozrywki;601858851;;
Bałtycki Park Dinozaurów;512847478;;
Bałtycki Park Dinozaurów;512847490;;
Lunapark Maja;(56)6556842;;
Lunapark Maja;663744493;;
NO ESCAPE;570902270;;
PARK BAJEK;783959868;;
Pracownia Plastyczna Krzysztof Kuchnio;(95)7511034;;
Pracownia Plastyczna Krzysztof Kuchnio;692484992;;
Praski Pokój Zagadek;605058606;;
SILVERADO CITY Miasteczko Westernowe;570790509;;
SILVERADO CITY Miasteczko Westernowe;519766206;;
GOSiR - Kompleks Rekreacyjno-Sportowy;(61)4248600;;
GOSiR - Kompleks Rekreacyjno-Sportowy;(61)4248601;;
Escape Room Wola Ucieczki;570120122;;
SKOKOLOCO Park Trampolin;733139266;;
Adrenalina Park S.c.;501241213;;
Adrenalina Park S.c.;504251317;;
Alfa Laser Game;669445685;;
ALUZJA Escape The Room;791848243;;
BingoBongo;796502301;;
BLACK CAT Escape Room;505909636;;
BLUBRY - Poznańskie Legendy w 6D;(61)3070446;;
BLUBRY - Poznańskie Legendy w 6D;501530212;;
BREAK THE BRAIN Escape Room;530506999;;
Centrum Rozrywki i Rekreacji AGROTOUR;505809685;;
Centrum Rozrywki i Rekreacji AGROTOUR;509861434;;
DELI Park;(61)8195262;;
Dino Park;(55)3070700;;
Dino Park;(55)3070800;;
DINOPARK Park Dinozaurów Szklarska Poręba Sp. z o.o.;795577755;;
DINOPARK Park Dinozaurów Szklarska Poręba Sp. z o.o.;666077885;;
DOM ZAGADEK;884884839;;
DREAM PARK Ochaby;(33)8510555;;
DREAM PARK Ochaby;665201051;;
DZIKI ZACHÓD Centrum Rozrywki i Jazdy Konnej;602606177;;
DZIKI ZACHÓD Centrum Rozrywki i Jazdy Konnej;604911157;;
Egzotarium Dolina Gadów;514908336;;
ENERGYLANDIA;(33)4861500;;
ENERGYLANDIA;724222000;;
ENIGMA Escape Rooms;794674274;;
ESC ROOM;508270662;;
ESCAPE GAME;793969512;;
ESCAPE GAME;793111265;;
ESCAPE ROOM Koszalin;530770260;;
ESCAPE ROOM Szczecin;506536996;;
ESCAPE ROOM Szczecin;500347468;;
EXIT - Walkout Real Escape Games;505453551;;
EXIT ROOM;790369796;;
eXit19.pl;600407862;;
EXITchampions;606151534;;
EXITchampions;606198558;;
FARMA ILUZJI Sp. z o.o.;(22)8125718;;
FARMA ILUZJI Sp. z o.o.;(22)8721902;;
Firma Handlowo-Usługowa GRAN;664614608;;
FUN ARENA Centrum Rekreacyjno-Sportowe;(58)7688444;;
FUN ARENA Centrum Rekreacyjno-Sportowe;733870870;;
Great Escape Room Warszawa;504049445;;
Grupa DOMINO;796725796;;
HouseEscape.pl;690575782;;
Inspiro - HURRY UP;510171107;;
INWAŁD PARK Park Miniatur Świat Marzeń;515106090;;
INWAŁD PARK Park Miniatur Świat Marzeń;515107090;;
JETZ Sp. z o.o. EXIT PLAN Escape Room;607646111;;
JIGSAW ROOMS Pokoje Zagadek;515264317;;
JULMIKO;603532366;;
JumpWorld Park Trampolin;733799917;;
Jurajski Park Dinozaurów;601920701rezerwacjawycieczek;;
Jurajski Park Dinozaurów;695927736biuro;;
JuraPark Bałtów;(41)2641421;;
JuraPark Bałtów;(41)2641420;;
Kaszubski Park Miniatur;505136658;;
Kaszubski Park Miniatur;502499106;;
KLAUSTROMANIA;505973988;;
KŁÓDKA - Real Life Escape Game;531543336;;
Kraina Świętego Mikołaja;(46)8747686;;
Kraina Świętego Mikołaja;(46)8747686w.116;;
Kraina Westernu Sarnowa Góra Sp. z o.o.;693464753;;
Kraina Westernu Sarnowa Góra Sp. z o.o.;607813077;;
KRASNAL Europark Sp. z o.o.;602294328;;
KRASNAL Europark Sp. z o.o.;(52)3815280;;
LABIRYNT ZAGADEK;882663422;;
LASER-WAR Laserowe Centrum Rozrywki;(22)7321383;;
LEONARDIA Park Edukacji i Rozrywki;501042503;;
LEONARDIA Park Edukacji i Rozrywki;509863632;;
Lock2Unlock.pl Escape Room;(22)1183062;;
LOGIC ROOM;789056442;;
LOGICAL MAZE - Kamiennogórskie Centrum Rozrywki;501584456;;
LOGICAL MAZE - Kamiennogórskie Centrum Rozrywki;691358758;;
LOST ROOM;690022547;;
LOST ROOM;792058762;;
Lunapark DINOLAND;502252385;;
Lunapark PLANETA;725205600;;
LUNAPARK SOWIŃSKI;502524226;;
LUNAPARK SOWIŃSKI;517835165;;
ŁEBA PARK;600145300;;
MAZUROLANDIA;693616083;;
MAZUROLANDIA;513125283;;
Miasteczko Jack`s City;(71)3469288;;
Miasteczko Rozrywki ZDZIŚ;505042033;;
Miasteczko Rozrywki ZDZIŚ;502259829;;
Miasteczko Westernowe MRONGOVILLE Sp. z o.o.;669536888;;
MIND ESCAPE;531831331;;
MONTOWNIA ZAGADEK Escape Room;665662006;;
MONTOWNIA ZAGADEK Escape Room;603247088;;
MrEscape;506760033;;
MYSTERIOUS ROOM;570666616;;
MYSTERY ROOMS;(22)4688884;;
NIBYLANDIA;508929190;;
Noclegi Texas w Miasteczku Westernowym Twinpigs;(32)4160888;;
OCEAN PARK;606422994;;
OUTROOM;790692155;;
Park Dinozaurów w Karłowie;691320118;;
Park Dinozaurów w Karłowie;695060118;;
Park Edukacyjno-Rozrywkowy INDIANIE ŚWIATA;(42)2796067;;
Park Edukacyjno-Rozrywkowy INDIANIE ŚWIATA;668126434;;
Park Edukacyjno-Rozrywkowy MIKROKOSMOS;669828900;;
Park Edukacyjny Zoo - Egzotyczne Kaszuby;600342128;;
Park Fantasia S.A.;(22)8353000;;
Park Fantasia S.A.;(22)8353007;;
Park Jurajsko-Botaniczny DINO-PARK;(46)8747686;;
Park Jurajsko-Botaniczny DINO-PARK;(46)8740553;;
PARK KRASNALA;512266009;;
PARK KRASNALA;500236871;;
Park Miniatur CHOCIELEWKO ZIELONY DWÓR;663261983;;
Park Miniatur CHOCIELEWKO ZIELONY DWÓR;697483009;;
Park Miniatur i Kolejek;510081476;;
Park Miniatur i Kolejek;502284588;;
Park Miniatur Latarni Morskich;691977977;;
Park Miniatur OGRODZIENIEC;(32)6723092;;
Park Miniatur OGRODZIENIEC;784744737;;
Park Miniatur Sakralnych ZŁOTA GÓRA;605870790;;
Park Miniatur Sakralnych ZŁOTA GÓRA;691315360;;
Park Miniatur Zabytków Dolnego Śląska;(75)7522242;;
Park Miniatur Zabytków Dolnego Śląska;661699699;;
Park Miniatur ZABYTKÓW PODLASIA;604218864;;
Park Owadów OWADOGIGANT;600839908;;
Park Owadów OWADOGIGANT;606729340;;
PARK PINOKIA;(12)2783614;;
PARK PINOKIA;668031352;;
Park Rekreacji Zoom Natury;784529688;;
Park Rekreacji Zoom Natury;664028176;;
Park Rekreacyjno-Edukacyjny SEA PARK SARBSK;881727969;;
Park Rekreacyjno-Edukacyjny SEA PARK SARBSK;502206270;;
Park Rozrywki DINOLANDIA;(33)8703113;;
Park Rozrywki i Miniatur SABAT KRAJNO;(41)3127711;;
Park Rozrywki i Miniatur SABAT KRAJNO;505505654;;
Park Rozrywki i Park Linowy;669160098;;
Park Rozrywki i Park Linowy;510527034;;
Park Rozrywki PEPELAND;(22)7512627;;
Park Rozrywki PEPELAND;(22)7516603;;
Park Rozrywki RODZINKA;508522684;;
Park Rozrywki RODZINKA;508522686;;
Park Rozrywki SMOKOLAND;(32)6121285;;
Park Rozrywki SMOKOLAND;603373467;;
Park Rozrywki Warszawa;501705969;;
Park Rozrywki Warszawa;517194510;;
Park Trampolin JUMPCITY;(58)3800770;;
PARK WIELORYBA;503005533;;
PARKI TEMATYCZNE S.c.;664713358;;
PUZZLES ESCAPE;797136378;;
PUZZLES ESCAPE;502527328;;
QUEST HUNT - Pracownia Usług Niebanalnych;792672341;;
RABKOLAND Rodzinny Park Rozrywki;(32)2588467całyrok;;
RABKOLAND Rodzinny Park Rozrywki;(18)2676957wsezonie;;
Rodzinny Park Atrakcji;500110220;;
Rodzinny Park Atrakcji;730060402;;
Rodzinny Park Rozrywki ESPLANADA Sp. z o.o.;502425853;;
Rodzinny Park Rozrywki ESPLANADA Sp. z o.o.;(75)7428717;;
ROOM ESCAPE Warszawa;503966012;;
SECRET CHAMBER Pokój Zagadek;799189122;;
SEKRETNY POKÓJ;668821917;;
SHARE_LOCK;510655432;;
SHARE_LOCK;782645739;;
Stroński Park Aktywności JASKINIA NIEDŹWIEDZIA Sp. z o.o.;(74)8141604;;
Stroński Park Aktywności JASKINIA NIEDŹWIEDZIA Sp. z o.o.;(74)8142909;;
Śląskie Wesołe Miasteczko;666031196;;
THE MYSTERY ROOM;518292001;;
TKALNIA ZAGADEK;796003123;;
TRAPPED - Exit Room;665580643;;
UWIĘZIENI;512540277;;
Western Ranch;(75)7619560;;
Western Ranch;601911817;;
Wioska Indiańska w Jurowcach;(85)6522816;;
Wioska Indiańska w Jurowcach;606101238;;
ZAGWOZDKA;515671111;;
Zamknieciwpokoju.pl;530925950;;
Zaurolandia Park Dinozaurów;(52)3185958;;
Zaurolandia Park Dinozaurów;663023881;;
ZEBRA PROJEKT Gry Mobilne Sp. z o.o. Crimeplace.pl;602893108;;
ZEBRA PROJEKT Gry Mobilne Sp. z o.o. Crimeplace.pl;507170003;;
ZWIERZYNIEC Park Rozrywki;(81)7561556;;
ZWIERZYNIEC Park Rozrywki;668854091;;
ARLEKIN Park Rozrywki;502738176;;
ARLEKIN Park Rozrywki;501551078;;
Centrum Rozrywki JURA, Park KOLEJOWY;(32)6735124;;
Centrum Rozrywki JURA, Park KOLEJOWY;(32)6710529;;
Europejskie Centrum Bajki im.Koziołka Matołka;(41)3765088;;
Europejskie Centrum Bajki im.Koziołka Matołka;(41)3765072;;
FunPark DIGILOO;508800029;;
FunPark DIGILOO;508800773;;
MAKUMBA Park Linowy;664830409;;
MINI ZOO;(83)3781281;;
MINI ZOO;600044617;;
Nenufar Club Sp. z o.o.;695741212;;
P.H.U. ANMIROS Andrzej Derlecki;515236867;;
P.H.U. ANMIROS Andrzej Derlecki;505152507;;
PAINTBALL ARENA - MALAWA FUNPARK;791486451;;
PAINTBALL ARENA - MALAWA FUNPARK;794982874;;
Party Studio;(91)8125547;;
RANCZO w DOLINIE;(46)8573019;;
RANCZO w DOLINIE;600669162;;
Sielska Zagroda;607819781;;
Sielska Zagroda;733800002;;
Wodna Kraina;512464836;;
Wodna Kraina;512464846;;
Wyspa Skarbów;(91)3221515;;
Wyspa Skarbów;503700077;;
