Centrum Sportu i Rekreacji w Konstantynowie Łódzkim;(42)2111905;;
AQUARIUM Centrum Fit;(46)8154055;;
AQUARIUM Centrum Fit;(46)8154088;;
Aquasfera GALERIA WARMIŃSKA Wodne Centrum Rekreacyjno-Sportowe;(89)5335968;;
Centrum Rekreacji Wodnej AQUA-PIL Sp. z o.o.;(67)2117340;;
Centrum Rekreacji Wodnej AQUA-PIL Sp. z o.o.;(67)2117366;;
Oleśnicki Kompleks Rekreacyjny ATOL Sp. z o.o.;(71)7823970;;
Pływalnia ATLANTIS;(61)8276070;;
Pływalnia ATLANTIS;(61)8276071;;
Zespół Basenów Delfin w Ustrzykach Dolnych;(13)4613186;;
Zespół Basenów Delfin w Ustrzykach Dolnych;(13)4614551;;
Aquapark;(77)4045585;;
Aquapark;(77)4045586;;
Basen AGH;(12)6174841;;
Kozienickie Centrum Rekreacji i Sportu;(48)6117200;;
Kozienickie Centrum Rekreacji i Sportu;(48)6117202;;
Park Wodny RELAX;(94)3657273;;
PŁYWALNIA MIEJSKA w Ożarowie Mazowieckim;(22)7210329;;
Ośrodek Sportu i Rekreacji m.st. Warszawy w Dzielnicy Żoliborz;(22)8324600;;
Ośrodek Sportu i Rekreacji m.st. Warszawy w Dzielnicy Żoliborz;(22)8324555;;
Słubicki Ośrodek Sportu i Rekreacji Sp. z o.o.;(95)7582501;;
Słubicki Ośrodek Sportu i Rekreacji Sp. z o.o.;(95)7584778;;
Centrum Kultury Fizycznej w Brzezinach;(46)8752656-57;;
Centrum Kultury Fizycznej w Brzezinach;(46)8752646;;
Centrum Kultury i Sportu w Skawinie;(12)2762412;;
Centrum Kultury i Sportu w Skawinie;(12)2762601;;
Centrum Rekreacji i Rehabilitacji Le Soleil;(22)6490087;;
Centrum Rekreacji i Rehabilitacji Le Soleil;602551278;;
Fitness Club Monte24;(91)4501554;;
Kryta Pływalnia NEMO;(41)3335101;;
Kryta Pływalnia NEMO;(41)3335100;;
Miejski Ośrodek Sportu i Rekreacji w Łańcucie;(17)2259380;;
Miejski Ośrodek Sportu i Rekreacji w Łańcucie;(17)2259381;;
OSiR Ośrodek Sportu i Rekreacji w Bielawie;(74)8339510;;
OSiR Ośrodek Sportu i Rekreacji w Bielawie;(74)8339512;;
Ośrodek Sportowo-Rekreacyjny w Zabierzowie;(12)2851154;;
Ośrodek Sportowo-Rekreacyjny w Zabierzowie;(12)2851200;;
Ośrodek Sportu i Rekreacji;(62)5860401;;
Ośrodek Sportu i Rekreacji;728454713;;
Ośrodek Sportu i Rekreacji w Olsztynie;(89)5277402;;
Ośrodek Sportu i Rekreacji w Olsztynie;(89)5274510;;
SOLPARK Kleszczów Sp. z o.o.;(44)7316517;;
SOLPARK Kleszczów Sp. z o.o.;(44)7316501;;
Akwarium Centrum Rozrywki dla Dzieci;607827228;;
AQUA CENTRUM Kaszubskie Centrum Sportowo-Rekreacyjne Sp. z o.o.;(58)6802590;;
AQUA CENTRUM Kaszubskie Centrum Sportowo-Rekreacyjne Sp. z o.o.;722022268;;
Aqua Park Łódź FALA Sp. z o.o.;(42)6860235;;
Aqua Park Zakopane;(18)2025815;;
Aqua Park Zakopane;(18)2001122;;
AQUA VIDA Kompleks Rehabilitacyjno-Basenowy;602423790;;
AQUA VIDA Kompleks Rehabilitacyjno-Basenowy;604505233;;
AQUA Żyrardów Sp. z o.o.;(46)8541646;;
AQUA-TUR Sp. z o.o.;(94)3729628;;
AQUA-TUR Sp. z o.o.;(94)3729627;;
AQUADROM Sp. z o.o.;(32)7973600-02;;
AquaFit KABATY;(22)8595106;;
Aquapark Fala;(22)7720089;;
Aquapark GRANIT;(71)7902630;;
AQUAPARK KALISZ Sp. z o.o.;(62)5986709;;
AQUAPARK KALISZ Sp. z o.o.;(62)5986701;;
Aquapark Kutno;(24)3575600;;
Aquapark Kutno;(24)3575601;;
AQUAPARK LEŚNA;503131402;;
Aquapark Ostróda;(89)6420552;;
AQUAPARK Polkowice S.A.;(76)7462770;;
AQUAPARK Polkowice S.A.;(76)7462711;;
Aquapark Radom;(48)3853050;;
AQUAPARK Suwałki;(87)5626222;;
AQUAPARK Suwałki;(87)5626221;;
Aquapark Wągrowiec Sp. z o.o.;(67)2685555;;
Aquapark Wągrowiec Sp. z o.o.;(67)2685199;;
AquaPark WESOLANDIA;(22)7739191;;
AquaPark WESOLANDIA;(22)7739229;;
Basen Człuchów;(59)8222065;;
Basen DELFIN;(62)7677270-71;;
Basen Gdynia Karwiny;(58)6295115;;
Basen Kawęczyńska;(22)6700230;;
Basen Kawęczyńska;(22)5900707;;
Basen Kąpielowy w Andrychowie;(33)8752153;;
Basen Miejski w Chojnowie;(76)8549641;;
Basen Miejski w Chojnowie;(76)8549617;;
Basen NA FALI;(89)6151303;;
Basen Na Fali;(61)6708722;;
Basen Na Fali;606429700;;
Basen Porażyn;665096620;;
Basen PRAWY BRZEG;791401102;;
Centrum Park Chojnice Sp. z o.o.;(52)3966444;;
Centrum Park Chojnice Sp. z o.o.;(52)3966446;;
Centrum Rekreacji Wodnej i Sportu Strzelec;(77)4109410;;
Centrum Rekreacji Wodnej i Sportu Strzelec;(77)4632571;;
Centrum Rekreacyjno-Sportowe Zielona Góra;(68)4125000;;
Centrum Rekreacyjno-Sportowe Zielona Góra;(68)4125001;;
Centrum Sportowe U JEZUITÓW Sp. z o.o.;(58)6618433recepcja;;
Centrum Sportowe U JEZUITÓW Sp. z o.o.;(58)7141277biuro;;
Centrum Sportowo-Rehabilitacyjne SŁOWIANKA Sp. z o.o.;(95)7338500;;
Centrum Sportowo-Rehabilitacyjne SŁOWIANKA Sp. z o.o.;(95)7338502;;
Centrum Turystyczno-Rekreacyjne w Iławie;(89)6420551;;
Centrum Turystyczno-Rekreacyjne w Iławie;(89)6401245;;
Centrum Turystyki i Rekreacji DELFIN;(77)4102489;;
Centrum Wodne AQUARIUS;(12)2723132;;
Centrum Wodne AQUARIUS;(12)2723279;;
Centrum Wodne LAGUNA;(91)4153240;;
Centrum Wodne LAGUNA;(91)4153269;;
Family Park BALTICLANDIA;(94)3143426;;
Family Park BALTICLANDIA;(94)3145500;;
Gminny Ośrodek Sportu i Rekreacji w Miedźnej z siedzibą w Woli;(32)4488931;;
Gminny Park Wodny TRZEBNICA-ZDRÓJ Sp. z o.o.;(71)3121438;;
Gminny Park Wodny TRZEBNICA-ZDRÓJ Sp. z o.o.;603152238;;
Integracyjne Centrum Sportu i Rekreacji;(22)7896272;;
Integracyjne Centrum Sportu i Rekreacji;(22)7891177;;
Kompleks Basenowo-Rekreacyjny w Bytowie Sp. z o.o.;(59)8221500-01;;
Kompleks Basenów Rehabilitacyjnych MUSZELKA;(22)6741068;;
Kompleks Basenów Rehabilitacyjnych MUSZELKA;(22)6741061;;
Kompleks Basenów Termalnych - Terma Białka;(18)2612540;;
Kompleks Basenów Termalnych - Terma Białka;(18)2657490;;
Kompleks Sportowo-Rekreacyjny TERMY MALTAŃSKIE;(61)2226161;;
Krapkowicka Pływalnia Delfin Sp. z o. o.;(77)5560972-73;;
Kryta Pływalnia;(17)7720020;;
Kryta Pływalnia;(17)7720022;;
Kryta Pływalnia DELFIN;(33)8732972;;
Kryta Pływalnia DELFIN;(33)8732989;;
Kryta Pływalnia im. Jana Kota w Bochni;(014)6113119;;
Kryta Pływalnia im. Jana Kota w Bochni;(014)6113120;;
Kryta Pływalnia NEPTUN;(15)8611000;;
Kryta Pływalnia OPOCZYŃSKA FALA;(44)7361131;;
Kryta Pływalnia OPOCZYŃSKA FALA;(44)7361144;;
Kryta Pływalnia przy Gimnazjum nr 3;(58)6670125;;
Kryta Pływalnia Sportowo-Rekreacyjna w Bolesławcu Sp. z o.o.;(75)6107127;;
Kryta Pływalnia Sportowo-Rekreacyjna w Bolesławcu Sp. z o.o.;(75)6107128;;
Kryta Pływalnia w Chrzanowie;(32)6230440;;
Kryta Pływalnia w Chrzanowie;(32)6250840;;
Kryta Pływalnia w Proszówkach;(14)6110445;;
Kryta Pływalnia w Proszówkach;(14)6111585;;
Kryta Pływalnia w Suchej Beskidzkiej;(33)8745530;;
Miejska Kryta Pływalnia KAPRY;(22)7595256;;
Miejska Kryta Pływalnia KAPRY;(22)7595257;;
Miejska Kryta Pływalnia WODNIK w Ozorkowie;(42)7103151-52;;
Miejska Pływalnia OLIMPIJCZYK;(42)7120070;;
Miejski Ośrodek Sportu i Rekreacji;(13)4341527;;
Miejski Ośrodek Sportu, Rekreacji i Wypoczynku w Żarach;684702871;;
Miejski Ośrodek Sportu, Rekreacji i Wypoczynku w Żarach;684702870;;
Miejski Zakład Kąpielowy w Zabrzu;(32)2711296-97;;
Miejskie Centrum Sportu i Rekreacji w Oleśnie Sp. z o.o.;(34)3596815;;
NEMO Wodny Świat Dąbrowa Górnicza Sp. z o.o.;(32)6390561;;
NEMO Wodny Świat Dąbrowa Górnicza Sp. z o.o.;(32)6390579;;
OAZA Kórnickie Centrum Rekreacji i Sportu;(61)6498875;;
OAZA Kórnickie Centrum Rekreacji i Sportu;668568266;;
Ośrodek Sportowo-Rekreacyjny Kurdwanów Nowy;(12)6545355;;
Ośrodek Sportowo-Rekreacyjny Kurdwanów Nowy;(12)6595357;;
Ośrodek Sportu i Rekreacji OSiR BEMOWO;(22)8615690;;
Ośrodek Sportu i Rekreacji OSiR BEMOWO;(22)8614209;;
Ośrodek START W.Jakobschy i Wspólnicy Sp.j.;(58)3413727;;
Park Wodny AQUARIUM;(29)7642439;;
Park Wodny AQUARIUM;(29)7642437;;
Park Wodny FREGATA;(17)7444820;;
Park Wodny FREGATA;(17)7444825;;
Park Wodny JAN;(94)3144910;;
Park Wodny JAN;(94)3144930;;
Park Wodny JURA;(32)6709790;;
Park Wodny JURA;(32)6709799;;
Park Wodny Koszalin;(94)7216010;;
Park Wodny OCTOPUS;(61)8926540;;
Park Wodny REDZIKOWO;(59)8412551;;
Park Wodny REDZIKOWO;(59)8412555;;
Park Wodny Sopot Sp. z o.o.;(58)5558554-54;;
Park Wodny Sopot Sp. z o.o.;(58)5558585;;
Park Wodny w Krakowie S.A.;(12)6163190-91;;
Park Wodny w Krakowie S.A.;(12)6163144;;
Park Wodny w Tarnowskich Górach Agencja Inicjatyw Gospodarczych S.A.;(32)3933931;;
Park Wodny w Tarnowskich Górach Agencja Inicjatyw Gospodarczych S.A.;(32)3845533;;
Pływalnia ALBATROS;(22)8175194;;
Pływalnia ALBATROS;(22)4997358;;
Pływalnia Aqua;(33)8290020;;
Pływalnia Aqua;(33)8290022;;
Pływalnia KARPIK Zespół Szkół Nr 6 w Rzeszowie;(17)8570091;;
Pływalnia Kryta MOSiR w Giżycku;(87)4281095;;
Pływalnia Laguna;(67)2635993;;
Pływalnia Limanowska;(18)3370118;;
Pływalnia Limanowska;(18)3370177;;
Pływalnia Miejska Delfin;(86)2761069;;
Pływalnia Miejska Delfin;(86)2761070;;
Pływalnia Miejska NAWA Sp. z o.o.;(46)8338969;;
Pływalnia Miejska NAWA Sp. z o.o.;(46)8327343;;
Pływalnia Miejska w Końskich;(41)3729060;;
Pływalnia Miejska w Wolsztynie;(68)3474360;;
Pływalnia Miejska WODNIK;(85)7319950-60;;
Pływalnia Muszelka;(17)8562330;;
Pływalnia Powiatowa w Mońkach;(85)7162205;;
Pływalnia Powiatowa w Mońkach;(85)7162118;;
Pływalnia WODNIK;(22)6738200w.101;;
Pływalnia WODNIK;(22)6738200w.112,113;;
Pływalnia Wodnik Sp. z o.o.;(32)4400470;;
Profesjonalna Firma Rekreacyjno-Sportowa TOP-SPORT;(18)4410402;;
