PASANIL Sp. z o.o.;(58)3073713;;
PASANIL Sp. z o.o.;(58)3073043;;
Przedsiębiorstwo Produkcyjno-Handlowe BATKIEWICZ Sp.j.;(18)2641430;;
Przedsiębiorstwo Produkcyjno-Handlowe BATKIEWICZ Sp.j.;(18)2666910;;
SANKRA;(42)6323558;;
SANKRA;(42)6331875;;
"BADZIAK" S.c. D.K.D.Badziak Producent Dodatków Krawieckich;(42)6813386;;
"BADZIAK" S.c. D.K.D.Badziak Producent Dodatków Krawieckich;606656450;;
A.G.A. Przedsiębiorstwo Produkcyjno-Handlowe Export-Import;(22)7815766;;
A.G.A. Przedsiębiorstwo Produkcyjno-Handlowe Export-Import;605353121;;
ALT S.c. Producent Guzików Poliestrowych i Klamer;(42)6407481;;
ALT S.c. Producent Guzików Poliestrowych i Klamer;(42)6407483;;
AN-MAR P.W.;(42)2268181;;
AN-MAR P.W.;605370308;;
BAFPOL Firma Handlowa;(71)3593096;;
BOCIAN Anna Boniszewska-Bocian, Tadeusz Bocian Sp.j.;(81)5349050;;
BOCIAN Anna Boniszewska-Bocian, Tadeusz Bocian Sp.j.;(81)5349050w.120;;
Firma Handlowa JO-LEX S.c.;(34)3668730;;
Firma Handlowa JO-LEX S.c.;(34)3683722;;
GUMTEX Teresa Kotlarska;(22)7518629;;
GUMTEX Teresa Kotlarska;(22)7511245;;
HANEK Dodatki Krawieckie;(43)6776649;;
KORINEX;(63)2891250;;
KORINEX;(63)2891949;;
Linea Bottonex;(41)3456789;;
Linea Bottonex;(41)3456790;;
Przedsiębiorstwo Wielobranżowe PEGGY;(42)7191578Dmosin;;
Przedsiębiorstwo Wielobranżowe PEGGY;(42)6338513Łódż;;
ZAWITEX Sp. z o.o.;(75)7788445-46;;
ZAWITEX Sp. z o.o.;(75)7788447;;
Akcesoria dla Hobbystów Pasmanteria WOJTEK Usługi Krawieckie;(42)6743600;;
Akcesoria dla Hobbystów Pasmanteria WOJTEK Usługi Krawieckie;(42)6745909;;
F.P.H. PENTELKA S.C. D.Nowak, G.Nowak;(12)6450598;;
F.P.H. PENTELKA S.C. D.Nowak, G.Nowak;(12)3971214;;
GUMIŚ S.c.;(44)7146968;;
GUMIŚ S.c.;503073705;;
HAP Grażyna Roguż;(22)6152339;;
JANI Hurtownia Pasmanteryjna;(42)6568307;;
JANI Hurtownia Pasmanteryjna;502284924;;
Modatec Kazimierz Siwek;(42)6801319;;
Modatec Kazimierz Siwek;606607911;;
POLEXIM GMBH;(42)6864130;;
POLEXIM GMBH;601703016;;
PPH Linex S.c.;(52)3213024;;
PPH Linex S.c.;(52)3457317;;
PPHU Pas-Art;(42)6121771;;
PPHU Pas-Art;602639309;;
PPHU STAWROS;(42)7120183;;
PPHU STAWROS;(42)7120184;;
SANDER AG;(85)6539951;;
SANDER AG;(85)6539900;;
Zakład Produkcyjno-Handlowy ODRA-ZBYT S.c.;(68)3563304;;
Zakład Produkcyjno-Handlowy ODRA-ZBYT S.c.;(68)4793750;;
ABET Sp.j.;(42)6121888;;
ABET Sp.j.;(42)6121919;;
ALTA Producent Zamków Błyskawicznych;(22)8724472;;
ALTA Producent Zamków Błyskawicznych;502100102;;
Altex Consulting Sp. z o.o.;(42)6493080;;
Altex Consulting Sp. z o.o.;(42)6493020;;
ANIMAT Mirosław Błaszczyk;(33)8168076;;
ANIMAT Mirosław Błaszczyk;(33)8168087-88;;
Coats Polska Sp. z o.o.;(42)2540390;;
Coats Polska Sp. z o.o.;(42)2540428;;
ELMA S.c. Hurtownia Dodatków Krawieckich;(34)3606206;;
F.H. Pasmanda - Hurtownia pasmanterii i dodatków krawieckich;(15)6426424;;
F.H. Pasmanda - Hurtownia pasmanterii i dodatków krawieckich;509764018;;
F.H. PASMEX;(18)2677612;;
F.H. PASMEX;(18)2679206;;
FLEK Import-Eksport Monika Micał-Połczyńska;58621-77-08;;
FLEK Import-Eksport Monika Micał-Połczyńska;501419817;;
GALPLAST;(22)3905744;;
GALPLAST;(22)8472420;;
GOMET S.c.;(68)3258820;;
GOMET S.c.;(68)3258821;;
GUMTEX;(15)8118060;;
GUMTEX;(15)8118190;;
Guziki i Dodatki Krawieckie - Hurtownia KAMELEON Jaroszek Kamila;(71)7171505;;
Hurtownia Dodatków Krawieckich KOLIBA;(63)2422030;;
Hurtownia Dodatków Krawieckich KOLIBA;601983316;;
Hurtownia Irena S.c.;(75)7132258;;
MOTEK Eliza Mytych-Kumańska;508947056;;
P.H. PASMATEX Roman Klama , Aleksandra Klimczak Sp.j.;(34)3612111;;
P.H. PASMATEX Roman Klama , Aleksandra Klimczak Sp.j.;697191707;;
P.P.H.U. SZNURPOL S.c.;(42)6513752;;
Pasmanteria SZPILKA;797116632;;
Pasmanteria SZPILKA;668852211;;
PIK-FOISON Sp. z o.o.;(42)6121612;;
PIK-FOISON Sp. z o.o.;(42)6121611;;
PPH GALMEX 2;(61)4252665;;
PPH GALMEX 2;(61)4241585;;
Pro Moda MIK Inwestycje Spółka z ograniczoną odpowiedzialnością S.K.A.;(61)8141206;;
Pro Moda MIK Inwestycje Spółka z ograniczoną odpowiedzialnością S.K.A.;(61)8141218;;
Przedsiębiorstwo Produkcyjno-Handlowe PASSAN Sp.j. Andrzej Wojciechowski;(24)2776200;;
Tasiemka Hurtownia Pasmanteryjna;(61)6616105;;
Tasiemka Hurtownia Pasmanteryjna;606755003;;
toiowo.sklep.pl;609607100;;
Z.P.H. HALAN S.c.;(42)2155527;;
Z.P.H. HALAN S.c.;602138448;;
HURTOWNIA TKANIN PPHU ZOSIA Zofia Kryska;(33)8704005;;
HURTOWNIA TKANIN PPHU ZOSIA Zofia Kryska;606384278;;
TEKSTYLIA Sp.j.;(71)7818360;;
TEKSTYLIA Sp.j.;(71)7818361;;
Zakład Wyrobów Galanteryjnych Sp. z o.o.;(16)6329570;;
DEKORA-DOM S.c.;(32)2742213;;
GERSTER Sp. z o.o.;(42)6717566;;
GERSTER Sp. z o.o.;(42)6488212;;
JORG Hurtownia Artykułów Ślubnych;(32)2650033;;
JORG Hurtownia Artykułów Ślubnych;(32)2697766;;
Król Maciuś Sklep;(22)8152172;;
Król Maciuś Sklep;601970589;;
LIPSTICK Dorota Musiał, DRIMM Studio Projektowe;(42)2117018;;
LIPSTICK Dorota Musiał, DRIMM Studio Projektowe;607648486;;
MADAZ P.H.U.;(42)6548949;;
MADAZ P.H.U.;(42)6500926;;
P.W. PROBIS;(42)7108044;;
Plestima;(34)3658683;;
