PROVIT Sp. z o.o.;(24)2544011;;
PROVIT Sp. z o.o.;(24)2544016;;
Cargill Poland Sp. z o.o. Oddział w Kiszkowie;(61)4249100;;
Cargill Poland Sp. z o.o. Oddział w Kiszkowie;(61)4249101;;
DAN S.c. Mirosław Cichoradzki, Krystian Cichoradzki;721488437;;
DAN S.c. Mirosław Cichoradzki, Krystian Cichoradzki;607807254;;
EKOPLON Sp. z o.o. Sp.k.;(41)3545169;;
EKOPLON Sp. z o.o. Sp.k.;(41)3545259;;
FARMWET Sp. z o.o. Sp.komandytowa;(61)4361431;;
FARMWET Sp. z o.o. Sp.komandytowa;(61)4377885;;
Firma VIT-TRA Adam Traczykowski;(52)3649390;;
Firma VIT-TRA Adam Traczykowski;(52)3649474;;
HERBEMIN S.c.;(81)8868018;;
Neorol Sp. z o.o.;(62)7403637;;
Neorol Sp. z o.o.;(62)7403038;;
P.P.H. FARMER Anita Tworek;(32)4177220;;
TURBAŃSCY Sp. z o.o.;(65)5734146;;
TURBAŃSCY Sp. z o.o.;(65)5734960;;
Wytwórnia Pasz i Koncentratów FARMER Sp. z o.o.;(62)7621287;;
Wytwórnia Pasz i Koncentratów FARMER Sp. z o.o.;(62)7621111;;
Zakład Handlowy JÓŹWIAKOWSKI;(67)2613085;;
Zakład Handlowy JÓŹWIAKOWSKI;(67)2613485;;
AGROCENTRUM Sp. z o.o.;(87)4241760;;
AGROCENTRUM Sp. z o.o.;(87)4241799;;
Anirol;(58)6764223;;
BIOPASZ Biuro Usług Inżynieryjnych i Zakład Ekstruzji Pasz;602355611;;
BIOPASZ Biuro Usług Inżynieryjnych i Zakład Ekstruzji Pasz;(58)3450963;;
F.P.H.U. WAMIX;(12)2913160;;
F.P.H.U. WAMIX;601948851;;
HAPLABS;600160255;;
HAPLABS;692260100;;
HOLAGRA Sp. z o.o.;(65)5299207;;
HOLAGRA Sp. z o.o.;(65)5299399;;
MICHEL Sp. z o.o.;(65)5180734;;
MICHEL Sp. z o.o.;(65)5180736;;
NUTRIMIX Polska Sp. z o.o.;(61)8710103;;
NUTRIMIX Polska Sp. z o.o.;(61)8710105;;
Przedsiębiorstwo Produkcyjno-Handlowe AGROWOX;603751337;;
Przedsiębiorstwo Produkcyjno-Handlowe AGROWOX;(52)3458323;;
TURDUS K.W. SCHWARTZ S.C. Wytwarzanie Karmy dla Ptactwa Leśnego;600811916;;
TURDUS K.W. SCHWARTZ S.C. Wytwarzanie Karmy dla Ptactwa Leśnego;(62)5087990;;
Vergab;(83)3573029;;
Vergab;509974021;;
Vital Horse;606914528;;
Wytwórnia Pasz LIRA Sp. z o.o.;(65)5174300;;
Wytwórnia Pasz LIRA Sp. z o.o.;(65)5174302;;
Agromin ZHU Krzysztof Grabarczyk;(24)3661050;;
