Dom Wypoczynkowy, Pensjonat OSKAR;(58)7744633wew56;;
Dom Wypoczynkowy, Pensjonat OSKAR;609494589;;
Dworek ROMANOWSKI w Sułowie;(89)7188105;;
GRYF-TOUR Grupa Ośrodków Wczasowych JANTAR AMBER WILLA DANA;(91)3862746(OWJantar);;
GRYF-TOUR Grupa Ośrodków Wczasowych JANTAR AMBER WILLA DANA;(91)3844261(OWJantar);;
Ośrodek Wypoczynkowy ROMET;(58)6749199;;
Ośrodek Wypoczynkowy ROMET;602452022;;
Pensjonat Romanowski;(89)7162030;;
Pensjonat Romanowski;(89)7162189;;
Willa Monte Rosa - noclegi w centrum Zakopanego;(18)2000150;;
Willa Złota;606117672;;
Willa Złota;(58)6747370;;
"Pensjonat SZCZEPANIAKÓWKA";(18)2629105;;
"Pensjonat SZCZEPANIAKÓWKA";602606366;;
ANMAR Dom Wypoczynkowy;(59)8109126;;
ANMAR Dom Wypoczynkowy;695311000;;
Apartamenty i Willa POD NIEBEM;(18)2062909;;
Apartamenty i Willa POD NIEBEM;(18)2062909;;
ATA Dom Wypoczynkowy;(58)6749046;;
ATA Dom Wypoczynkowy;601966677;;
BAŁTYK Ośrodek Wypoczynkowy;(55)2477257;;
BAŁTYK Ośrodek Wypoczynkowy;(55)2477237;;
benitA Pokoje Gościnne;(18)2015235;;
benitA Pokoje Gościnne;502838293;;
Centrum Wypoczynkowo-Lecznicze Słowińska Perła;(59)8142175;;
Centrum Wypoczynkowo-Lecznicze Słowińska Perła;606454266;;
Centrum Zdrowia i Wypoczynku Mona Lisa;(94)3543668;;
Centrum Zdrowia i Wypoczynku Mona Lisa;(94)3543669;;
Crosna SPA Pensjonat;(18)2623390;;
Crosna SPA Pensjonat;602601557;;
D.W. WILLA 5;603715958;;
D.W. WILLA 5;(91)3282610;;
Dom Gościnny EMILIA;(91)3864291;;
Dom Gościnny EMILIA;605106221;;
Dom Gościnny Krakus;(91)3863349;;
Dom Gościnny Krakus;601887497;;
DOM POD WYCIĄGIEM;606223519;;
Dom Wczasowy MALINKA;605205181;;
Dom Wczasowy RÓŻA PÓŁNOCY;605100506;;
Dom Wczasowy U Aniołka;(18)2019777;;
Dom Wczasowy U Aniołka;601475455;;
Dom Wypoczynkowy ARTEMIDA;501349071;;
Dom Wypoczynkowy ARTEMIDA;(58)6238749;;
Dom Wypoczynkowy BESKID;(18)4464191;;
Dom Wypoczynkowy BESKID;(18)4464192;;
Dom Wypoczynkowy MARYNA Maria i Julian Remiasz;(18)2654415;;
Dom Wypoczynkowy MARYNA Maria i Julian Remiasz;608605414;;
Dom Wypoczynkowy SŁONECZNA;(59)8145242;;
Dom Wypoczynkowy SŁONECZNA;693824887;;
Domy Wczasowe TRYUMFY;(18)4715523;;
Domy Wczasowe TRYUMFY;784360781;;
FALA WILLA;(87)4216953;;
FALA WILLA;603891553;;
Górski Ośrodek Wczasowy STASINDA Zofia Rzadkosz;(18)2001277;;
Górski Ośrodek Wczasowy STASINDA Zofia Rzadkosz;(18)2001278;;
IRENA Ośrodek Wypoczynkowy;(94)3412251(czynnywsezonie);;
IRENA Ośrodek Wypoczynkowy;601537933;;
Kalina Ośrodek Wczasowo-Kolonijny;503040711;;
Kalina Ośrodek Wczasowo-Kolonijny;502412274;;
KASKADA Comfort Villa;660324364;;
Kompleks Wypoczynkowy POLONIA;(91)3862683;;
Kompleks Wypoczynkowy POLONIA;(91)3815102;;
MARIZA Dom Wczasowy;501420123-Mariza;;
MARIZA Dom Wczasowy;503013911-PięciuPomostów;;
OPAL-Pensjonat;(75)7172823;;
OPAL-Pensjonat;509786364;;
Ośrodek HORYZONT Katarzyna i Jarosław Zawadziłło;693116410;;
Ośrodek HORYZONT Katarzyna i Jarosław Zawadziłło;727655089;;
Ośrodek Kolonijny JĘDREK;(87)6433273;;
Ośrodek Kolonijny JĘDREK;600822324;;
Ośrodek Rehabilitacyjno-Wczasowy Orka;(59)8149704;;
Ośrodek Rekreacyjno-Gastronomiczny Kręgski Młyn;(58)5620555;;
Ośrodek Wczasowo-Rehabilitacyjny BIELIK;607217241;;
Ośrodek Wczasowo-Rehabilitacyjny BIELIK;693141777;;
Ośrodek Wczasowo-Rehabilitacyjny MARIA;606273047;;
Ośrodek Wczasowo-Rehabilitacyjny MARIA;(94)3142938;;
Ośrodek Wczasowy i Camping Słoneczko;(94)3585567;;
Ośrodek Wczasowy i Camping Słoneczko;509934016;;
Ośrodek Wczasowy LAZUR;(95)7633139;;
Ośrodek Wczasowy LAZUR;502256742;;
Ośrodek Wczasowy Leśne Ustronie;(52)3341177;;
Ośrodek Wczasowy Leśne Ustronie;(52)3341155;;
Ośrodek Wypoczynkowy BURSZTYN;664927617;;
