HAJDUK GRUPA PRODUCENTÓW PIECZAREK Sp. z o.o.;(68)3567242;;
HAJDUK GRUPA PRODUCENTÓW PIECZAREK Sp. z o.o.;(68)3568459;;
Gortan Sp. z o.o.;(83)3525186;;
Gortan Sp. z o.o.;(83)3525186w.24;;
JANTEX Sp. z o.o.;(68)3848263;;
JANTEX Sp. z o.o.;(68)3464515;;
Uprawa Pieczarek Sebastian Markiewicz;(43)6772075;;
Uprawa Pieczarek Sebastian Markiewicz;(43)6772088;;
Agro Team Przedsiębiorstwo Spółdzielcze;(61)4441109;;
Agro Team Przedsiębiorstwo Spółdzielcze;(61)4441103;;
FOLKOWIE Uprawa Pieczarek;782105648;;
FUNGIS Sp. z o.o.;(46)8312008;;
FUNGIS Sp. z o.o.;509399855;;
KOMPOST WRONA Sp. z o.o. Sp. komandytowa;(32)2114704;;
KOMPOST WRONA Sp. z o.o. Sp. komandytowa;(32)2114903;;
NIKO Sławomir Mikołaj Nitychoruk;(83)3420253;;
NIKO Sławomir Mikołaj Nitychoruk;504196233;;
OKECHAMP S.A.;(61)8469900;;
OKECHAMP S.A.;(61)8469901;;
ROBSON Robert Jóźwiak;663775521;;
ROBSON Robert Jóźwiak;(65)5180267;;
Uprawa Pieczarek DAMIAN FIGOŁUSZKA;601962597;;
Grupa Producentów Grzybów PRIME CHAMP Sp. z o.o.;(67)2662132;;
Grupa Producentów Grzybów PRIME CHAMP Sp. z o.o.;509899702;;
FIMINSKY Sp. z o.o. Sp.komandytowa;(68)3860895;;
FIMINSKY Sp. z o.o. Sp.komandytowa;(68)3868747;;
Lomania Polsko-Francuska Sp. z o.o.;(65)5123919;;
Lomania Polsko-Francuska Sp. z o.o.;(65)5119841;;
CONTIX INVEST Sp. z o.o. SPÓŁKA KOMANDYTOWA;695429795;;
CONTIX INVEST Sp. z o.o. SPÓŁKA KOMANDYTOWA;506645659;;
FHU FRUKTUS Lucyna Plota;607308316;;
FHU FRUKTUS Lucyna Plota;(62)7667186;;
Afirma Sp. z o.o.;(61)8111315;;
Afirma Sp. z o.o.;(61)8921215;;
AGRO-PIECZARKI S.c. Bąk Przemysław;508180600;;
AGRO-PIECZARKI S.c. Bąk Przemysław;(77)4593105;;
Agrodolina Świerczyńsko;(44)6150699;;
AGROMYCEL Borys Krasowski;(87)4257198;;
AGROMYCEL Borys Krasowski;(87)4240977;;
Champignon S.c.;(34)3531410;;
Champignon S.c.;608315937;;
Champion Dorota Piotrowska;(56)4754700;;
Champion Dorota Piotrowska;(56)4754706;;
Czesław Biela Pieczarkarnia, Pieczarki;502460940;;
Czesław Biela Pieczarkarnia, Pieczarki;(32)4484417;;
F.H.U Głuchowski Piotr Głuchowski;(83)3590564;;
F.H.U Głuchowski Piotr Głuchowski;(83)3590595;;
F.H.U. PERFEKT Jochem Teodor;(32)2116411;;
F.H.U. PERFEKT Jochem Teodor;509616876;;
F.W. JODKO;(68)3845532;;
F.W. JODKO;600973364;;
Ferma Drobiu i Uprawa Pieczarek;(32)2112346;;
Ferma Drobiu i Uprawa Pieczarek;(32)2113247;;
FHU ROBERT Sp.j.;(25)6331113;;
FungoPex;(71)3920137;;
FungoPex;517236804;;
GARDENIA Konrad Skrobol;(32)4478808;;
GARDENIA Konrad Skrobol;(32)2114827;;
GOL-CHAMP Pieczarkarnia Barbara i Ryszard Golon;(67)2663099;;
GOL-CHAMP Pieczarkarnia Barbara i Ryszard Golon;(67)2661987;;
Gospodarstwo Produkcyjno-Handlowe Grzybek;663750382;;
Gospodarstwo Produkcyjno-Handlowe Grzybek;663750381;;
Gospodarstwo Rolne UPRAWA PIECZAREK Beata, Stanisław Dubaniewicz;(68)3464520;;
Gospodarstwo Rolne UPRAWA PIECZAREK Beata, Stanisław Dubaniewicz;502553742;;
Grzybek Białogardzki Mariusz Ziental;504289256;;
Grzybek Białogardzki Mariusz Ziental;793330307;;
GRZYBMAR Sp. z o.o.;(61)4433404;;
GRZYBMAR Sp. z o.o.;(61)4433403;;
Karol Kania i Synowie Sp. z o.o.;(32)2114500;;
Karol Kania i Synowie Sp. z o.o.;(32)2114882;;
KOZDRYK Sp. z o.o.;(89)5139234;;
KOZDRYK Sp. z o.o.;(89)5139213;;
LIMAX Sp. z o.o.;(68)3474248;;
