Inter Europol Piekarnia Szwajcarska Spółka z ograniczoną odpowiedzialnością Sp.j.;(22)7716900;;
MDJ Sp. z o.o.;(32)7750610;;
MDJ Sp. z o.o.;(32)7750646;;
NOWEL Piekarnia Nowakowski;(22)7670452-biuro;;
NOWEL Piekarnia Nowakowski;(22)7670458-zamówienia;;
P.P.H.U WOJTPOL;(46)8157620;;
P.P.H.U WOJTPOL;501227762;;
Piekarnia Cukiernia MARIAN KURASIAK;(65)5125150;;
Piekarnia Cukiernia MARIAN KURASIAK;(65)5124204;;
Piekarnia i Cukiernia STRYSZÓW;(33)8797410;;
Piekarnia i Cukiernia STRYSZÓW;(33)8797111;;
Piekarnictwo-Cukiernictwo Krzysztof Englert;(32)2107236;;
Piekarnictwo-Cukiernictwo Krzysztof Englert;(32)2107931;;
PIEKARNIA Bugno Zbigniew;(22)7271862;;
PIEKARNIA Bugno Zbigniew;(22)7271863;;
PIEKARNIA KURPIOWSKA SERAFIN Żubrowski Sp.komandytowa;(29)5940150;;
PIEKARNIA KURPIOWSKA SERAFIN Żubrowski Sp.komandytowa;608616108;;
PIEKARNIA-CUKIERNIA Adam Nowak (Noclegi i Restauracja NASZ KLUB);(61)8526074;;
PIEKARNIA-CUKIERNIA Adam Nowak (Noclegi i Restauracja NASZ KLUB);(61)8516681;;
Piekarnia-Cukiernia Łubowski;(34)3510120;;
Piekarnia-Cukiernia Łubowski;(34)3510122;;
Ziarnex Sp. z o.o. Sp.komandytowa;(22)8724444;;
Ziarnex Sp. z o.o. Sp.komandytowa;(22)4904949;;
ABRAMOWICZ Piekarnia Cukiernia;(81)8805220;;
Agart-Pro Sp. z o.o.;(61)8344700;;
BROTS S.c. Z i R Stabrowski;(68)3244449;;
BROTS S.c. Z i R Stabrowski;(68)4530309;;
FAWOR Spółdzielnia Piekarsko-Ciastkarska;(61)8781100;;
FAWOR Spółdzielnia Piekarsko-Ciastkarska;(61)8781201;;
Gminna Spółdzielnia Samopomoc Chłopska w Dźwierzutach;(89)6211237;;
Gminna Spółdzielnia Samopomoc Chłopska w Dźwierzutach;(89)6211262Piekarnia;;
GS Sławno Sp. z o.o.;(59)8103095;;
GS Sławno Sp. z o.o.;(59)8103096;;
Piekarnia & Ciastkarnia A.BRUDNIK;(71)3810210;;
Piekarnia & Ciastkarnia A.BRUDNIK;(71)3810217;;
Piekarnia Ciastkarnia Maria i Paweł Walenciak Sp.j.;(65)5124386;;
Piekarnia Cukiernia AK Otrębusy;(22)7585795;;
Piekarnia Cukiernia AK Otrębusy;(22)7593851;;
Piekarnia Cukiernia DAWIEL Sp. z o.o. Sp.komandytowa;(25)7992083;;
