Pizzeria HEJ;(95)7520240;;
Pizzeria KOLOSEUM;(68)3245512;;
Pizzeria Napoli;(22)6291112;;
Pizzeria Napoli;798110141;;
Pizzeria OAZA;(25)7520930;;
Pizzeria OAZA;694603504;;
Pizzeria PALERMO;(71)3542722;;
Pizzeria PLANETA;509791696;;
Pizzeria PLANETA;(58)3091990;;
Pizzeria Restauracja Primavera S.c.;(18)2663818;;
Pizzeria u Marioli;(22)7254969;;
Telepizzeria Milano;(89)5267010;;
Apetito;(63)2492202;;
BISTRO-PIZZA;(58)6742444;;
BISTRO-PIZZA;512044290;;
BROCCI Pizza, Pasta, Kawa;511767511;;
LEONE Pizzeria;(58)3050066;;
LEONE Pizzeria;501132132;;
Pizza Primavera;(61)6610531;;
Pizzeria 13;(54)2348580;;
Pizzeria AMBROZJA;326460776;;
Pizzeria AMBROZJA;507664671;;
Pizzeria BUKÓWKA;(41)3618080;;
Pizzeria Camaro;(12)2713800;;
Pizzeria FUKS;(85)7420590;;
Pizzeria Gowid;(59)8620202;;
Pizzeria IN CENTRO;(42)6369992;;
Pizzeria JALAPENO;(65)5203030;;
Pizzeria JALAPENO;695339666;;
Pizzeria K2;503034887;;
Pizzeria Livorno;(59)8639999;;
Pizzeria Livorno;514203370;;
Pizzeria NAPOLI Paweł Zaleski;600315700Sitkówka-Nowiny;;
Pizzeria NAPOLI Paweł Zaleski;500700349Małogoszcz;;
Pizzeria Nowoursynowska;(22)4072828;;
Pizzeria ROMA;(32)2338819;;
Pizzeria SOPRANO;(34)3146655;;
Pizzeria Sorrento;518271111;;
Pizzeria Wenecja;(58)6719183;;
Pizzeria Wenecja;504447478;;
PRUSZYNKA;(85)6547870ul.Berlinga;;
PRUSZYNKA;(85)7446314ul.Jarzębinowa;;
Karczma Pod Złotą Rybką;698574111;;
Karczma Pod Złotą Rybką;698927634;;
Willa Monte Rosa - noclegi w centrum Zakopanego;(18)2000150;;
STOKROTKA Restauracja & Noclegi;(17)2425107;;
STOKROTKA Restauracja & Noclegi;(17)2425892;;
ADAMUS Firma Handlowo-Usługowa Adam Błażejewski;(61)4276359;;
ADAMUS Firma Handlowo-Usługowa Adam Błażejewski;609370303;;
ARTUR Artur Skorupa - Usługi Cateringowe;(91)8525729;;
ARTUR Artur Skorupa - Usługi Cateringowe;505088675;;
Corleone Restauracja;(12)4295126;;
Cukiernia-Pizzeria IZABELA;788833355;;
JANTAR GOŚCINIEC RYTERSKI;(18)4143500;;
JANTAR GOŚCINIEC RYTERSKI;606770127;;
PIRAMIDA Kebab & Pizza;(89)5270460;;
PIRAMIDA Kebab & Pizza;884922209;;
Pizzeria Trzy Papryczki;(12)2925532;;
Przedsiębiorstwo Wielobranżowe RECLIK JANUSZ RECLIK;(32)7203241;;
Przedsiębiorstwo Wielobranżowe RECLIK JANUSZ RECLIK;(32)4510063;;
Restauracja & Pizzeria PARADISO;(32)7291927;;
Restauracja MAZURIANA;(89)6241493;;
Sułtan Turecki Doner Kebap i Pizza;(52)3222501;;
Bowling Rodło;(67)3516555;;
Bowling Rodło;(67)3517963;;
Dom Retro;(32)4757614;;
Dom Retro;503070702;;
Klub Bilardowy, Pizzeria, Klub Muzyczny ZEBRA;(77)4581234;;
Klub Bilardowy, Pizzeria, Klub Muzyczny ZEBRA;(77)4581444;;
Nad Wodospadem Sp. z o.o.;(33)8662060;;
Nad Wodospadem Sp. z o.o.;796862060;;
Palato Cielo Pizza & Spaghetti Bar;(71)3332596;;
PRUSZYNKA CATERING;(85)6793843;;
PRUSZYNKA CATERING;604529944;;
PUB 30-stka S.c.;(81)4480330;;
PUB 30-stka S.c.;696450569;;
Restauracja MIKI;(71)3466781;;
Restauracja MIKI;691946440;;
Stacja Paliw SHELL;695986843;;
Stacja Paliw SHELL;888535053;;
Tawerna BAR MORSKI;(58)6749644;;
Tawerna BAR MORSKI;601630837;;
Trattoria Pergamin Nullo;797705530;;
Trattoria Pergamin Nullo;730680139;;
Deska Smaków;577033600;;
Nocne Żarcie;570705050;;
Pinco Pallino - Włoska Pizza;695796833;;
Pizzeria Bartolini;507770106;;
Pizzeria Italia;516364162;;
Pizzeria Pepe Roni;575970030;;
ABRUZZO Grill&Pizza;666350692;;
ABU DHABI Pizza & Kebab;889316889;;
Aleje Smaku;(32)2056752;;
Aleje Smaku;533644723;;
Alex Pizzeria, Restauracja, Catering;(18)4431162;;
Alex Pizzeria, Restauracja, Catering;501797134;;
AMERICAN PIZZA;(94)3145555;;
American Pizza;(32)2641990;;
AMERICAN PIZZA;(32)4731378;;
AMIGO Pizza-Bar;(77)4631032;;
Antonio Pizza&Pasta;(22)4987007;;
Antonio Pizza&Pasta;883944441;;
ARTUREX Artur Woltyński PIZZA Z RADOŚCI;(22)6158691;;
Atmosfera Pizzeria;(81)8867755-57;;
Ave! Pizza;(22)8288507;;
Banolli Pizzeria & Restauracja;(12)2630303;;
Banolli Pizzeria & Restauracja;(12)2665000;;
Bar Pizza;(74)8320001;;
Bar-Becue Steak&Pizza;(89)5332333;;
Bar-Pizzeria RIMINI S.c.;(22)6419544;;
Bar-Pizzeria RIMINI S.c.;601339021;;
Barbaresco–Ristorante Italiano;(58)6202048;;
BASILIA Pizza e Pasta Siciliana;(22)8942121;;
BAZYLIA - Makarony i Pizza;784986888;;
BAZYLIA Pizza & Grill;(94)3544545;;
BELLA NAPOLI;(22)4980453;;
BELLA NAPOLI;(22)6756020;;
Beni Pizza;(62)5941467;;
BIG BOSS PIZZA;(22)2453422;;
BIG Pizza;(32)4471804;;
BIG PIZZA;(77)4651160;;
Bistro Pizzeria VALMONT;(58)6252565;;
Bistro-Pizzeria MOZAIKA;(58)7214400;;
Bistro-Pizzeria MOZAIKA;516694008;;
Błyskawiczna Pizza;(61)6629009;;
BOSCA PIZZA;(42)2072777;;
Brooklyn Pizza Club;(85)6538844;;
BROOKLYN PIZZA S.c.;(58)7180808;;
BUJANI Pizza - Stacja Benzynowa ORLEN;(14)6220235;;
BUJANI Pizza - Stacja Benzynowa ORLEN;(14)6300700;;
Cafe & Pizzeria VERONA;(15)8438065;;
CALDO Pizzeria & Pub;(12)4140046;;
CALDO Pizzeria & Pub;791505099;;
CAMEL PIZZA;(52)3444222;;
CAPITAL-PIZZA;(17)8594910;;
CAPRESE Pizzeria&Restauracja;(32)2632722;;
CAPRESE Pizzeria&Restauracja;(32)2632728;;
CASA DELLA PIZZA;511549559;;
CASA DELLA PIZZA;693479554;;
CASA NOVA;(22)7592229;;
CASA NOVA;(22)3897089;;
Cdf - Campo di fiori Pizzeria;(18)4426060;;
CenterPizza;(61)8251137;;
CenterPizza;728505105;;
Central Park Pizza;(95)7470480;;
CEZAR PIZZA;607182149;;
CHICAGO`S PIZZA;(22)6492112;;
CHICAGO`S PIZZA;(22)6492242;;
CHILI PIZZA;510510404;;
CHILI PIZZA;(12)4156600;;
CITY Pizza;(33)8512457;;
CITY Pizza;608038051;;
CITY PIZZA;(58)6652342;;
CITY PIZZA;513151226;;
COOL PIZZA;(62)7380303;;
COOL PIZZA;(62)5919195;;
COOLINO PIZZA;(52)3424050;;
COOLINO PIZZA;664317844;;
CORRIDA;664590313;;
CORRIDA;608248898;;
CORRIDA PIZZA;(24)2687328;;
CORRIDA PIZZA;(24)2628116;;
CZIK-CZUK PIZZA;(55)2374040;;
Da Grasso;(42)2767060;;
Da Grasso;(42)2767061;;
da Salvatore Pizza & Grill;(16)6213838;;
da Salvatore Pizza & Grill;502404974;;
DELLA CASA Pizzeria;(71)7946858;;
DELLA CASA Pizzeria;663200190;;
DI GUSTO Pizza & Pasta;(41)3313110;;
DI GUSTO Pizza & Pasta;666313150;;
DI MATEO Pizzeria i Restauracja;(22)6679028;;
DI MATEO Pizzeria i Restauracja;606613809;;
DI NAPOLI PIZZA;(18)4431188;;
DIAVOLO Pizzeria;(84)6641339;;
DIAVOLO Pizzeria;516464648;;
diGusto;(58)7139859;;
diGusto;690486838;;
DJ PIZZA;(18)5401116;;
DJ PIZZA;790619629;;
DOBRE MIEJSCE 65 Pizza&Lunch&Cafe;(61)8431433;;
DOBRE MIEJSCE 65 Pizza&Lunch&Cafe;698006345;;
DOMINO PIZZA;(22)2431718;;
DOMINO PIZZA;534462462;;
Domino`s Pizza;(22)2090001;;
Domino`s Pizza;(22)2090099;;
DRAGON PIZZA;(58)5126666;;
DRAGON PIZZA;507101161;;
DUET Pizzeria;(68)3828210;;
EL DIABLO Pizza & Kebab;500799655;;
ELTORO Pizza&Pasta;(12)3077777;;
Euro-Pizza;(12)6587869;;
Euro-Pizza;(017)8549424;;
EUROPIZZA;(12)2661090;;
EUROPIZZA;(12)3463686;;
Fabryka Pizzy;(12)4320101;;
Fantazja Pizzeria Lodziarnia;(55)2773222;;
Fast Food & Pizza Bar DA VINCI;604545145;;
FIGGA Pizzeria-Trattoria;(22)8274128;;
FIGGA Pizzeria-Trattoria;600851896;;
FILIPPO PIZZA;(12)2858873;;
Fratelli Sossi;(77)4395809;;
FRESH PIZZA;(61)6792450;;
FRESH PIZZA;516516952;;
FRONTIERA;797196201;;
GANG LEONA S.A.;0801005366;;
GANG LEONA S.A.;(22)2441166;;
GasstroSfera;(89)5276000;;
GASTRO PIZZA;512539393;;
GASTRO PIZZA;512563636;;
Gastro Strefa Sp z o.o. Sp.komandytowa;(85)6622444;;
GigantPizza.pl;(15)8722110;;
GigantPizza.pl;797572424;;
GIOVANNI Cafe & Restaurant i DESPERADO PIZZA;666148989;;
GÓRA OLIMP- Pizzeria;(012)6261888;;
GÓRA OLIMP- Pizzeria;(012)6320880;;
GRAND PIZZA;(62)5919097;;
GRANDE;(83)3436030;;
GRANDE;696505060;;
Grande Pizza;(71)3437083;;
GREEN-GARDEN Pizzeria-Kawiarnia;(33)8729071;;
GREEN-GARDEN Pizzeria-Kawiarnia;517321155;;
GUSTO Bistro & Pizza;570500802;;
GUSTO NOTTE Pizzeria;(58)3403525;;
GUSTO NOTTE Pizzeria;660077658;;
HALLO PIZZA;(91)8368355;;
HALLO PIZZA;517406309;;
HALO PIZZA;(95)7282828;;
HALO PIZZA;509875225;;
HALO PIZZA;(82)5640044;;
HALO PIZZA;503603567;;
HaloPizza;(29)7573085;;
HAWAII PIZZA & PASTA;(22)6684613;;
HAWAII PIZZA & PASTA;(22)6677402;;
HELLoPIZZA;(52)3221078;;
Herbowa Pizzeria Caffe;(33)8175000;;
Hobby Pizza;888060607;;
iPIZZA;(22)6626376;;
iPIZZA;502025507;;
Italian Pizza;(75)6441811;;
Italian Pizza;509815850;;
JACEK PLACEK Pizza i Wino;(22)3534444;;
JACEK PLACEK Pizza i Wino;516655661;;
Karczma RAJ;(58)6773714;;
Karczma RAJ;508753010;;
