Firma Usługowa URBIŃSCY S.c.;(32)6122578;;
LANT Systemy Pralnicze;(25)6824298;;
LANT Systemy Pralnicze;(25)6824299;;
PUHP BIELIK Zbigniew Kuciak;609801140;;
PUHP BIELIK Zbigniew Kuciak;605888847;;
Pralnia MP;690930170;;
Pralnia MP;604281854;;
Pralnia Ursynów FRESH SOLUTIONS;(22)6443264;;
WBF Techniki Pralnicze;(61)8629767;;
WBF Techniki Pralnicze;602707811;;
DELFIN Pralnia Ekologiczna Chemiczno-Wodna;(44)7556555;;
DELFIN Pralnia Ekologiczna Chemiczno-Wodna;509539546;;
Eko Pralnia DĄBRÓWKA;(58)6859827;;
Eko Pralnia DĄBRÓWKA;883383488;;
EKO-ANA Pralnia Wodna;(18)2649532;;
EKO-ANA Pralnia Wodna;695587970;;
Ekskluzywna Pralnia i Prasowalnia Wash&Go;537467117;;
ELPRAMA Centrum Pralnicze;(81)7402604;;
ELPRAMA Centrum Pralnicze;(81)4438920;;
HIGIENA-TECH;664157330;;
HOLLYWOOD TEXTILE SERVICE Sp. z o.o.;(24)2758129;;
HOLLYWOOD TEXTILE SERVICE Sp. z o.o.;509400278;;
PRA-MAX SERVICE;(22)8477586;;
PRA-MAX SERVICE;501775580;;
Pralnia Chemiczna IRENA;(71)3575635;;
Pralnia Chemiczna IRENA;(71)3165047;;
Pralnia Chemiczna LUNA;(22)6330771;;
Pralnia Chemiczna LUNA;501706802;;
Pralnia Ekologiczna CHEMIPRAL;(32)4153051;;
Pralnia Ekologiczna CHEMIPRAL;604517306;;
Pralnia Ekologiczna PERFEKT;(17)8544881;;
Pralnia SONIA Stanisław Pirch;(67)2132564;;
Pralnia VIVA Ekologia;(85)6547377;;
Pralnia Wodna i Chemiczna PORANNA ROSA;602370483;;
Pralnia Wodna i Chemiczna PORANNA ROSA;602355658;;
PRAWOL Sp.j. Pralnia przmysłowa - Hotele;(22)6710033-34;;
PRAWOL Sp.j. Pralnia przmysłowa - Hotele;(22)8111157;;
SZOP S.c. PRALNIA;601778973;;
SZOP S.c. PRALNIA;(91)4633942;;
Usługi Pralnicze S.c.;(42)6543436;;
Usługi Pralnicze S.c.;605962421;;
Zakład Pralniczy Kobielusz;(22)8359493;;
Zakład Pralniczy Kobielusz;(22)8657116;;
Zakład Usług Pralniczych JKM;(61)8133799;;
Zakład Usług Pralniczych JKM;(61)8983968;;
Fundacja CONTIGO Zakład Aktywności Zawodowej;(17)2472050;;
DSP Sp. z o.o.;607737860;;
