AUTO DEMS Stanisław Brodowski;(89)7412311;;
AUTO DEMS Stanisław Brodowski;695852032;;
DANEX Sp. z o.o. Sp. komandytowa;(67)2563884;;
DANEX Sp. z o.o. Sp. komandytowa;(67)2563885;;
PPHU Agrotex Sp. z o.o.;(18)5484048;;
PPHU Agrotex Sp. z o.o.;(18)4420602;;
Zakład Przetwórstwa Owoców i Warzyw VORTUMNUS Sp. z o.o.;(13)4491300;;
Zakład Przetwórstwa Owoców i Warzyw VORTUMNUS Sp. z o.o.;(13)4491621;;
AKO S.A.;(52)3420966;;
AKO S.A.;(52)3426267;;
DAGOMA Sp. z o.o.;(58)6732552;;
DAGOMA Sp. z o.o.;(58)6733700;;
HORTINO Zakład Przetwórstwa Owocowo-Warzywnego Leżajsk Sp. z o.o.;(17)2404200;;
HORTINO Zakład Przetwórstwa Owocowo-Warzywnego Leżajsk Sp. z o.o.;(17)2428237;;
Lomania Polsko-Francuska Sp. z o.o.;(65)5123919;;
Lomania Polsko-Francuska Sp. z o.o.;(65)5119841;;
MAZOWSZE Sp.j. Zakład Przetwórstwa Spożywczego;(24)2774620;;
MAZOWSZE Sp.j. Zakład Przetwórstwa Spożywczego;(24)2774039;;
Przedsiębiorstwo Handlowo-Produkcyjne TENTOR Sp.j.;(54)2722094;;
Przedsiębiorstwo Handlowo-Produkcyjne TENTOR Sp.j.;(54)2722269;;
Przedsiębiorstwo Przetwórczo-Handlowe MALPOL Stanisław Malicki;(65)5205587;;
Przedsiębiorstwo Przetwórczo-Handlowe MALPOL Stanisław Malicki;(65)5342130;;
Przedsiębiorstwo Przetwórstwa Zbożowego KAPKA T. i B.Kapka Sp.j.;(84)6897888;;
Przedsiębiorstwo Przetwórstwa Zbożowego KAPKA T. i B.Kapka Sp.j.;(84)6897444;;
Zakłady Przemysłu Ziemniaczanego LUBLIN Sp. z o.o.;(81)5324518;;
Zakłady Przemysłu Ziemniaczanego LUBLIN Sp. z o.o.;(81)5327071;;
EUROHANSA Sp. z o.o.;(81)8874414;;
EUROHANSA Sp. z o.o.;(81)8878179;;
Ferma OLDAR Jaja z Sokołowa;(22)7390739;;
Ferma OLDAR Jaja z Sokołowa;(22)7200503;;
Julianex Przetwórstwo Spożywcze Józef Wicenciak;(61)8705146;;
Julianex Przetwórstwo Spożywcze Józef Wicenciak;(61)8719962;;
Kupiec Sp. z o.o.;(63)2413737;;
Kupiec Sp. z o.o.;(63)2413739;;
AGROCOMEX Sp. z o.o.;(56)6979191;;
AGROCOMEX Sp. z o.o.;(56)6979190;;
AGROFRUIT Marcin Pawlak;509577090;;
AGROFRUIT Marcin Pawlak;509256336;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)2011724;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)7106013;;
Firma Handlowa RATOS-NATURA S.c.;(15)8686222;;
GLOBAL Zakład Produkcyjno-Handlowy Andrzej Dębowski Sp.j.;(34)3177310;;
GLOBAL Zakład Produkcyjno-Handlowy Andrzej Dębowski Sp.j.;(34)3103684;;
