Centra Medyczne Medyceusz NZOZ;(42)6136900;;
Centra Medyczne Medyceusz NZOZ;(42)6136906;;
Centrum Medyczne MEDICERS Przychodnia Zacisze NZOZ;(22)7443150;;
Centrum Medyczne MEDICERS Przychodnia Zacisze NZOZ;(22)7443151;;
Centrum Usług Medycznych DIALIZA Sp. z o.o.;(94)3727383;;
Centrum Usług Medycznych DIALIZA Sp. z o.o.;(94)3727384;;
POLMED S.A.;(58)7750919;;
POLMED S.A.;(58)5601814;;
Centrum Flebologii Klinika Zdrowych Nóg;(22)6136256;;
Centrum Flebologii Klinika Zdrowych Nóg;0801000655;;
CENTRUM MEDYCZNE BONIFRATRÓW;(22)6356467;;
CENTRUM MEDYCZNE BONIFRATRÓW;(22)6356819;;
Centrum Medyczne CDS;(71)7833240;;
Centrum Medyczne CDS;(71)7833242;;
Centrum Medyczne MED-GASTR;(42)2582233;;
Centrum Medyczne MED-GASTR;(42)6371100;;
Centrum Medyczne MML Sp. z o.o.;692988098;;
Centrum Medyczne MML Sp. z o.o.;(22)4065422;;
Centrum Medyczne Royalmed;(22)2501445;;
Centrum Medyczne Royalmed;(22)7510178;;
Centrum MULTI-MEDICA Sp. z o.o.;(22)7868191Centrala;;
Centrum MULTI-MEDICA Sp. z o.o.;797995318Stomatologia;;
Centrum Ortopedii i Rehabilitacji ORTOLINE;518985018;;
Centrum Ortopedyczne ORTHOLINE - Terapia Orthokine;509232575;;
Centrum Zdrowia Psychicznego NZOZ;(22)8579081;;
Centrum Zdrowia Psychicznego NZOZ;(22)8579082;;
CMC-Cracow Medical Center NZOZ;(12)6334033;;
CMC-Cracow Medical Center NZOZ;(12)4223485;;
Dr hab. n. med. Jarosław Andrychowski specjalista neurochirurg;(22)6330225;;
Dr hab. n. med. Jarosław Andrychowski specjalista neurochirurg;502390990;;
ECHO-KARD Specjalistyczna Diagnostyka Kardiologiczna i Terapia;535002172;;
ESKULAP Lekarska Specjalistyczna Spółdzielnia Pracy;(85)7450036-37ul.NowyŚwiat;;
ESKULAP Lekarska Specjalistyczna Spółdzielnia Pracy;(85)7323152ul.Malmeda6;;
ESKULAP Usługi Medyczne Maria Sobańska-Żurek Sp.j.;(42)6329156;;
ESKULAP Usługi Medyczne Maria Sobańska-Żurek Sp.j.;509022385;;
Europejskie Centrum Medyczne Sp. z o.o.;(22)6445311;;
Europejskie Centrum Medyczne Sp. z o.o.;(22)6441177;;
Evomed Sp. z o.o.;(91)8140200;;
Evomed Sp. z o.o.;(91)4228235;;
Gabinet Neurologiczny lek.med. Neurolog Jerzy Bajko;(91)4891896;;
Gabinet Neurologiczny lek.med. Neurolog Jerzy Bajko;504045155;;
KRAJMED Centrum Medyczne;(22)4586967-69;;
KRAJMED Centrum Medyczne;(22)4586970;;
Lecznica Lekarzy Specjalistów PULS;(22)6684853;;
Lecznica Lekarzy Specjalistów PULS;(22)8824260;;
Med-Expert Sp. z o.o.;(22)4234458-59;;
Med-Expert Sp. z o.o.;(22)6731865;;
Miejsko-Gminny Zespół Zakładów Opieki Podstawowej;(76)8174846;;
Mille Medica Sp. z o.o.;(22)4080110;;
Mille Medica Sp. z o.o.;(22)4080220;;
NZOZ EURO-KLINIKA Sp. z o.o.;(32)2280944;;
NZOZ EURO-KLINIKA Sp. z o.o.;507096308;;
NZOZ Euroklinika Sp. z o.o.;(33)4859440;;
NZOZ Euroklinika Sp. z o.o.;720890740MedycynaEstetyczna;;
NZOZ Medicor System Opieki Medycznej;(22)8410511;;
NZOZ Medicor System Opieki Medycznej;(22)4970972;;
NZOZ OPTIMA;(22)7243644;;
NZOZ OPTIMA;(22)7243643;;
NZOZ Przychodnia MORENA Sp. z o.o.;(58)3407220;;
NZOZ Przychodnia MORENA Sp. z o.o.;(58)3407240;;
Ortop Sp. z o.o. Sp.komandytowa;616497615;;
Ortop Sp. z o.o. Sp.komandytowa;(61)6497634;;
Oświęcimskie Centrum Medyczne oraz Centrum Badań Klinicznych MEDICOME Sp. z o.o.;(33)8421844;;
Oświęcimskie Centrum Medyczne oraz Centrum Badań Klinicznych MEDICOME Sp. z o.o.;698901491;;
PARENS Centrum Leczenia Niepłodności;(12)6653777;;
PARENS Centrum Leczenia Niepłodności;(12)6653790;;
Prywatny Gabinet Chirurgiczny dr n.med. Andrzej Popow;(85)8732000;;
Prywatny Gabinet Urologiczny lek. med. Roman Szwedowski;(77)4545737;;
Przychodnia Medyczna;(58)6201428;;
Przychodnia Medyczna;(58)6202379;;
Przychodnia Rehabilitacyjno-Lecznicza BIOMED;(22)8646425;;
Przychodnia Rehabilitacyjno-Lecznicza BIOMED;531282323;;
Przychodnia Specjalistyczna Hipoteczna 4 Sp. z o.o.;(81)5325081;;
Przychodnia Specjalistyczna Hipoteczna 4 Sp. z o.o.;(81)5325082;;
Przychodnia VITAMED;(52)3478815;;
Przychodnia VITAMED;(52)3257777;;
Specjalistyczne Centrum Diagnostyczno-Lecznicze Bamberski Dwór;(61)8481410;;
Specjalistyczne Centrum Diagnostyczno-Lecznicze Bamberski Dwór;(61)8477140;;
3Bell Centrum Medyczno-Stomatologiczne;(12)4218551;;
AGAMED Chirurgia Ortopedyczna Ośrodek Artroskopii;(42)6331455;;
AGAMED Chirurgia Ortopedyczna Ośrodek Artroskopii;(42)6331523;;
ASYMED Niepubliczny Zakład Opieki Zdrowotnej;(91)4643336;;
BRAIN-TECH-LAB S.c. Joanna Boroń-Zyss, Iwona Hady;(12)4311630;;
BRAIN-TECH-LAB S.c. Joanna Boroń-Zyss, Iwona Hady;790233171;;
Bytomskie Centrum Medyczne Jedynka Sp. z o.o.;(32)2810922;;
Bytomskie Centrum Medyczne Jedynka Sp. z o.o.;(32)2816330;;
Centrum Chirurgiczne FRAGMAT;531799995;;
Centrum Chirurgiczne FRAGMAT;(42)6783100;;
Centrum Diagnostyczno Terapeutyczne MEDYK;(63)2443838;;
Centrum Diagnostyki Medycznej ENDOMED;(58)5577223ul.Subisława;;
Centrum Diagnostyki Medycznej ENDOMED;(58)5577239ul.Subisława;;
Centrum Medyczne DIAGNOZA A.Błażewska-Gruszczyk, M.Słowiaczek Sp.j.;(12)6380473;;
Centrum Medyczne DIAGNOZA A.Błażewska-Gruszczyk, M.Słowiaczek Sp.j.;660446574;;
Centrum Medyczne ENDO-MED;(71)7810128;;
Centrum Medyczne ENDO-MED;(71)7810140;;
Centrum Medyczne Luxmed Sp. z o.o.;(81)5323711;;
Centrum Medyczne Przyjaźni;(81)4413565;;
Centrum Medyczne Przyjaźni;(81)4413566;;
Centrum Medyczne SIGNUM / Optyk Okulista Signum;(32)3500034-37;;
ELMED Bydgoszcz Sp. z o.o.;(52)3461199;;
ELMED Bydgoszcz Sp. z o.o.;(52)3461190;;
Gabinety Lekarskie Łucka;(22)6542464;;
Gabinety Lekarskie Łucka;(22)6542462;;
GajaMed;664766646;;
Górnośląskie Centrum Medycyny i Rehabilitacji AMED;(32)2015014;;
Górnośląskie Centrum Medycyny i Rehabilitacji AMED;(32)2015062;;
INTERCOR Sp. z o.o.;(52)3399933;;
INTERCOR Sp. z o.o.;(52)3399940;;
Med-Orzeł Sp. z o.o.;(32)3877633;;
MEDAX S.Jędrzejczyk, K.Lau Sp.j.;(42)6324094rejestracja;;
MEDAX S.Jędrzejczyk, K.Lau Sp.j.;(42)6321329rejestracja;;
MEDICAL BETA Sp. z o.o.;(94)3411049;;
MEDICAL BETA Sp. z o.o.;(94)3410935;;
Neuro-Care Szpital i Poradnia Specjalistyczna;(32)3539359;;
Neuro-Care Szpital i Poradnia Specjalistyczna;(32)2053288;;
Niepubliczny Zakład Opieki Zdrowotnej ZDROWIE;(44)6353156;;
Niepubliczny Zakład Opieki Zdrowotnej ZDROWIE;602383792;;
NOVOMEDICA Centrum Leczenia Niepłodności;(32)3182741;;
NOVOMEDICA Centrum Leczenia Niepłodności;(32)3163771;;
NOVUM-MED Centrum Medyczne;(32)4407751;;
NOVUM-MED Centrum Medyczne;(32)4407752;;
NZOZ Centrum Leczenia Bólu i Akupunktury MOKSAMED;(32)2511401;;
NZOZ Centrum Leczenia Bólu i Akupunktury MOKSAMED;602398778;;
NZOZ Lambda Sp. z o.o.;(32)2871141;;
NZOZ Lambda Sp. z o.o.;(32)7681730;;
NZOZ MEDICUS SP. Z O.O. - Poradnia Zdrowia;(43)8232593;;
NZOZ MEDIS+;(32)2877878;;
NZOZ MEDREM POLIKLINIKA Sp. z o.o.;(77)4232660;;
NZOZ MEDREM POLIKLINIKA Sp. z o.o.;(77)4548160;;
NZOZ Medyk;(44)6337950;;
NZOZ Medyk;(44)6338488;;
NZOZ Miejska Przychodnia Lekarska Nr IV Sp. z o.o.;(14)6888181;;
NZOZ Miejska Przychodnia Lekarska Nr IV Sp. z o.o.;(14)6888182;;
NZOZ Przychodnia Nowy Dwór Sp. z o.o.;(71)3579611;;
NZOZ Przychodnia Nowy Dwór Sp. z o.o.;(71)3574954;;
NZOZ REHA-MED Przychodnia Rehabilitacyjno-Lecznicza;(32)2322191w.20;;
NZOZ Specjalistyczna Przychodnia Lekarska ERGOMED S.c.;(12)2662195;;
NZOZ Specjalistyczna Przychodnia Lekarska ERGOMED S.c.;(12)2668482;;
NZOZ Stomatologia SYPIEŃ S.c.;(33)8227133;;
NZOZ Stomatologia SYPIEŃ S.c.;516018280;;
Petra Medica Sp. z o.o.;(22)7402020;;
Poradnia REMEDIUM;(32)3461370;;
Poradnia REMEDIUM;692477453;;
PROWENT Prywatny Gabinet Seksuologiczny;503093006;;
Prywatna Praktyka Lekarska Specjalista Medycyny Pracy Joanna Wacławik;606238294;;
Prywatny Gabinet Urologiczny dr n. med. Maciej Szwedowski;601490141;;
Prywatny Gabinet Urologiczny dr n. med. Maciej Szwedowski;(77)4545737;;
Przychodnia NASZE ZDROWIE - Niwińscy;(15)8798753;;
Samodzielny Publiczny Zespół Opieki Zdrowotnej;(34)3506380;;
Samodzielny Publiczny Zespół Opieki Zdrowotnej;(34)3506383;;
Szpital i Przychodnia Medica Celsus Sp. z o.o. Sp.komandytowa;602133845;;
Szpital i Przychodnia Medica Celsus Sp. z o.o. Sp.komandytowa;606639496;;
VITAMED - P HOŁÓWKO I PARTNERZY - SPÓŁKA LEKARZY SPECJALISTÓW;(32)4709720;;
