ANGORATEX Sp. z o.o.;(42)6491335;;
ANGORATEX Sp. z o.o.;(42)6492387;;
MARFIL Sp. z o.o. Sp.komandytowa;(22)3231105-06;;
Legs Sp. z o.o.;(42)2707100;;
Legs Sp. z o.o.;(42)2707101;;
MADAZ P.H.U.;(42)6548949;;
MADAZ P.H.U.;(42)6500926;;
RECTE-KOMES S.c.;606369544;;
RECTE-KOMES S.c.;(42)6841674;;
ARELAN S.A.;(42)6403208Sprzedaż;;
ARELAN S.A.;(42)6403206Sprzedaż;;
BESTER P.H.P.U.;(16)6241760;;
BESTER P.H.P.U.;(16)6241762;;
Cariz;(42)6560552;;
Cariz;(42)6405186;;
POLZEKO II Przędze Dziewiarskie;607459610;;
Przedsiębiorstwo NADEX;(55)2733843;;
Przedsiębiorstwo NADEX;604569840;;
Sklep Internetowy NITECZKA.PL;(77)4855147;;
BOCIAN Anna Boniszewska-Bocian, Tadeusz Bocian Sp.j.;(81)5349050;;
BOCIAN Anna Boniszewska-Bocian, Tadeusz Bocian Sp.j.;(81)5349050w.120;;
POLONTEX S.A.;(34)3692000;;
POLONTEX S.A.;(34)3692376;;
PPH Linex S.c.;(52)3213024;;
PPH Linex S.c.;(52)3457317;;
Better Firma Dziewiarska;(42)2158400;;
Better Firma Dziewiarska;604804939;;
MOTEK Eliza Mytych-Kumańska;508947056;;
Filato Sp. z o.o.;790577770;;
AGRO-POLI Sp. z o.o.;(81)8845557-58;;
AGRO-POLI Sp. z o.o.;(81)8210361;;
amiQs Gdańsk;532091142;;
amiQs Gdańsk;532091143;;
AmiQs Marcin Ratyński;606203820;;
AmiQs Marcin Ratyński;788870323;;
AVERE Sp. z o.o.;604067944;;
AVERE Sp. z o.o.;(42)6131777;;
Biferno;517477776;;
BOTOMAG S.c.;509497996;;
COLOUR CONNECTION Sp. z o.o.;(42)2357091;;
COLOUR CONNECTION Sp. z o.o.;603798991;;
DAGAZ;(61)6707933;;
DAGAZ;530619699;;
FRAFIL;(42)7127500;;
HOBBY-WEŁNA;604592367;;
Hurtownia Przędzy KALADA;(042)7169627;;
Hurtownia Przędzy KALADA;(042)7169618;;
INO Machinery Sp. z o.o.;668177578;;
Jeleniogórska Przędzalnia Czesankowa ANILUX S.A.;(75)7647361-65;;
Jeleniogórska Przędzalnia Czesankowa ANILUX S.A.;(75)7647563;;
JURAN Sp. z o.o. Przędze Dziewiarskie;(42)7123613;;
K.P.S.H. GRAŻKA Zbigniew Kobalczyk Hurtownia Dodatków Krawieckich;(42)6631300;;
K.P.S.H. GRAŻKA Zbigniew Kobalczyk Hurtownia Dodatków Krawieckich;(42)6631301;;
KAREX;(42)6832244;;
KAREX;(42)6830434;;
Kroton II;(32)2640237;;
Kroton II;(32)2621103;;
MADO Sp. z o.o.;(42)6373797;;
MADO Sp. z o.o.;(42)6377291;;
Makpol Sp. z o.o.;(34)3643494;;
Makpol Sp. z o.o.;(34)3643490;;
MANN Biuro Handlu Zagranicznego;(42)6122563;;
MANN Biuro Handlu Zagranicznego;(42)6407762;;
MARTIS;(42)2761234;;
MARTIS;(42)2760555;;
MISTRAL-ELAST Sp. z o.o. Producent Przędz;(42)6724499;;
NISZA Przędza i Rękodzieło;608283998;;
OCZY SZEROKO OTWARTE - Sklep Internetowy Magicloop.com.pl;513138090;;
P.P.H. EMIL S.c.;(42)2796616;;
P.P.H.U. KRAJEWSKI;(46)8374530;;
P.P.H.U. KRAJEWSKI;(46)8300100;;
PMT-YARNS;794081200;;
PMT-YARNS;793783108;;
Przedsiębiorstwo Handlowe IKON;(42)6492319;;
Przedsiębiorstwo Handlowe IKON;(42)6492409;;
Przedsiębiorstwo Przemysłu Bawełnianego ZAMTEX S.A.;(086)2712101;;
Przedsiębiorstwo Przemysłu Bawełnianego ZAMTEX S.A.;(086)2713127;;
Przedsiębiorstwo XIMA;(58)6821890;;
Przędzalnia SAFILIN POLSKA Sp. z o.o.;(89)7587475;;
ROZMARYN-TEX Hurtownia Przędzy;(42)6724236;;
ROZMARYN-TEX Hurtownia Przędzy;(42)6724222;;
RUFLEX;(42)6521072;;
RUFLEX;(42)6522122;;
SAFILIN Sp. z o.o.;(89)6232700;;
SAFILIN Sp. z o.o.;(89)6232709;;
Şireci Polska;881727372;;
Sklep Internetowy iCORD;502731101;;
Sklep Świat Babci Ewy;(34)3249901;;
Sklepdziewiarki.pl;793357618;;
Szeba Sp. z o.o.;(32)6700982;;
Szeba Sp. z o.o.;(32)6703735;;
TEXIM M.Dominiak Sp.j.;(42)6362642;;
TEXIM M.Dominiak Sp.j.;(42)6371004;;
TEXIMA Sp. z o.o.;(42)6813108;;
TEXIMA Sp. z o.o.;501040233;;
TEXSERVICE Sp. z o.o.;(42)7124440;;
TORUS K.R. Zawistowscy Sp.j.;(42)2549815;;
TORUS K.R. Zawistowscy Sp.j.;(42)2549818;;
UNIKET;(61)8102492;;
UNIKET;602385266;;
VSV PL Sp. z o.o.;(74)8529999;;
VSV PL Sp. z o.o.;609557517;;
WEŁNOLAND;(62)7533079;;
WEŁNOLAND;(62)7533077;;
YARN Sp.j.;(56)4752864;;
YARN Sp.j.;695080679;;
Z.P.H.U. TEXMAR Marek Olempski;604588393;;
Z.P.H.U. TEXMAR Marek Olempski;(42)6409937;;
Zakład Włókienniczy IRTEX inż. Ireneusz Kaszyński;(43)6775345;;
Zakłady Tkanin Technicznych BONITEX S.A.;(75)6450311;;
Zakłady Tkanin Technicznych BONITEX S.A.;(75)6450301;;
ZAMOTANE Korcz Urszula;(61)8720216;;
ZAMOTANE Korcz Urszula;509956906;;
Art-Bijou Marta Bilska;602316541;;
BASIOR Hurtownia;(32)2472132;;
Contifibre Poland Sp. z o.o.;(42)2744040;;
Cristal;503197554;;
Cristal;(32)7852647;;
Dom Handlowo-Agencyjny Amatex Sp. z o.o.;(42)6880583;;
Dom Handlowo-Agencyjny Amatex Sp. z o.o.;(42)6883011;;
FASTRYGA.PL;(61)8655122;;
FASTRYGA.PL;(61)8652163;;
FIC POL;(18)2641425;;
FIC POL;603035232;;
Hurtownia Tkanin Kary;601879375;;
Jarmag Sp.j.;(81)7100600;;
Jarmag Sp.j.;(81)7100605;;
KRYSTA Andrzej Pająk i Krystyna Pająk S.c.;(33)4827070;;
KRYSTA Andrzej Pająk i Krystyna Pająk S.c.;(33)4869881;;
P.P.H.U. Dorofurex;(42)6800046;;
P.P.H.U. Dorofurex;(42)6802505;;
PH CŁAPA;(42)7160840;;
PH CŁAPA;(42)7174583;;
PPHU LINPOL S.c.;(42)2140818;;
PPHU LINPOL S.c.;608842093;;
Producent Tkanin Wełnianych Z-TEX S.c.;(42)7164068;;
Producent Tkanin Wełnianych Z-TEX S.c.;509520557;;
Przedsiębiorstwo Handlowo-Usługowe PATI;668953632;;
STRADOM S.A.;(34)3247031;;
STRADOM S.A.;(34)3651495;;
TRI-TEX BIS Sp. z o.o.;(42)2154442;;
TRI-TEX BIS Sp. z o.o.;512100406;;
UNION-FARB Sp. z o.o.;(42)6842000;;
UNION-FARB Sp. z o.o.;(42)6840408;;
WFB Baird Poland Sp. z o.o.;(75)7413252;;
WFB Baird Poland Sp. z o.o.;(75)7414787;;
Wyszukane.pl Izabela Gniadek;503117613;;
Zakład Przędzalniczo-Dziewiarski WAJER S.c.;(71)3853789;;
Zakład Przędzalniczo-Dziewiarski WAJER S.c.;(71)3853773;;
