IN ALTUM Zespół Lekarzy i Psychologów;602356253;;
IN ALTUM Zespół Lekarzy i Psychologów;(22)8976033;;
NZOZ PRO VITA;(12)4138047;;
Ośrodek Diagnostyki Neurorozwojowej i Rehabilitacji w Pile;(67)2154682;;
Ośrodek Interwencji Kryzysowej Doradztwa Psychologicznego i Psychoterapii;696484561;;
Ośrodek Interwencji Kryzysowej Doradztwa Psychologicznego i Psychoterapii;505174396;;
Ośrodek Pomocy Psychologicznej THERAPEUTICUS;607332306;;
Ośrodek Pomocy Psychologicznej THERAPEUTICUS;606737484;;
Pracownia Psychoterapii Agnieszka Kubacka;609823924;;
Prywatna Poradnia Pedagogiczno-Psychologiczna POCIECHA;(85)7455001;;
AVITA Ośrodek Psychologiczny;782983988;;
AVITA Ośrodek Psychologiczny;793313300;;
Centrum Edukacji Doradztwa i Rozwoju CEDR;(75)7423757;;
Centrum Edukacji Doradztwa i Rozwoju CEDR;695980565;;
Centrum Psychoedukacji i Terapii;(32)2143000;;
Centrum Psychoedukacji i Terapii;(32)7202008;;
Centrum Psychologiczne WIDNOKRĄG;789249162(sekretariat);;
Centrum Psychologiczne WIDNOKRĄG;782416382;;
Centrum Psychoterapii i Szkoleń Psychologicznych;(61)8701464;;
Centrum Psychoterapii i Szkoleń Psychologicznych;600359060;;
Gabinet Psychologiczny Grażyna Depak-Gurgul;600929551;;
Gabinet Psychologiczny Krystyna Wójt;605326079;;
Gabinet Psychoterapii i Rozwoju GESTALT Anna Małecka;601821318;;
Gabinet Psychoterapii Psycholog-Gliwice.com;889411157;;
My Progress Sp. z o.o.;(22)8685720;;
My Progress Sp. z o.o.;504190111;;
NZOZ Poradnia Zdrowia Psychosomatycznego VIAMED;508117896;;
NZOZ Poradnia Zdrowia Psychosomatycznego VIAMED;(81)5328461;;
Ośrodek Usług Psychologicznych SELF;503190023;;
Ośrodek Usług Psychologicznych SELF;(48)3603529;;
Poradnia Psychologiczno-Pedagogiczna;(58)6732569;;
Pracownia Psychologiczna mgr Małgorzata Siwica;692533359;;
Warszawski Ośrodek Psychoterapii i Psychiatrii Sp. z o.o.;(22)8397443;;
Warszawski Ośrodek Psychoterapii i Psychiatrii Sp. z o.o.;721434334;;
Zespół Wychowania i Pomocy Psychologiczno-Pedagogicznej Nr 2 w Chełmie;(82)5657369;;
Acti-Test Marzanna Herzig;603641737;;
