Firma Handlowa RATOS-NATURA S.c.;(15)8686222;;
PROKIT Skup Propolisu;(22)8491572;;
PROKIT Skup Propolisu;601492241;;
Stolarstwo Tartacznictwo Ryszard Sułkowski;(75)7414438;;
Stolarstwo Tartacznictwo Ryszard Sułkowski;(75)7413716;;
CD S.A. Miód Pszczeli;(33)8270943;;
CD S.A. Miód Pszczeli;(33)8270953;;
Gospodarstwo Pasieczne Sądecki Bartnik Sp. z o.o.;(18)4451882;;
Gospodarstwo Pasieczne Sądecki Bartnik Sp. z o.o.;(18)4140550;;
Gospodarstwo Pszczelarskie DUTKOWIAK;(95)7554572;;
Gospodarstwo Rolno Pasieczne Miód w Proszku Witold Janusz Strzeszewski;(52)3463996;;
Gospodarstwo Rolno Pasieczne Miód w Proszku Witold Janusz Strzeszewski;607036746;;
Huzar Sp. z o.o.;(18)4434599;;
Huzar Sp. z o.o.;(18)4437146;;
MED-APIS Gospodarstwo Pszczelarskie Bułka Roman;(59)8211783;;
MED-APIS Gospodarstwo Pszczelarskie Bułka Roman;600332977;;
P.P.H.U Nektar Cecylia Badeńska , Waldemar Badeński, Małgorzata Guzowska;(55)2324604;;
Pasieka BIENE;605525850;;
Pasieka BIENE;(43)8412156;;
PASIEKA EKOLOGICZNA Jerzy Bańkowski;668256007;;
PH BARĆ Włodzimierz Cyc;(84)6856077;;
Roztoczański Związek Pszczelarzy;(84)6642092;;
Roztoczański Związek Pszczelarzy;(84)6643800;;
Spółdzielnia Pszczelarska APIS w Lublinie;(81)7442005;;
Spółdzielnia Pszczelarska APIS w Lublinie;(81)7442942;;
Sklep Pszczelarski BARTNIK;(83)3422825;;
Sklep Pszczelarski BARTNIK;509114344;;
Gospodarstwo Agroturystyczne POPIELÓWKA;(18)4468221;;
Gospodarstwo Agroturystyczne POPIELÓWKA;660745071;;
APIS GEO;509634949;;
APIS GEO;512261468;;
Spółdzielnia Ogrodniczo-Pszczelarska w Giżycku;(87)4286202;;
Spółdzielnia Ogrodniczo-Pszczelarska w Giżycku;730138086;;
Prywatna Pasieka Mieczysław Łępicki;509751517;;
Prywatna Pasieka Mieczysław Łępicki;(91)5630480;;
AGROPROPOLIS S.c.;(22)8453030;;
Apiland;663277700;;
APIMAR PPH Marzanna Marcinkowska;(81)8834163;;
APIMAR PPH Marzanna Marcinkowska;603854243;;
APIPOL-WAX Przedsiębiorstwo Produkcyjno-Handlowe;691441054;;
BEE & HONEY Sp. z o.o.;(33)8451011;;
BEE & HONEY Sp. z o.o.;(33)8735140;;
Centrum Pszczelarskie Łukasiewicz;(95)7379952;;
Centrum Pszczelarskie Łukasiewicz;603556787;;
Centrum Pszczelarskie Wilde Pasieka Hodowlana mgr inż. Maria Wilde;(89)5240323;;
Centrum Pszczelarskie Wilde Pasieka Hodowlana mgr inż. Maria Wilde;605036181;;
EkoMiodek Teresa Gierula Pasieka i Sklep;604449694;;
EkoMiodek Teresa Gierula Pasieka i Sklep;661997447;;
EkoMiody Pasieka Lidii i Mateusza Morawskich;(12)4137587;;
EkoMiody Pasieka Lidii i Mateusza Morawskich;795066776;;
Firma ANNA Mariusz Wąs;(46)8740094;;
Firma ANNA Mariusz Wąs;(46)8740437;;
Gospodarstwo Pasieczne Andrzej Gałuszka;(33)8737563;;
Gospodarstwo Pasieczne Andrzej Gałuszka;604870319;;
Gospodarstwo Pasieczne BARĆ ŚWIĘTOKRZYSKA S.c. Marzena Schab, Rafał Frankiewicz;502236682;;
Gospodarstwo Pasieczne BARĆ ŚWIĘTOKRZYSKA S.c. Marzena Schab, Rafał Frankiewicz;502478756;;
Gospodarstwo Pasieczne BONIKA;509212372;;
Gospodarstwo Pasieczne BONIKA;509991728;;
Gospodarstwo Pasieczne JMM;(48)6153411;;
Gospodarstwo Pasieczne JMM;(22)8349383;;
Gospodarstwo Pasieczne Kaszubskie Miody Hieronim Kosecki;(52)3982952;;
Gospodarstwo Pasieczne Kaszubskie Miody Hieronim Kosecki;604563152;;
Gospodarstwo Pasieczne KRÓLEWSKIE MIODY;696098797;;
Gospodarstwo Pasieczne KRZEMYK;513030659;;
Gospodarstwo Pasieczne Leśny Dwór;(89)6243777;;
Gospodarstwo Pasieczne LOFANT Jerzy Pilaszewski;603220364;;
Gospodarstwo Pasieczne LOFANT Jerzy Pilaszewski;691183528;;
Gospodarstwo Pasieczne ŁYSOŃ;(33)8758807;;
Gospodarstwo Pasieczne ŁYSOŃ;(33)8464512;;
Gospodarstwo Pasieczne Pasieka Dębowa Krzysztof Kamiński;514315434;;
Gospodarstwo Pasieczne Pasieka Szeligów;501644642;;
Gospodarstwo Pasieczne PSZCZELI DAR Tomasz Jakubiec;694564550;;
Gospodarstwo Pasieczne Pszczółka;(18)2665171;;
Gospodarstwo Pasieczne Pszczółka;504636970;;
Gospodarstwo Pasieczne RÓJKA;(12)2817031;;
Gospodarstwo Pasieczne SOCHA;(61)8171758;;
Gospodarstwo Pasieczne SOCHA;604068299;;
Gospodarstwo Pasieczne Tomasz Strzyż;(76)7592000;;
Gospodarstwo Pasieczne Tomasz Strzyż;692849804;;
Gospodarstwo Pasieczne Tomasz Zarzycki;660160080;;
Gospodarstwo Pasieczne Tomasz Zarzycki;791928211;;
Gospodarstwo Pasieczne ULIK Irena i Marian Śliczniak;(84)6818070;;
Gospodarstwo Pasieczne w Pątnowie Legnickim Stefan Widurski;(76)7218270;;
Gospodarstwo Pasieczne w Pątnowie Legnickim Stefan Widurski;603255366;;
Gospodarstwo Pasieczne Wiesław Pamuła;(12)6549368;;
Gospodarstwo Pasieczne Wiesław Pamuła;506033221;;
Gospodarstwo Pszczelarskie Sławomir Trzybiński;501432752;;
Gospodarstwo Pszczelarskie Wenda Józef;(33)8739750;;
jedzmiody.pl;885400800;;
Łysoń Sp. z o.o. Hurtownia Sprzętu Pszczelarskiego;(61)8425822;;
Małopolskie Centrum Biotechniki Sp. z o.o.;(17)8534201;;
Małopolskie Centrum Biotechniki Sp. z o.o.;(17)8532088;;
Manuka Medical;532557789;;
Mazurskie Miody ZPH KAROLINA;(89)5136413;;
Mazurskie Miody ZPH KAROLINA;(89)5136434;;
MIODAN Karol Tetich;725197993;;
MIODAN Karol Tetich;663565026;;
MIODOLAND-Gospodarstwo Pasieczne;(16)6288731;;
MIODOLAND-Gospodarstwo Pasieczne;792016141;;
MIODOWNIA Sklep z Miodami;536356500;;
MIODY PSZCZELE Bogdan Sojda;(15)8645693;;
MIODY PSZCZELE Bogdan Sojda;781294684;;
NECTAR Polska Sp. z o.o.;(61)8203607;;
NECTAR Polska Sp. z o.o.;(61)8203607w.15;;
Okręgowa Spółdzielnia Pszczelarska PSZCZELARZ;(12)4214111;;
Okręgowa Spółdzielnia Pszczelarska PSZCZELARZ;(12)4214307;;
P.H.U. EUROKENS;(022)8125580;;
P.H.U. EUROKENS;502422240;;
P.H.U. INTENSO;791204840;;
P.P.H.U HYPIAK MIODY PODKARPACKIE;607525814;;
P.P.H.U. Orion;(34)3172121;;
P.P.H.U. Orion;(34)3101556;;
P.P.H.U. WAKONT Waldemar Kontakiewicz;(89)7534202;;
P.P.H.U. WAKONT Waldemar Kontakiewicz;518928788;;
PACHNICZÓWKA Sp. z o.o.;511710243;;
Pasieka Ambrozja L.B.Kowaliczek;(33)8741861;;
Pasieka Ambrozja L.B.Kowaliczek;664041946;;
Pasieka Arkadiusz Potymko;(89)7646560;;
Pasieka Arkadiusz Potymko;607839742;;
Pasieka B&M Mosoń;(14)6541570;;
Pasieka B&M Mosoń;697402052;;
Pasieka BARĆ;(18)4741632;;
Pasieka BARĆ;(18)4741720;;
Pasieka Barć Marysińska;(22)7561821;;
Pasieka Barć Marysińska;515075274;;
Pasieka Ciemiętniki;(41)3664928;;
Pasieka Ciemiętniki;604898015;;
Pasieka Dziki Miód Sklep Internetowy dzikimiod.pl;607626215;;
Pasieka Dziki Miód Sklep Internetowy dzikimiod.pl;514602155;;
Pasieka Edmund Rostkowski;(75)7788044;;
Pasieka Joanny Karwackiej;(18)2857041;;
PASIEKA Józef i Mirosław Wrońscy;505445877;;
Pasieka Kujawska Apicom Joanna Pawłowska-Tyszko;(54)2843119;;
Pasieka Łapiński;(86)2180086;;
Pasieka Łapiński;606268456;;
Pasieka Marcinkowscy;603465022;;
Pasieka Marcinkowscy;603514611;;
Pasieka pod Pilskiem Jacek Ziemak;508103346;;
Pasieka Pszczela;(61)8677335;;
Pasieka Pszczela Piotr Reichert;605047945;;
Pasieka Pszczela Z&M Zofia i Mieczysław Janikowie;(81)5628019;;
Pasieka Pszczeli Dar;604492698;;
Pasieka Pszczeli Miód;(12)2723108;;
Pasieka Pszczeli Miód;606823633;;
PASIEKA PUCER;508381243;;
PASIEKA PUCER;508381244;;
Pasieka Rajca Maria;(77)4392140;;
Pasieka Sp. z o.o.;(56)6520195;;
Pasieka Stanisław Paszkowski;(15)8471608;;
Pasieka Stanisław Paszkowski;515124378;;
Pasieka Starowiejska Wiesław Ląd;(81)5625242;;
Pasieka Wędrowna;604991951;;
Pasieka Wędrowna BENEK;(74)8675577;;
Pasieka Wędrowna BENEK;500248557;;
PASIEKA WĘDROWNA D.M.Dobraczyńscy, M.A.Ugorowscy;(22)6420040;;
PASIEKA WĘDROWNA D.M.Dobraczyńscy, M.A.Ugorowscy;(22)8854171;;
Pasieka Wędrowna MAJA;(77)4125374;;
Pasieka Wędrowna MAJA;516698222;;
Pasieka Wędrowna Mieczysław Szlęzak;(32)6424944;;
Pasieka Wędrowna Mieczysław Szlęzak;666816826;;
PASIEKA-URBANIAK.pl;(63)2727158;;
PASIEKA-URBANIAK.pl;695230060;;
PASIEKA.org;512350178;;
Pawilon BARTNIK;509694233;;
Podkarpacki Pszczelarz Gospodarstwo Pasieczne;(13)4324672;;
Polski Nektar Sp. z o.o.;515141588;;
Polski Nektar Sp. z o.o.;(65)5442046;;
Propharma Sp. z o.o.;(22)2668499;;
Propharma Sp. z o.o.;(22)2668498;;
Prywatna Pasieka w Lublinie Jerzy Masolak;(081)7416877;;
Przedsiębiorstwo Pszczelarskie Tomasz Łysoń Sp. z o.o. Sp.komandytowa;(33)8706402;;
Przedsiębiorstwo Pszczelarskie Tomasz Łysoń Sp. z o.o. Sp.komandytowa;(33)8759324;;
Pszczela Dolina Fryderyk i Grzegorz Pachlowski;(12)2703070;;
Pszczelarski Dom Sprzedaży Wysyłkowej DARZ MIÓD;(34)3247254;;
Pszczelarski Dom Sprzedaży Wysyłkowej DARZ MIÓD;691264907;;
Pszczelarz Kozacki;(84)6416969;;
Pszczelarz Kozacki;(84)6430659;;
Rejonowa Spółdzielnia Ogrodniczo-Pszczelarska;(41)3783027;;
Rejonowa Spółdzielnia Ogrodniczo-Pszczelarska;(41)3783026;;
REPUBLIKA MIODU ® Pasieka Pszczela w Puszczy Noteckiej;601704253;;
REPUBLIKA MIODU ® Pasieka Pszczela w Puszczy Noteckiej;607333681;;
Sklep Pszczelarski APIS Janusz i Piotr Rybnik;(85)6748686;;
Spadziowa Pasieka;(018)4452003;;
Spadziowa Pasieka;503038634;;
Specjalistyczne Gospodarstwo Pszczelarskie Gładys;666244144;;
Spiżarnia Miodowa Ewa Migocka;(71)3139256;;
Spiżarnia Miodowa Ewa Migocka;691529142;;
Sprzęt Pszczelarski Z.P.H.U. Andrzej Kokoszka;(12)6351200;;
Sprzęt Pszczelarski Z.P.H.U. Andrzej Kokoszka;506985696;;
Stowarzyszenie Pszczelarzy Zawodowych;(81)5628076wew.29;;
Stowarzyszenie Pszczelarzy Zawodowych;501266623;;
Świat Miodów;795966549;;
TĘCZOWA PASIEKA;501550652;;
UL-MET S.c.;(12)6351847;;
WOX Miody dla zdrowia i osłody;(15)8687336;;
WOX Miody dla zdrowia i osłody;501485779;;
ZAMAX Zbigniew Kniga-AmbasadaMiodu.pl;501012537;;
A-grosik Przetwórstwo Spożywcze i Handel Jacek Wołkowicz;(022)8643246;;
A-grosik Przetwórstwo Spożywcze i Handel Jacek Wołkowicz;(022)8313046;;
