ALCOM radiokomunikacja i telewizja przemysłowa;(95)7513211;;
Audio Tour Guide System TOMIX;(77)4565511;;
Audio Tour Guide System TOMIX;601565511;;
Omega CB Witkowska Anna;692134847;;
P.P.H.U. Navcom Systems S.c.;(81)7517670;;
P.P.H.U. Navcom Systems S.c.;501225095;;
P.P.P. i U.R. Lambda Sp. z o.o.;(58)3013675-76;;
MRUK ELECTRONICS Urządzenia Radiotelekomunikacyjne;502216020;;
MRUK ELECTRONICS Urządzenia Radiotelekomunikacyjne;(32)6741006;;
RadioPartners Sp. z o.o.;(22)2508190;;
RadioPartners Sp. z o.o.;(22)2508191;;
Skanbis Andrzej Porwoł;(32)4305021;;
Skanbis Andrzej Porwoł;698522733;;
TELMI Radiokomunikacja Michał Smolarski;(32)2612409;;
TELMI Radiokomunikacja Michał Smolarski;(32)4401122;;
AUDIO-BIEL;(71)3536705;;
AUDIO-BIEL;(71)3521877;;
CARO-BIS Radiokomunikacja Marek Lewandowski;(42)6825108;;
DALES RADIOKOMUNIKACJA;(22)6439681;;
DALES RADIOKOMUNIKACJA;(22)6416380;;
F.P.U.H. CEZAM;(33)8150233;;
F.P.U.H. CEZAM;602774142;;
MUEL;(22)6652255;;
P.U.P.H. Techno-tronik;(77)4072520;;
P.U.P.H. Techno-tronik;(77)4072521;;
RADKOM Sp. z o.o. Radiotelefony, Anteny;(58)6232917;;
RADKOM Sp. z o.o. Radiotelefony, Anteny;(58)6996689;;
Inexim Sp. z o.o.;(22)5781135-37;;
Inexim Sp. z o.o.;(22)5781138;;
TELE-COM Sp. z o.o.;(61)8689017;;
TELE-COM Sp. z o.o.;(61)8685652;;
Up-Telecom Sp. z o.o.;(22)8143037;;
Up-Telecom Sp. z o.o.;(22)8143047;;
ZURT Sp. z o.o.;(42)6846100;;
ZURT Sp. z o.o.;(42)6823879Sprzedażdetaliczna;;
AK-NEL;(22)6686971;;
AK-NEL;501293414;;
APE Elektroinstalacje;(12)2665154;;
Carlos CB Radio;(58)3461630;;
Carlos CB Radio;601227567;;
KUBA TRONIC SERWIS;(91)5784760;;
KUBA TRONIC SERWIS;501045487;;
KWANT Pracownia Pomiarów Promieniowania;(61)6247469;;
METEOR Przedsiębiorstwo Wielobranżowe;(71)3601644;;
METEOR Przedsiębiorstwo Wielobranżowe;(71)3601527;;
P.P.H.U. VIOTECH Wioletta Przybylska;(24)2356257;;
PROLECH R. i S.Leszek Sp.j.;(25)6830221;;
PROLECH R. i S.Leszek Sp.j.;(25)6823185;;
WiRan Sp. z o.o.;(58)6631010;;
WiRan Sp. z o.o.;603702683;;
Przedsiębiorstwo Wielobranżowe MULTIKO;(74)8533878;;
Przedsiębiorstwo Wielobranżowe MULTIKO;603214921;;
ABEL & PRO-FIT Centrum Radiokomunikacji;(42)6492828;;
ABEL & PRO-FIT Centrum Radiokomunikacji;(42)6770470;;
ABRADIO;(62)7372040;;
ABRADIO;(62)7381601;;
ADAMPOL Radiokomunikacja i Elektronika;(32)2731428;;
ADAMPOL Radiokomunikacja i Elektronika;501465875;;
ADAMPOL Radiokomunikacja i Elektronika;(32)2539254;;
ADAMPOL Radiokomunikacja i Elektronika;(32)6087099;;
AKSEL Sp. z o.o.;(32)4295100;;
AKSEL Sp. z o.o.;(32)4295103;;
Aktywator GSM Sp. z o.o.;519424823;;
Aktywator GSM Sp. z o.o.;(68)3216437;;
Alan Telekomunikacja Sp. z o.o.;(22)7223500;;
Alan Telekomunikacja Sp. z o.o.;(22)7222995;;
Alaska;(58)6612645;;
ALFA RADIO;(52)3719100;;
ALFA RADIO;(52)3719132;;
ALTRAN;(22)8475533;;
ALTRAN;(22)8475544;;
APTEL;504204931;;
APTEL;(22)4032344;;
ARKENA Sp. z o.o.;(22)6451680;;
ARKENA Sp. z o.o.;(22)6451690;;
ARTCOM;(71)3634200;;
ARTCOM;(71)3612312;;
Astecoma Sp.j. Tomasz Zjawin, Mariusz Michalski;793080778;;
Astecoma Sp.j. Tomasz Zjawin, Mariusz Michalski;500031379;;
AVANTI Radiokomunikacja;(22)8313452;;
AVANTI Radiokomunikacja;(22)6367275;;
Axes System Sp. z o.o.;(58)3476326;;
AZEP S.c.;(81)7481989;;
AZEP S.c.;(81)4444322;;
AZSTUDIO.COM.PL;(48)3441238;;
AZSTUDIO.COM.PL;501408817;;
BIG 5 S.c.;508964552;;
BinarTech Sp.j.;(022)3499514;;
BS SERWIS - Autoryzowany Serwis Panasonic-Siemens;(52)3493901;;
BS SERWIS - Autoryzowany Serwis Panasonic-Siemens;(52)3764631;;
CB Life FHU Omega Paweł Goss;691514745;;
CeoTronics Sp. z o.o.;(42)6553311;;
CeoTronics Sp. z o.o.;(42)6552288;;
Ceragon Poland Sp. z o.o.;(22)6393505;;
Ceragon Poland Sp. z o.o.;(22)6393506;;
COM-RADIO Systemy Komunikacji Radiowej;(81)7438383;;
COM-RADIO Systemy Komunikacji Radiowej;509678673;;
Dolnet Group Sp. z o.o.;(74)6379991;;
Dolnet Group Sp. z o.o.;605111706;;
DUET - Profesjonalne Rozwiązania Techniczne dla Radia i Telewizji;602776160;;
DUET - Profesjonalne Rozwiązania Techniczne dla Radia i Telewizji;662013257;;
ELEKTRIT Sp. z o.o.;(85)7152813;;
ELEKTRIT Sp. z o.o.;(85)7157532;;
ELNEX;(48)3671313;;
ELNEX;(48)3663377;;
eNka S.c. radio-sklep.pl;666282918;;
eNka S.c. radio-sklep.pl;666282919;;
EPA Marine Sp. z o.o.;(91)4350700;;
EPA Marine Sp. z o.o.;609189506;;
Eurosat Electronics;(42)2509211;;
Eurosat Electronics;(42)2509212;;
F.H.U Krzysztof Kościelski;500802072;;
