DOM RECYKLINGU Sp. z o.o.;601555339;;
DOM RECYKLINGU Sp. z o.o.;609632266;;
e-Recykling Sp. z o.o.;(62)7425152;;
e-Recykling Sp. z o.o.;503002140;;
HERMES RECYCLING Sp. z o.o.;(85)6643885;;
HERMES RECYCLING Sp. z o.o.;(85)6643886;;
PERFEKT Piekut i Partnerzy S.c.;(68)3828016;;
PERFEKT Piekut i Partnerzy S.c.;601847237;;
Wtórplast - Recykling Jerzy Jabłoński;(61)8939246;;
Wtórplast - Recykling Jerzy Jabłoński;(61)8939247;;
AGD RTV Utylizacja i Recycling P.P.H.U. POLBLUME;(22)7273587-zakładutylizacji;;
AGD RTV Utylizacja i Recycling P.P.H.U. POLBLUME;(22)7569661-biuro;;
Centrum Recyklingu EKO-MAX Makowski, Szymkiewicz Sp.j.;(95)7415471;;
Centrum Recyklingu EKO-MAX Makowski, Szymkiewicz Sp.j.;601857328;;
EUROBAC Organizacja Odzysku Opakowań S.A.;(52)5640505;;
EUROBAC Organizacja Odzysku Opakowań S.A.;(52)5640509;;
F.U.H. HOLDMAR Szymański Sławomir;601242226;;
F.U.H. HOLDMAR Szymański Sławomir;(22)7890635;;
ŁUKAPATR - Prasa, Schredder, Rozdrabniarki do Recyclingu;602300646;;
PPH BOMAX Zakład Przetwórstwa Tworzyw Sztucznych;(46)8622484;;
PPH BOMAX Zakład Przetwórstwa Tworzyw Sztucznych;(46)8622527;;
PPHU ERGPET Sp. z o.o.;(14)6806308;;
PPHU ERGPET Sp. z o.o.;(14)6926516;;
Wastes Service Group Sp. z o.o. i Wspólnicy Sp.k.;(71)7887077;;
Wastes Service Group Sp. z o.o. i Wspólnicy Sp.k.;(71)7887078;;
AMS METAL Sp. z o.o.;(32)6091331;;
AMS METAL Sp. z o.o.;(32)6091332;;
ARTGLAS Recykling;(68)3604127;;
ARTGLAS Recykling;(68)4129843;;
EDELMET Sp. z o.o.;(32)2556111;;
F.P.H.U. BŁACHUT;(33)8601072;;
F.P.H.U. BŁACHUT;508379910;;
GLOB-TERM S.c.;(91)4868686;;
GLOB-TERM S.c.;601872410;;
Hamburger Recycling Polska Sp. z o.o.;(77)4414448;;
Hamburger Recycling Polska Sp. z o.o.;(77)4414449;;
KAT-RECYKLING Sp. z o.o.;889064306;;
KAT-RECYKLING Sp. z o.o.;534994306;;
KOLTEX Sp. z o.o.;(17)2273682;;
KOLTEX Sp. z o.o.;(17)2274444;;
Medien Partner Recykling Dariusz Bogdański;(22)7256256;;
Medien Partner Recykling Dariusz Bogdański;885858884;;
Zakład Wtórnego Obrotu Zużytym Ogumieniem;(74)8559585;;
Zakład Wtórnego Obrotu Zużytym Ogumieniem;601081114;;
BATERPOL S.A.;(32)7792000;;
BATERPOL S.A.;(32)7792009;;
DISONI Trade House Sp. z o.o.;(22)7752392;;
DISONI Trade House Sp. z o.o.;(22)7757975;;
P.H.U. KRYGIER;501286176;;
