Ekoregen Sp. z o.o.;694774228;;
AKURENO;504938936;;
DASTA S.c.;(33)8210271;;
JJA Akumulatory;(77)5454246;;
JJA Akumulatory;512129420;;
MARGO S.c.;(71)3593787;;
MARGO S.c.;(71)3591691;;
PPHU IC ELECTRONICS;501282787;;
PPHU IC ELECTRONICS;601213074;;
Zakład Remontu i Dozoru Akumulatorów AKU-ZRIDA;(22)6128968;;
Zakład Remontu i Dozoru Akumulatorów AKU-ZRIDA;608118566;;
AM Electronics;(71)7142349;;
AM Electronics;505145753;;
AMPER Sp. z o.o.;(32)2853463;;
AMPER Sp. z o.o.;(32)2854063;;
ELTECO POLAND S.A.;(12)6233300-05;;
ELTECO POLAND S.A.;(12)6233322;;
Makro Market Michał Sachajko I Wspólnicy Spółka Jawna;(71)7926071;;
Makro Market Michał Sachajko I Wspólnicy Spółka Jawna;(71)7926073;;
P.H. Hurtozbyt;(56)6575739;;
P.H. Hurtozbyt;(56)6224960;;
Przedsiębiorstwo Handlowe GESTOR;(71)3418474;;
Przedsiębiorstwo Handlowe GESTOR;691700139;;
