ARMA-MED Specjalistyczna Gimnastyka Korekcyjna;512324999;;
ARMA-MED Specjalistyczna Gimnastyka Korekcyjna;501693827;;
Centrum Medyczne i Rehabilitacji KRIOSONIK;(22)8115173;;
Centrum Rehabilitacji SORNO;(22)4994578;;
Centrum Rehabilitacji SORNO;691283418;;
FIZJO-MARK Zabiegi Fizjoterapeutyczne i Pielęgnacyjne;692905592;;
Niepubliczny Zakład Opieki Zdrowotnej RUDEK Gabinet Rehabilitacji Medycznej;(17)8579059;;
RE-VITA Gabinet Rehabilitacji-Fizjoterapia;(12)4138603;;
RE-VITA Gabinet Rehabilitacji-Fizjoterapia;608433899;;
Rehabilitacja Kraków NZOZ Prolo-Med Przychodnia Rehabilitacyjna;(12)6410088;;
Specjalistyczne Centrum Rehabilitacji VITA;(22)7301408;;
Specjalistyczne Centrum Rehabilitacji VITA;601616185;;
TLK MED Sp. z o.o.;(12)2942030;;
TLK MED Sp. z o.o.;(12)2942053;;
Activ-REH Sp. z o.o.;(22)6632083;;
Activ-REH Sp. z o.o.;(22)6633073;;
Centrum Kompleksowej Rehabilitacji Konstancin-Jeziorna;(22)7030000;;
Centrum Kompleksowej Rehabilitacji Konstancin-Jeziorna;(22)7030100;;
Emka Terapia Manualna i Fizykoterapia;603884864;;
Emka Terapia Manualna i Fizykoterapia;605251731;;
FIZJOTERAPIA Andrzej Myśliwiec;(32)7398077;;
FIZJOTERAPIA Andrzej Myśliwiec;600951426;;
Gabinet Masażu i Rehabilitacji, Terapia Manualna Vita Max;502911232;;
GABINET MASAŻU Krystyna Kiebus;604939889;;
Gabinety Rehabilitacji Funkcjonalnej FIZJO-CENTER;501014637;;
Gabinety Rehabilitacji Funkcjonalnej FIZJO-CENTER;608684630;;
Instytut Rehabilitacji Sportowej RehaBursiewicz;(71)3366630;;
Instytut Rehabilitacji Sportowej RehaBursiewicz;600031394;;
Ośrodek Rehabilitacyjno-Szkoleniowy Neurorehabilitacyjny N.Z.O.Z.;(61)4473260;;
Rehabilitacja Panaceum;504174464;;
Rehabilitacja Panaceum;501449437;;
Salon Masażu Tajskiego THAI MAI;510800777;;
Szkoła Pływania PLUSK;508227334;;
AKSON Gabinet Rehabilitacji Barbary Nowak;(22)7203679;;
AKSON Gabinet Rehabilitacji Barbary Nowak;602698847;;
ARTROS Rehabilitacja Andrzej Niewiński;(85)7328744;;
ARTROS Rehabilitacja Andrzej Niewiński;662008848;;
BIOENERGOTERAPIA Andrzej Gasis;601070677;;
BIORELAX;(22)8320585;;
BIORELAX;501088075;;
CEDR Prywatny Gabinet Terapii Manualnej i Masażu;606641443;;
Centrum Intensywnej Terapii OLINEK;(22)5592137;;
Centrum Intensywnej Terapii OLINEK;228413733;;
Centrum Rehabilitacji Funkcjonalnej Sielski Łukasz Piotr;789133499;;
Centrum Rehabilitacji IMPRIMIS;(18)5401444;;
Centrum Rehabilitacji REN-POL;501280316;;
Centrum Rehabilitacji REN-POL;500490325;;
Centrum Rekreacji i Rehabilitacji Le Soleil;(22)6490087;;
Centrum Rekreacji i Rehabilitacji Le Soleil;602551278;;
Centrum Terapeutyczne UniqueCenter;604612401;;
Centrum Terapeutyczne UniqueCenter;604055356;;
Dotyk Natury Day Spa;505496266;;
EUROMED Centrum Rehabilitacji;(94)3466790;;
