Centrum Zaopatrzenia Medyczno-Rehabilitacyjnego INMED;(42)6317121;;
Centrum Zaopatrzenia Medyczno-Rehabilitacyjnego INMED;534709000;;
P.P.H.U. TECH-MEDICA Andrzej Szafrański;(91)4313358;;
P.P.H.U. TECH-MEDICA Andrzej Szafrański;(91)3508238;;
APCO Sp. z o.o.;(22)6714025;;
APCO Sp. z o.o.;(22)6712537;;
Dr FRENKEL fotele masujące, hydromasaż;(22)3117667;;
Dr FRENKEL fotele masujące, hydromasaż;(22)7161663;;
ELMAR;(62)5941019;;
ELMAR;(71)7072183;;
Farmedica Sp. z o.o.;(22)5183600;;
IKA-R S.c.;(22)3539804;;
IKA-R S.c.;(22)3539805;;
INTERMED;(18)4777201;;
INTERMED;(18)4715693;;
K.B.E.I. Artykuły Ortopedyczne Aleksandra E.Leung;(22)6581646;;
K.B.E.I. Artykuły Ortopedyczne Aleksandra E.Leung;(22)6584576;;
LIFT Profil Marek Hutnik;(34)3111341;;
MUSI Lublin Sp. z o.o.;(81)7471185;;
MUSI Lublin Sp. z o.o.;(81)7474802;;
ORTOMEDIKA ortopedia i rehabilitacja, dobór i sprzedaż sprzętu;(17)8520866;;
ORTOMEDIKA ortopedia i rehabilitacja, dobór i sprzedaż sprzętu;(17)7835775;;
Ortopedyka protezy kończyn dolnych;(32)7660183;;
Ortopedyka protezy kończyn dolnych;518825122;;
PUH EDA Dystrybutor Wyrobów Medycznych RelaxSan & Farmacell;(48)3650609;;
PUH EDA Dystrybutor Wyrobów Medycznych RelaxSan & Farmacell;(48)3441252;;
Sklep Medyczny Medica Humana;(71)3448120;;
Sklep Medyczny Medica Humana;(71)3448122;;
WS TECH S.c.;(13)4644449;;
WS TECH S.c.;(13)4668965;;
AMBULANS - literatura i sprzęt medyczny;(81)5342400;;
AMBULANS - literatura i sprzęt medyczny;607860185;;
BALIAN Górniak Urbański Sp.j.;(61)2951044;;
BALIAN Górniak Urbański Sp.j.;606111883;;
Euromobil Sp. z o.o.;(46)8745020;;
Euromobil Sp. z o.o.;(42)6520557;;
JOHN PIOTR Firma Handlowa;774531319;;
JOHN PIOTR Firma Handlowa;(77)4531252;;
KALMED Jan Kalkowski;(52)3203089;;
KALMED Jan Kalkowski;601647878;;
MAG MED Salony Sprzętu Medycznego i Rehabilitacyjnego;(56)6583894(ul.Bażyńskich);;
MAG MED Salony Sprzętu Medycznego i Rehabilitacyjnego;(52)3858268(ul.Gdańska);;
MED-ORTH Specjalistyczna Firma Ortopedyczna;(71)3723033;;
MED-ORTH Specjalistyczna Firma Ortopedyczna;(71)3414750;;
MEDART Sklep Medyczny;(55)2337779;;
ORTO-PES Anna Horbulko;(71)7900301;;
ORTO-PES Anna Horbulko;512179578;;
Recomedic S.c.;(76)8707070;;
Recomedic S.c.;(76)8707020;;
REH4MAT Sławomir Wroński;(16)6214220;;
REH4MAT Sławomir Wroński;(16)6214135;;
REHA TEAM Rehabilitacja & Ortopedia;516123325;;
REHA TEAM Rehabilitacja & Ortopedia;503187485;;
Sklep Medyczny Medina;571247602;;
Thuasne Polska Sp. z o.o.;(22)7973048;;
Thuasne Polska Sp. z o.o.;(22)7577736;;
Zakład Sprzętu Ortopedycznego i Rehabilitacyjnego Sp. z o.o.;(52)3227669;;
Zakład Sprzętu Ortopedycznego i Rehabilitacyjnego Sp. z o.o.;(52)3210284;;
Aparaty Medyczne Viofor;(91)4691470;;
Aparaty Medyczne Viofor;602199085;;
APPARATUS Aparatura Medyczna i Rehabilitacyjna;(71)3390310;;
APPARATUS Aparatura Medyczna i Rehabilitacyjna;(71)3391078;;
Cardio-pass;(32)2028284;;
Cardio-pass;(32)2027250;;
Cezal Sp. z o.o.;(22)6633042;;
Cezal Sp. z o.o.;(22)6336861;;
CROSS MEDICA2 Sklep Medyczno-Rehabilitacyjny oraz Niepubliczny Zakład Opieki Zdrowotnej;(22)6701700;;
DELTOM Sp. z o.o.;(56)6601188;;
DELTOM Sp. z o.o.;694416342;;
DIMED Sklep Medyczny i Wypożyczalnia;(71)7845607;;
DIMED Sklep Medyczny i Wypożyczalnia;508205011;;
doMASAZU.pl;(77)4406435;;
doMASAZU.pl;791445320;;
ERES MEDICAL Sp. z o.o.;(81)5020070;;
ERES MEDICAL Sp. z o.o.;(81)5021032;;
Gabinet Wkładek Ortopedycznych ORTOPEDYK;(22)6242372;;
IGNATOWICZ S.c. Sprzęt Rehabilitacyjny;(22)6441412;;
IGNATOWICZ S.c. Sprzęt Rehabilitacyjny;691396333;;
Importer i Dystrybutor Wózków Elektrycznych i Sprzętu Rehabilitacyjnego TRANS;(58)5201684;;
Importer i Dystrybutor Wózków Elektrycznych i Sprzętu Rehabilitacyjnego TRANS;506551932;;
INNOMED Jan Namysł;601519667;;
INNOMED Jan Namysł;(61)8289674;;
J.A.S.;605674017;;
J.A.S.;667432282;;
Kryniccy Sp.j. Wytwórnia Sprzętu Rehabilitacyjnego;(61)8638561;;
Masterclean & Service;(16)6271042;;
Masterclean & Service;509553606;;
MEDICAL Sprzęt Medyczny;(91)4889915;;
METALOWIEC Sp. z o.o. Zakład Pracy Chronionej;(77)4104159;;
METALOWIEC Sp. z o.o. Zakład Pracy Chronionej;(77)4104558;;
ORTIS Salony Ortopedyczne, Sklepy Medyczne;(74)4330703;;
ORTIS Salony Ortopedyczne, Sklepy Medyczne;(74)6475391;;
ORTO SERVICE;(22)7563398;;
ORTO SERVICE;(22)7172141;;
Ortopedyczny 24;517484949;;
P.W. Gama;602417259;;
P.W. Gama;(61)2817018;;
PRO-WELLNESS Jurczyk, Abu El Ella, Cyran, Szpak Sp.j.;(32)3530881;;
PRO-WELLNESS Jurczyk, Abu El Ella, Cyran, Szpak Sp.j.;697819893;;
Protetyka Ortopedyczna Kałużny S.c.;(58)3021478;;
Protetyka Ortopedyczna Kałużny S.c.;691494550;;
Przedsiębiorstwo Handlowo Usługowe M.C.M.;503849804;;
Przedsiębiorstwo Produkcji Handlu i Usług VITA Sprzęt S.c.;(17)8508082;;
Przedsiębiorstwo Produkcji Handlu i Usług VITA Sprzęt S.c.;(17)8508081;;
REHAMIL;(91)4231315;;
REHAMOBIL Sp. z o.o.;(46)8311074;;
REHAMOBIL Sp. z o.o.;(42)6741423;;
SAB Andrzej Błaszczyk;(77)4647400;;
SAB Andrzej Błaszczyk;606701548;;
Sklep Medyczno-Ortopedyczny ORTOMED;(17)5831661;;
Sklep Medyczny MEDYK-ORT;(41)3619485;;
Sklep Medyczny MEDYK-ORT;600260896;;
Specjalistyczny Sklep Zaopatrzenia Medycznego PLASTER;(32)2535456;;
VIGO-Ortho Polska Sp. z o.o.;(42)6501500;;
VIGO-Ortho Polska Sp. z o.o.;(42)6502433;;
Sklep Medyczny ALL-MED;(77)8870501;;
Sklep Medyczny ALL-MED;730018501;;
FHU Olmed Sklep Ortopedyczny;508377420;;
FHU Olmed Sklep Ortopedyczny;(89)5332353;;
Amoena Polska Sp. z o.o.;(22)4368701;;
Amoena Polska Sp. z o.o.;(22)4368703;;
Apena-Remont Sp. z o.o.;(33)8160394;;
Apena-Remont Sp. z o.o.;(33)8160395;;
Biuro Handlowe MASMA;(12)4172518;;
Biuro Handlowe MASMA;(12)4170098;;
ELD-MED Sklep Medyczny Elżbieta Staszewska-Dyrda, Dariusz Dyrda Sp.j.;(52)3752100;;
ELD-MED Sklep Medyczny Elżbieta Staszewska-Dyrda, Dariusz Dyrda Sp.j.;513843327;;
Klastmed Grzegorz Żuchnik;(81)4410420;;
Kol-Dental Sp. z o.o. S.K.A.;(22)5146200;;
Kol-Dental Sp. z o.o. S.K.A.;(22)6138679;;
LEMAR E.Czyża, P.Bieleń Sp.j.;(89)5338850;;
LEMAR E.Czyża, P.Bieleń Sp.j.;(89)5338851;;
Medical Net Sp. z o.o.;(61)6567550;;
Medical Net Sp. z o.o.;(61)6567551;;
MEDLINE;(68)4127100;;
MEDLINE;(68)4127118;;
PATRON Sp. z o.o.;(63)2420752;;
STANMARK Mark Kubik;(12)6532212;;
STANMARK Mark Kubik;(12)6532170;;
Activ-REH Sp. z o.o.;(22)6632083;;
Activ-REH Sp. z o.o.;(22)6633073;;
AKFON Andrzej Kapitan;(81)4465860;;
AKFON Andrzej Kapitan;(81)4465861;;
AUDIOPROTETYKA Andrzej Rzepka;(41)3432460;;
Centrum Zaopatrzenia Medycznego MIRMED mgr Mirosław Dziekan;(75)7351080;;
Domedic Dental;(68)3858762;;
Domedic Dental;608480520;;
Europejskie Centrum Leczenia Niepłodności PLAST-MED;(32)3521040;;
Grupa Primako Sp. z o.o.;(42)6843804;;
INOXSTAL Sp.j. Sylwester i Jadwiga Pacik;(22)7866501;;
INOXSTAL Sp.j. Sylwester i Jadwiga Pacik;502290055;;
KADREMA Sp. z o.o.;(81)7484816;;
KRAK-OPTIC Sp. z o.o.;(12)2852235;;
