ARSENAL PL Sp. z o.o.;(85)7479077Sekretariat;;
ARSENAL PL Sp. z o.o.;(85)7479075;;
Carrefour Express - najmniejszy Carrefour świata;(22)8285058;;
KRÜGER Polska Sp. z o.o.;(29)6440004;;
KRÜGER Polska Sp. z o.o.;(29)6442777;;
Kupiec Sp. z o.o.;(63)2413737;;
Kupiec Sp. z o.o.;(63)2413739;;
AGREMA POLAND Sp. z o.o.;(71)3889350;;
AGREMA POLAND Sp. z o.o.;(71)3889355;;
AGRO FOOD S.A.;(32)2651240;;
AGRO FOOD S.A.;(32)2651239;;
ALL SPICE;(22)7511464;;
ALL SPICE;(22)7320952;;
APC AGRA Sp. z o.o.;(77)4564388;;
APC AGRA Sp. z o.o.;(77)4428282;;
API Sp. z o.o.;(62)7356484;;
API Sp. z o.o.;(62)7356485;;
Chr.Hansen Poland Sp. z o.o.;(22)7850205;;
Chr.Hansen Poland Sp. z o.o.;(22)7850530;;
CYKORIA S.A.;(52)3552000-03;;
CYKORIA S.A.;(52)3558211;;
Dobopack Trading;(22)6339626;;
Dobopack Trading;(22)6339627;;
Fanex Sp. z o.o.;(22)4710444;;
Fanex Sp. z o.o.;(22)4710410;;
Filar PHU;(58)6913907;;
Filar PHU;(58)6913900;;
IREKS PROKOPOWICZ Sp. z o.o.;(48)3308471;;
IREKS PROKOPOWICZ Sp. z o.o.;(48)3308472;;
JAR Aromaty Sp. z o.o. Sp. k.;(22)8642830;;
JAR Aromaty Sp. z o.o. Sp. k.;(22)8647362;;
Kruczyn Mariusz Pachura;(61)2875730;;
Kruczyn Mariusz Pachura;(61)2875486;;
Libra Polska Sp. z o.o.;(22)8129090;;
Libra Polska Sp. z o.o.;(22)8129100;;
MAJONEZY Spółdzielnia Pracy Produkcyjno-Handlowa w Kętrzynie;(89)7554430;;
MAJONEZY Spółdzielnia Pracy Produkcyjno-Handlowa w Kętrzynie;(89)7554440;;
NEW YORK HOT DOG;(42)2394285;;
Nordzucker Polska S.A.;(61)4479300;;
Nordzucker Polska S.A.;(61)4474490;;
OVOVITA;(42)2252997;;
OVOVITA;(42)2252998;;
P.P.H. AGRO-TOP Sp. z o.o. Producent Smalcu i Tłuszczy;(25)7981594w.114;;
P.P.H. AGRO-TOP Sp. z o.o. Producent Smalcu i Tłuszczy;(25)7981594w.115;;
Przedsiębiorstwo Obrotu Solą SÓL-TOR Sp.j.;(56)6582874;;
Przedsiębiorstwo Obrotu Solą SÓL-TOR Sp.j.;(56)6582884;;
PW VITPOL Józef Przygodzki Zakład Pracy Chronionej;(62)7528550;;
PW VITPOL Józef Przygodzki Zakład Pracy Chronionej;(62)7521113;;
SCANDIC FOOD Sp. z o.o.;(22)8255444;;
SCANDIC FOOD Sp. z o.o.;(22)8254192;;
The Lorenz Bahlsen Snack-World Sp. z o.o. Poland;(61)8649700;;
The Lorenz Bahlsen Snack-World Sp. z o.o. Poland;(61)8965039;;
WEGA Spółka z ograniczoną odpowiedzialnością Sp.K.;(67)2688953;;
WEGA Spółka z ograniczoną odpowiedzialnością Sp.K.;(67)2169844;;
ALMI Polska Sp. z o.o.;(32)3250509;;
ALMI Polska Sp. z o.o.;(32)3250514;;
AMIGO;(22)4476707;;
AMIGO;509163167;;
Aryż Z.H.P.;(23)6612181;;
Aryż Z.H.P.;606118221;;
BUSH TRADE S.c. Grygier & Buszkiewicz;662122032;;
BUSH TRADE S.c. Grygier & Buszkiewicz;662122023;;
EUROGUM POLSKA Sp. z o.o.;(22)8492995;;
EUROGUM POLSKA Sp. z o.o.;(22)6290481;;
Extravagance Sp. z o.o.;+48(12)6440921;;
Extravagance Sp. z o.o.;+48506160418;;
F.P.H. AGI Sebastian Koncewicz;(65)5736478;;
F.P.H. AGI Sebastian Koncewicz;(65)5727912;;
Firma Handlowa ROLNIK Sp.j.;(32)3262831;;
Firma Handlowa ROLNIK Sp.j.;(32)3262820;;
Firma Produkcyjno-Handlowa KRIST Sp.j. Tomasz Szczepanik, Robert Kądzielawa;(14)6422283;;
Firma Produkcyjno-Handlowa KRIST Sp.j. Tomasz Szczepanik, Robert Kądzielawa;(14)6422436;;
Greenet - Sklep Internetowy KuchnieOrientu.pl;533760062;;
Greenet - Sklep Internetowy KuchnieOrientu.pl;605330777;;
IPRA POLSKA Sp. z o.o. Biuro Handlowe;(12)2606620;;
IPRA POLSKA Sp. z o.o. Biuro Handlowe;(12)2606621;;
Janika;(22)8773788;;
Janika;602600570;;
KOPER Anna Koper;(42)6332084;;
Lallemand Polska Sp. z o.o.;(22)7338400;;
Marand A.Półkośnik i Wspólnicy Sp.j.;603372266;;
Marand A.Półkośnik i Wspólnicy Sp.j.;667601200;;
MILLE SAPORI PLUS Sp. z o.o.;(22)6326105;;
MILLE SAPORI PLUS Sp. z o.o.;(22)2903333;;
P.P.H. BENEKO Bernard Bubacz;(94)3755036;;
P.P.H. BENEKO Bernard Bubacz;(94)3754421;;
PanAsia Polska Sp. z o.o.;(22)6311360;;
PanAsia Polska Sp. z o.o.;(22)6323227;;
PARTNER Sp. z o.o. Sp. komandytowa;(42)7178093;;
PARTNER Sp. z o.o. Sp. komandytowa;(42)7178241;;
PCO Group Sp. z o.o.;(94)3475610;;
PCO Group Sp. z o.o.;(94)3475611;;
PHU AMELIA - FLAMMKUCHEN- POD PŁOMYK;503547833;;
PHU AMELIA - FLAMMKUCHEN- POD PŁOMYK;503547820;;
Poznańska Wytwórnia Produktów Spożywczych PEGAZ Sp. z o.o.;(61)8648310;;
Poznańska Wytwórnia Produktów Spożywczych PEGAZ Sp. z o.o.;(61)8671324;;
PPH EMIX;(54)2802508;;
PPH EMIX;(54)2803373;;
Przedsiębiorstwo Produkcyjno-Handlowe JANEX Jan Ciupak, Leszek Ciupak Sp.j.;(15)8725087;;
Przedsiębiorstwo Produkcyjno-Handlowe JANEX Jan Ciupak, Leszek Ciupak Sp.j.;(15)8723723;;
SAM-SCAN Sp. z o.o.;(42)6585101;;
SAM-SCAN Sp. z o.o.;(42)6585202;;
Sklep-Bio Zdrowa Chatka;793399330;;
Społem Powszechna Spółdzielnia Spożywców im. Wł.Orkana w Nowym Targu;(18)2663784;;
Społem Powszechna Spółdzielnia Spożywców im. Wł.Orkana w Nowym Targu;(18)2662281;;
Społem Powszechna Spółdzielnia Spożywców w Elblągu;(55)6114800;;
Społem Powszechna Spółdzielnia Spożywców w Elblągu;(55)6114801;;
Wytwórnia Octu i Musztardy w Parczewie Sp. z o.o.;(83)3551795;;
Wytwórnia Octu i Musztardy w Parczewie Sp. z o.o.;(83)3551796;;
Zakład Koncentratów Spożywczych Adam Osuch;(32)6177033;;
Zakład Koncentratów Spożywczych Adam Osuch;601464696;;
Zakład Piekarniczo-Cukierniczy GLUTENEX Sp. z o.o.;(61)8146537;;
Zakład Piekarniczo-Cukierniczy GLUTENEX Sp. z o.o.;(61)8146179;;
ZALTECH Polska Sp. z o.o.;(17)8717980;;
ZALTECH Polska Sp. z o.o.;(17)8717990;;
AMBAR-ALDO;(12)2851873;;
AMBAR-ALDO;(12)2852120;;
ANAJ Produkcja Artykułów Spożywczych Andrzej Przybylak i Syn Sp.j.;(61)8133494;;
ANAJ Produkcja Artykułów Spożywczych Andrzej Przybylak i Syn Sp.j.;603596707;;
APR Sp. z o.o.;690802802;;
AS Oleje i Tłuszcze Roślinne Andrzej Schmidt;(22)5500956;;
AS Oleje i Tłuszcze Roślinne Andrzej Schmidt;(22)2013056;;
AVITA;(12)3763400;;
AVITA;(12)6448532;;
BART Sp. z o.o. Sp.komandytowa;(22)6662994;;
BART Sp. z o.o. Sp.komandytowa;(22)6652023;;
BIO Wytwórnia Makaronu Aleksandra Babalska;(56)4985977;;
Firma ALEKX Sp.j.;(32)7541698;;
Firma ALEKX Sp.j.;602637374;;
Firma Handlowa COPIAK Sp.j.;(032)3594117;;
Firma Handlowa COPIAK Sp.j.;(032)3594226;;
Firma ROS-SWEET Sp. z o.o.;(17)2253009;;
