M.S.A. ALPIMOR Sp. z o.o.;(58)5504549;;
M.S.A. ALPIMOR Sp. z o.o.;(58)5510448;;
DAR-BET BIS;603466640;;
DAR-BET BIS;506554405;;
EKO-BLASK W.Kot, R.Dziwina Sp.j.;(81)4427432;;
EKO-BLASK W.Kot, R.Dziwina Sp.j.;502489124;;
GLOBAL CLEANING Profesjonalne Sprzątanie Biur;(61)8768566;;
GLOBAL CLEANING Profesjonalne Sprzątanie Biur;513088224;;
INWEMER System Sp. z o.o.;(22)7183311;;
INWEMER System Sp. z o.o.;(22)7183322;;
Panel Serwis Sp. z o.o.;(62)7534439;;
Panel Serwis Sp. z o.o.;(62)7534490;;
PHU PERFEKT Szychowiak, Kalata Sp.j.;(71)3491388;;
PHU PERFEKT Szychowiak, Kalata Sp.j.;602759930;;
PUH Tara;699905040;;
PUH Tara;692012106;;
Pulire Warehouse Sp. z o.o.;(32)2510840;;
Pulire Warehouse Sp. z o.o.;(32)2510841;;
ROBOT 1 B.Orzechowska i Z.Gryglewicz Sp.j.;(71)3447960;;
ROBOT 1 B.Orzechowska i Z.Gryglewicz Sp.j.;(71)3725887;;
ALKOM Firma Komunalno-Porządkowa;(61)2247100;;
ALKOM Firma Komunalno-Porządkowa;(61)2247221;;
ATA Usługi Porządkowe;505091205;;
ATA Usługi Porządkowe;602870092;;
CLAR SYSTEM Grupa Kapitałowa;(61)6601100;;
CLAR SYSTEM Grupa Kapitałowa;(61)6220622;;
Clean Master;502854444;;
Cleenpol Sp. z o.o.;608745836;;
Cleenpol Sp. z o.o.;608746021;;
DASTERS J.D.Gaffke;513051389sprzątanie;;
DASTERS J.D.Gaffke;512390537brukarstwo;;
Dom Serwis;501637115;;
Dom Serwis;501344886;;
EPS Przybylski Sp.j.;(61)8194019;;
EPS Przybylski Sp.j.;(61)8194105;;
Firma Sprzątająca Woj&Mar;(32)2341376;;
Firma Sprzątająca Woj&Mar;502524434;;
Firma Usługowa Monika Nowak;(74)6441484;;
FUKS P.Komorowski, T.Sibiński Sp.j.;(71)3291558;;
FUKS P.Komorowski, T.Sibiński Sp.j.;783820721;;
Grupa TANDEM;(22)6493792;;
Grupa TANDEM;601393257;;
J.K. PUCUŚ;(22)4664970;;
J.K. PUCUŚ;603165151;;
KOBEX Sp.j. Zakład Pracy Chronionej;(41)2747035;;
KOBEX Sp.j. Zakład Pracy Chronionej;(41)2747034;;
A-Z Service;663645684;;
ADIX;503043008;;
ADIX;(22)6428352;;
Akori-Nieruchomości Sp. z o.o.;(61)8509640;;
Akori-Nieruchomości Sp. z o.o.;(61)8509641;;
Alfa Clean;606920255;;
Alfa Clean;(22)7817086;;
ATMIX Agnieszka Trojok;661185226;;
Bielski Klub Sportowy STAL Sp. z o.o.;(33)4975280;;
Bielski Klub Sportowy STAL Sp. z o.o.;(33)4995400;;
Clean Office Sp. z o.o.;(52)5810051;;
Clean Office Sp. z o.o.;501797930;;
CLEAN SERVICE Profesjonalne Utrzymanie Czystości;505671414;;
Clean Service Sp. z o.o.;(89)6797706;;
Clean Service Sp. z o.o.;(89)6797702;;
CLIMBEX S.A.;(77)4236257-58;;
DARESS Sp. z o.o. Sp.j.;(32)7409286;;
DARESS Sp. z o.o. Sp.j.;791984112;;
Dealmax Sebastian Orlewicz;603427918;;
Domex Przedsiębiorstwo Inżynieryjno-Usługowo-Konsultingowe Jerzy Szyba;(71)3559473;;
EKOLUX S.c.;509027233;;
EKOLUX S.c.;509027235;;
Erykon Obsługa Rynku Nieruchomości;501338828;;
Erykon Obsługa Rynku Nieruchomości;(22)8312449;;
