Wytwórnia Sprężyn Michał Appelt;(61)8120976;;
Wytwórnia Sprężyn Michał Appelt;(61)8111231;;
KERN-LIEBERS Poland Sp. z o.o. Sp.komandytowa;(34)3130956;;
WAKOS S.c. Ryszard Walisiewicz, Henryk Kowalczyk;(25)7589377;;
ZPUH SPRĘŻPOL S.c.;(32)2428474;;
ZPUH SPRĘŻPOL S.c.;(32)2439307;;
Fabryka Sprężyn Mazowianka Sp z o.o.;(22)7275280;;
Fabryka Sprężyn Mazowianka Sp z o.o.;(22)7275253;;
RONET Sp. z o.o. Sprężyny Producent;(52)3898771;;
RONET Sp. z o.o. Sprężyny Producent;(52)3898777;;
Zakład Produkcji Sprężyn B.Wasylczuk, M.Tomalik S.c.;(94)3467096;;
Zakład Produkcji Sprężyn B.Wasylczuk, M.Tomalik S.c.;(94)3467098;;
P.H.U. KAMAR Iwona Ferschke;(81)4417686;;
P.H.U. KAMAR Iwona Ferschke;(81)4417580;;
RAVEN Sp. z o.o.;(95)7522026;;
RAVEN Sp. z o.o.;(95)7524117-18;;
Zakład Mechaniczny BUMAR-MIKULCZYCE S.A.;(32)3738650;;
Zakład Mechaniczny BUMAR-MIKULCZYCE S.A.;(32)3738651;;
INTER-S Sp. z o.o.;(62)7912600;;
INTER-S Sp. z o.o.;(62)7912601;;
Adachsprings Produkcja Sprężyn;607307448;;
ADS-MET;(33)4741043;;
ADS-MET;664590002;;
Alcomex Sprężyny Sp. z o.o.;(32)4147340;;
Alcomex Sprężyny Sp. z o.o.;(32)4147341;;
ALMECH S.c.;(48)3855199;;
DFL Sp. z o.o. VANEL SARL;(71)7101535;;
DFL Sp. z o.o. VANEL SARL;(71)7234378;;
DYNAMIC SEAT Sp.j.;(71)3983511;;
DYNAMIC SEAT Sp.j.;(71)3143297;;
EUROTECHNIKA;(75)6460899;;
EUROTECHNIKA;(75)6414899;;
FA Krosno S.A.;(13)4371000;;
FA Krosno S.A.;(13)4371007;;
Fabryka Sprężyn BONELL-BIS Sp.j.;(71)3159956;;
Fabryka Sprężyn BONELL-BIS Sp.j.;(71)3159946;;
FEDRATECH S.c.;(32)7384044;;
FEDRATECH S.c.;(32)7265312;;
FUH Euroauto-Zbyt;(13)4939293;;
FUH Euroauto-Zbyt;696777077;;
GK-Springs;(71)3184812;;
GK-Springs;602655798;;
GREMET Sp. z o.o.;(22)6790113;;
GREMET Sp. z o.o.;(22)6789575;;
HERKULES Sp. z o.o.;(61)2928400;;
HERKULES Sp. z o.o.;(61)2928430;;
HS SPRĘŻYNY;(74)6005036;;
HSW-Zakład Sprężynownia Sp. z o.o.;(15)8135482;;
