Spółdzielnia Mieszkaniowa POJEZIERZE;(89)5373302;;
Spółdzielnia Mieszkaniowa POJEZIERZE;(89)5341316;;
Międzyzakładowa Spółdzielnia Mieszkaniowa ENERGETYKA;(22)8416011-centrala;;
Międzyzakładowa Spółdzielnia Mieszkaniowa ENERGETYKA;(22)8405335-prezes;;
Międzyzakładowa Spółdzielnia Mieszkaniowa Zrzeszeni (MSM ZRZESZENI);(52)3413825;;
Rudzka Spółdzielnia Mieszkaniowa w Rudzie Śląskiej;(32)2482411;;
Rudzka Spółdzielnia Mieszkaniowa w Rudzie Śląskiej;(32)2484322;;
Spółdzielnia Mieszkaniowa Dąbrowa;(42)2536430;;
Spółdzielnia Mieszkaniowa Dąbrowa;(42)2536431;;
Spółdzielnia Mieszkaniowa Wrocławski Dom;(71)3252695;;
Spółdzielnia Mieszkaniowa Wrocławski Dom;(71)3252696;;
Spółdzielnia Mieszkaniowa Zielone Wzgórza;(61)8122982;;
Spółdzielnia Mieszkaniowa Zielone Wzgórza;(61)8122721;;
Jasielska Spółdzielnia Mieszkaniowa;(13)4464040;;
Jasielska Spółdzielnia Mieszkaniowa;(13)4469100;;
Opolska Spółdzielnia Mieszkaniowa PRZYSZŁOŚĆ;(77)4538601-03;;
Opolska Spółdzielnia Mieszkaniowa PRZYSZŁOŚĆ;(77)4544315;;
POMORSKA Spółdzielnia Mieszkaniowa;(52)3420766;;
Puławska Spółdzielnia Mieszkaniowa;(81)8864286;;
Puławska Spółdzielnia Mieszkaniowa;(81)8863942;;
Retkińska Spółdzielnia Mieszkaniowa BOTANIK;(42)2532040;;
SBM Dembud;(22)6201174;;
SBM Dembud;(22)6521875;;
Spółdzielnia Mieszkaniowa AZS;(81)5367077-79;;
Spółdzielnia Mieszkaniowa AZS;(81)7403050;;
Spółdzielnia Mieszkaniowa CZUBY;(81)4641700-01;;
Spółdzielnia Mieszkaniowa CZUBY;(81)4641777;;
Spółdzielnia Mieszkaniowa DOM;(81)8862579;;
Spółdzielnia Mieszkaniowa FLOTA;505711120;;
Spółdzielnia Mieszkaniowa GÓRNIK;(74)8407100;;
Spółdzielnia Mieszkaniowa GÓRNIK;(74)8407101;;
Spółdzielnia Mieszkaniowa GRODZKA;(12)6379767;;
Spółdzielnia Mieszkaniowa Osiedle Młodych w Poznaniu;(61)8790411;;
Spółdzielnia Mieszkaniowa Osiedle Młodych w Poznaniu;(61)8775301;;
Spółdzielnia Mieszkaniowa Ugorek;(12)4119022;;
Spółdzielnia Mieszkaniowa Ugorek;(12)6276700;;
Spółdzielnia Mieszkaniowa w Radymnie;(16)6284860;;
Spółdzielnia Mieszkaniowa w Radymnie;(16)6284890;;
Spółdzielnia Mieszkaniowa Wybrzeże;(59)8102439;;
STĄGIEWNA Międzyzakładowa Własnościowa Spółdzielnia Mieszkaniowa;(58)3058622;;
STĄGIEWNA Międzyzakładowa Własnościowa Spółdzielnia Mieszkaniowa;(58)3010028;;
Częstochowska Spółdzielnia Mieszkaniowa NASZA PRACA;(34)3257355;;
Częstochowska Spółdzielnia Mieszkaniowa NASZA PRACA;(34)3256141;;
Spółdzielnia Mieszkaniowa MURANÓW;(22)8313045;;
Spółdzielnia Mieszkaniowa MURANÓW;(22)8313045w.28;;
Powszechna Spółdzielnia Mieszkaniowa w Chrzanowie;(32)6234754;;
Powszechna Spółdzielnia Mieszkaniowa w Chrzanowie;(32)6233737;;
Administracja Osiedla Wilga-Iskra;(22)6137255;;
Administracja Osiedla Wilga-Iskra;(22)6137997;;
Akademicka Spółdzielnia Mieszkaniowa;(58)3063921;;
Aleksandria - MERMAID Properties Sp. z o.o.;(42)2518102;;
Aleksandria - MERMAID Properties Sp. z o.o.;(42)2518101;;
Andrychowska Spółdzielnia Mieszkaniowa;(33)8753150;;
Andrychowska Spółdzielnia Mieszkaniowa;(33)8752034;;
Bełchatowska Spółdzielnia Mieszkaniowa;(44)6350340w.101;;
Bełchatowska Spółdzielnia Mieszkaniowa;(44)6350341w.132;;
Bialska Spółdzielnia Mieszkaniowa ZGODA;(83)3436090;;
Bialska Spółdzielnia Mieszkaniowa ZGODA;(83)3443185;;
Białogardzka Spółdzielnia Mieszkaniowa;(94)3122965;;
Białogardzka Spółdzielnia Mieszkaniowa;(94)3110173;;
Białostocka Spółdzielnia Mieszkaniowa;(85)7399500;;
Białostocka Spółdzielnia Mieszkaniowa;(85)7425265;;
BSM Beskidzka Spółdzienia Mieszkaniowa;(33)4990850;;
BSM Beskidzka Spółdzienia Mieszkaniowa;(33)4990875;;
Bytomska Spółdzielnia Mieszkaniowa;(32)2811291;;
Chełmska Spółdzielnia Mieszkaniowa;(82)5657751;;
