HAYGROVE Sp. z o.o.;(62)7819602;;
HAYGROVE Sp. z o.o.;(62)7819610;;
Fertyga Automatyka Szklarniowa;507069905;;
Fertyga Automatyka Szklarniowa;604968972;;
VOID Sp. z o.o.;(52)3706305;;
VOID Sp. z o.o.;(52)3723877;;
STAL IMPEX Sp. z o.o.;(13)4320691;;
STAL IMPEX Sp. z o.o.;(13)4201527;;
Gamm.pl;(68)4145707;;
AGRO-MAG S.c. Grzegorz Pawliński, Marek Wasilewski;602727459;;
AGRO-MAG S.c. Grzegorz Pawliński, Marek Wasilewski;692414467;;
AGRO-SUR Sp. z o.o. i wspólnicy Sp.komandytowa;(32)2876243;;
E-szklarnie;606506026;;
eKudera.com Jolanta Kudera;(74)8312523;;
eKudera.com Jolanta Kudera;604793803;;
F.H.U. FARMER CO;(14)6117174;;
F.P.H.U. MARYNIACZYK;(43)8290733;;
F.P.H.U. MARYNIACZYK;605820509;;
FOL-STAL PPHU;602316787;;
FOL-STAL PPHU;698067586;;
Green Drop;(22)4993434-35;;
Green Drop;(22)4997050;;
JAKSA;(42)2131620;;
JAKSA;(42)2150064;;
KGP Sp z o.o.;(42)6560466;;
KGP Sp z o.o.;(42)6123257;;
Metazet Horti Systems Sp. z o.o.;(18)2671136;;
Metazet Horti Systems Sp. z o.o.;(18)2692027;;
Perły Ogrodu;(33)4881752;;
Perły Ogrodu;600902096;;
PPHU Jerzy Kazimierczak;(42)2152950;;
PPHU Jerzy Kazimierczak;600301581;;
PPHU TOMEX Tomasz Kafarski;501583373;;
PRECIMET H.C.E.;(42)6725710;;
PRECIMET H.C.E.;(42)6725711;;
Prodal Sp. z o.o.;(91)3975047;;
Prodal Sp. z o.o.;(91)3976269;;
Przedsiębiorstwo Handlowe ACM Agrocentrum;(41)3441646;;
Przedsiębiorstwo Handlowe ACM Agrocentrum;(41)3691262;;
TOMEX Szklarnie;(42)6340147;;
TOMEX Szklarnie;604444415;;
VENLO Sp. z o.o.;517918240;;
VENLO Sp. z o.o.;512255369;;
VITROLOGIKA;(22)7544664;;
VITROLOGIKA;513172663;;
AUREA GARDEN Dagmara Berent;606137840;;
Davis & Kryjan GARDENS S.c.;(85)7441595;;
Davis & Kryjan GARDENS S.c.;507105802;;
TOP PLANTS Import-Export Doradztwo Ogrodnicze;(22)7204133;;
TOP PLANTS Import-Export Doradztwo Ogrodnicze;(22)7162504;;
Zakład Tworzyw Sztucznych LEMAR;(17)8630451;;
Zakład Tworzyw Sztucznych LEMAR;(17)8632565;;
