EPO Paweł Urbański;(22)2519531;;
EPO Paweł Urbański;(22)2013255;;
Glass Land Sp. z o.o.;(32)2549311;;
Glass Land Sp. z o.o.;601480514;;
Zakład Szklarski BOGDAN GLASS;(71)7859625;;
Zakład Szklarski BOGDAN GLASS;(71)7879625;;
Zakład Szklarski PAWEŁ SZKLARZ Paweł Kaminiecki;(71)3253133;;
Zakład Szklarski PAWEŁ SZKLARZ Paweł Kaminiecki;505666368;;
SZKŁO Zakład Handlowo-Usługowy Bernard Jackowiak;(87)5652165;;
Usługi Szklarskie Ramexim;(12)6580226;;
Usługi Szklarskie Ramexim;502761814;;
Z.P.U GLASS Zakład Szklarski;(22)7861527;;
Z.P.U GLASS Zakład Szklarski;(22)7868716;;
Zakład Szklarski Miś & Galeria Art-Miś;(55)2334625;;
Zakład Szklarski Miś & Galeria Art-Miś;501538628;;
AE KOREMBA;(12)4113643;;
Bielszkło Usługi Szklarskie;509672335;;
DIAMENT Zakład Szklarski Dariusz Bożek;(33)8423331;;
DIAMENT Zakład Szklarski Dariusz Bożek;502067202;;
FAZ-POL Piotr Szweda;604632040;;
Firma Usługowo-Handlowa Pol-Szkło S.c.;(12)6363151;;
Firma Usługowo-Handlowa Pol-Szkło S.c.;(12)6364610;;
Iden Glass Andrzej Zieliński;(22)7236616;;
Iden Glass Andrzej Zieliński;604202154;;
MASTER-HOUSE Glass Grzegorz Bocian;(22)8911333;;
MASTER-HOUSE Glass Grzegorz Bocian;602181898;;
MIRROR Larysa Skiba;(71)3494475;;
MIRROR Larysa Skiba;501149983;;
Serwis Szklarski AllGlass;516665553;;
Szklarstwo-BOŻEK;(33)8450765;;
Usługi Szklarskie Pachulski Waldemar;(22)7866743;;
Usługi Szklarskie Pachulski Waldemar;(22)7630807;;
Usługowy Zakład Szklarski SZKIEŁKO II;(94)3520859;;
Usługowy Zakład Szklarski SZKIEŁKO II;(94)3450432;;
Vital Tech - Szklarz24poznan.pl;(61)6107790;;
Vital Tech - Szklarz24poznan.pl;512713474;;
WIÓRTEX Usługi Szklarskie;(24)2634839;;
WIÓRTEX Usługi Szklarskie;604962525;;
Zakład Szklarski SZKŁO MAX;604476799;;
AB-GLASS P.H.P. Andrzej Biedrzycki;(22)6787541;;
