ST. PATRICK`S;(22)4485197;;
ST. PATRICK`S;602531857;;
Szkoła Języków Obcych LANGUS;(22)8434055;;
Szkoła Języków Obcych LANGUS;(22)8478759;;
ABC Centrum Językowe;602226755;;
Academia Polonica dr Ewa Masłowska;(22)6296211;;
Academia Polonica dr Ewa Masłowska;609704897;;
BRITAM Szkoła Języków Obcych;(32)2312216;;
Centrum Języka Francuskiego VOILA;(22)1260793;;
Centrum Języków Obcych PRECURSOR;608612779;;
English Unlimited Sp. z o.o.;728411038;;
English Unlimited Sp. z o.o.;(58)7463933;;
Espace Français;(22)3579224;;
Espace Français;605357160;;
SCHOLA POLONICA Anna Pomykałło;(22)6252652;;
Select Training Solutions;(12)6162141;;
Select Training Solutions;(12)6162140;;
Szkoła Języków Obcych PROMAR;(17)8601515;;
Alliance Francaise Lubelskie Stowarzyszenie;(81)5324731;;
Alliance Francaise Lubelskie Stowarzyszenie;509144607;;
Angielski Piaseczo - Leader School;(22)4048808;;
Angielski Piaseczo - Leader School;(22)4048809;;
ARCHIBALD Centrum Języków Obcych;(22)8287676;;
Centrum Edukacyjne Feniks;(12)4152233;;
Centrum Edukacyjne Feniks;698677030;;
Centrum Językowe 5 O`clock;(71)3447621;;
Centrum Językowe 5 O`clock;784355499;;
Centrum Językowe MISSION;(12)6227265;;
Centrum Językowe MISSION;604103696;;
CITY COLLEGE Szkoła Języka Angielskiego;(48)3632210;;
English For You;(22)6122121;;
English Language Centre (ELC);(42)6655755;;
English Language Centre (ELC);(42)6655760;;
English School Poznań;723698923;;
Europa Języków;508664420;;
LEKTOR;(13)4367740;;
LEKTOR;882794506;;
LINGUATON Sp.j. Janiszewska i Wspólnicy;(81)5278817;;
LINGUATON Sp.j. Janiszewska i Wspólnicy;(81)5340899;;
LLOYDS LANGUAGE CENTER;502646373;;
LLOYDS LANGUAGE CENTER;(48)3835211;;
SYLLABUS Szkoła Języków Obcych;(12)6558404ul.Klonowica;;
SYLLABUS Szkoła Języków Obcych;(12)6559723Centrala;;
Szkoła Języka Angielskiego English is Easy;796211982;;
3WAY Dynamiczne Centrum Językowe;(56)6641115;;
3WAY Dynamiczne Centrum Językowe;793600610;;
4 School of Languages;(89)6410224;;
ACTIVE STUDY;(61)8473394;;
Akademia Językowa 4u2 Agata Zaremba-Franek;606975504;;
Akademia Językowa 4u2 Agata Zaremba-Franek;536960735;;
ANGLO EDUCATION - Szkoła Języków Obcych;604084006;;
BARBADOS Szkoła Języków Obcych;(71)7845590;;
Centrum Edukacyjne GET BETTER S.c.;604403598;;
Centrum Helen Doron - Angielski dla Dzieci Jastrzębie-Zdrój;606131190;;
Centrum Języka Angielskiego ALBION;509279083;;
Centrum Języka Francuskiego Le Mag;660509899;;
Centrum Języka Francuskiego Le Mag;664960720;;
Centrum Języka Włoskiego SI;782964275;;
Centrum Językowe KARINEN;(61)2230414;;
Centrum Językowe KARINEN;660440683;;
