Ośrodek Edukacji Muzycznej SZKOŁA MUZYCZNA;(22)8383853;;
Ośrodek Edukacji Muzycznej SZKOŁA MUZYCZNA;604788128;;
Katedralna Ogólnokształcąca Szkoła Muzyczna I stopnia i Gimnazjum Katedralne;(61)8773395;;
Katedralna Ogólnokształcąca Szkoła Muzyczna I stopnia i Gimnazjum Katedralne;(61)8773395;;
Ogólnokształcąca Szkoła Muzyczna I stopnia im. I.J.Paderewskiego;(12)4227160;;
Państwowa Szkoła Muzyczna I stopnia im. Fryderyka Chopina;(56)4986066;;
Prywatna Szkoła Muzyczna I Stopnia;(22)7893058;;
Prywatna Szkoła Muzyczna I Stopnia;602595417;;
Społeczna Szkoła Muzy­czna;513146257;;
YAMAHA Szkoła Muzyczna Mielec;530740070;;
Music-Land Anna Kaczkowska;667109276;;
Studio Muzyczne Katharsis;535262918;;
Szkoła Muzyczna Music College;504407905;;
Agencja Artystyczna S-ART Prywatna Szkoła Muzyczna I i II st.;(71)3740373;;
Agencja Artystyczna S-ART Prywatna Szkoła Muzyczna I i II st.;604822945;;
Centrum Nauki i Muzyki YAMAHA Szkoła Muzyczna Bielsko-Biała;(33)8151514;;
Centrum Nauki i Muzyki YAMAHA Szkoła Muzyczna Bielsko-Biała;505102923;;
CONCERTINO Prywatna Szkoła Muzyczna I stopnia;(58)6248222;;
CONCERTINO Prywatna Szkoła Muzyczna I stopnia;501165916;;
Edukacja Artystyczna NEW ART - YAMAHA Szkoła Muzyczna;603124661;;
EMPIRE MUSIC;509785881;;
EMPIRE MUSIC;730660450;;
FULNART Prywatna Szkoła Muzyczna;502107314;;
Konwersatorium Muzyczne w Warszawie;(22)6280113;;
Łódzka Szkoła Muzyczna uMuzyka.pl;663349608;;
Mariachi Szkoła Muzyczno-Językowa;731746128;;
Niepubliczna Szkoła Muzyczna I st. AKOLADA;512087930;;
Niepubliczna Szkoła Muzyczna I stopnia ARTE;(22)2243579;;
Niepubliczna Szkoła Muzyczna I stopnia ARTE;600260619;;
Niepubliczna Szkoła Muzyczna I stopnia CONSONARE;730752702;;
Niepubliczna Szkoła Muzyczna I stopnia Muzyczny Promyk;607226177;;
Niepubliczna Szkoła Muzyczna I stopnia Muzyczny Promyk;(91)4341591;;
Niepubliczna Szkoła Muzyczna I stopnia w Łomiankach;(22)7512423;;
Niepubliczna Szkoła Muzyczna I stopnia w Łomiankach;601658020;;
Niepubliczna Szkoła Muzyczna I Stopnia w Radomiu;(48)3667823;;
Niepubliczna Szkoła Muzyczna I Stopnia w Radomiu;603912116;;
Niepubliczna Szkoła Muzyczna MOZART;519635053;;
Niepubliczna Szkoła Muzyczna MOZART;519168431;;
NOW MUSIC Nowowiejski School Of Music;503022094;;
NOW MUSIC Nowowiejski School Of Music;513757297;;
Ogólnokształcąca Szkoła Muzyczna I i II st. im. Feliksa Nowowiejskiego;(58)3011272;;
Ogólnokształcąca Szkoła Muzyczna I i II st. im. Feliksa Nowowiejskiego;(58)3011131;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Fryderyka Chopina;(32)2812211;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Fryderyka Chopina;(32)2812272;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Henryka Wieniawskiego;(42)6846384;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Henryka Wieniawskiego;(42)6811568-69;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Karola Lipińskiego;(81)5321071;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Karola Lipińskiego;(81)5326921;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Karola Szymanowskiego we Wrocławiu;(71)7366060;;
Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Karola Szymanowskiego we Wrocławiu;(71)7366000;;
Ogólnokształcąca Szkoła Muzyczna I st. im. prof. Marka Jasińskiego w Szczecinie;(91)4844324;;
Ogólnokształcąca Szkoła Muzyczna I st. im. prof. Marka Jasińskiego w Szczecinie;(91)4847917;;
Ogólnokształcąca Szkoła Muzyczna II st. im. Zenona Brzewskiego;(22)8311623;;
Ogólnokształcąca Szkoła Muzyczna II st. im. Zenona Brzewskiego;(22)8315463;;
Państwowa Ogólnokształcąca Szkoła Muzyczna II stopnia im. F.Chopina;(12)4216292;;
Państwowa Ogólnokształcąca Szkoła Muzyczna II stopnia im. F.Chopina;(12)4222023;;
Państwowa Szkoła Muzyczna I i II st. im. Fryderyka Chopina w Olsztynie;(89)5276244;;
Państwowa Szkoła Muzyczna I i II st. im. Fryderyka Chopina w Opolu;(77)4542318;;
Państwowa Szkoła Muzyczna I i II st. im. Fryderyka Chopina w Opolu;(77)4545215;;
Państwowa Szkoła Muzyczna I i II st. im. I.J.Paderewskiego;(44)6471905;;
Państwowa Szkoła Muzyczna I i II st. im. I.J.Paderewskiego;(15)8421131;;
Państwowa Szkoła Muzyczna I i II st. im. Wandy Kossakowej w Sanoku;(13)4645315;;
Państwowa Szkoła Muzyczna I i II st. im. Wandy Kossakowej w Sanoku;(13)4645317;;
Państwowa Szkoła Muzyczna I i II stopnia;(32)4763705;;
Państwowa Szkoła Muzyczna I i II stopnia;(32)4763711;;
Państwowa Szkoła Muzyczna I i II stopnia;(42)2155539;;
Państwowa Szkoła Muzyczna I i II stopnia im. Fryderyka Chopina;(18)2649861;;
Państwowa Szkoła Muzyczna I i II stopnia im. Fryderyka Chopina;(18)2662712;;
Państwowa Szkoła Muzyczna I i II stopnia im. Grzegorza Fitelberga w Chorzowie;(32)2410329;;
Państwowa Szkoła Muzyczna I i II stopnia im. Grzegorza Fitelberga w Chorzowie;(32)2490054;;
Państwowa Szkoła Muzyczna I i II stopnia im. Henryka Wieniawskiego;(68)3772785;;
Państwowa Szkoła Muzyczna I i II stopnia im. Ignacego Jana Paderewskiego w Chełmie;(82)5653887;;
Państwowa Szkoła Muzyczna I i II stopnia im. Ignacego Paderewskiego w Cieszynie;(33)8512877;;
Państwowa Szkoła Muzyczna I i II stopnia im. Ignacego Paderewskiego w Cieszynie;(33)8520138;;
Państwowa Szkoła Muzyczna I i II stopnia im. Karola Szymanowskiego w Płocku;(24)2622470;;
Państwowa Szkoła Muzyczna I i II stopnia im. Karola Szymanowskiego w Płocku;(24)2622923;;
Państwowa Szkoła Muzyczna I i II stopnia im. Ludomira Różyckiego;(32)2313123;;
Państwowa Szkoła Muzyczna I i II stopnia im. Mieczysława Karłowicza;(17)5862976;;
Państwowa Szkoła Muzyczna I i II stopnia im. Mieczysława Karłowicza w Katowicach;(32)2599651;;
Państwowa Szkoła Muzyczna I i II stopnia im. Mieczysława Karłowicza w Katowicach;(32)2596841;;
Państwowa Szkoła Muzyczna I i II stopnia im. Romana Maciejewskiego;(65)5208179;;
Państwowa Szkoła Muzyczna I i II stopnia im. Romana Maciejewskiego;(65)5207473;;
Państwowa Szkoła Muzyczna I i II stopnia im. Stanisława Moniuszki;(75)7522330;;
Państwowa Szkoła Muzyczna I i II stopnia im. Stanisława Moniuszki;(32)2714679;;
Państwowa Szkoła Muzyczna I i II stopnia im. Stanisława Moniuszki;(32)2768431;;
Państwowa Szkoła Muzyczna I i II stopnia im. Witolda Lutosławskiego w Nysie;(77)4332014;;
Państwowa Szkoła Muzyczna I i II stopnia im. Witolda Lutosławskiego w Nysie;(77)4331997;;
Państwowa Szkoła Muzyczna I i II stopnia im. Zygmunta Noskowskiego w Ostrołęce;(29)7602840;;
Państwowa Szkoła Muzyczna I i II stopnia im.I.J.Paderewskiego w Koninie;(63)2428824;;
Państwowa Szkoła Muzyczna I i II stopnia im.Witolda Lutosławskiego w Krasnymstawie;(82)5764440;;
Państwowa Szkoła Muzyczna I i II stopnia imienia Henryka Melcera w Kaliszu;(62)7571686;;
Państwowa Szkoła Muzyczna I i II stopnia imienia Henryka Melcera w Kaliszu;(62)7664424;;
Państwowa Szkoła Muzyczna I st. im. Aleksandra Tansmana;(42)6744505;;
Państwowa Szkoła Muzyczna I st. im. Aleksandra Tansmana;(42)6743076;;
