ENSO Szkoła Narciarska i Snowboardowa;721255583;;
KenyOnBoard Krzysztof Traczyk;508146103;;
MAYTUR Obozy żeglaskie i narciarskie;(32)7578898;;
MAYTUR Obozy żeglaskie i narciarskie;(32)7578867;;
Szkoła Narciarska Blues Carv Marek Szromba;606644345;;
Szkoła Narciarska Blues Carv Marek Szromba;698063057;;
Szkoła Narciarska Czarna Góra;600604795;;
Szkoła Narciarska Czarna Góra;664270270;;
Szkoła Narciarska i Wypożyczalnia Sprzętu SUDETY SPORT;502147701Wypożyczalnia;;
Szkoła Narciarska i Wypożyczalnia Sprzętu SUDETY SPORT;691770623SzkołaNarciarska;;
Przedsiębiorstwo Organizacji Turystyki Rekreacji i Sportu Sp. z o.o.;(22)8100002;;
Przedsiębiorstwo Organizacji Turystyki Rekreacji i Sportu Sp. z o.o.;(22)8130965;;
Stacja Narciarska SOSZÓW;(33)8552832;;
Stacja Narciarska SOSZÓW;(33)4742395;;
Stacja Narciarska SUCHE Sp. z o.o.;600595959;;
Stacja Narciarska SUCHE Sp. z o.o.;604595959;;
Szkoła Pływania NEMO;502559085;;
Kompleks Rekreacyjno-Wypoczynkowy OAZA;(17)2763727;;
Stacja Narciarska KOKUSZKA SKI;(18)5476726;;
Stacja Narciarska KOKUSZKA SKI;668114193;;
Szkoła Zdrowia dr Lech Powolny;602178208;;
Szkoła Zdrowia dr Lech Powolny;(32)2547239;;
DOSKONAL;(17)2000011;;
DOSKONAL;601691758;;
ADAM-SKI;(74)8668139;;
ADAM-SKI;(74)8660425;;
ADRO Prywatna Szkoła Narciarska;609473502;;
Agencja Sportowo-Rekreacyjna LIVE;601931846;;
Agencja Sportowo-Rekreacyjna LIVE;693366336;;
Akademia Carvingu;504846447;;
Akademicka Szkoła Narciarska Jakub Kowalski;693185378;;
Akademicka Szkoła Narciarska Jakub Kowalski;502327009;;
AMIGO-SKI;503300370;;
AMIGO-SKI;692178782;;
ATE SKI;515180237;;
ATE SKI;784686177;;
Beskidzka Szkoła Narciarska;602117312;;
Biuro Turystyki Aktywnej i Obsługi Biznesu SKI AND SAIL;(71)3253158;;
Biuro Turystyki Aktywnej i Obsługi Biznesu SKI AND SAIL;601710602;;
Boardandski Adam Cudek;502691703;;
Centrum Śnieżnik;502525564;;
Centrum Śnieżnik;793010909;;
Cieszyński Klub i Szkoła Narciarska SKRĘTY;(33)4798203;;
Cieszyński Klub i Szkoła Narciarska SKRĘTY;602526417;;
DUOSPORT;509747227;;
DUOSPORT;503684584;;
Epicentrum Sportu - Szkoła Narciarstwa i Snowboardu;664784094;;
EVEREST;(32)4719177;;
EVEREST;502217853;;
F.H.U. AKTYWNI;(32)7330021;;
F.H.U. AKTYWNI;692458188;;
FABRYKA NARCIARZY;506124112;;
Fun School;608806030;;
FUNRACE;609375913;;
FUNRACE;501724216;;
GO4ADVENTURE Agnieszka Schwenk Szkoła Narciarska;604480160;;
gsTEAM;531888602;;
Karkonoska Szkoła Narciarska COOLMIX Jakub Janulidis;514285230;;
Klub i Szkoła Narciarska ELITA;(12)4163316;;
Klub i Szkoła Narciarska ELITA;602623484;;
Klub i Szkoła Narciarsko-Snowboardowa TEAM PROJECT;697091111;;
Klub i Szkoła Narciarsko-Snowboardowa TEAM PROJECT;663770625;;
Klub Narciarski i Snowboardowy SKI-GROUP;(22)8236988;;
Klub Narciarski i Snowboardowy SKI-GROUP;600263701;;
Licencjonowana Szkoła Narciarska SKICAR;509844726;;
Licencjonowana Szkoła Narciarska ZĄB;(18)2071677;;
Licencjonowana Szkoła Narciarska ZĄB;604633345;;
LUDZIE GÓR;790303300;;
Luka Sport;(12)6374725;;
Luka Sport;692905775;;
NGS Nowa Generacja Snowboardu Grzegorz Trzaska;500250606;;
NOVA Aktywna Rekreacja;605555777;;
NOVA Aktywna Rekreacja;609501601;;
P.H.U MIXTURA;667522555;;
P.H.U MIXTURA;667532555;;
P.H.U. SPEED-MARKUS;504101738;;
P.H.U. SPEED-MARKUS;511911969;;
Podhalańska Szkoła Narciarska;605892605;;
Przedszkole Narciarskie DIMBO;512431460;;
Przedszkole Narciarskie DIMBO;502429536;;
RAJBI ski;(33)8178737;;
RAJBI ski;502311301;;
REJA;601980519;;
RESPORT Narty i Żagle;604526483;;
RESPORT Narty i Żagle;666321683;;
RYTER - SKI S.c.;692489809;;
RYTER - SKI S.c.;606919633;;
SKI Szkoła RYŚ;697427694;;
SKI-CARV Szkoła Narciarska i Wypożyczalnia S.c.;726188679;;
SKI-START Szkolenia Narciarskie;606738186;;
Ski&Sail OKI-VITA narty żagle;502641250;;
Ski&Sail OKI-VITA narty żagle;506107157;;
SKIACTIVE;796472930;;
SKIACTIVE;792622999;;
SKIMONDO;(58)3550550;;
SNOWSENSE Szkoła Narciarska i Snowboardowa;888455133;;
SNOWSENSE Szkoła Narciarska i Snowboardowa;606456012;;
SPORT-TUR Szkółka i Przedszkole Narciarskie;607677766;;
SPORT&MEDIA Piotr Ziętara;793035088;;
SPORT&MEDIA Piotr Ziętara;790871015;;
STREFA RUCHU;603336396;;
STREFA RUCHU;603862056;;
Szkoła Narciarska A-Ski;601834965;;
Szkoła Narciarska A-Ski;693265569;;
Szkoła Narciarska BRENNA-SKI.PL;602480769;;
Szkoła Narciarska BRENNA-SKI.PL;785807955;;
Szkoła Narciarska CARVING SPORT;502320309;;
Szkoła Narciarska DeSki Wypożyczalnia Nart;512467701;;
Szkoła Narciarska HSKI HARENDA;517936328;;
Szkoła Narciarska i Snowboardowa PADAŚNIEG Szklarska Poręba;666709400;;
Szkoła Narciarska i Sudecki Klub Sportowy Aesculap;(75)7645604;;
Szkoła Narciarska i Wypożyczalnia T&T;603236672;;
Szkoła Narciarska i Wypożyczalnia T&T;605313826;;
Szkoła Narciarska JERRY;601496500;;
Szkoła Narciarska KOZLO-SKI;695185914;;
Szkoła Narciarska LIDER;(12)6282939;;
Szkoła Narciarska LIDER;601550300;;
Szkoła Narciarska M&M;601334433;;
Szkoła Narciarska M&M;723260003;;
Szkoła Narciarska NA KRAWĘDZI Wypożyczalnia Nart i Snowboardów;502109609;;
Szkoła Narciarska NA KRAWĘDZI Wypożyczalnia Nart i Snowboardów;504587902;;
Szkoła Narciarska PINKI SPORT;(33)8553541;;
Szkoła Narciarska PINKI SPORT;606240879;;
Szkoła Narciarska Progress Jochacy M.;883312304;;
Szkoła Narciarska PROGRESSKI;889060323;;
Szkoła Narciarska PROGRESSKI;883312304;;
Szkoła Narciarska PTAK-TEAM;691111911;;
Szkoła Narciarska PTAK-TEAM;601501423;;
Szkoła Narciarska SKI-PLUS;665187920;;
Szkoła Narciarska SKI-PLUS;505303623;;
Szkoła Narciarska SKY SKI SĘDEK;533244999;;
Szkoła Narciarska SŁONECZNA DOLINA;607741843;;
Szkoła Narciarska SNOW WAY;603656232;;
Szkoła Narciarska SNOW WAY;503194516;;
Szkoła Narciarska StaMar;698661994;;
Szkoła Narciarska STOK Maciej Kolasa;(18)2654280;;
