Profesjonalna Szkoła Policealna Kwalifikacji Zawodowych dla Dorosłych w Zgierzu;(42)7162472;;
Profesjonalna Szkoła Policealna Kwalifikacji Zawodowych dla Dorosłych w Zgierzu;(42)7162471;;
Policealna Szkoła Farmaceutyczna PHARMEDIC;(71)7930004;;
Prywatne Medyczne Studium Zawodowe Eugeniusza Nagadowskiego Wydział Techniki Dentystycznej;(42)7171464-65;;
Prywatne Studium Techniki Dentystycznej Eugeniusza Nagadowskiego;(24)2628731;;
Prywatne Studium Techniki Dentystycznej Eugeniusza Nagadowskiego;(24)2624877;;
Szkoła Bankowa w Sandomierzu;(15)8322790;;
Szkoła Bankowa w Sandomierzu;(15)8327888;;
Wojewódzki Zespół Szkół Policealnych w Gdyni;(58)6208117;;
Wojewódzki Zespół Szkół Policealnych w Gdyni;(58)6614371;;
Akademia Zdrowia;(22)8622960;;
Akademia Zdrowia;(22)8622961;;
Akademia Zdrowia;(52)3763165-66;;
Akademia Zdrowia;(52)3413164;;
Akademia Zdrowia;(42)2557700;;
Akademia Zdrowia;(42)2557701;;
Centrum Kształcenia Ustawicznego Nowoczesnych Technologii w Łodzi;(42)6319848;;
Centrum Kształcenia Ustawicznego Nowoczesnych Technologii w Łodzi;784207390;;
Dental Service Pierwsze Niepubliczne Policealne Studium Medyczne w Szczecinie;(91)4335824;;
Dental Service Pierwsze Niepubliczne Policealne Studium Medyczne w Szczecinie;(91)4554132;;
Gdańskie Szkoły Medyczne i Administracji;(58)3050303;;
Gdańskie Szkoły Medyczne i Administracji;(58)3033300;;
OMNIA Centrum Edukacji Sp. z o.o.;(91)4338966;;
OMNIA Centrum Edukacji Sp. z o.o.;(91)4882062;;
Państwowe Pomaturalne Studium Kształcenia Animatorów Kultury;(62)7660446;;
Policealne Studium Optyczne OCULUS;606307895;;
Policealne Studium Optyczne OCULUS;698946577;;
Policealne Studium Plastyczne COLLAGE;(22)8772645;;
Policealne Studium Plastyczne COLLAGE;(22)6128019-wieczorem;;
ProEdukacja Zespół Szkół dla Dorosłych;(32)3088282;;
ProEdukacja Zespół Szkół dla Dorosłych;(32)7976658;;
Profesjonalna Szkoła Biznesu;(15)8232635;;
Profesjonalna Szkoła Biznesu;(15)8232636;;
STUDIO SZTUKI Policealne Studium Zawodowe Plastyczne;(22)8699016;;
STUDIO SZTUKI Policealne Studium Zawodowe Plastyczne;602740069;;
Szkoła Detektywów i Pracowników Ochrony w Krakowie;(12)4271486;;
Szkoła Główna Biznesu;(22)8393041;;
Szkoła Policealna dla Dorosłych, Liceum Ogólnokształcące Zaoczne dla Dorosłych;(85)7420469;;
Zespół Szkół Ekologiczno-Medycznych STOM;(42)6330008;;
Zespół Szkół Ponadgimnazjalnych we Wrocławiu;(71)3678666;;
Zespół Szkół Ponadgimnazjalnych we Wrocławiu;(71)3676210;;
Policealne Studium Zawodowe;(52)3222020;;
Policealne Studium Zawodowe;(52)3455866;;
Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku;(58)5005206;;
Wyższa Szkoła Komunikowania, Politologii i Stosunków Międzynarodowych w Warszawie;(22)2553952;;
Wyższa Szkoła Komunikowania, Politologii i Stosunków Międzynarodowych w Warszawie;(22)2553953;;
ZDZ Zakład Doskonalenia Zawodowego Katowice;(32)6037711;;
ZDZ Zakład Doskonalenia Zawodowego Katowice;(32)6037761;;
Medyczne Studium Zawodowe;(22)6310575;;
Medyczne Studium Zawodowe;(22)4243468;;
MONOLIT Zespół Szkół Prywatnych dla Dorosłych Agnieszka Zawierucha;(41)3623974;;
MONOLIT Zespół Szkół Prywatnych dla Dorosłych Agnieszka Zawierucha;602622405;;
Szkoła Morska w Gdyni Sp. z o.o.;(58)6217541;;
Szkoła Morska w Gdyni Sp. z o.o.;(58)6612655;;
Zespół Szkół Zawodowych nr 2 w Białymstoku;(85)7416143;;
Zespół Szkół Zawodowych nr 2 w Białymstoku;(85)7329444;;
AXON Centrum Edukacyjno-Medyczne Leszek Twarowski;(85)7166221;;
AXON Centrum Edukacyjno-Medyczne Leszek Twarowski;(85)7438863;;
Centrum Edukacji Dorosłych;(56)6596686;;
Centrum Edukacji Dorosłych;(56)6225143;;
Centrum Kształcenia Ustawicznego Nr 1;(22)8256915;;
Centrum Kształcenia Ustawicznego Nr 1;(22)8256929;;
Centrum Kształcenia Ustawicznego Nr 1;(22)8256915;;
Centrum Kształcenia Ustawicznego Nr 1;(22)8256929;;
Centrum Nauki i Biznesu ŻAK;(42)6834412;;
Centrum Nauki i Biznesu ŻAK;(42)6834411;;
Centrum Usług Szkoleniowych LIDER Sp. z o.o.;(81)5328231;;
Centrum Usług Szkoleniowych LIDER Sp. z o.o.;(81)5328333;;
EURO-SZKOŁA BIS;(15)8231036;;
Zachodnipomorskie Centrum Kształcenia Zawodowego i Ustawicznego w Świnoujściu;(91)3214949;;
ACADEMIA Studium Policealne;(81)4623680;;
ACADEMIA Studium Policealne;605550350;;
Academicus Szkoły Policealne;(42)6301500;;
Academicus Szkoły Policealne;501701648;;
Akademia Feng-Shui;(71)3554027;;
Akademia Feng-Shui;(71)3546094;;
Akademia Kreowania Wizerunku;(15)8233145;;
Akademia Kreowania Wizerunku;664038328;;
AKADEMIA LIDERÓW;(42)6820749;;
Akademia MSP Ochrony Zdrowia i Urody;(95)7354918;;
Akademia MSP Ochrony Zdrowia i Urody;506615971;;
Akademia Pomorskie Centrum Edukacyjne;(58)7358940;;
Akademia Pomorskie Centrum Edukacyjne;(58)3252485;;
Akademia Słowa VERBUM Sp. z o.o.;(61)6675451;;
Akademia Słowa VERBUM Sp. z o.o.;(61)6675452;;
Akademia Techników Medycznych w Łodzi;(42)6595065;;
Akademia Zawodowa;(33)8431971;;
Akademia Zawodowa;604771711;;
ALFA Marcin Kwiatkowski;(58)3422003;;
Alternatywa Centrum Nauki;(58)3074274;;
Alternatywa Centrum Nauki;(58)3202246;;
Anima Art Policealne Studium Plastyczne;(12)2942154;;
Anima Art Policealne Studium Plastyczne;601864843;;
Beskidzkie Szkoły Sztuki Użytkowej American Business Academy;668165215;;
Bezpłatne Szkoły L.O. Edukacja;(44)7886551;;
Bezpłatne Szkoły L.O. Edukacja;608835263;;
Bezpłatne Szkoły L.O. Edukacja;(76)7521007;;
Bezpłatne Szkoły L.O. Edukacja;(32)7261702;;
BIOSTUDIO Policealne Studium Masażu;(71)3400391;;
BIOSTUDIO Policealne Studium Masażu;505506611;;
Blue Education;(22)3562040;;
Blue Education;(22)3562046;;
Centrum Edukacji EDUS;(22)7765006;;
Centrum Edukacji KORONA;(76)8313246;;
Centrum Edukacji KORONA;536863800;;
Centrum Edukacji Kosmetologicznej B.Jaroszewska, I.Korowiecka, E.Pieciuk - Kursy Kosmetyczne;(22)6369210;;
Centrum Edukacji Kosmetologicznej B.Jaroszewska, I.Korowiecka, E.Pieciuk - Kursy Kosmetyczne;(22)8386061w.33;;
Centrum Edukacji Maius College;(91)4315401;;
Centrum Edukacji PRO CIVITAS;(41)2406426;;
Centrum Edukacji SIGMA;(14)6564704;;
Centrum Kształcenia;(12)4172139;;
Centrum Kształcenia;606663494;;
Centrum Kształcenia CANOVA Sp. z o.o.;(12)6562135;;
Centrum Kształcenia Kosmetycznego mgr Iwony Tomas;(42)6300692;;
Centrum Kształcenia Kosmetycznego mgr Iwony Tomas;697026969;;
Centrum Kształcenia PLEJADA;(91)4614092;;
Centrum Kształcenia PLEJADA;(91)4615753;;
Centrum Kształcenia Policealnego TECHNIK;(58)3054617;;
Centrum Kształcenia PRESTIGE;(68)4448477;;
Centrum Kształcenia PRESTIGE;664855650;;
CENTRUM KSZTAŁCENIA USTAWICZNEGO ELITA;(41)3144004;;
CENTRUM KSZTAŁCENIA USTAWICZNEGO ELITA;607713050;;
Centrum Kształcenia Ustawicznego w Toruniu;(56)6577490;;
Centrum Kształcenia Ustawicznego w Toruniu;(56)6577479;;
Centrum Kształcenia Ustawicznego we Wrocławiu;(71)7833668;;
Centrum Kształcenia Ustawicznego we Wrocławiu;(71)7986701;;
Centrum Kształcenia w Niektórych Zawodach Medycznych;600029791;;
Centrum Kształcenia w Niektórych Zawodach Medycznych;602514352;;
Centrum Kształcenia ZACISZE;(22)6786056;;
Centrum Kształcenia ZACISZE;571295624;;
Centrum Kształcenia Zawodowego i Ustawicznego PRYMUS;(56)6225515;;
Centrum Kształcenia Zawodowego i Ustawicznego PRYMUS;668385832;;
Centrum Nauki i Biznesu ŻAK;(61)8516627;;
Centrum Nauki i Biznesu ŻAK;(58)6200080;;
Centrum Nauki i Biznesu ŻAK;(58)6217687;;
COLLEGE KOMPUTEROWE;(16)6785139;;
COLLEGIUM Studium Rehabilitacji, Psychologii i Polityki Społecznej, Studium Polityki Społecznej;(22)8496302;;
COPERNICUS-Centrum Edukacji;(32)2810360;;
Dwuletnia Policealna Szkoła VIP;(42)6311991;;
EDUCENTRUM Policealna Szkoła Medyczna;(85)7447280;;
EDUCENTRUM Policealna Szkoła Medyczna;796101342;;
Europejska Akademia Zdrowia i Urody;(41)3415125;;
Europejska Szkoła Mediów i Przedsiębiorczości;(85)7435558;;
Europejskie Centrum Edukacji w Krakowie;(12)4194420;;
Europejskie Centrum Edukacji w Krakowie;(12)4296961;;
Europejskie Centrum Kształcenia Pascal;(58)6610000;;
Europejskie Centrum Kształcenia SUKCES w Krakowie Niepubliczna Szkoła Policealna;602191560;;
Europejskie Centrum Kształcenia SUKCES w Krakowie Niepubliczna Szkoła Policealna;606320292;;
Europejskie Studium Psychologii Zwierząt i Wiedzy Praktycznej;(46)8577200;;
Europejskie Studium Psychologii Zwierząt i Wiedzy Praktycznej;666110231;;
EVEN Poznańska Szkoła Mody i Projektowania Wnętrz;(61)8473842;;
EVEN Poznańska Szkoła Mody i Projektowania Wnętrz;601758059;;
FOTOEDUKACJA Policealna Szkoła Fotograficzna;(32)2064681;;
FOTOEDUKACJA Policealna Szkoła Fotograficzna;506146407-09;;
Francuska Szkoła Wizażu-Stylizacji & Charakteryzacji;(12)6312633;;
Francuska Szkoła Wizażu-Stylizacji & Charakteryzacji;(12)6312632;;
Gdyńska Szkoła Filmowa;(58)6251146;;
GLOKER Niepubliczna Szkoła Policealna;(91)4850786;;
GLOKER Niepubliczna Szkoła Policealna;(91)4850779;;
Grupa Pascal - Szkoła Pascal w Otwocku;(22)2435552;;
I Profesjonalna Szkoła Biznesu;(77)4355540;;
I Profesjonalna Szkoła Biznesu;608448437;;
In Art Policealne Studium Wizażu i Charakteryzacji;(22)8280888;;
Instytut Edukacji i Biznesu;(65)5294820;;
KADRA Szkoła Policealna;(71)3410768;;
KADRA Szkoła Policealna;(71)3307543;;
Katedra Architektury Krajobrazu SGGW;(22)5932192;;
Krakowskie Szkoły Artystyczne;(12)2662111;;
Krakowskie Szkoły Artystyczne;(12)6561726;;
Liceum Ogólnokształcące dla Dorosłych EDUKACJA Liceum Uzupełniajace dla Dorosłych EDUKACJA;(71)3772155;;
Liceum Ogólnokształcące dla Dorosłych EDUKACJA Liceum Uzupełniajace dla Dorosłych EDUKACJA;(71)3772177;;
Liceum Ogólnokształcące im. Mikołaja Kopernika;(15)8236823;;
Liceum Ogólnokształcące im. Mikołaja Kopernika;(15)8236800;;
MAT-STUDIO;(58)6684343;;
MAT-STUDIO;(58)6684333;;
Medyczna Szkoła Policealna;(15)8420410;;
Medyczna Szkoła Policealna;(17)8536554;;
Medyczna Szkoła Policealna;(17)8535451;;
Medyczna Szkoła Policealna Im. prof. Rudolfa Weigla w Jaśle;(13)4468571;;
Medyczna Szkoła Policealna Im. prof. Rudolfa Weigla w Jaśle;(13)4468249;;
Medyczna Szkoła Policealna Nr 3 w Warszawie;(22)6281341;;
Medyczna Szkoła Policealna Nr 3 w Warszawie;508425567;;
Medyczna Szkoła Policealna Nr 4 im. prof. Edmunda Biernackiego;(22)8104617;;
Medyczna Szkoła Policealna Nr 4 im. prof. Edmunda Biernackiego;(22)8104813;;
Medyczna Szkoła Policealna Województwa Śląskiego im. prof. Antoniego Cieszyńskiego w Zabrzu;(32)2710845;;
Medyczna Szkoła Policealna Województwa Śląskiego im. prof. Antoniego Cieszyńskiego w Zabrzu;(32)2714089;;
Medyczne Centrum Edukacji w Częstochowie;(34)3613582;;
Medyczne Studium Zawodowe;(81)8862418;;
Medyczne Studium Zawodowe;(81)8885174;;
Medyczne Studium Zawodowe;(68)3253184;;
Medyczne Studium Zawodowe;(68)3271325;;
Medyczne Studium Zawodowe;(61)8417040;;
