MONOLIT Zespół Szkół Prywatnych dla Dorosłych Agnieszka Zawierucha;(41)3623974;;
MONOLIT Zespół Szkół Prywatnych dla Dorosłych Agnieszka Zawierucha;602622405;;
Zespół Szkół Zawodowych nr 2 w Białymstoku;(85)7416143;;
Zespół Szkół Zawodowych nr 2 w Białymstoku;(85)7329444;;
Centrum Kształcenia Dorosłych Sp. z o.o.;505115104;;
Centrum Usług Szkoleniowych LIDER Sp. z o.o.;(81)5328231;;
Centrum Usług Szkoleniowych LIDER Sp. z o.o.;(81)5328333;;
EURO-SZKOŁA BIS;(15)8231036;;
I Liceum Ogólnokształcące im. Stefana Żeromskiego w Kielcach;(41)3676157;;
I Liceum Ogólnokształcące im. Stefana Żeromskiego w Kielcach;(41)3676960;;
Prywatne Technikum Gastronomiczne E.T. Mazurek;500744801;;
Prywatne Technikum Gastronomiczne E.T. Mazurek;512584066;;
Publiczne Liceum Ogólnokształcące Nr II z Oddziałami Dwujęzycznymi im. Marii Konopnickiej w Opolu;(77)4542286;;
Publiczne Liceum Ogólnokształcące Nr II z Oddziałami Dwujęzycznymi im. Marii Konopnickiej w Opolu;(77)4021887;;
Zachodnipomorskie Centrum Kształcenia Zawodowego i Ustawicznego w Świnoujściu;(91)3214949;;
Zaoczne Liceum Ogólnokształcące dla Dorosłych YORK;(12)4227079;;
Zaoczne Liceum Ogólnokształcące dla Dorosłych YORK;666921920;;
Zespół Szkoł Prywatnych;(52)3493391;;
Zespół Szkoł Prywatnych;(52)3222020;;
Zespół Szkół Elektronicznych w Lublinie;(81)5371552;;
Zespół Szkół Elektronicznych w Lublinie;(81)5256691;;
Zespół Szkół Elektrycznych nr 1 w Krakowie;(12)6551293;;
Zespół Szkół Elektrycznych nr 1 w Krakowie;(12)6556009;;
Zespół Szkół nr 5 im. Tadeusza Tańskiego w Stargardzie;(91)5772727;;
Zespół Szkół Samochodowych w Toruniu;(56)6543220;;
Zespół Szkół Samochodowych w Toruniu;(56)6544725Warsztat;;
Prywatne Liceum Ogólnokształcące im. Melchiora Wańkowicza;(32)2549194;;
Bydgoskie Liceum Ogólnokształcące dla Dorosłych nr 1;(52)3455866;;
Bydgoskie Liceum Ogólnokształcące dla Dorosłych nr 1;(52)3222020;;
Liceum Ogólnokształcące SOKRATES z Oddziałami Dwujęzycznymi;(52)3493391;;
Menedżerskie Liceum Ogólnokształcące;(52)3493391;;
Technikum Menedżerskie;(52)3222020;;
Technikum Menedżerskie;501102410;;
Zasadnicza Szkoła Zawodowa START;(52)3493391;;
Zasadnicza Szkoła Zawodowa START;509018729;;
ZDZ Zakład Doskonalenia Zawodowego Katowice;(32)6037711;;
ZDZ Zakład Doskonalenia Zawodowego Katowice;(32)6037761;;
ZDZ Zakład Doskonalenia Zawodowego w Warszawie;(22)6356175;;
ZDZ Zakład Doskonalenia Zawodowego w Warszawie;(22)8310081w.131;;
Ośrodek Szkolenia Zawodowego w Łomży;(86)2162550;;
Wyższa Szkoła Finansów i Prawa;(33)8297212sekretariat;;
Wyższa Szkoła Finansów i Prawa;(33)8297226dziekanatIstopnia;;
AXON Centrum Edukacyjno-Medyczne Leszek Twarowski;(85)7166221;;
AXON Centrum Edukacyjno-Medyczne Leszek Twarowski;(85)7438863;;
Centrum Edukacji Dorosłych;(56)6596686;;
Centrum Edukacji Dorosłych;(56)6225143;;
Centrum Szkoleniowe HEROS;(22)4248484;;
Centrum Szkoleniowe HEROS;0801002428;;
CEZ Centrum Edukacji Zawodowej;603773208;;
COPACABANA Szkoła Fryzjerska;(71)3400391;;
COPACABANA Szkoła Fryzjerska;721495077;;
Niepubliczna Szkoła Biznesu;(17)8500260;;
Niepubliczna Szkoła Biznesu;(14)6275015;;
ProEdukacja Zespół Szkół dla Dorosłych;(32)3088282;;
ProEdukacja Zespół Szkół dla Dorosłych;(32)7976658;;
Prywatne Przedszkole Tygryski & Nowoczesne Szkoły Prywatne SIGMA;(71)3213635;;
Regionalne Centrum Edukacji Zawodowej;(84)6867978;;
Regionalne Centrum Edukacji Zawodowej;(84)6867988;;
Szkoła Policealna dla Dorosłych, Liceum Ogólnokształcące Zaoczne dla Dorosłych;(85)7420469;;
Szkoły Otwartego Myślenia;(32)2662960;;
Szkoły Otwartego Myślenia;606615455;;
Zespół Szkół Ponadgimnazjalnych we Wrocławiu;(71)3678666;;
Zespół Szkół Ponadgimnazjalnych we Wrocławiu;(71)3676210;;
Zespół Szkół Publicznych im. Jana Pawła II w Kudowie-Zdroju;(74)8661700;;
Zespół Szkół Publicznych im. Jana Pawła II w Kudowie-Zdroju;(74)8661294;;
Zespół Szkół Rolniczych Centrum Kształcenia Praktycznego;(58)5882236;;
Zespół Szkół Rolniczych Centrum Kształcenia Praktycznego;(58)5860084;;
Complex of Silesian International Schools;(32)2549194;;
Liceum Ogólnokształcące Społeczne Nr 17;(22)8254001;;
1 LO im. Stanisława Staszica w Lublinie;(81)4411460;;
1 LO im. Stanisława Staszica w Lublinie;(81)4411461;;
21 Społeczne Liceum Ogólnokształcące im. Jerzego Grotowskiego;(22)6543535;;
21 Społeczne Liceum Ogólnokształcące im. Jerzego Grotowskiego;(22)6543040;;
6 Liceum Ogólnokształcące w Zespole Szkół Nr 1 im. Ambrożego Towarnickiego w Rzeszowie;(17)7482150;;
6 Liceum Ogólnokształcące w Zespole Szkół Nr 1 im. Ambrożego Towarnickiego w Rzeszowie;(17)7482175;;
ADTI - Akademia Doskonalenia Technik Informatycznych;(61)8241651;;
ADTI - Akademia Doskonalenia Technik Informatycznych;(61)8241671;;
ALA Autorskie Licea Artystyczne i Akademickie;(71)3591413;;
ALA Autorskie Licea Artystyczne i Akademickie;(71)3591444;;
Aurelus Edukacja;(75)7327960;;
Aurelus Edukacja;883317012;;
Bielska Szkoła Przemysłowa;(33)8228216;;
Bielska Szkoła Przemysłowa;(33)8228217;;
Business School;(22)8644747;;
Business School;(22)6205247;;
C.K.K. INDEKS;(32)6166333;;
C.K.K. INDEKS;724200101;;
Cech Rzemieślników i Przedsiębiorców;(83)3433435;;
Cech Rzemieślników i Przedsiębiorców;(83)3444230;;
Centrum Edukacji ALFA;(22)6411010;;
Centrum Edukacji ALFA;608338863;;
CENTRUM EDUKACJI SIÓDEMKA;(32)7773001;;
CENTRUM EDUKACJI Sp. z o.o.;(48)3629757;;
CENTRUM EDUKACJI Sp. z o.o.;(48)3402317;;
Centrum Edukacji SZANSA;(32)2860848;;
Centrum Edukacji w Zabrzu;(32)2710553;;
Centrum Edukacji w Zabrzu;(32)2714207;;
Centrum Edukacji ZDROJE;(91)4613303;;
Centrum Edukacyjne Archidiecezji Warmińskiej;(89)5239120;;
Centrum Edukacyjne Archidiecezji Warmińskiej;(89)5238007;;
Centrum Edukacyjne TECHNIK;(59)8417108;;
Centrum Edukacyjne TECHNIK;(59)8417109;;
Centrum Edukacyjne ZIELONA;(91)3926691;;
Centrum Kształcenia PRYMUS;(32)7761350;;
Centrum Kształcenia Ustawicznego i Praktycznego we Wschowie;(65)5402292;;
Centrum Kształcenia Ustawicznego i Praktycznego we Wschowie;(65)5407510;;
Centrum Kształcenia Ustawicznego im.Jana Matejki;(12)6445166;;
Centrum Kształcenia Ustawicznego Nr 5;(22)8187021;;
Centrum Kształcenia Ustawicznego w Łodzi;(42)6849195;;
Centrum Kształcenia Ustawicznego w Łodzi;(42)6843073;;
Centrum Kształcenia Zawodowego i Ustawicznego w Niepołomicach;(12)2810021;;
Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu;(32)2660682;;
Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu;(32)2912094;;
Centrum Kształcenia Zawodowego i Ustawicznego w Strzelinie;(71)3920008;;
Centrum Kształcenia Zawodowego i Ustawicznego w Strzelinie;(71)3964880;;
Centrum Kształcenia Zawodowego i Ustawicznego w Wyrzysku;(67)2867709;;
Edukacja Dorosłych ALBERT Sp. z o.o.;(52)3225351;;
EURO-SZKOŁA Jan Chmielowiec;608063165;;
EURO-SZKOŁA Jan Chmielowiec;(15)6415174;;
Futura Edukacja;(22)8929905-06;;
Futura Edukacja;(22)8260418;;
Gdyńskie Liceum Autorskie STO im. Edwarda Stachury;(58)6203223;;
Gdyńskie Liceum Autorskie STO im. Edwarda Stachury;(58)6614466;;
Gimnazjum i Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. W.Kopalińskiego w Bielsku-Białej;(33)8165240;;
Gimnazjum nr 2 w Zespole Szkół Ogólnokształcących nr 5 w Zabrzu;(32)2712724;;
I i II Zaoczne Liceum Ogólnokształcące PEGAZ;(85)7444774;;
I i II Zaoczne Liceum Ogólnokształcące PEGAZ;609852721;;
I Liceum Ogólnokształcące im. Bolesława Krzywoustego;(59)8422217;;
I Liceum Ogólnokształcące im. Henryka Sienkiewicza,Powiatowe Gimnazjum Publiczne w Płońsku;(23)6622145;;
I Liceum Ogólnokształcące im. Henryka Sienkiewicza,Powiatowe Gimnazjum Publiczne w Płońsku;(23)6622685;;
I Liceum Ogólnokształcące im. J.I.Kraszewskiego w Białej Podlaskiej;(83)3433812;;
I Liceum Ogólnokształcące im. Jana Smolenia w Bytomiu;(32)2810377;;
I Liceum Ogólnokształcące im. Juliusza Słowackiego;(16)6769570;;
I Liceum Ogólnokształcące im. Juliusza Słowackiego;(16)6769572;;
I Liceum Ogólnokształcące im. Kazimierza Brodzińskiego w Tarnowie;(14)6888440;;
I Liceum Ogólnokształcące im. Kazimierza Jagiellończyka;(43)8271425;;
I Liceum Ogólnokształcące im. M. Kopernika;(42)6362722;;
I Liceum Ogólnokształcące im. M.Kopernika;(33)8122574;;
I Liceum Ogólnokształcące im. M.Kopernika;(33)8114483;;
I Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;(58)5310525;;
I Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;(91)4841872;;
I Liceum Ogólnokształcące im. Mikołaja Kopernika;(58)3016734;;
I Liceum Ogólnokształcące im. Oskara Kolberga;(65)5120404;;
I Liceum Ogólnokształcące im. Powstańców Wielkopolskich;(62)7216060;;
I Liceum Ogólnokształcące im. St.Dubois;(94)3423829;;
I Liceum Ogólnokształcące im. Tadeusza Kościuszki;(32)6163846;;
I Liceum Ogólnokształcące im. W.Broniewskiego;(81)7515713;;
I Liceum Ogólnokształcące im. W.Broniewskiego;(81)7515714;;
I Liceum Ogólnokształcące im.ks. J.Kompałły i W.Lipskiego;(62)7366291;;
I LO im. Antoniego Osuchowskiego;(33)8521139;;
I Prywatne Liceum Ogólnokształcące;(84)6389846;;
I Społeczne Liceum Ogólnokształcące Społecznego Towarzystwa Oświatowego;(48)3661949;;
I Społeczne Liceum Ogólnokształcące w Sanoku;(13)4649106;;
I Społeczne Liceum Ogólnokształcące w Sanoku;(13)4630039;;
II Liceum im. Krzysztofa Kamila Baczyńskiego;(63)2425265;;
II Liceum im. Krzysztofa Kamila Baczyńskiego;(63)2426389;;
II Liceum Ogólnokształcące im. Adama Asnyka w Bielsku-Białej;(033)8122165;;
II Liceum Ogólnokształcące im. Adama Asnyka w Bielsku-Białej;(033)8157871;;
II Liceum Ogólnokształcące im. Gabriela Narutowicza w Łodzi;(042)6741999;;
II Liceum Ogólnokształcące im. gen. Władysława Andersa;(52)3972021;;
II Liceum Ogólnokształcące im. Jana Kasprowicza;(24)3557430;;
II Liceum Ogólnokształcące im. Jana Kasprowicza;(24)3557433;;
II Liceum Ogólnokształcące im. Marii Konopnickiej w Radomiu;(48)3641180;;
II Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;(95)7228438;;
II Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;667659203;;
II Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;(13)4653930;;
II Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;(13)4653938;;
II Liceum Ogólnokształcące im. Mieszka I;(91)4336117;;
II Liceum Ogólnokształcące im. Mikołaja Kopernika, Gimnazjum Nr 46;(52)3487503;;
II Liceum Ogólnokształcące im. płk. Leopolda Lisa-Kuli;(17)7482840;;
II Liceum Ogólnokształcące im. płk. Leopolda Lisa-Kuli;(17)7482844;;
II Liceum Ogólnokształcące im. Stefanii Sempołowskiej;(77)4362801;;
II Liceum Ogólnokształcące im. Walerego Wróblewskiego w Zespole Szkół Ogólnokształcących nr 3;(32)2311213;;
II Liceum Ogólnokształcące im. Walerego Wróblewskiego w Zespole Szkół Ogólnokształcących nr 3;(32)2312942;;
II Liceum Ogólnokształcące w Lubinie;(76)8497265;;
II Liceum Ogólnokształcące w Lubinie;(76)8497266;;
II LO im. C.K. Norwida w Krasnymstawie;(082)5762528;;
II Społeczne Liceum Ogólnokształcące im. K.K. Baczyńskiego;(52)3738258;;
III Liceum im. C.K.Norwida w Koninie;(63)2448707;;
III Liceum Ogólnokształcące im. Adama Mickiewicza;(32)2589305;;
III Liceum Ogólnokształcące im. Cypriana Kamila Norwida;(32)2674547;;
