Górska Szkoła Szybowcowa AP Żar im. Adama Dziurzyńskiego;(33)8661046;;
Górska Szkoła Szybowcowa AP Żar im. Adama Dziurzyńskiego;(33)8661090;;
VENTUM AIR Sp. z o.o.;795100000;;
IBEX-U.L. Sp. z o.o.;(22)8645247;;
IBEX-U.L. Sp. z o.o.;(22)8356369;;
P.P.H.U Royal-Star;(14)6811916;;
Szycie Sprzętu Sportowego, Nauka Latania na Paralotniach Bogusław Pelczar;(13)4315195;;
Szycie Sprzętu Sportowego, Nauka Latania na Paralotniach Bogusław Pelczar;608452062;;
Zespół Szkół Elektronicznych w Lublinie;(81)5371552;;
Zespół Szkół Elektronicznych w Lublinie;(81)5256691;;
AEROGRYF Aviation;(91)4613561;;
AEROGRYF Aviation;(91)4613595;;
BB AERO;512488969;;
BB AERO;(33)8156111;;
Centralna Szkoła Szybowcowa AP;(65)5292400;;
Centralna Szkoła Szybowcowa AP;(65)5294139;;
Certifikowany Ośrodek Szkolenia Lotniczego FTO FLY SERVICE;696590737;;
Certifikowany Ośrodek Szkolenia Lotniczego FTO FLY SERVICE;(71)7946849;;
FC FLYERS S.c.;(32)7206561;;
FLY POLSKA Ośrodek Szkolenia Lotniczego;517910700;;
FLY POLSKA Ośrodek Szkolenia Lotniczego;177887144;;
GOLDWINGS Flight Academy;(22)4239434;;
GOLDWINGS Flight Academy;501101504;;
MIKROLOT;502150838;;
MIKROLOT;512142587;;
Ośrodek Szkolenia Lotniczego Targor Flight Club;501052643;;
Ośrodek Szkolenia Lotniczego Targor Flight Club;517600243;;
PP-AERO Sp. z o.o.;799237762;;
Salt Aviation Sp. z o.o.;509054635;;
SILVAIR Sp. z o.o.;(22)3350796;;
SILVAIR Sp. z o.o.;603510840;;
Szkoła Latania Arek Pomarański;601710522;;
TECHNIKA AEROTECHNIKA;(61)8798250;;
TECHNIKA AEROTECHNIKA;(61)8798901;;
UNITEDSKY Sp. z o.o.;(22)4681369;;
Aeroklub Podkarpacki Szkoła Lotnicza;694209905;;
Aeroklub Podkarpacki Szkoła Lotnicza;602769433;;
BARTOLINI AIR Sp. z o.o.;601611056;;
BARTOLINI AIR Sp. z o.o.;(42)6800563;;
Bielski Park Technologiczny Lotnictwa Przedsiębiorczości i Innowacji Sp. z o.o.;(32)7508189;;
Bielski Park Technologiczny Lotnictwa Przedsiębiorczości i Innowacji Sp. z o.o.;(32)7508233;;
Heli Invest Sp. z o.o.;(22)5718252;;
Heli Invest Sp. z o.o.;(22)5718255;;
Helicopter.pl S.A.;(22)5718259;;
Helicopter.pl S.A.;(22)5718255;;
MOTOR ENERGY Sp. z o.o.;(22)8406748-50;;
MOTOR ENERGY Sp. z o.o.;(22)8406747;;
NORMAL;(33)8113750;;
NORMAL;(33)8157773;;
Przedsiębiorstwo EXIN Sp. z o.o.;(81)5321247;;
Przedsiębiorstwo EXIN Sp. z o.o.;(81)5325904;;
