Europejska Szkoła Aktywnej Edukacji OLIMPIJCZYK;(61)8410294;;
Europejska Szkoła Aktywnej Edukacji OLIMPIJCZYK;(61)8410295;;
Polska Szkoła Florystyczna;(61)8710799;;
Polska Szkoła Florystyczna;(61)8710798;;
Szkoła Dla Dorosłych;(34)3681576;;
Szkoła Dla Dorosłych;(34)3613696;;
ZDZ Zakład Doskonalenia Zawodowego Katowice;(32)6037711;;
ZDZ Zakład Doskonalenia Zawodowego Katowice;(32)6037761;;
Akademia Wizażu i Stylizacji;502529291;;
Akademia Wizażu i Stylizacji;509266555;;
Centrum Edukacji Artystycznej;(22)4210621;;
Centrum Edukacji Artystycznej;(22)4210617;;
Medyczne Studium Zawodowe im. Stanisława Liebharta w Lublinie;(81)7478081;;
Medyczne Studium Zawodowe im. Stanisława Liebharta w Lublinie;(81)7483264;;
Szkoła Morska w Gdyni Sp. z o.o.;(58)6217541;;
Szkoła Morska w Gdyni Sp. z o.o.;(58)6612655;;
Technikum Leśne w Miliczu;(71)3840718;;
Wielkopolskie Samorządowe Centrum Kształcenia Zawodowego i Ustawicznego w Koninie;(63)2424215;;
Zachodniopomorskie Centrum Edukcji Morskiej i Politechnicznej;(91)4420933;;
Zachodniopomorskie Centrum Edukcji Morskiej i Politechnicznej;(91)4420516;;
AXON Centrum Edukacyjno-Medyczne Leszek Twarowski;(85)7166221;;
AXON Centrum Edukacyjno-Medyczne Leszek Twarowski;(85)7438863;;
Centrum Edukacji Dorosłych;(56)6596686;;
Centrum Edukacji Dorosłych;(56)6225143;;
Centrum Kształcenia i Wychowania OHP w Oleśnicy;(71)3142909;;
Centrum Kształcenia i Wychowania OHP w Oleśnicy;(71)7382092;;
Centrum Kształcenia Ustawicznego Nr 1;(22)8256915;;
Centrum Kształcenia Ustawicznego Nr 1;(22)8256929;;
Centrum Kształcenia Zawodowego i Ustawicznego Nr 2;(58)3011020;;
Centrum Kształcenia Zawodowego i Ustawicznego Nr 2;(58)3090506;;
Centrum Nauki i Biznesu ŻAK;(42)6834412;;
Centrum Nauki i Biznesu ŻAK;(42)6834411;;
CEZ Centrum Edukacji Zawodowej;603773208;;
COPACABANA Szkoła Fryzjerska;(71)3400391;;
COPACABANA Szkoła Fryzjerska;721495077;;
Niepubliczna Szkoła Biznesu;(17)8500260;;
Niepubliczna Szkoła Biznesu;(14)6275015;;
Regionalne Centrum Edukacji Zawodowej;(84)6867978;;
Regionalne Centrum Edukacji Zawodowej;(84)6867988;;
Szkoła Farmaceutyczna MEDAN;(32)2920686;;
Szkoła Farmaceutyczna MEDAN;(32)2900904;;
Szkoła Wyższa Psychologii Społecznej;(22)5179600;;
Szkoła Wyższa Psychologii Społecznej;(22)5179625;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy w Katowicach;(32)7506080-81;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy w Katowicach;(32)7506082;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy w Poznaniu;(61)8584363;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy w Sopocie;(58)7214602;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy w Sopocie;(58)7214600;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy we Wrocławiu;(71)3270860;;
Szkoła Wyższa Psychologii Społecznej Wydział Zamiejscowy we Wrocławiu;(71)3270861;;
Szkoły Otwartego Myślenia;(32)2662960;;
Szkoły Otwartego Myślenia;606615455;;
Zespół Szkół im. Władysława Orkana;(18)4433185;;
Zespół Szkół im. Władysława Orkana;(18)4433186;;
Zespół Szkół Rolniczych Centrum Kształcenia Praktycznego;(58)5882236;;
Zespół Szkół Rolniczych Centrum Kształcenia Praktycznego;(58)5860084;;
Zespół Szkół Rolniczych w Grzybnie;(61)2823533;;
Zespół Szkół Rolniczych w Grzybnie;(61)2834814;;
British International School of the University of Łódź;(42)6356006;;
Complex of Silesian International Schools;(32)2549194;;
APEIRON Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego;(12)4223068;;
APEIRON Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego;(12)4216725;;
Europejska Wyższa Szkoła Biznesu;(61)8331433;;
Europejska Wyższa Szkoła Biznesu;608593465;;
Instytut Podstaw Elektrotechniki i Elektrotechnologii Politechniki Lubelskiej;(81)5384289;;
INTEGRA 2000 - Prywatna Szkoła Podstawowa, Gimnazjum ART;(32)2277482;;
Szkoła Biznesu Politechniki Warszawskiej;(22)2347089;;
Szkoła Biznesu Politechniki Warszawskiej;(22)6254953;;
Szkoła Języków Obcych PROMAR;(17)8601515;;
MENTIS Polsko-Angielska Szkoła Podstawowa oraz Dwujęzyczne Gimnazjum;693010200;;
MENTIS Polsko-Angielska Szkoła Podstawowa oraz Dwujęzyczne Gimnazjum;695235005;;
MONOLIT Zespół Szkół Prywatnych dla Dorosłych Agnieszka Zawierucha;(41)3623974;;
MONOLIT Zespół Szkół Prywatnych dla Dorosłych Agnieszka Zawierucha;602622405;;
Ośrodek Szkolenia Zawodowego w Łomży;(86)2162550;;
Uniwersytet Medyczny w Białymstoku;(85)7485473;;
Uniwersytet Medyczny w Białymstoku;(85)7485415;;
Wyższa Szkoła Finansów i Prawa;(33)8297212sekretariat;;
Wyższa Szkoła Finansów i Prawa;(33)8297226dziekanatIstopnia;;
Wyższa Szkoła Finansów i Zarządzania w Białymstoku;(85)6785823;;
Wyższa Szkoła Finansów i Zarządzania w Białymstoku;(85)6785846;;
