A&M Kałuzińscy Szkółka Polskie Korzenie;501063090;;
ALBIGOWA Sadowniczo-Szkółkarski Zakład Doświadczalny;(17)2253070;;
ALBIGOWA Sadowniczo-Szkółkarski Zakład Doświadczalny;(17)2267187;;
Gospodarstwo Szkółkarskie Andrzej Krzysiak;(81)7577593;;
Gospodarstwo Szkółkarskie Andrzej Krzysiak;515893782;;
KRZACZYSKO Szkółka Roślin Ozdobnych;600183598;;
Ogrody o Zielonych Progach;509454401;;
Ogrody o Zielonych Progach;509454405;;
Producent Drzew i Krzewów Iglastych SOLNO Zbigniew Dacko, Joanna Wróblewska;661770777;;
Producent Drzew i Krzewów Iglastych SOLNO Zbigniew Dacko, Joanna Wróblewska;661888661;;
RosaĆwik Szkółka Drzew i Krzewów Ozdobnych;516194880;;
RosaĆwik Szkółka Drzew i Krzewów Ozdobnych;602606451;;
Szkółki Roślin Ozdobnych WAŻYŃSCY;(24)2852811;;
Szkółki Roślin Ozdobnych WAŻYŃSCY;602118939;;
ARTPLANTS Sp. z o.o.;(22)8858567;;
ARTPLANTS Sp. z o.o.;(22)8858568;;
Centrum Ogrodnicze GARDENIA Roman Grupa;601919583;;
Centrum Ogrodnicze GARDENIA Roman Grupa;601437648;;
Dendrofarma Wiesława Kałuzińska;(42)6144360;;
Dendrofarma Wiesława Kałuzińska;607170648;;
JASKIER Szkółka Roślin Ozdobnych mgr inż. Paweł Wnorowski;600383522;;
MAJEWSCY Szkółka Roślin Wrzosowatych;(81)8812079;;
MAJEWSCY Szkółka Roślin Wrzosowatych;602745524;;
PETRUS Magdalena i Piotr Kapera;(14)6782932;;
PETRUS Magdalena i Piotr Kapera;501540495;;
Szkółka Byczkowscy Krzysztof Byczkowski;(61)8188055;;
Szkółka Byczkowscy Krzysztof Byczkowski;(61)8178460;;
Szkółka Bylin Mariola i Leszek Parchańscy;(032)2140884;;
Szkółka Bylin Mariola i Leszek Parchańscy;502307063;;
Szkółka Drzew i Krzewów Ozdobnych Czesław Marzec;(77)4119085;;
Szkółka Drzew i Krzewów Ozdobnych Czesław Marzec;608882706;;
Szkółka Drzew i Krzewów Ozdobnych GREEN MARKET;(46)8331802;;
Szkółka Drzew i Krzewów Ozdobnych GREEN MARKET;601345329;;
Szkółka Drzew i Krzewów Park Roślin Bogucki Bernard;(33)8579557;;
Szkółka Drzew i Krzewów Park Roślin Bogucki Bernard;501224569;;
Szkółka Drzewek Owocowych i Ozdobnych Maria Jakub Lisak;(12)2662326po21:00;;
Szkółka Drzewek Owocowych i Ozdobnych Maria Jakub Lisak;507065639;;
Szkółka Kontenerowa Kostrzyca;(75)7131047;;
Szkółka Kontenerowa Kostrzyca;501635044;;
Szkółka Krzewów MILCZYŃSKI;(33)8277094;;
Szkółka Krzewów MILCZYŃSKI;(33)8457334;;
Szkółka Krzewów Ozdobnych PUDEŁEK;(33)8457415;;
Szkółka Krzewów Ozdobnych SZYMANOWSKI;(22)7222648;;
Szkółka Roślin Ozdobnych Zielone Marzenia Andrzej Olender;692950052;;
Szkółka ZŁOTA JAGODA;(46)8137258;;
Szkółka ZŁOTA JAGODA;692424142;;
Agnieszka i Tomasz Sommerfeld Szkółka Roślin Ozdobnych;885709939;;
Agnieszka i Tomasz Sommerfeld Szkółka Roślin Ozdobnych;662258392;;
DARK-LAND;(34)3281260;;
DIANT-POL POLSKA Ogrodnictwo Produkcyjne;502355964;;
DIANT-POL POLSKA Ogrodnictwo Produkcyjne;503149323;;
DOMAŃSCY Zakładanie i Konserwacja Zieleni;(58)3099347;;
DOMAŃSCY Zakładanie i Konserwacja Zieleni;604369456;;
DORAN - Miskant Olbrzymi;(52)3880020;;
DORAN - Miskant Olbrzymi;508743771;;
Ekologiczne Gospodarstwo Rolno-Leśne;(89)5144626;;
Ekologiczne Gospodarstwo Rolno-Leśne;503810695;;
FLORMAK Krystyna, Henryk Makowiecki;(22)8466790;;
FLORMAK Krystyna, Henryk Makowiecki;(22)7225632;;
Gospodarstwo Sadowniczo-Szkółkarskie Danuta i Mirosław SKIBICCY;(85)7431813;;
Gospodarstwo Sadowniczo-Szkółkarskie Danuta i Mirosław SKIBICCY;606151878;;
Gospodarstwo Szkółkarskie;(17)8635604;;
Gospodarstwo Szkółkarskie;505846634;;
Gospodarstwo Szkółkarskie BOTANIKA Renata i Jacek Żuberek;889740842;;
Gospodarstwo Szkółkarskie BOTANIKA Renata i Jacek Żuberek;602621880;;
Gospodarstwo Szkółkarskie PPUH SKARBY OGRODU;696885999;;
Gospodarstwo Szkółkarskie PPUH SKARBY OGRODU;606740724;;
Gospodarstwo Szkółkarsko-Sadownicze Józef Lewicki;606786353;;
Gospodarstwo Szkółkarsko-Sadownicze Józef Lewicki;(54)2861186;;
Grąbczewscy;(22)7269058;;
Grąbczewscy;604756149;;
Hodowla Roślin Snowidza Sp. z o.o.;(76)8718322;;
JAWOR Szkółka Roślin Ozdobnych;(12)2722157;;
JAWOR Szkółka Roślin Ozdobnych;607766052;;
Kwalifikowana Szkółka Drzew Owocowych i Krzewów Róż;(61)8178476;;
Kwalifikowana Szkółka Drzew Owocowych i Krzewów Róż;602263794;;
Kwalifikowana Szkółka Drzewek Owocowych i Krzewów Ozdobnych;507751842;;
Kwalifikowana Szkółka Drzewek Owocowych i Krzewów Ozdobnych;517435991;;
Kwiaciarski Zakład Doświadczalny Instytutu Ogrodnictwa NOWY DWÓR Sp. z o.o.;(46)8333652;;
Kwiaciarski Zakład Doświadczalny Instytutu Ogrodnictwa NOWY DWÓR Sp. z o.o.;(46)8314172;;
Ogrodnictwo Specjalistyczne W.W.Barcikowscy;509126636;;
Ogrodnictwo Specjalistyczne W.W.Barcikowscy;798142505;;
Ogrody Kaczyńscy Dorota i Jerzy Kaczyńscy Szkółka Roślin Ozdobnych;(23)6925587;;
Ogrody Kaczyńscy Dorota i Jerzy Kaczyńscy Szkółka Roślin Ozdobnych;(23)6925503;;
Ośrodek Elitarnego Materiału Szkółkarskiego Instytutu Ogrodnictwa Sp. z o.o.;(46)8157852;;
Ośrodek Elitarnego Materiału Szkółkarskiego Instytutu Ogrodnictwa Sp. z o.o.;509834950-produkcjaisprzedaż;;
PINEX - Szkółka Drzew i Krzewów Ozdobnych;(32)2101083;;
ROSARIUM Szkółka Róż;(61)2873950;;
ROSARIUM Szkółka Róż;509465891;;
sadzonki.org;503332334;;
Specjalistyczne Gospodarstwo Roślin Jagodowych;501067838;;
Specjalistyczne Gospodarstwo Sadownicze Braci Szaniawskich;667987365;;
Specjalistyczne Gospodarstwo Sadownicze Braci Szaniawskich;664036281;;
Szkółka Drzew i Krzewów Owocowych Alfred Krupiński;(12)3870110-12;;
Szkółka Drzew i Krzewów Owocowych Alfred Krupiński;606356863;;
Szkółka Drzew i Krzewów Owocowych i Ozdobnych;(24)2772008;;
Szkółka Drzew i Krzewów Owocowych i Ozdobnych;603610316;;
Szkółka Drzew i Krzewów Owocowych Józef Kopeć;(32)2157561;;
Szkółka Drzew i Krzewów Owocowych Józef Kopeć;604157926;;
Szkółka Drzew i Krzewów Owocowych Tomasz Kopeć;604333846;;
Szkółka Drzew i Krzewów Owocowych Tomasz Kopeć;(24)2772839;;
Szkółka Drzew i Krzewów Ozdobnych Bogusława Cieśla;(32)2123454;;
Szkółka Drzew i Krzewów Ozdobnych DENDRA Elżbieta i Michał Bielenin;(46)8314286;;
Szkółka Drzew i Krzewów Ozdobnych DENDRA Elżbieta i Michał Bielenin;601385842;;
Szkółka Drzew i Krzewów Ozdobnych Janusz Szczepański;(77)4126773;;
Szkółka Drzew i Krzewów Ozdobnych Janusz Szczepański;503064305;;
Szkółka Drzew i Krzewów Ozdobnych POD DĘBAMI MAJÓW;(22)7240453;;
Szkółka Drzew i Krzewów Ozdobnych POD DĘBAMI MAJÓW;602688331;;
Szkółka Drzew i Krzewów Ozdobnych, Ogrody Jakub Jabłoński;(56)6783626Łysomice;;
Szkółka Drzew i Krzewów Ozdobnych, Ogrody Jakub Jabłoński;(56)6232877Toruń;;
Szkółka Drzew, Krzewów Owocowych i Ozdobnych Dariusz Kamiński;608850035;;
Szkółka Drzewek Owocowych DANIEL Joanna Babka;603859590;;
Szkółka Drzewek Owocowych DANIEL Joanna Babka;607941957;;
Szkółka Krzewów i Drzew Ozdobnych Krystyna i Stanisław Abram;(33)8547180;;
Szkółka Krzewów Ozdobnych Dorota i Piotr Rozenek;502438554;;
Szkółka Krzewów Ozdobnych Joanna i Marcin Weber;607204886;;
Szkółka Krzewów Ozdobnych Mariusz Pawlak;(43)8419456;;
Szkółka Krzewów Ozdobnych Mariusz Pawlak;502729525;;
Szkółka Krzewów Ozdobnych mgr inż. Bogusław Rudnicki;(83)3535569;;
Szkółka Krzewów Ozdobnych mgr inż. Bogusław Rudnicki;668844074;;
Szkółka Krzewów Ozdobnych WRZOS, Sklep Ogrodniczy Jacek Hodór;607619822;;
Szkółka Krzewów Ozdobnych WRZOS, Sklep Ogrodniczy Jacek Hodór;530093048;;
Szkółka Mareckich Emilia i Mikołaj Mareccy;(67)2162147;;
Szkółka Mareckich Emilia i Mikołaj Mareccy;602713073;;
Szkółka Pojemnikowa Bylin Joanna Dziatko;(22)6438041;;
Szkółka Pojemnikowa Bylin Joanna Dziatko;510087860;;
Szkółka Roślin Ozdobnych Barbara i Ryszard Grzesik;(14)6852537;;
Szkółka Roślin Ozdobnych Barbara i Ryszard Grzesik;609462722;;
Szkółka Roślin Ozdobnych CYPRYS Waldemar Cybulski;(58)6813104;;
Szkółka Roślin Ozdobnych CYPRYS Waldemar Cybulski;501478034;;
Szkółka Roślin Ozdobnych DĄBRÓWKA;509481696;;
Szkółka Roślin Ozdobnych DĄBRÓWKA;503151849;;
Szkółka Roślin Ozdobnych Gospodarstwo Ogrodnicze Sawanna;505302413;;
Szkółka Roślin Ozdobnych Katarzyna i Tomasz Grochowscy;(74)8712522;;
Szkółka Roślin Ozdobnych Katarzyna i Tomasz Grochowscy;604168212;;
Szkółka Roślin Ozdobnych Paweł Pesta;601642896;;
Szkółka Roślin Ozdobnych Paweł Pesta;(58)5610722;;
Szkółka Roślin Ozdobnych w Santocku;(95)7311158;;
Szkółka Roślin Ozdobnych w Santocku;603601242;;
Szkółkarstwo Ozdobne mgr inż. Małgorzata Dolczewska-Wierusz;509918159;;
Szkółki Drzew Owocowych mgr inż. Tadeusz Zaparuszewski;(54)2521447;;
Szkółki Drzew Owocowych mgr inż. Tadeusz Zaparuszewski;(54)2521531;;
Marek Fabia Szkółka Drzew i Krzewów Owocowych i Ozdobnych;(33)8214437;;
Szkółka Roślin Ozdobnych Grubsko;661527649;;
Szkółkarstwo Owocowe i Ozdobne;(17)7713030;;
Szkółkarstwo Owocowe i Ozdobne;501502693;;
Gospodarstwo Szkółkarsko Ogrodnicze Piotr i Bożena Wójcik;(71)3166708;;
Gospodarstwo Szkółkarsko Ogrodnicze Piotr i Bożena Wójcik;604301742;;
Szkółka Drzew i Krzewów Ozdobnych Jerzy Smolin;(77)4184952;;
Szkółka Drzew i Krzewów Ozdobnych Jerzy Smolin;608393489;;
FIORE Ogrody Karkonoszy Rodziny Wiącek mgr.inż. Katarzyna Gronek;(75)7518295;;
FIORE Ogrody Karkonoszy Rodziny Wiącek mgr.inż. Katarzyna Gronek;606972694;;
Szkółka Roślin Ozdobnych WYSOKA Piotr Jaskulski;(61)4276668;;
Szkółka Roślin Ozdobnych WYSOKA Piotr Jaskulski;604203544;;
Zakład Zieleni Marszałek S.c.;(62)7252371;;
Zakład Zieleni Marszałek S.c.;508100327;;
Gospodarstwo JĘDRZEJEWSKI Ireneusz Jędrzejewski;(54)2863199;;
Gospodarstwo JĘDRZEJEWSKI Ireneusz Jędrzejewski;(54)2862051;;
STELLA - Etykiety do Roślin;(25)7563999;;
STELLA - Etykiety do Roślin;600447744;;
WOLNY Drzewa Krzewy Ogrody;(32)2877106;;
Zakładanie i Pielęgnacja Ogrodów, Szkółkarstwo;691171829;;
MIGROLA Centra Ogrodnicze;(81)5162419;;
MIGROLA Centra Ogrodnicze;(81)5162463;;
Nowe Ogrody Danuta Pańkowicz;(58)3099740;;
P.H.U. OG-ROL;(52)3972976;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ROMERO;(48)3322830-32;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ROMERO;(48)3322833;;
Sadowniczy Zakład Doświadczalny Instytutu Ogrodnictwa BRZEZNA Sp. z o.o.;(18)4458411;;
Sadowniczy Zakład Doświadczalny Instytutu Ogrodnictwa BRZEZNA Sp. z o.o.;(18)4458410;;
DrzewkaOwocowe24.pl Piotr Stypuła;(81)8288896;;
Gospodarstwo Szkółkarskie;(81)8812528;;
Gospodarstwo Szkółkarskie;501511751;;
Szkółka Drzew i Krzewów Zdzisław Olejko;505087036;;
Szkółka Drzew i Krzewów Zdzisław Olejko;505087043;;
TREESPLANT Szkółkarstwo;883200715;;
TREESPLANT Szkółkarstwo;633124907;;
Zielonechoinki.pl;666814872;;
ACER Drzewa i Krzewy Ozdobne;(89)5276563;;
ACER Drzewa i Krzewy Ozdobne;601195110;;
ACROCONA Szkółki Drzew i Krzewów Ozdobnych Joanna Widaj;(22)7507545;;
ACROCONA Szkółki Drzew i Krzewów Ozdobnych Joanna Widaj;601220408;;
Aczer;(32)6735398;;
Aczer;600016405;;
AGRO-TRUS;(42)7186254;;
AGRO-TRUS;(42)6167388;;
AGROAPIS;(24)3562389;;
Agroturystyczne Gospodarstwo Szkółkarskie Krzewów Ozdobnych Monika i Paweł Banasiak;(24)3892222;;
Agroturystyczne Gospodarstwo Szkółkarskie Krzewów Ozdobnych Monika i Paweł Banasiak;605994796;;
Akademia Bonsai;(71)3681193;;
AMK Komputer Andrzej Marzec - Sklep Internetowy Funkia.pl;(46)8633934;;
AMK Komputer Andrzej Marzec - Sklep Internetowy Funkia.pl;502602668;;
ANLAS Uprawy Szkółkarskie i Leśne;(71)3854805;;
ANLAS Uprawy Szkółkarskie i Leśne;(71)3854807;;
ARBUTUS Szkółka Róż i Krzewów Ozdobnych;(61)8146874;;
ARBUTUS Szkółka Róż i Krzewów Ozdobnych;605322935;;
ARNO Szkółkarstwo Sadownicze Anna i Ryszard Nowakowscy;(48)6611779;;
ArtOgród Szkółka Krzewów Ozdobnych;(12)2712116;;
ArtOgród Szkółka Krzewów Ozdobnych;606719872;;
BARTNIK Szkółki Drzew i Krzewów Owocowych;(81)8211590;;
BARTNIK Szkółki Drzew i Krzewów Owocowych;601369920;;
BLUMKOWSKY Sp. z o.o.;663333553;;
Bonsai Ogrodowe;602302135;;
BOOT & HORTORUS Sp. z o.o.;(22)7725051;;
BOOT & HORTORUS Sp. z o.o.;(22)7724280;;
CARDEMO Halina Mozdyniewicz;(18)2662806;;
CARYA;507702521;;
CENTRUM OGRODNICZE Bogdanowo;(61)2961232;;
CENTRUM OGRODNICZE Bogdanowo;606164395;;
Centrum Ogrodnicze EGZOLAND;(85)7434903;;
Centrum Ogrodowe AGROEGO;(32)2515956;;
Centrum Roślin Ogrodowych Marek Gollob;507173777;;
Centrum Roślin Ogrodowych Marek Gollob;665444333;;
Chmiel Lubuski Plantacja Bożnów;605452969;;
Choinki - Marek Pietrzak;600304820;;
Choinki - Marek Pietrzak;665446713;;
