20 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny Samodzielny Publiczny Zakład Opieki Zdrowotnej;(18)4146435;;
20 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny Samodzielny Publiczny Zakład Opieki Zdrowotnej;261146435;;
Samodzielny Publiczny Szpital Kliniczny nr 7 Śląskiego Uniwersytetu Medycznego w Katowicach Górnośląskie Centrum Medyczne im. prof. Leszka Gieca;(32)3598000;;
Samodzielny Publiczny Szpital Kliniczny nr 7 Śląskiego Uniwersytetu Medycznego w Katowicach Górnośląskie Centrum Medyczne im. prof. Leszka Gieca;(32)2024025;;
Samodzielny Publiczny Zakład Opieki Zdrowotnej w Garwolinie;(25)6844949-sekretariat;;
Samodzielny Publiczny Zakład Opieki Zdrowotnej w Garwolinie;(25)6844700-centrala;;
Wojewódzki Ośrodek Lecznictwa Odwykowego i Zakład Opiekuńczo-Leczniczy w Gorzycach;(32)4511172;;
Wojewódzki Ośrodek Lecznictwa Odwykowego i Zakład Opiekuńczo-Leczniczy w Gorzycach;(32)4511205;;
Nowe Techniki Medyczne Szpital Specjalistyczny im. św.Rodziny Sp. z o.o.;(17)8666700-02;;
Nowe Techniki Medyczne Szpital Specjalistyczny im. św.Rodziny Sp. z o.o.;(17)8669900;;
105 Szpital Wojskowy z Przychodnią SP ZOZ;(68)4707810;;
105 Szpital Wojskowy z Przychodnią SP ZOZ;(68)4707815;;
Samodzielny Publiczny Zespół Opieki Zdrowotnej we Włodawie;797702705;;
Samodzielny Publiczny Zespół Opieki Zdrowotnej we Włodawie;(82)5724170;;
Samodzielny Wojewódzki Publiczny Zespół Zakładów Psychiatrycznej Opieki Zdrowotnej im. dr Barbary Borzym;(48)3324500;;
Samodzielny Wojewódzki Publiczny Zespół Zakładów Psychiatrycznej Opieki Zdrowotnej im. dr Barbary Borzym;(48)3321508;;
SZPITAL NA WYSPIE Sp. z o.o.;(68)4757600;;
SZPITAL NA WYSPIE Sp. z o.o.;(68)4757700;;
Ośrodek Leczenia Nerwic i Zaburzeń Jedzenia DĄBRÓWKA;(32)2383470;;
Centra Medyczne Medyceusz NZOZ;(42)6136900;;
Centra Medyczne Medyceusz NZOZ;(42)6136906;;
Centrum Medyczne MED-GASTR;(42)2582233;;
Centrum Medyczne MED-GASTR;(42)6371100;;
Centrum MULTI-MEDICA Sp. z o.o.;(22)7868191Centrala;;
Centrum MULTI-MEDICA Sp. z o.o.;797995318Stomatologia;;
Centrum Rehabilitacji TUKAN;(18)4791080-ŁABOWA;;
Centrum Rehabilitacji TUKAN;(18)4791082-ŁABOWA;;
KRAJMED Centrum Medyczne;(22)4586967-69;;
KRAJMED Centrum Medyczne;(22)4586970;;
Wojewódzki Szpital Okulistyczny w Krakowie;(12)6208200-centrala;;
Wojewódzki Szpital Okulistyczny w Krakowie;(12)6208220;;
AGAMED Chirurgia Ortopedyczna Ośrodek Artroskopii;(42)6331455;;
AGAMED Chirurgia Ortopedyczna Ośrodek Artroskopii;(42)6331523;;
Dr Olender Prywatny Szpital Chirurgii Plastycznej;(34)3111032;;
Kolejowy Szpital Uzdrowiskowy Sp. z o.o. w Ciechocinku;(54)2835691;;
Kolejowy Szpital Uzdrowiskowy Sp. z o.o. w Ciechocinku;(54)2836216;;
SP ZOZ REPTY Górnośląskie Centrum Rehabilitacji im. gen. Jerzego Ziętka;(32)3901414;;
SP ZOZ REPTY Górnośląskie Centrum Rehabilitacji im. gen. Jerzego Ziętka;(32)2853071;;
Szpital i Przychodnia Medica Celsus Sp. z o.o. Sp.komandytowa;602133845;;
Szpital i Przychodnia Medica Celsus Sp. z o.o. Sp.komandytowa;606639496;;
Zespół Sanatoryjno-Szpitalny Rehabilitacji Narządu Ruchu GWAREK;(32)2107370;;
Zespół Sanatoryjno-Szpitalny Rehabilitacji Narządu Ruchu GWAREK;(32)2107354;;
Opolskie Centrum Rehabilitacji;(77)4344000centrala;;
Opolskie Centrum Rehabilitacji;(77)4344005;;
Ośrodek Leczenia Nerwic NSP ZOZ MAWIKO;(52)3970376;;
Ośrodek Leczenia Nerwic NSP ZOZ MAWIKO;509972737;;
NZOZ ALFA Szpital Rehabilitacyjny;(18)4712971;;
NZOZ ALFA Szpital Rehabilitacyjny;(18)4777493;;
