JMT POLSKA Sp. z o.o.;(61)8643587;;
JMT POLSKA Sp. z o.o.;501713144;;
Art-7Plus Agencja Reklamowo-Wystawiennicza;501007713;;
Art-7Plus Agencja Reklamowo-Wystawiennicza;501245338;;
ArtExpo;(22)7301059;;
ArtExpo;(22)7586022;;
DAGAN GLOBAL;601894177;;
DAGAN GLOBAL;730222339;;
EXACTUS Ewa Mastalerz, Marek Wiktorowski Sp.j.;(42)6322866;;
EXACTUS Ewa Mastalerz, Marek Wiktorowski Sp.j.;(42)6322859;;
ExpoSped Sp. z o.o.;(22)2567171-73;;
Firma PROARTE;(32)3860084;;
Firma PROARTE;(32)3873199;;
Krakowskie Przedsiębiorstwo Wytwórczo-Usługowe ARTIM Sp. z o.o.;(12)4216712;;
Krakowskie Przedsiębiorstwo Wytwórczo-Usługowe ARTIM Sp. z o.o.;(12)4216722;;
MAXIBIT Polska Marek Bojanowski;602248654;;
STUDIO EXPO P.Iłowiecki, T.Grabowski Sp.j.;(22)7529535;;
STUDIO EXPO P.Iłowiecki, T.Grabowski Sp.j.;(22)7529534;;
TOMEX Sp.j. A.Wierciński, J.Wiśniewski i S-ka;(52)5837061;;
TOMEX Sp.j. A.Wierciński, J.Wiśniewski i S-ka;(52)3813946;;
Zarząd Targów Warszawskich S.A. (dawniej Biuro Reklamy S.A.);(22)8496006;;
Zarząd Targów Warszawskich S.A. (dawniej Biuro Reklamy S.A.);(22)8493584;;
IMAWEX Sp. z o.o - Sp. komandytowa;(22)7583866;;
IMAWEX Sp. z o.o - Sp. komandytowa;604436054;;
Wrocławskie Przedsiębiorstwo HALA LUDOWA Sp. z o.o.;(71)3475102;;
Wrocławskie Przedsiębiorstwo HALA LUDOWA Sp. z o.o.;(71)3486851;;
A-Z Zdzisław Filipiak Sp. z o.o.;(61)8752672;;
A-Z Zdzisław Filipiak Sp. z o.o.;(61)8752674;;
ACTON Sp. z o.o.;(77)5514475;;
ACTON Sp. z o.o.;609389645;;
AG-EXPO Andrzej Groblewski Sp.j.;(22)7585104;;
ASTRA Biuro Promocji i Wystaw;(33)8119320;;
ASTRA Biuro Promocji i Wystaw;(33)8119321;;
Centrum Targowe Chemobudowa-Kraków S.A.;(12)6527800;;
Centrum Targowe Chemobudowa-Kraków S.A.;(12)6527803;;
ELSTAR Sp.j.;(61)8268293;;
ELSTAR Sp.j.;(61)8268318;;
EXPO LINE Sp. z o.o.;(22)6692615;;
EXPO LINE Sp. z o.o.;(22)6695394;;
INTERSERVIS Sp. z o.o.;(42)6371215;;
INTERSERVIS Sp. z o.o.;(42)6371359;;
ITECO Sp. z o.o.;(71)7963390-91;;
ITECO Sp. z o.o.;(71)7963392;;
