Tartak - Zakład Usługowy Jesion Marzena Pieruń;(77)4550411;;
Tartak - Zakład Usługowy Jesion Marzena Pieruń;696037116;;
TARTAK BEZLEDY;(89)7616002;;
TARTAK BEZLEDY;(89)7616303;;
TARTAK DOBROSZYCE Bogdan Żuraw;(71)3141197;;
TARTAK DOBROSZYCE Bogdan Żuraw;(71)3141819;;
Tartak Rosa S.c.;602116137;;
Tartak Rosa S.c.;600218647;;
Biofactory S.A.;(13)4471020;;
Biofactory S.A.;(13)4471067;;
BRAWO Usługi Tartaczne;601762387;;
BRAWO Usługi Tartaczne;(63)2716912;;
GINES SYSTEM - Tartak Wydminy;(87)4210016;;
P.P.H. Pankbud - Tartak, Stolarnia;(91)3822010;;
P.P.H. Pankbud - Tartak, Stolarnia;604501599;;
PPHU JARPOL Tartak;(41)3731510;;
PPHU JARPOL Tartak;605361965;;
Tartak DREWMIKS;506948921;;
Tartak DREWMIKS;664329668;;
Tartak ISKRA;(62)7850142;;
Tartak ISKRA;(62)7810030;;
Tartak JAGODNO Artur Zagalski;(55)2349381;;
Tartak JAGODNO Artur Zagalski;(55)2342821;;
TARTAK Marek Winecki;(34)3270183;;
TARTAK Marek Winecki;602682272;;
Tartak Stary Wielisław;513287071;;
Tartak Stary Wielisław;(74)8685209;;
TARTAK-TUCZNO Sp. z o.o.;(67)2593028;;
TARTAK-TUCZNO Sp. z o.o.;(67)2593380;;
TRAK-HAN;(12)2747033;;
TRAK-HAN;606455589;;
EBIŚ - Tartak Drzewny;(77)4216068;;
F.H.U. STOŻEK Barbara Stożek;(18)3330959;;
F.H.U. STOŻEK Barbara Stożek;784401888;;
Firma Produkcyjno-Handlowa SINEX Jacek Sikora;(32)2115298;;
Firma Produkcyjno-Handlowa SINEX Jacek Sikora;605272231;;
P.H.U. Grzegorz Niewczas;(44)6319617;;
P.H.U. Grzegorz Niewczas;504076386;;
P.P.H.U Tartak Smyków ZPChr Skawiński Stanisław;(44)7873110;;
P.P.H.U Tartak Smyków ZPChr Skawiński Stanisław;(44)7873416;;
P.P.H.U. DREWNOPOL;(42)2152753;;
P.P.H.U. DREWNOPOL;(42)2270927;;
P.P.U.H. Daglezja;(59)8131517;;
P.W. TARTEX S.c.;(75)7382850;;
P.W. TARTEX S.c.;500096010;;
PHU Klon S.c. Tartak Sokołda;(85)7183451;;
PHU Klon S.c. Tartak Sokołda;502629024;;
POL-DREWNO;605032005;;
POL-DREWNO;733160686;;
PPHU Drew-Trans;(23)6727989;;
PPHU Drew-Trans;602479458;;
PPHU GEBAR Eugeniusz Barłóg;(67)2547247;;
PPHU GEBAR Eugeniusz Barłóg;604554198;;
PPHU Tartak Turek Michał;(34)3554061;;
PPHU Tartak Turek Michał;502338661;;
Przedsiębiorstwo Produkcji Drzewnej POLTRAK Sp. z o.o.;(44)7560891;;
Przedsiębiorstwo Produkcji Drzewnej POLTRAK Sp. z o.o.;(44)7560809tartak;;
SOMAPOL Sławomir Sobota spółka komandytowa;(65)5451420;;
Stol-Eko Tartak Stolarstwo Usługowe;(74)8669082;;
Stol-Eko Tartak Stolarstwo Usługowe;605057219;;
Stolarnia Mazurska Marcin Berkowski;608584914;;
Stolarnia Mazurska Marcin Berkowski;600702017;;
TARTAK CHRUŚCIEL Marian Drabiński;(55)2431122;;
TARTAK CHRUŚCIEL Marian Drabiński;694463571;;
Tartak DENDRON;(41)2543620;;
Tartak DENDRON;(41)2544949;;
TARTAK FORENDA;503035294;;
TARTAK GWIŻDŻ Handel Drewnem;691813014;;
TARTAK GWIŻDŻ Handel Drewnem;607921741;;
Tartak KULA;(32)6424497;;
Tartak KULA;(32)2607909;;
Tartak PPHU Import-Eksport Ryszard Łotyszonek;666866087;;
Tartak PPHU Import-Eksport Ryszard Łotyszonek;882135548;;
Tartak Prochowice Sp. z o.o.;(76)8584639;;
TARTAK RUSNAK Tadeusz i Halina Rusnak;(18)2624646;;
TARTAK RUSNAK Tadeusz i Halina Rusnak;505179690;;
Tartak SOCHOR;(77)4270500;;
Tartak SOCHOR;(77)4270502;;
TARTAK SUPRAŚL Sp. z o.o.;(85)7183070;;
TARTAK SUPRAŚL Sp. z o.o.;(85)7183355;;
Tartak Zakład Obróbki Drewna;(041)2713466;;
Tartak Zakład Obróbki Drewna;503090696;;
Zakład Stolarski Anna Dobrzyńska-Sałek;604960069;;
Zakład Stolarski Anna Dobrzyńska-Sałek;(48)3221374;;
UNITOR;(62)7512555;;
UNITOR;(62)7512205;;
ASiSt;(58)6866530-Kaliska;;
ASiSt;(58)6874810-Lipusz;;
EBO Domki Drewniane;(89)5260908;;
EBO Domki Drewniane;602760701;;
HAMECH Zakłady Maszynowe Sp. z o.o.;(85)8735200;;
HAMECH Zakłady Maszynowe Sp. z o.o.;(85)8735238;;
Przedsiębiorstwo JAWID Janusz Wideński;(33)8155755;;
Przedsiębiorstwo Przemysłu Drzewnego POLTAREX Sp. z o.o.;(59)8635700;;
Przedsiębiorstwo Przemysłu Drzewnego POLTAREX Sp. z o.o.;(59)8622139;;
Przedsiębiorstwo Wielobranżowe PERFECT Sp. z o.o.;(41)2753338;;
Przedsiębiorstwo Wielobranżowe PERFECT Sp. z o.o.;(41)2750366;;
Zakład Stolarski Marek Malinowski, Leszek Malinowski Sp.j.;(52)3329557;;
Zakład Stolarski Marek Malinowski, Leszek Malinowski Sp.j.;(52)3329404;;
DREWNOPARK S.c.;(33)8532981-82;;
DREWNOPARK S.c.;(33)8532983;;
F.P.H.U. ODNOVA;(18)2688970-73;;
F.P.H.U. ODNOVA;(18)2688974;;
Firma Produkcyjno-Usługowo-Handlowa MALORZ;607092504;;
Firma Produkcyjno-Usługowo-Handlowa MALORZ;501229280;;
JURO-TRANS Jerzy Gadomski;(75)7182528;;
JURO-TRANS Jerzy Gadomski;(75)7182913;;
MAR-MASZ Henryk Pioch;601166404;;
MAR-MASZ Henryk Pioch;691483397;;
MGJ Sp. z o.o.;(58)6739000;;
MGJ Sp. z o.o.;(58)6739015;;
P.H.U. JĘDRYSEK Stanisław Jędrysek;(12)2748765;;
P.H.U. JĘDRYSEK Stanisław Jędrysek;(12)2728205;;
P.O.M. Guzmet S.c.;(94)3671143;;
P.O.M. Guzmet S.c.;(94)3671152;;
P.P.H.U. WARSZMET Sp. z o.o. Z.P.Ch. Sp.komandytowa;(55)2371708;;
P.P.H.U. WARSZMET Sp. z o.o. Z.P.Ch. Sp.komandytowa;(55)2350190;;
Peplinski & Banaszewski Sp. z o.o.;(62)7471815;;
Peplinski & Banaszewski Sp. z o.o.;(62)7479550;;
Skład Drewna P.P.U.H. Ryszard Jacyno;(59)8103761;;
Skład Drewna P.P.U.H. Ryszard Jacyno;502535818;;
DRE-FIKS - Materiały Budowlane, Ocieplenia, Pokrycia dachowe;(42)2132040;;
DRE-FIKS - Materiały Budowlane, Ocieplenia, Pokrycia dachowe;(42)2123020;;
DREW-DOM - Drewniane Budownictwo Szkieletowe;604228192;;
DREWBUD BIS Producent parkietów;600356835;;
DREWBUD BIS Producent parkietów;608123047;;
EKO DREWNO;(71)3887860;;
EKO DREWNO;(71)3878285;;
Eliza S.c.;(84)6876041;;
Eliza S.c.;(84)6876040;;
GAMEL Sp.j. Leon Gniewek;(74)8570292;;
GAMEL Sp.j. Leon Gniewek;601718901;;
JAR-MAN;609850891;;
