Transport Osobowy i Ciężarowy Krajowy i Międzynarodowy Mariusz Kotwicki;601703557;;
TWOJE TAXI Kraków Rafał Palonek;505273300;;
HALO TAXI Sopot;(58)5516491;;
Przedsiębiorstwo Usług Transportowych Radio Taxi Barbakan Sp. z o.o.;19661;;
Przedsiębiorstwo Usług Transportowych Radio Taxi Barbakan Sp. z o.o.;(12)3572003;;
32 RADIO TAXI;(85)7323232;;
32 RADIO TAXI;19624;;
A&A SUDETY Radio Taxi;(75)7428913;;
A&A SUDETY Radio Taxi;722153553;;
AS-TAXI;(58)3022303;;
AS-TAXI;(58)19660;;
CARO-TAXI;660522660;;
CARO-TAXI;(58)3223322;;
City Taxi Bis Stowarzyszenie Kierowców Taksówek Osobowych;607208300;;
City Taxi Bis Stowarzyszenie Kierowców Taksówek Osobowych;19629;;
GOLD-TAXI;196-88;;
GOLD-TAXI;505059688;;
Hallo Express Taxi;(58)6235645;;
Hallo Express Taxi;602640605;;
Miejskie Przedsiębiorstwo Taksówkowe SUPER TAXI 919 Sp. z o.o.;19191taxi;;
Miejskie Przedsiębiorstwo Taksówkowe SUPER TAXI 919 Sp. z o.o.;19192taxi;;
Miejskie Przedsiębiorstwo Transportowe Tele-Taxi 400-400 S.c.;800400400;;
Miejskie Przedsiębiorstwo Transportowe Tele-Taxi 400-400 S.c.;19626;;
MPT Radio TAXI Sp. z o.o.;(12)6472042;;
P.T.U. SILESIA-EXPRESS;(32)2601313;;
P.T.U. SILESIA-EXPRESS;665601313;;
Radio Taxi Chojnice;(52)3974831;;
Radio Taxi JEDYNKA CITY;725445566;;
Radio Taxi JEDYNKA CITY;19199;;
RADIO-TAXI ZRZESZENI 196-22;(52)3495454;;
RONDO TAXI LUBIN;(76)8444490;;
RONDO TAXI LUBIN;(76)8444414;;
Stowarzyszene Caro-Taxi;(58)6785599;;
Stowarzyszene Caro-Taxi;500585656;;
Stowarzyszenie JEDYNKA - ALE TAXI;(81)7450191;;
Stowarzyszenie JEDYNKA - ALE TAXI;(81)5111111;;
Stowarzyszenie Prywatnych Taksówkarzy HALO-TAXI-O`K;(22)8236342;;
Stowarzyszenie Prywatnych Taksówkarzy HALO-TAXI-O`K;501119623;;
Stowarzyszenie Przedsiębiorców Prywatnego Transportu RADIO TAXI SERC;(71)3633737;;
Stowarzyszenie Przedsiębiorców Prywatnego Transportu RADIO TAXI SERC;607962900;;
Stowarzyszenie Radio Taxi Efekt;19666;;
Stowarzyszenie Radio Taxi Efekt;502019666;;
Stowarzyszenie Taksówkarzy Zielonogórskich HALLO-TAXI;(68)3253000;;
Stowarzyszenie Taksówkarzy Zielonogórskich HALLO-TAXI;0800325300;;
TAXI 7 Garwolin;601299581;;
TAXI Giewont;196-26;;
TAXI Giewont;666300111;;
Taxi Mini Serce;(74)8482222;;
Taxi Mini Serce;604261589;;
Taxi Service Sopot 19-194;570100010;;
Taxi Silesia;(32)7570900;;
TELE TAXI Katowice;(32)2090909;;
TELE TAXI Katowice;0800100909;;
Tele-Taxi Centrum;(32)2716666;;
