Krakowski Teatr Scena STU;(12)4222263Sekretariat;;
Krakowski Teatr Scena STU;(12)4220586Koordynacja;;
STUDIO BUFFO Sp. z o.o.;(22)6254709Kasa;;
STUDIO BUFFO Sp. z o.o.;(22)3390771Kasa;;
Teatr im. Stanisława Ignacego Witkiewicza;(18)2000660;;
Teatr im. Stanisława Ignacego Witkiewicza;(18)2068297;;
Teatr im. Wilama Horzycy w Toruniu;(56)6225021Centrala;;
Teatr im. Wilama Horzycy w Toruniu;(56)6225597BOW;;
Teatr im.Wandy Siemaszkowej w Rzeszowie;(17)8532252Rezerwacjabiletów;;
Teatr im.Wandy Siemaszkowej w Rzeszowie;(17)8532748Sekretariat;;
Teatr LA FAYETTE Iwona Faj;(91)4423539;;
Teatr LA FAYETTE Iwona Faj;601872445;;
Wrocławski Teatr Komedia;(71)3354977;;
Filharmonia Zielonogórska im. Tadeusza Bairda;(68)3256514;;
Kielecki Teatr Tańca;(41)3676712;;
Kielecki Teatr Tańca;(41)3612746;;
Studio DONO;(12)6262464;;
Studio DONO;606356789;;
Teatr Arka;(71)7237803;;
Teatr Arka;500423919;;
Teatr BAJ;(22)8180821;;
Teatr BAJ;(22)6198077;;
Teatr im. Aleksandra Sewruka w Elblągu;(55)6419700;;
Teatr im. Aleksandra Sewruka w Elblągu;(55)2345652;;
Teatr im. Stefana Żeromskiego;(41)3444765;;
Teatr im. Stefana Żeromskiego;(41)3446048;;
Teatr Lalek RABCIO;(18)2677170;;
Teatr Lalek RABCIO;600143786;;
Teatr LALKA;(22)6248565;;
Teatr LALKA;(22)6566939;;
Teatr Mały w Manufakturze;(42)6332424;;
Teatr Mały w Manufakturze;660716936;;
Teatr Powszechny w Łodzi;(42)6323887;;
Teatr Powszechny w Łodzi;(42)6361814;;
Teatr Uliczny Z GŁOWĄ w CHMURACH Tomek Rodak;607778891;;
Teatr VAŚKA;501206267;;
Teatr Żydowski im. Estery Rachel i Idy Kamińskich - Centrum Kultury Jidysz;(22)6206281Centrala;;
Teatr Żydowski im. Estery Rachel i Idy Kamińskich - Centrum Kultury Jidysz;(22)5262015Sekretariat;;
Agencja Artystyczna WojArt;602267421;;
GRAND TOUR Regionalna Agencja Turystyki;(42)6320647;;
GRAND TOUR Regionalna Agencja Turystyki;(42)6326379;;
Teatr Władca Lalek;601364802;;
Teatr Władca Lalek;(59)8441500;;
Agencja Artystyczna HORYZONT;662059104;;
Bałtycki Teatr Dramatyczny im. Juliusza Słowackiego w Koszalinie;(94)3422058;;
Bałtycki Teatr Dramatyczny im. Juliusza Słowackiego w Koszalinie;(94)3422267;;
Białostocki Teatr Lalek;(85)7425031;;
Białostocki Teatr Lalek;(85)7428631;;
Bydgoski Teatr Lalek BURATINO;(52)3255540;;
Bydgoski Teatr Lalek BURATINO;609047117;;
Centrum Edukacji Artystycznej - Filharmonia Gorzowska;(95)7392700;;
Centrum Edukacji Artystycznej - Filharmonia Gorzowska;(95)7392747;;
Centrum Sztuki IMPART;(71)3442816;;
Centrum Sztuki IMPART;(71)3432962;;
F.U. PINOKIO Teatr Lalek;(18)4480228;;
F.U. PINOKIO Teatr Lalek;(18)4480368;;
FILHARMONIA CZĘSTOCHOWSKA;(34)3244230;;
FILHARMONIA CZĘSTOCHOWSKA;(34)3241854;;
Filharmonia Dolnośląska w Jeleniej Górze;(75)7538161;;
Filharmonia Dolnośląska w Jeleniej Górze;(75)7538165;;
Filharmonia im. Henryka Wieniawskiego w Lublinie;(81)5315120;;
Filharmonia im. Henryka Wieniawskiego w Lublinie;(81)5315107;;
Filharmonia im. Karola Szymanowskiego w Krakowie;(12)6198721;;
Filharmonia im. Karola Szymanowskiego w Krakowie;(12)4229477;;
Filharmonia im. Mieczysława Karłowicza w Szczecinie;(91)4220079;;
Filharmonia im. Mieczysława Karłowicza w Szczecinie;(91)4224723;;
Filharmonia Kaliska;(62)7570748;;
Filharmonia Kaliska;(62)7576490;;
Filharmonia Łódzka im. Artura Rubinsteina;(42)6647979;;
Filharmonia Łódzka im. Artura Rubinsteina;(42)6647918;;
