F.H.U. DAR-MEDIC;502860902;;
F.H.U. DAR-MEDIC;(33)4446195;;
Delta Contact Sp. z o.o.;(22)5749300;;
Delta Contact Sp. z o.o.;728980865DziałSprzedaży;;
Alma-Dom;695377334;;
Directan Sp. z o.o.;504009812DziałHandlowy;;
Directan Sp. z o.o.;(61)8439880;;
Przedsiębiorstwo Telekomunikacyjne DERCOM;(22)5469320;;
Przedsiębiorstwo Telekomunikacyjne DERCOM;(22)5469329;;
TELMON Sp. z o.o. S.K.A.;(42)2929060;;
TELMON Sp. z o.o. S.K.A.;(42)2929066;;
HILLWAY Training & Consulting Sp.j.;(22)2502282;;
CETEKOM S.c. Iwona i Ryszard Karolczyk;(62)5977910;;
CETEKOM S.c. Iwona i Ryszard Karolczyk;(62)7678080;;
4EverNET Sp. z o.o.;(32)7907777;;
4EverNET Sp. z o.o.;(32)7907778;;
Asystel Sp. z o.o.;(17)7150250;;
Asystel Sp. z o.o.;531333026;;
Bancom Sp. z o.o.;(22)5885500;;
BDI Sp. z o.o.;(22)3517336;;
Call Center ECTA Sp. z o.o.;(42)2929682;;
Call Center ECTA Sp. z o.o.;(42)2929606;;
Call Center Inter Galactica Sp. z o.o.;(71)7227200;;
Call Center Inter Galactica Sp. z o.o.;(71)7227299;;
Call Center Poland S.A.;(22)4440444;;
CALL FOR BUSINESS S.c.;791365487;;
CALL FOR BUSINESS S.c.;(12)3337337;;
Call4You Sp.j.;(61)6570000;;
Call4You Sp.j.;(61)8729788;;
CCall Sp. z o.o.;(32)7935579;;
Centrum Bankowości Bezpośredniej Sp. z o.o.;(012)6828282ZespółSprzedaży;;
Centrum Bankowości Bezpośredniej Sp. z o.o.;(012)6186731Sekretariat;;
Centrum Obsługi Klienta;(22)4636384;;
Centrum Obsługi Klienta;(22)4636385;;
Communication Service Sp. z o.o.;(22)5266000;;
Communication Service Sp. z o.o.;(22)5266001;;
Contact Center Sp. z o.o.;(22)5357900;;
Contact Center Sp. z o.o.;(22)5357910;;
Contact Direct Sp. z o.o.;(71)3603400;;
Contact Direct Sp. z o.o.;(71)3603461;;
COTEL Sp. z o.o.;(71)7505509;;
COTEL Sp. z o.o.;(71)7730202;;
CTDP Sp. z o.o.;(52)5591234;;
CTDP Sp. z o.o.;(52)5591207;;
CUSTOMERITUM Centrum Obsługi Klienta i Logistyki Sp. z o.o.;(22)4294214;;
CUSTOMERITUM Centrum Obsługi Klienta i Logistyki Sp. z o.o.;(22)7830439;;
DIMAR Polska Sp. z o.o.;(42)2538902;;
Eastern European Sales Team S.A.;(71)7800600;;
Eastern European Sales Team S.A.;(71)7800610;;
EDEN S.c.;(17)8633103;;
EDEN S.c.;664461403;;
EUROTELE Polska;(22)4608786;;
Gallup Polska Sp. z o.o.;(32)3030600;;
Gallup Polska Sp. z o.o.;(32)3033200;;
Global Contact Center;(22)5327000;;
Global Contact Center;(22)5327055;;
Grupa TELEKOM-SERWIS;(17)8502939;;
HUMANWORK Sales Division S.c.;(12)3755900;;
HUMANWORK Sales Division S.c.;(12)3755999;;
IPT Call Center Sp. z o.o.;(71)7193000;;
IPT Call Center Sp. z o.o.;(71)7193098;;
Kapsch Sp. z o.o.;(22)5446000;;
Kapsch Sp. z o.o.;(22)5446005;;
Kazo Ins;519436255;;
New Connections Sp. z o.o.;(81)4457744;;
New Connections Sp. z o.o.;(81)4480744;;
