Klub Tenisowy MATCHPOINT Piotr Kondracki;(22)4235225;;
Klub Tenisowy MATCHPOINT Piotr Kondracki;519139420;;
Korty Tenisowe MACALA.eu;(71)3514237;;
Korty Tenisowe MACALA.eu;602382139;;
MODEST PPHU Sp. z o.o.;(42)6762919;;
MODEST PPHU Sp. z o.o.;(42)2986268;;
P.W. ZiBA;(94)3186522;;
P.W. ZiBA;604066866;;
PerzCourt;(22)7280427;;
PerzCourt;(22)7588498;;
Rzeszowskie Towarzystwo Tenisowe;(17)8540326;;
Rzeszowskie Towarzystwo Tenisowe;602367570;;
SPORTFAN CLUB;607031600;;
SPORTFAN CLUB;661783212;;
Szkółka Tenisa Ziemnego TOP-TENNIS;608475736;;
Tenistal Sp. o.o. Sp.k.;(58)3220907;;
Tenistal Sp. o.o. Sp.k.;501061141;;
Czarny Groń Sp. z o.o. Sp.komandytowa;(33)8701630;;
Czarny Groń Sp. z o.o. Sp.komandytowa;(33)8701635;;
Squash Park;(61)2236233;;
Squash Park;782777772;;
Centrum Sportowe Hasta La Vista;(71)3773730;;
Centrum Sportowe Hasta La Vista;(71)3773736;;
Miejski Ośrodek Sportu i Rekreacji w Łańcucie;(17)2259380;;
Miejski Ośrodek Sportu i Rekreacji w Łańcucie;(17)2259381;;
OSiR Ośrodek Sportu i Rekreacji w Bielawie;(74)8339510;;
OSiR Ośrodek Sportu i Rekreacji w Bielawie;(74)8339512;;
PROJEKT TENIS - Akademia Tenisa;512210945;;
A.C.T. Sport;(14)6277113;;
A.M. Tenis;(22)6690920;;
AGA Sport;(32)3316978;;
AGA Sport;(32)4011424;;
Agencja Rekreacyjno-Usługowa LOB Szkoła Tenisa;505109569;;
Agencja Rekreacyjno-Usługowa LOB Szkoła Tenisa;505109570;;
Akademia Sportu i Rekreacji Artur Bochenek;513460460;;
Akademia Sportu i Rekreacji Artur Bochenek;513470470;;
Akademia Tenisa Bartek Chodyra;787203320;;
Akademia Tenisa DON BALON;509667429;;
Akademia Tenisa KEM TENNIS;606682838;;
Akademia Tenisa KORT Radosław Rudnicki;509698488;;
Akademia Tenisa Prince;600181026;;
Akademia Tenisa Prince;600181027;;
Akademia Tenisa Stołowego Lucjana Błaszczyka;662376848;;
Akademia Tenisa Ziemnego GEMSET;501639615;;
Akademia Tenisowa;(61)8518595;;
Akademia Tenisowa;(61)8557478;;
APK Sport Artur Kwiatkowski;604470939;;
Art Tenis S.c.;662118323;;
ATOL S.c.;501124033;;
B&M TENNIS CLUB;510520283;;
BOGAN SPORT;606703542;;
BOGAN SPORT;604270357;;
BREAK Szkoła Tenisa;501279704;;
Centrum Rekreacyjne FABIANOWO Sport & Beauty;(61)8300999;;
CENTRUM SOPOT Sp. z o.o.;(58)5512311;;
CENTRUM SOPOT Sp. z o.o.;792866677;;
Centrum Sportu i Rekreacji CASCADA;(12)2627645-46;;
