Janmar Sport;(42)2138723;;
Janmar Sport;506280788;;
ANDROPOL S.A.;(33)8756542;;
ANDROPOL S.A.;(33)8756372;;
APO-TESSILE Sp. z o.o.;504049834;;
APO-TESSILE Sp. z o.o.;508240859(DziałHandlowy);;
ARATEX TRADING CO. (POLAND) LTD;(41)2666433;;
ARATEX TRADING CO. (POLAND) LTD;(41)2666989;;
ELITE;(42)2271137;;
GLORMEB Krzysztof Jaworek;(22)6328853;;
GLORMEB Krzysztof Jaworek;501359633;;
Hurtownia Tkanin i Dzianin MIGRO-TEX;(42)2152073;;
Hurtownia Tkanin KAROL;(42)6782826;;
Hurtownia Tkanin KAROL;509215118;;
HURTOWNIA TKANIN PPHU ZOSIA Zofia Kryska;(33)8704005;;
HURTOWNIA TKANIN PPHU ZOSIA Zofia Kryska;606384278;;
Hurtownia Tkanin YARD Marek Chyc;(85)6760604;;
Hurtownia Tkanin YARD Marek Chyc;(85)8682714;;
INTER MAK Sp. z o.o.;426405506-07;;
INTER MAK Sp. z o.o.;426556201;;
MATIMPEX;(42)6517564;;
MATIMPEX;601272778;;
P.W. Bowi-Styl;(42)6391700;;
P.W. Bowi-Styl;(42)6391713;;
PAKO PLUS Adam Kryska;(33)8758701;;
PPH BYLICKI Sławomir Bylicki;(62)7368689;;
PPH BYLICKI Sławomir Bylicki;604979743;;
PPHU WAMATEX;(42)6405048;;
PPHU WAMATEX;(42)7120555;;
TEKSTYLIA Sp.j.;(71)7818360;;
TEKSTYLIA Sp.j.;(71)7818361;;
TKANINY Sp. z o.o.;(34)3618560;;
TKANINY Sp. z o.o.;504285350;;
BOMEX Hurtownia Tapicerska;(33)8532228;;
BOMEX Hurtownia Tapicerska;502330392;;
Centrum Tekstylii Domowych PPHU LESS Małgorzata Leszczyńska;(71)7817360;;
Centrum Tekstylii Domowych PPHU LESS Małgorzata Leszczyńska;(71)7817361;;
Dziewiarstwo Maszynowe P.P.H.U. ANNA Anna Żubert;(42)6484696;;
Dziewiarstwo Maszynowe P.P.H.U. ANNA Anna Żubert;696020087;;
FALKON;(32)2667985;;
FALKON;(32)3605235;;
Hurtownia YORK Grzegorz Sułowski;(48)3661233;;
JOKER Hurtownia Tkanin;(34)3665330;;
JOKER Hurtownia Tkanin;(34)3665342;;
P.H. Wenus Hurtownia Tkanin U JACKA;602775402;;
P.H. Wenus Hurtownia Tkanin U JACKA;618326143;;
PHU JANWO;(42)6362245;;
PHU JANWO;(42)6376242;;
PIK Zakład Dziewiarski Piotr Szewczyk;(42)6831593;;
PIK Zakład Dziewiarski Piotr Szewczyk;(42)6831505wew.24;;
PPHU Dona;(62)7348121;;
Przedsiębiorstwo Handlowe KAMA;(52)3466640;;
SIGMATEX Sp. z o.o.;(44)7327131sekretariat;;
SIGMATEX Sp. z o.o.;(44)7327130sekretariat;;
Andrzej Adamczyk Przedsiębiorstwo Usługowo-Handlowe WŁÓKIENNIK;(34)3635863;;
Andrzej Adamczyk Przedsiębiorstwo Usługowo-Handlowe WŁÓKIENNIK;606224902;;
Better Firma Dziewiarska;(42)2158400;;
Better Firma Dziewiarska;604804939;;
BIO-TEXTIL Sp. z o.o.;(61)8689544;;
BIO-TEXTIL Sp. z o.o.;604146544;;
COMO;(12)2641083;;
COMO;(12)2665308;;
DARK Danuta Pećka;(42)6800728;;
FILTEX S.A. Zakłady Przemysłu Filcowego;(42)6819281;;
FILTEX S.A. Zakłady Przemysłu Filcowego;(42)6849558;;
Firma Handlowo-Usługowa WESTKAN Michał Wesołowski;600899809;;
GREEN SIDE;(22)3747277;;
GREEN SIDE;(22)2442462;;
HiK Hurtownia Tkanin;(42)2117366;;
HiK Hurtownia Tkanin;601210730;;
HOUSE OF IDEAS;608540943;;
Hurtownia i Sklep Tkanin SKORPION Sp.j.;(85)6531223;;
Hurtownia i Sklep Tkanin SKORPION Sp.j.;(85)6622144;;
Hurtownia Tkanin PLUS Sp.j.;(95)7362623;;
Hurtownia Tkanin PLUS Sp.j.;(95)7362624;;
Hurtownia Tkanin SELLTEX Sp.j.;(12)2676378;;
Hurtownia Tkanin SELLTEX Sp.j.;(12)2670010;;
Hurtownia Tkanin VIKOM Export-Import, Pub-Kręgielnia KLIF;(62)7301422;;
Hurtownia Tkanin VIKOM Export-Import, Pub-Kręgielnia KLIF;602301478;;
Jedwab Polski Sp. z o.o.;(22)7583001-03;;
Jedwab Polski Sp. z o.o.;(22)7583523;;
LEDO Hurtownia Artykułów Przemysłowych i Sanitarnych;(42)6791133;;
LINEN PARTNER - lniane tkaniny, dzianiny, frotte;728266665;;
LINEN PARTNER - lniane tkaniny, dzianiny, frotte;(75)6477243;;
MILA Sp. z o.o.;(34)3607340;;
MILA Sp. z o.o.;(34)3607348;;
OPTEX S.A.;(44)7552841-43;;
OPTEX S.A.;(44)7553372;;
P.H.U. ELKA S.c.;(22)8392817;;
P.H.U. ELKA S.c.;501292682;;
P.P.H.U. KARINEX;(42)2154020;;
P.P.H.U. KARINEX;(42)2153730;;
P.P.H.U. SAVIT;(42)6304622;;
P.P.H.U. WOJTEX Wojciech Sylwestrzak;(42)6110940;;
P.P.H.U. WOJTEX Wojciech Sylwestrzak;(42)6110941;;
P.W. CEJAX Janusz Kozłowski;(43)8255104;;
P.W. CEJAX Janusz Kozłowski;515131707;;
P.W. OBCOWSKI S.c. Jadwiga i Zdzisław Obcowscy;501386654;;
Pik-Sonic H.T.Rajek;(42)6510362;;
POLDEKOR;(22)6759316;;
POLDEKOR;502600569;;
PPHU PIO-MAN;(42)2275588;;
PPHU PIO-MAN;(42)2275377;;
Przedsiębiorstwo Handlowo-Usługowe ALBEL A. Semeniuk, A. i A. Borowiec Sp.j.;(82)5643968;;
Przedsiębiorstwo Handlowo-Usługowe ALBEL A. Semeniuk, A. i A. Borowiec Sp.j.;(82)5640982;;
Przedsiębiorstwo Handlu Zagranicznego RENEX Sp. z o.o.;(22)7029800-04;;
Przedsiębiorstwo Handlu Zagranicznego RENEX Sp. z o.o.;(22)7029805;;
PW Altmex Aleksandra Czardybon-Małek;(32)4473602;;
PW Altmex Aleksandra Czardybon-Małek;(32)3263200;;
S.I.C Sp. z o.o.;(42)6402640;;
S.I.C Sp. z o.o.;(42)6402641;;
Sprinttex - druk na tkaninach, dzianinach;606603336;;
Sprinttex - druk na tkaninach, dzianinach;508227647;;
U-SZYCIE.PL - Sklep Internetowy ŁADNE TKANINY;501164112;;
ULTEX-POL Sp. z o.o.;(34)3627268;;
ULTEX-POL Sp. z o.o.;(34)3627318;;
USTER Sp. z o.o.;(32)2018048;;
USTER Sp. z o.o.;(32)2018050;;
VEL-VET;(42)2278326;;
VERMONT Sp. z o.o.;(42)6488277;;
VERMONT Sp. z o.o.;(42)6488485;;
Zakłady Produkcyjno-Usługowe CHEMEKS Sp. z o.o.;(34)3692400;;
Zakłady Produkcyjno-Usługowe CHEMEKS Sp. z o.o.;(34)3692448;;
ZO-JA;605203083;;
BOCIAN Anna Boniszewska-Bocian, Tadeusz Bocian Sp.j.;(81)5349050;;
BOCIAN Anna Boniszewska-Bocian, Tadeusz Bocian Sp.j.;(81)5349050w.120;;
F.H. Roman Szczepanik i Grzegorz Gąsiorowski;(32)2363474;;
F.H. Roman Szczepanik i Grzegorz Gąsiorowski;(32)3362177;;
Gdyńskie Przedsiębiorstwo Handlowe Surtex Sp. z o.o.;(58)6674500;;
Gdyńskie Przedsiębiorstwo Handlowe Surtex Sp. z o.o.;(58)6674505;;
Instytut Włókiennictwa;(42)6163100;;
Instytut Włókiennictwa;(42)6792638;;
POLONTEX S.A.;(34)3692000;;
POLONTEX S.A.;(34)3692376;;
STYL Studio Wnętrz;(61)8209213;;
STYL Studio Wnętrz;796386386;;
Zakład Dziewiarski SUN OF GABA;(62)7351553;;
Zakład Dziewiarski SUN OF GABA;(62)7351627;;
9 MAJA S.A. - Zakłady Przemysłu Wełnianego;(42)6743482(działsprzedaży);;
9 MAJA S.A. - Zakłady Przemysłu Wełnianego;(42)6741852(sekretariat);;
GERSTER Sp. z o.o.;(42)6717566;;
GERSTER Sp. z o.o.;(42)6488212;;
JULTEX;(74)8664860;;
JULTEX;(74)8662245;;
Król Maciuś Sklep;(22)8152172;;
Król Maciuś Sklep;601970589;;
Producent Rolet Materiałowych FINEZJA;(55)2361407;;
Producent Rolet Materiałowych FINEZJA;(55)2361619;;
PROTEX Agnieszka Ruszkiewicz;(41)3453670;;
PROTEX Agnieszka Ruszkiewicz;607225857;;
Altex Consulting Sp. z o.o.;(42)6493080;;
Altex Consulting Sp. z o.o.;(42)6493020;;
APRIORI S.c. A.Trzmiel, J.Trzmiel;(91)4645712;;
APRIORI S.c. A.Trzmiel, J.Trzmiel;(91)4238181;;
BARTPOL;(41)3871211;;
BARTPOL;602475049;;
Centrum Lniarskie NATURA Mysłakowice;(75)7131460;;
Centrum Lniarskie NATURA Mysłakowice;603080882;;
Centrum Tkanin Obiciowych SAWA S.P.Sawiccy Sp.j.;(61)8182031;;
Centrum Tkanin Obiciowych SAWA S.P.Sawiccy Sp.j.;602679443;;
ELEONORE - Design For Your Home;(71)3223681;;
ELEONORE - Design For Your Home;696284408;;
F.H.U EWATEX;500214017;;
F.H.U EWATEX;(34)3537820;;
F.H.U. Kaszmir - Sklep Internetowy;795577680;;
FIRANEX;786816414;;
Firma Handlowa GAZDA II Sp.j. Paweł Batkiewicz, Robert Batkiewicz;(18)2649974;;
Firma Handlowa GAZDA II Sp.j. Paweł Batkiewicz, Robert Batkiewicz;(18)2641030;;
Firma PAROL;(94)3165255;;
Firma PAROL;(94)3480640;;
Galeria Tkanin Dekoracyjnych LIŚĆ;(22)6215580;;
