Logos Travel Marek Śliwka Sp.j.;(61)8402256;;
Logos Travel Marek Śliwka Sp.j.;(61)8402257;;
Trade and Travel Company Sp. z o.o. Konsorcjum Polskich Biur Podróży;(42)6304866;;
Trade and Travel Company Sp. z o.o. Konsorcjum Polskich Biur Podróży;(42)6398047;;
Biuro Turystyczno-Usługowe Juventur Wałbrzych Sp. z o.o.;(74)8425560;;
Biuro Turystyczno-Usługowe Juventur Wałbrzych Sp. z o.o.;(74)8425570;;
Krak Tourist;501050939;;
Krak Tourist;502087153;;
BESKiD-ACTiVE Biuro Podróży;(33)8123134;;
Biuro Podróży Martyna Travel;(23)6925067;;
Biuro Podróży Martyna Travel;609572133;;
Grupa Adventure Planet Marcin Bacik;(61)8516094;;
Grupa Adventure Planet Marcin Bacik;(61)6227495;;
SOLTUR Biuro Podróży Sp. z o.o.;(12)4219616;;
SOLTUR Biuro Podróży Sp. z o.o.;(12)4261920;;
Biuro Podróży LAUER;(58)6928690;;
Biuro Podróży POL-KUR;(74)8676565;;
Biuro Podróży POL-KUR;(74)8676500;;
Biuro Podróży STEFAN-TOURS;(13)4696413;;
Biuro Podróży STEFAN-TOURS;601861735;;
Biuro Turystyczne KANION;(61)8475996;;
Biuro Turystyczne KANION;(61)2234989;;
Biuro Usług Turystycznych LUBUSZ TOURIST;(68)3879708;;
Biuro Usług Turystycznych LUBUSZ TOURIST;699909931;;
Interhome Polska Sp. z o.o.;(22)6517280;;
Interhome Polska Sp. z o.o.;(22)6422384;;
Trade and Travel Company Sp. z o.o. - Konsorcjum Polskich Biur Podróży;(22)6228296;;
Trade and Travel Company Sp. z o.o. - Konsorcjum Polskich Biur Podróży;(22)6226426;;
Usługowy Transport Pasażerski ZYGATOUR;(75)7618457;;
Usługowy Transport Pasażerski ZYGATOUR;691731244;;
Agencja Turystyczna ALTUR S.c.;(74)8424222;;
Agencja Turystyczna ALTUR S.c.;(74)8422149;;
ALPEN TOUR Biuro Turystyczne;(22)3715960;;
ALPEN TOUR Biuro Turystyczne;691032018;;
ARKNET Anna Rzeczyńska;503088914;;
Biuro Organizacji Wypoczynku, Wczasów Dzieci i Młodzieży Lech93;(12)4228662;;
Biuro Podróży ECO TOUR;(71)3221919;;
Biuro Podróży ECO TOUR;(71)3721260;;
Biuro Podróży GRUPA EKO-KARPATY;(13)4611009;;
Biuro Podróży GRUPA EKO-KARPATY;(13)4613646;;
Biuro Podróży MAXI TRAVEL;(25)6326065;;
Biuro Podróży MAXI TRAVEL;(25)6322877;;
Biuro Podróży POL-KART;(74)8681121;;
Biuro Podróży POL-KART;(74)8681033;;
Biuro Podróży Simba Travel;(41)3660251;;
Biuro Podróży Simba Travel;608444458;;
Biuro Podróży Szczypta Świata;(58)3000348;;
Biuro Podróży Szczypta Świata;600402790;;
Biuro Podróży TOUR-RETOUR J.Kropielnicki;(41)2620578;;
Biuro Podróży TOUR-RETOUR J.Kropielnicki;(41)2631600;;
Biuro Podróży TRAVEL CONCEPT;535588466;;
Biuro Turystyczne ANITOUR;(32)2155225;;
Biuro Turystyczne TRAVEL ART;(77)4546065;;
Biuro Turystyczne TRAVEL ART;(77)4532277;;
Biuro Turystyczno-Handlowe POLONIA;(91)4340726;;
Biuro Turystyczno-Handlowe POLONIA;(91)4880588;;
Biuro Usług Turystycznych COLUMBUS A.Pęcherek, M.Sepioł;(17)8622555;;
Biuro Usług Turystycznych COLUMBUS A.Pęcherek, M.Sepioł;(17)8539601;;
BP PLANET SAFARI Sp. z o.o.;(33)8583232;;
BP PLANET SAFARI Sp. z o.o.;608431420;;
ISKRA Zakład Usług Socjalnych Sp. z o.o.;(41)3670491;;
ISKRA Zakład Usług Socjalnych Sp. z o.o.;(41)3662244;;
P.U. DROLOFF;(56)6860505;;
P.U. DROLOFF;604550300;;
Planujemy Wakacje Sp. z o.o.;(61)8513514;;
Planujemy Wakacje Sp. z o.o.;500523524;;
SNOW TRIP Maria Adamik;(12)4214279;;
SNOW TRIP Maria Adamik;605405805;;
TRAVEL CLUB;(61)6570606;;
BURSZTYN Medical SPA & Wellness S.c. - PATRONA;(71)3397137;;
BURSZTYN Medical SPA & Wellness S.c. - PATRONA;(71)3628611;;
Dom Wczasowy MAXIM - PATRONA;(71)3397137;;
Dom Wczasowy MAXIM - PATRONA;(71)3628611;;
Kompleks Wypoczynkowo-Rehabilitacyjny MARZENIE - Patrona;(71)3397137;;
Kompleks Wypoczynkowo-Rehabilitacyjny MARZENIE - Patrona;(71)3628611;;
Ośrodek Rehabilitacyjno-Rekreacyjny MAGNOLIA - PATRONA;(71)3397137;;
Ośrodek Rehabilitacyjno-Rekreacyjny MAGNOLIA - PATRONA;(71)3628611;;
Ośrodek Rehabilitacyjno-Wypoczynkowy ANASTAZJA - Patrona;(71)3397137;;
Ośrodek Rehabilitacyjno-Wypoczynkowy ANASTAZJA - Patrona;(71)3628611;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Argentyt - PATRONA;(71)3397137;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Argentyt - PATRONA;(71)3628611;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Dozamel w Kołobrzegu - PATRONA;(71)3397137;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Dozamel w Kołobrzegu - PATRONA;(71)3628611;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Graal w Świnoujściu - PATRONA;(71)3397137;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Graal w Świnoujściu - PATRONA;(71)3628611;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Panorama - PATRONA;(71)3397137;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Panorama - PATRONA;(71)3628611;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Syrena w Mielnie - PATRONA;(71)3397137;;
Ośrodek Rehabilitacyjno-Wypoczynkowy Syrena w Mielnie - PATRONA;(71)3628611;;
Ośrodek Wczasowo-Sanatoryjny CECHSZTYN - PATRONA;(71)3397137;;
Ośrodek Wczasowo-Sanatoryjny CECHSZTYN - PATRONA;(71)3628611;;
Ośrodek Wczasowy DORWIT - PATRONA;(71)3397137;;
Ośrodek Wczasowy DORWIT - PATRONA;(71)3628611;;
Sanatorium Uzdrowiskowe Zgoda w Krynicy Zdrój - PATRONA;(71)3397137;;
Sanatorium Uzdrowiskowe Zgoda w Krynicy Zdrój - PATRONA;(71)3628611;;
Marideo Travel Justyna Ciupa;609605115;;
24travels.com Sp. z o.o.;(33)8139000;;
AB CITY TOUR;(12)4272757;;
AB CITY TOUR;509085070;;
Agencja Promocji Regionów Oranet;(12)3784880;;
Agencja Promocji Regionów Oranet;(12)3784890;;
AVE;(32)2053828;;
AVE;(32)2053830;;
Biuro Podróży FATRA Tour Operator-Słowacja i Czechy;(22)8271051;;
Biuro Podróży FATRA Tour Operator-Słowacja i Czechy;(22)8271058;;
Biuro Podróży MAC-TOUR M.K.Maculewicz;(22)8287295;;
Biuro Podróży MAC-TOUR M.K.Maculewicz;(22)8273539;;
Biuro Turystyczne ExcitingKrakow;606259073;;
Biuro Turystyczne SOBÓTKA;(71)3608638;;
Biuro Turystyczne SOBÓTKA;608731339;;
Discovery Travel Agency;660904391;;
Discovery Travel Agency;513514331;;
Ecco Holiday Sp. z o.o.;(61)6570575;;
Ecco Holiday Sp. z o.o.;(61)6474676;;
HOLIDAY LAND Poznań;(61)8492949;;
HOLIDAY LAND Poznań;(61)8492948;;
III MILLENIUM Tour Operator-Marketing Service Sp. z o.o.;(12)6844576;;
III MILLENIUM Tour Operator-Marketing Service Sp. z o.o.;0801011527;;
Italia Travel Service Sp. z o.o.;0801003058;;
Italia Travel Service Sp. z o.o.;517065433;;
Ivotrans Tour Operator;(12)2673030;;
Ivotrans Tour Operator;512350050;;
JAN-POL Incoming Tour Operator Sp. z o.o.;(12)6651450;;
JAN-POL Incoming Tour Operator Sp. z o.o.;(12)4133894;;
Krakow Tours Point Travel DMC;(12)4113609;;
Krakow Tours Point Travel DMC;(12)4218433;;
Oświata Ośrodek Szkoleniowy Oświata Travel;(77)4425151;;
Oświata Ośrodek Szkoleniowy Oświata Travel;(77)4426969;;
PONTUS TRAVEL;602705125;;
PRIMORIS Sp. z o.o.;(17)8626058;;
PRIMORIS Sp. z o.o.;(17)7876115;;
Rainbow Tours S.A.;(42)6803820;;
Rainbow Tours S.A.;0801310801;;
Słoneczna Toskania (serwis zarządzany przez Altera sp. z o.o);502738931;;
SPUTNIK Polska;(22)2571111;;
SPUTNIK Polska;(22)4078940;;
TDG Incoming Tour Operator;(12)4228803;;
TDG Incoming Tour Operator;(12)4228893;;
TOSCANIA PL;(22)4863288-90;;
TOSCANIA PL;515077998;;
Tour Operator GLOBTRANS Sp. z o.o.;(32)4238384-85;;
Tour Operator GLOBTRANS Sp. z o.o.;(32)4238515;;
TT RICARDO JUNIOR Sp. z o.o.;(22)6215533;;
TT RICARDO JUNIOR Sp. z o.o.;(22)6214747;;
WISH TO TRAVEL Sp. z o.o.;(22)8230443;;
WISH TO TRAVEL Sp. z o.o.;(22)8230444;;
Agencja Turystyki Geo Travel;692139416;;
Agencja Turystyki Geo Travel;882507020;;
AMBIENTE TRAVEL;666472029;;
Biuro Podróży Wyjazdy Szyte Na Miarę Tanie Last Minute;793444888;;
ABC Sardynia;780168272;;
ACER BIURO TURYSTYCZNE Małgorzata Mędza;(22)3536960;;
ACER BIURO TURYSTYCZNE Małgorzata Mędza;(22)6674661;;
Agencja Turystyczna ARION D. K. Radwan Sp.j.;(012)6320150;;
Agencja Turystyczna ARION D. K. Radwan Sp.j.;(012)6328368;;
Agencja Turystyczna Intertour;(32)6150380;;
Agencja Turystyczna Intertour;669909613;;
Akces Sp. z o.o. Kiribati Club;(61)8679000;;
Akces Sp. z o.o. Kiribati Club;(61)8552976;;
ALCO-TOURS Kafarski Sp. z o.o.;(62)7367570;;
ALCO-TOURS Kafarski Sp. z o.o.;(62)7380525;;
ALFA TOUR Sp.j.;(61)6626730;;
ALFA TOUR Sp.j.;503581728;;
Alice Biuro Podróży;501326018;;
Alice Biuro Podróży;(61)8787373;;
AUTOWAY POLSKA - wynajem aut w Grecji;(58)7104449;;
AUTOWAY POLSKA - wynajem aut w Grecji;607880101;;
Biuro Mały Podróżnik;(12)4323080;;
Biuro Mały Podróżnik;601468251;;
Biuro Organizacji Obozów Sportowych i Usług Turystycznych BOOS;(61)8337310;;
Biuro Organizacji Obozów Sportowych i Usług Turystycznych BOOS;(61)8339335;;
Biuro Podróży ALFA STAR Sp.j.;(48)3845500;;
Biuro Podróży ALFA STAR Sp.j.;(48)3845501;;
Biuro Podróży EKO TOUR;(32)2523058;;
Biuro Podróży EKO TOUR;785166883;;
Biuro Podróży ELA-TRAVEL;(87)6435500;;
Biuro Podróży ELA-TRAVEL;604435500;;
Biuro Podróży EUROPA-TOUR;(71)3614400;;
Biuro Podróży EUROPA-TOUR;(71)3613387;;
Biuro Podróży EuroTravel S.c.;(42)6304488;;
Biuro Podróży EXODOS;(94)3471391;;
Biuro Podróży EXODOS;(94)3418012;;
Biuro Podróży Italy Tours;(81)4755022;;
Biuro Podróży Italy Tours;531680682;;
Biuro Podróży MARTIN;(67)2156220;;
Biuro Podróży MARTIN;(67)2156221;;
Biuro Podróży Orient Travel;(81)5328637;;
Biuro Podróży Orient Travel;606978069;;
Biuro Podróży RAMIS;(85)8798400;;
Biuro Podróży RAMIS;(85)7446449;;
Biuro Podróży S-UNIT TRAVEL;731789482;;
Biuro Podróży S-UNIT TRAVEL;790319139;;
Biuro Podróży Stolarczyk Travel;(33)4880117;;
Biuro Podróży Stolarczyk Travel;(33)4880118;;
Biuro Podróży SUMMER TIME S.c.;(32)2943835;;
Biuro Podróży SUMMER TIME S.c.;(32)2940146;;
Biuro Podróży Turio S.c.;(85)6642424;;
Biuro Podróży Turio S.c.;510857747;;
Biuro Podróży Visitours;602154890;;
Biuro Travelin;668670130;;
Biuro Turystyczne POLTOUR;(13)4320684;;
Biuro Turystyczne QUAND;(84)6658990;;
Biuro Turystyczne QUAND;(84)6642137;;
Biuro Turystyczne TOP;(32)2414869;;
Biuro Turystyczne TOP;(32)7711505-06;;
Biuro Turystyczne WESKA;(32)2719181;;
Biuro Turystyczne WESKA;(32)2786518;;
Biuro Turystyczno-Handlowe NOMAD EXTREME;(33)8176098;;
Biuro Turystyczno-Handlowe NOMAD EXTREME;502397332;;
Biuro Turystyczno-Usługowe Regiony;(23)6543444;;
Biuro Turystyczno-Usługowe Regiony;695287965;;
Biuro Usług Przewodnickich Wędrowiec;(12)2940156;;
Biuro Usług Przewodnickich Wędrowiec;(12)4271327;;
Biuro Usług Turystycznych BELFER Barbara Barylak;(059)8457219;;
Biuro Usług Turystycznych BELFER Barbara Barylak;508292208;;
Biuro Usług Turystycznych WERA-TOURS;601475737;;
Biuro Usług Turystycznych WERA-TOURS;694657648;;
Biuro Usługowo-Turystyczne Voyager S.c.;(76)8627324;;
Biuro Usługowo-Turystyczne Voyager S.c.;(76)8625776;;
BTE TRAVEL;(12)4441361;;
BTE TRAVEL;501357325;;
Centrum Podróży Wakacje.pl;(14)6924830;;
Centrum Podróży Wakacje.pl;792489826;;
DAMIS Centrum Wypoczynku i Rehabilitacji - Patrona;(71)3397137;;
DAMIS Centrum Wypoczynku i Rehabilitacji - Patrona;(71)3628611;;
Dom Podróżnika;501101910;;
Dom Podróżnika;(12)4223659;;
Dom Wypoczynkowy RYBNICZANKA - PATRONA;(71)3397137;;
Dom Wypoczynkowy RYBNICZANKA - PATRONA;(71)3628611;;
DOMKI Letniskowe Na Skarpie (Rowy );503766688;;
Ernesto Travel Biuro Podróży i Tour Operator;(12)6336556;;
Euro Pol Tour Sp. z o.o.;(32)2530207;;
Euro Pol Tour Sp. z o.o.;(32)2587495;;
HOLIDAY TOUR Biuro Podróży;(22)4025841;;
HOLIDAY TOUR Biuro Podróży;(22)4025840;;
Hotel Świeradów w Świeradowie-Zdrój - PATRONA;(71)3397137;;
Hotel Świeradów w Świeradowie-Zdrój - PATRONA;(71)3628611;;
INTERGUIDES;605141860;;
INTERGUIDES;508002711;;
Internetowe Biuro Turystyczne TRENDY TRAVEL Last Minute Online;516167752;;
Jovi Travel - Biuro Podróży;(22)6182272;;
Jovi Travel - Biuro Podróży;(22)3550174;;
Juwentur-Koszalin;(94)3424232;;
Juwentur-Koszalin;(94)3424970;;
Malbork Travel Biuro Podróży;(55)2733703;;
Malbork Travel Biuro Podróży;691098598;;
MEDITERRANEUM Sp. z o.o.;(61)8533272;;
MEDITERRANEUM Sp. z o.o.;(61)8510060;;
Ośrodek Szkoleniowo-Rehabilitacyjno-Wypoczynkowy GRAŻYNA - Patrona;(71)3397137;;
Ośrodek Szkoleniowo-Rehabilitacyjno-Wypoczynkowy GRAŻYNA - Patrona;(71)3628611;;
Polonus S.c.;(42)6332211;;
Polonus S.c.;(42)6308121;;
