AB logis Sp. z o.o.;(58)6213637;;
AB logis Sp. z o.o.;(85)6213614;;
Allport Cargo Services Poland Sp. z o.o.;(22)7723477;;
Allport Cargo Services Poland Sp. z o.o.;(22)7723466;;
Auto Velvex Sp. z o.o.;(32)2792049Usługitransportowe;;
Auto Velvex Sp. z o.o.;(32)4417637;;
AUTO-TRANS Asfalty sp. z o.o.;(32)4414013;;
AUTO-TRANS Asfalty sp. z o.o.;608797577;;
BOTRANS;(58)6808800;;
BOTRANS;(58)6808899;;
DACHSER Sp. z o.o.;(42)7106500;;
DACHSER Sp. z o.o.;(42)7106509;;
Emaus Logistics Sp.j. Saktura & Gajda;(44)6338117;;
Emaus Logistics Sp.j. Saktura & Gajda;(44)6338118;;
EXPOL Przedsiębiorstwo Transportowo Spedycyjne Sp. z o.o.;(68)3239765;;
EXPOL Przedsiębiorstwo Transportowo Spedycyjne Sp. z o.o.;(68)3538100;;
FASTAIR CARGO S.A.;(22)5764091;;
FASTAIR CARGO S.A.;(22)8682143;;
Firma Wielobranżowa Adrian Klajnowski;(77)4820237;;
Firma Wielobranżowa Adrian Klajnowski;(77)4822380;;
PCC AUTOCHEM Sp. z o.o.;(71)7942133;;
PCC AUTOCHEM Sp. z o.o.;(71)7942542;;
Przedsiębiorstwo Przewozu Towarów PKS GDAŃSK-OLIWA S.A.;(58)7699900;;
Przedsiębiorstwo Przewozu Towarów PKS GDAŃSK-OLIWA S.A.;(58)7699919;;
RED TRUCK Transport Niskopodwoziowy Sp. z o.o.;605898950;;
RED TRUCK Transport Niskopodwoziowy Sp. z o.o.;605898910;;
S.T.I. Polska Sp. z o.o.;(22)5100190-92;;
S.T.I. Polska Sp. z o.o.;(22)5100191;;
W.P.T.S. Tornado Sp. z o.o.;(61)6626646;;
W.P.T.S. Tornado Sp. z o.o.;(61)6626645;;
Agility Logistics Sp. z o.o.;(71)3343680;;
ALEX-TRANSPORT Transport Międzynarodowy i Krajowy, Spedycja;(48)3331895;;
ALEX-TRANSPORT Transport Międzynarodowy i Krajowy, Spedycja;(48)3331793;;
Andrzej Stankiewicz Transport, Spedycja, Logistyka;(32)7176859;;
Andrzej Stankiewicz Transport, Spedycja, Logistyka;602328294;;
ARTUSS TRANS F.H.U. Maker;(32)2496423;;
ARTUSS TRANS F.H.U. Maker;666300308;;
Autorskie Oprogramowanie dla Spedycji i Transportu MARCOS BIS;(32)2530150;;
Biuro Spedycji Międzynarodowej Polbod Sp. z o.o.;(32)2582311;;
Biuro Spedycji Międzynarodowej Polbod Sp. z o.o.;(32)2599084;;
Biuro Usług Spedycyjnych SPEED;(85)7224910;;
Biuro Usług Spedycyjnych SPEED;721654921;;
BOL-TRANS Usługi Transportowo Sprzętowe;661117641;;
BOL-TRANS Usługi Transportowo Sprzętowe;607118141;;
BT-TRANS;663395051;;
BT-TRANS;663395052;;
COSCO POLAND Sp. z o.o.;(58)6609940;;
COSCO POLAND Sp. z o.o.;(58)6609951;;
DAWTRANS Karolina Glajzner;604827644;;
DAWTRANS Karolina Glajzner;606119267;;
DEDAL Sp.j. A.H.A.M.Terleccy;(74)8320980;;
DEDAL Sp.j. A.H.A.M.Terleccy;(74)8320990;;
DLS Trans Ltd Sp. z o.o.;(58)6673330;;
DLS Trans Ltd Sp. z o.o.;(58)6673337;;
DPJ Serwis Sp.j.;(41)3062131;;
DPJ Serwis Sp.j.;(41)3062132;;
Droper Logistic Sp. z o.o.;(74)6668744;;
Droper Logistic Sp. z o.o.;(74)6668745-46;;
ELMAR;(25)6843578Transport;;
ELMAR;(25)6823065Ho;;
EPO-TRANS Logistic S.A.;(32)3278900;;
EURO-PEGAZ Sp. z o.o. LOGISTYKA sp.k.;(22)5454100;;
EURO-PEGAZ Sp. z o.o. LOGISTYKA sp.k.;(22)8410929;;
F.H.U.P. AKŁIS;691140180;;
F.H.U.P. AKŁIS;(17)2266182;;
Fide-Trans Sp.j.;(58)7812719;;
Fide-Trans Sp.j.;515171954;;
Firma Transportowo-Przewozowa TRANS-BIESZCZADY Sp.j.;(13)4331800;;
Firma Transportowo-Przewozowa TRANS-BIESZCZADY Sp.j.;(13)4331818;;
Greencarrier Freight Services Sp. z o.o.;(22)3806000;;
Greencarrier Freight Services Sp. z o.o.;506058968;;
ICS Andrzej Rzepa;(15)6427070;;
ICS Andrzej Rzepa;502479652;;
Intercon Forwarding Sp.j.;(58)7812702;;
InterRail-Polcont Sp. z o.o.;(22)6225988;;
InterRail-Polcont Sp. z o.o.;(22)4744078;;
JOW-POL Józef Owsik;(75)7719188;;
KRAJOWY TRANSPORT DROGOWY, BUDOWLANE ROBOTY ZIEMNE Książek Krzysztof;501155856;;
LAJON Tadeusz Zając Sp.j.;(32)2341616;;
LAJON Tadeusz Zając Sp.j.;(32)7334149;;
Log Mag Sp. z o.o.;(22)7555333;;
Log Mag Sp. z o.o.;(22)7556282;;
LOGNET Sp. z o.o.;(22)3924330;;
LOGNET Sp. z o.o.;(22)3924333;;
MA-SPED spółka z ograniczoną odpowiedzialnością;(62)7537101;;
MA-SPED spółka z ograniczoną odpowiedzialnością;605301316;;
MAN-TRANS Sp. z o.o.;(32)2198370;;
MAN-TRANS Sp. z o.o.;(32)3298063;;
Markpol Markus Piotr Handel-Transport;503054289;;
Markpol Markus Piotr Handel-Transport;503054290;;
Międzynarodowy Transport Drogowy i Spedycja KAMIŃSKI;(77)4397029;;
Międzynarodowy Transport Drogowy i Spedycja KAMIŃSKI;(77)4397262;;
Miksped B.Kozakiewicz, D.Miler Sp.j.;(22)7249538;;
Miksped B.Kozakiewicz, D.Miler Sp.j.;(22)7244717;;
MINI TRANS Usługi Transportowe;500414902;;
ORGANIKA Trans Sp. z o.o.;(55)6460000;;
ORGANIKA Trans Sp. z o.o.;(55)6460060;;
P.H.U. MALINOWSKI;(22)7833698;;
P.H.U. MALINOWSKI;(22)7833686;;
PKP CARGO S.A.;(22)4742721;;
PKP CARGO S.A.;(22)4742757;;
PPHU TRANS-WOOD Sp. z o.o.;(59)8342193;;
RENTRANS CARGO Sp. z o.o.;(91)4257300;;
RENTRANS CARGO Sp. z o.o.;(91)4624556;;
ROHLIG SUUS Logistics S.A.;(22)7377575;;
ROHLIG SUUS Logistics S.A.;(22)7377500;;
Rudniccy-Magetra Sp. z o.o.;(58)7634444;;
Rudniccy-Magetra Sp. z o.o.;(58)7618211;;
Schenker Sp. z o.o. - Grupa DB SCHENKER;(22)5321100;;
SPED-CAR TSM Sp. z o.o. Sp.komandytowa;(17)8521235;;
SPED-CAR TSM Sp. z o.o. Sp.komandytowa;(17)8521236;;
SPEDRAPID Sp. z o.o.;(58)7850600;;
SPEDRAPID Sp. z o.o.;(58)7850603;;
SPEDYCJA POLSKA - Marko Service Sp. z o.o.;(22)4567420;;
SPEDYCJA POLSKA - Marko Service Sp. z o.o.;(22)4567410;;
Spedycja RENTRANS Sp. z o.o.;(32)2034377;;
TELS Polska Sp. z o.o.;(22)5179050;;
TELS Polska Sp. z o.o.;(22)5179010;;
TKU Lenczewska Dominika;600946163;;
TKU Lenczewska Dominika;604651089;;
TRANS-MARINE Spedycja Międzynarodowa i Agencja Celna Sp. z o.o.;(58)6200920;;
TRANS-MARINE Spedycja Międzynarodowa i Agencja Celna Sp. z o.o.;(58)6215233;;
Transport Ciężarowy i Spedycja DAKAZ TRANS Sp. z o.o. Sp.komandytowa;(61)2915038;;
Transport Ciężarowy i Spedycja DAKAZ TRANS Sp. z o.o. Sp.komandytowa;500001039;;
TRANSPORT CIĘŻAROWY Zbigniew Rychlicki;601680799;;
TRANSPORT CIĘŻAROWY Zbigniew Rychlicki;(58)5598909;;
Transport i Spedycja OL-TRANS Aleksander Rybka;(52)3248145;;
Transport i Spedycja OL-TRANS Aleksander Rybka;(52)5256918;;
Transport Krajowy i Międzynarodowy Wiesław Kasprzyca;(32)4530696;;
Transport Krajowy i Międzynarodowy Wiesław Kasprzyca;(32)4530697;;
Transport Międzynarodowy Ireneusz Strychacz;(77)4630042;;
Transport Międzynarodowy Ireneusz Strychacz;(77)4630040;;
Transport ZIMOCH;605451250;;
Transport ZIMOCH;607825101;;
ZASTAL TRANSPORT Sp. z o.o.;(68)4563991;;
ZASTAL TRANSPORT Sp. z o.o.;(68)4563990;;
ZTE RADOM Sp. z o.o.;(48)3411200;;
ZTE RADOM Sp. z o.o.;(48)3411300;;
ANGEL-TRANS;(76)7216320;;
ANGEL-TRANS;513713787;;
Cargo Express Sp. z o.o.;(32)2845080;;
Cargo Express Sp. z o.o.;(42)6353926;;
CHOMAR Sp. z o.o.;(71)3576926;;
CHOMAR Sp. z o.o.;(71)3341600;;
CONSAND Konrad Ziółkowski;607730730;;
CONSAND Konrad Ziółkowski;(22)2128017;;
CTSL Energia Sp. z o.o.;(84)5421118;;
CTSL Energia Sp. z o.o.;607509472;;
Delfen INTERNATIONAL;(77)4417570;;
Delfen INTERNATIONAL;(77)4417571;;
ENTERPRISE LOGISTICS Sp. z o.o. S.K.A.;(91)5790300;;
ENTERPRISE LOGISTICS Sp. z o.o. S.K.A.;(91)5790301;;
EURO24 Sp. z o.o. Sp.komandytowa;(17)8592001;;
EURO24 Sp. z o.o. Sp.komandytowa;(17)8634703;;
Eurokran-2 Sp. z o.o.;(91)5065720;;
Eurokran-2 Sp. z o.o.;(91)5065721;;
FAST TSL;507063630;;
FAST TSL;507063776;;
FHU Import-Export KAMEX Teresa i Marian Chochorowscy S.c.;(18)4431904;;
FHU Import-Export KAMEX Teresa i Marian Chochorowscy S.c.;(18)4431286;;
Firma Transportowa HG-trans;(71)3116446;;
Firma Transportowa HG-trans;504173102;;
Firma Transportowa TRANSMAR Marian Matłok;(71)3120102;;
Firma Transportowa TRANSMAR Marian Matłok;(71)3872777;;
FOLWEX Sp. z o.o.;797700930;;
FOLWEX Sp. z o.o.;507676757;;
GOMAR Transport & Logistics A.Maroński Sp.j.;(32)2587217-18;;
GOMAR Transport & Logistics A.Maroński Sp.j.;(32)2587216;;
