ACKURAT Sp. z o.o.;(58)3413731;;
ACKURAT Sp. z o.o.;501790439;;
Grupa KON-PLAST Sp. z o.o. Sp.k.;(63)2442064;;
Grupa KON-PLAST Sp. z o.o. Sp.k.;(63)2444855;;
PLASTIC-FORM Sp.j.;(94)3655432Centrala;;
PLASTIC-FORM Sp.j.;(94)3656341;;
Rettenmaier Polska Sp. z o.o.;(22)6085100;;
Rettenmaier Polska Sp. z o.o.;(22)6085151;;
AKS ZIELONKA;(22)7869650;;
AKS ZIELONKA;(22)7869745;;
ALTOMAR Sp. z o.o.;(32)7709733;;
ALTOMAR Sp. z o.o.;(32)7710421;;
APLEX Sp. z o.o. Produkcja Artykułów z Tworzyw Sztucznych ZPCHR;(52)3722149;;
APLEX Sp. z o.o. Produkcja Artykułów z Tworzyw Sztucznych ZPCHR;(52)5851089;;
ARTPLAN;(24)2634534;;
ARTPLAN;606352773;;
AWENTA E.W.A. Sp.j.;(25)7585252;;
AWENTA E.W.A. Sp.j.;(25)7589392;;
BESSPOL Jolanta Bess i Wspólnicy Spółka Jawna;(52)3813231;;
BIELBET Sp. z o.o. Sp.komandytowa;(33)8223444;;
BIELBET Sp. z o.o. Sp.komandytowa;(33)8223443;;
BORAL P.P.H.U.;(61)8700457;;
BORAL P.P.H.U.;(61)8793250;;
CHEMIPLASTYKA Sp. z o.o.;(41)3312016;;
CHEMIPLASTYKA Sp. z o.o.;(41)3315640;;
DIAMENT-Plast;(22)7809549;;
DIAMENT-Plast;602182676;;
DOKA Piotr Dokucki;(52)3707520;;
DOKA Piotr Dokucki;(52)3707521;;
EKOERG;(32)2243520;;
ElAn Sp. z o.o. Sp.komandytowa;509766732;;
ERG-System S.A.;(32)2241612;;
ERG-System S.A.;(32)2243520;;
Firma Produkcyjno-Handlowa BIELA;(18)2017411;;
Firma Produkcyjno-Handlowa BIELA;502542453;;
Fornaroli Polimeri Sp. z o.o.;(32)2480609;;
Fornaroli Polimeri Sp. z o.o.;(32)7256826;;
FORTECH Sp. z o.o.;(42)2153434;;
FORTECH Sp. z o.o.;(42)2271390;;
Geo Globe Polska Sp. z o.o. Sp.komandytowa;(32)2260796;;
Geo Globe Polska Sp. z o.o. Sp.komandytowa;(32)2260505;;
Grupa Azoty S.A.;(14)6330781;;
Grupa Azoty S.A.;(14)6373737;;
Hubeny S.c.;(58)6825996;;
Hubeny S.c.;(58)6825997;;
LECH-PLAST Sp.j.;(32)2305971;;
LECH-PLAST Sp.j.;604826202;;
Master Colors Sp. z o.o.;(71)3500525-26;;
Master Colors Sp. z o.o.;(71)3500338;;
MCPP Poland Sp. z o.o.;(46)8631360;;
MCPP Poland Sp. z o.o.;(46)8631380;;
MIKI Produkcja, Usługi na Wtryskarkach;502853175;;
