C.I.T - Cygara i Tytoń;662967722;;
C.I.T - Cygara i Tytoń;502761611;;
FTK Sp. z o.o.;(82)5763421;;
FTK Sp. z o.o.;(82)5766665;;
LIMA S.A.;(74)8555495(magazyngłówny);;
LIMA S.A.;(74)8554985-87;;
POL-TIKO Dzięgiel, Gigoń Sp.j.;(12)4513705;;
POL-TIKO Dzięgiel, Gigoń Sp.j.;(12)2500307;;
TOBACCO TRADING INTERNATIONAL Poland Sp. z o.o.;(12)4209130;;
Przedsiębiorstwo Handlowe MARS Sp.j. Halina i Wojciech Potoczak;(75)7443877;;
Przedsiębiorstwo Handlowe MARS Sp.j. Halina i Wojciech Potoczak;(74)8422392OddziałWałbrzych;;
Tabak Service International;(94)3416777;;
Tabak Service International;505180270;;
Trafika Nord;(85)6753676;;
ALMARK;(65)5266945;;
ALMARK;(65)5266532;;
Cigarland.pl;(22)5101251;;
Cigarland.pl;508620462;;
F.U.H. STEFAN;606889697;;
F.U.H. STEFAN;606555665;;
MAWA;608420284;;
WUJO Sp. z o.o. Sp.komandytowa;(32)2704590;;
WUJO Sp. z o.o. Sp.komandytowa;501975855;;
Carrefour Express - najmniejszy Carrefour świata;(22)8285058;;
BIC POLSKA Sp. z o.o.;(22)3326900-01;;
BIC POLSKA Sp. z o.o.;(22)3326998;;
TRIOMEN sp. z o.o.;(18)3535300;;
e-dymek.com S.c. Kamil Kotwica, Michał Kotwica;(22)6161507;;
e-dymek.com S.c. Kamil Kotwica, Michał Kotwica;515104238;;
NICOTIANA Grawerowanie;602587295;;
tabakiera.com.pl;883242162;;
4smoking e-papieros i liquid;(58)5328010;;
ALL IN ONE SklepAgd24.pl;791544542;;
Altadis Polska S.A.;(48)3611213;;
Altadis Polska S.A.;(48)3621766;;
AM Pacifi;512138306;;
ATINA Poland Sp. z o.o.;(22)7471093;;
B+K Marcin Brzeziński, Krzysztof Kasperek Sp.j. Sklep Internetowy E-kram.com;(22)3506384-87;;
B+K Marcin Brzeziński, Krzysztof Kasperek Sp.j. Sklep Internetowy E-kram.com;(22)3506580;;
Beata Hurtownia Papierosów Robert Stróżyński;(22)7879089;;
Beata Hurtownia Papierosów Robert Stróżyński;(22)7875132;;
Bibułka ZZ;530538507;;
Bista Sp. z o.o.;(52)3607115;;
Bista Sp. z o.o.;(52)3607116;;
Blend Polska;666097529;;
Blend Polska;601972077;;
BONGOZ.pl;691353656;;
British American Tobacco Polska Trading Sp. z o.o.;(22)5754300;;
British American Tobacco Polska Trading Sp. z o.o.;(22)5754309;;
Buszek;662327602;;
C-KAR;602318874;;
Carmen Polska Sp. z o.o.;(46)8622008;;
Carmen Polska Sp. z o.o.;(46)8625984;;
CARMEN Sp. z o.o.;(33)8172400;;
CARO Joanna Forbot;888370999;;
CHIC Spółka z ograniczoną odpowiedzialnością Spółka komandytowa - eSmokingWorld;0801244255;;
Cig-Shop;883282077;;
CIGART S.c.;730830868;;
CONSUS Wojciech Janczyk;(12)3856150;;
CONSUS Wojciech Janczyk;604866274;;
DAMIANEX S.A.;(16)6492222;;
DAMIANEX S.A.;(16)6492223;;
DESIGN AG Anna Guenther - Sklep Internetowy Fajka24.pl;609800623;;
DIZAJN CAFE Joanna Musiał, Sklep Internetowy Green-smoke.pl;502789101;;
DIZAJN CAFE Joanna Musiał, Sklep Internetowy Green-smoke.pl;784589794;;
DON LECHO Agnieszka Pluszyńska-Książek;(32)2402119;;
DON LECHO Agnieszka Pluszyńska-Książek;791227778;;
DOWHAN;(068)3710654;;
DOWHAN;(068)3710777;;
e-liquidziarnia.pl;664020682;;
E-NEW;514316514;;
E-nilsen.pl;(22)4877088;;
E-papierosyTorun.pl;505170611;;
ELITE;(32)7713208;;
ELITE;(32)7713205;;
Epapierosy24.com;668310148;;
EPE SMOKING Mariusz Dulas;502639393;;
EVAPER;601300697;;
EVAPER;505672767;;
Exlab;505376148;;
Expent;517455477;;
Expent;503741763;;
F.H. DEMI - Sklep TRAFIKACORNER;662030491;;
F.H. DEMI - Sklep TRAFIKACORNER;606943352;;
F.H.U DUDIMPEX Janusz Duda;792794602;;
FAJKA Sp.z oo;(22)6255304;;
Fajowo.eu;664130818;;
FHU ALEX Anna Benchart Sklep Internetowy Ismooke.pl;667163322;;
Firma Handlowo-Usługowa Akan Anna Najsztub;(52)5892440;;
Firma Handlowo-Usługowa Akan Anna Najsztub;665371976;;
Frima Handlowa DUKAT;(56)6226418;;
Frima Handlowa DUKAT;(56)6585591;;
G.M.B.T. MAGNUS Sp. z o.o.;(44)7770030;;
Garaż-E-Papierosy;600615900;;
Garaż-E-Papierosy;881420843;;
Gdański Salon Fajki TABAK;(58)3053886;;
Gdański Salon Fajki TABAK;501055788;;
GJ Sport Wojciech Kobeszko;600687549;;
Golden Lions;(22)2131729;;
Handel Hurtowy i Detaliczny Stanisław Dymek;(14)6811838;;
Handel Hurtowy i Detaliczny Stanisław Dymek;(14)6811839;;
HPM Consulting;694783872;;
HURT EWA;(77)4316409;;
HURT EWA;504202928;;
Hurtownia Detaliczna Ebull;509219026;;
Hurtownia Detaliczna Ebull;502703734;;
Imperial Tobacco Polska S.A.;(61)8165000;;
Imperial Tobacco Polska S.A.;(61)8165001;;
JAKUB PHU S.c.;(42)6420275;;
JAKUB PHU S.c.;501546833;;
Jomax;602241051;;
JOW Wojciech Radko, Sklep Internetowy Niedopalek.pl;504142336;;
Kiosk Na Rogatce;883242162;;
Krzysztof Wolter;728474774;;
Kujawsko-Pomorski Tytoń Sp. z o.o.;(56)4610491;;
Kujawsko-Pomorski Tytoń Sp. z o.o.;(56)4610492;;
LIMA S.A. Oddział Kraków;(12)6563842;;
MARWIN POLSKA;(12)6426110;;
MARWIN POLSKA;(12)6813441;;
MAX;605920115;;
Migrol Sp. z o.o.;(81)7444602;;
Migrol Sp. z o.o.;(81)7444620;;
MOSTEX POLAND Import-Export;(81)5012566;;
MOSTEX POLAND Import-Export;601800772;;
Natural Quelle S.c. Jakub Sosiński Tomasz Cyranik;727619461;;
Natural Quelle S.c. Jakub Sosiński Tomasz Cyranik;609555604;;
OFIR Group Spółka z o.o. Sp.komandytowa;(62)5860738;;
OPAL Sp. z o.o.;(22)6410740;;
OPAL Sp. z o.o.;(22)6410647;;
ORKANUM - Sklep e-fajek;517303289;;
P.H.P.U. Stopol Sp. z o.o.;(55)2703013;;
P.H.P.U. Stopol Sp. z o.o.;(55)2723709;;
P.H.U. RAAF-1 Tomasz Gaczorek;(12)4291150;;
P.H.U. RAAF-1 Tomasz Gaczorek;690561061;;
P.P.H. ŚWIAT FAJKI Andrzej Bocian;(91)4828011;;
P.P.H. ŚWIAT FAJKI Andrzej Bocian;(91)4828483;;
P.P.H.U. MACIEJTEC Maciej Przyrodzki;518602557;;
PALLAVE;536339779;;
Philip Morris Polska S.A.;(22)6062222;;
Phoenix - CK Complex Sp. z o.o.;660478760;;
Phoenix - CK Complex Sp. z o.o.;698679409;;
PHP Polski Tytoń S.A.;(48)3413200;;
PHP Polski Tytoń S.A.;(48)3623630;;
PHPU TEKS S.A. Hurtownia Wyrobów Tytoniowych;(48)3652507;;
PHPU TEKS S.A. Hurtownia Wyrobów Tytoniowych;(48)3652548;;
PHU BJB Sp. z o.o.;(94)3461414;;
PHU BJB Sp. z o.o.;(94)3461416;;
PHU eSmoker;609257700;;
PHU MEWA Dariusz Czajkowski Sklep Internetowy Itabak.pl;668229376;;
PHU MEWA Dariusz Czajkowski Sklep Internetowy Itabak.pl;(71)3269185;;
PHU TABAK;(71)3491010;;
PHU TABAK;787121787;;
PHU TRAFIKA;(042)6122586;;
Polska Grupa Tytoniowa;(74)8555562;;
Polska Grupa Tytoniowa;515150997;;
Polski Skład Cygar;662742642;;
Pracownie Fajek Bróg;(16)6710840;;
Praxis Sp. z o.o.;(75)7444064;;
Praxis Sp. z o.o.;(75)7443093;;
Premium Cigars Sp. z o.o.;(22)7413818;;
Premium Cigars Sp. z o.o.;(22)7413821;;
Producent i Dystrybutor Wyrobów Tytoniowych ORION;(48)6632810;;
Producent i Dystrybutor Wyrobów Tytoniowych ORION;(48)6632800;;
Promotorzy Trading Sp. z o.o. S.K.A.;(22)8140506;;
Promotorzy Trading Sp. z o.o. S.K.A.;(22)8847366;;
Przedsiębiorstwo Handlowe PILOT;(23)6733417;;
Przedsiębiorstwo Handlowo-Usługowe MONA;(44)6352035;;
Przedsiębiorstwo Handlowo-Usługowe MONA;(44)6352033;;
PURO;500001062;;
PURO;(61)8679820;;
Roch Sp. z o.o. Sp.k.;(12)4165641-42;;
Roch Sp. z o.o. Sp.k.;(12)4165640;;
RONA POLSKA Sp. z o.o.;(12)6472554;;
ROYK kingdom of tobacco;602588500;;
ROYK kingdom of tobacco;(87)5631695;;
SALUDO.PL;602180459;;
Scandinavian Tobacco Group Polska Sp. z o.o.;(22)8142278;;
Scandinavian Tobacco Group Polska Sp. z o.o.;(22)8145119;;
Semper Kamil Piekarski Sklep Internetowy E-papierosy;790412124;;
SHEESHA Sp. z o.o.;693548692;;
Shisha Sklep Fajki Wodne;796122576;;
SHISHKA79 Sklep Internetowy Shishka79.pl;600313053;;
Sieć Handlowa PRINCE;697306276;;
Sklep Internetowy Bletki.com.pl Akcesoria do Palenia;(12)4114247;;
Sklep Internetowy Bletki.com.pl Akcesoria do Palenia;508810001;;
Sklep Internetowy e-tank.pl;513162621;;
Sklep Internetowy Smoke 24;601924993;;
Sklep KALI;503052875;;
