WAGAS S.A. - Przedłużone Gwarancje & Gap;(22)8600480;;
WAGAS S.A. - Przedłużone Gwarancje & Gap;(22)8600483;;
Agencja Finansowo-Ubezpieczeniowa Henryk Skrzypulec;(77)4334232;;
Agencja Finansowo-Ubezpieczeniowa Henryk Skrzypulec;(77)4339799;;
Agencja Ubezpieczeniowa Optimus;501382476;;
Agencja Ubezpieczeniowa Optimus;(22)6148573;;
Agent Ubezpieczeniowy Doradca Ubezpieczeniowy Stanisław Książek;501124537;;
Agent Ubezpieczeniowy Doradca Ubezpieczeniowy Stanisław Książek;(22)3748496;;
ALFA STRATEGY Sp. z o.o.;(22)8551588-89;;
ALFA STRATEGY Sp. z o.o.;(22)8470176;;
AP Finanse, Ubezpieczenia, Doradztwo Prawne;(32)2500220;;
ASA Consulting;(32)2276918;;
ASA Consulting;(32)3271584;;
Bait Serwis Sp. z o.o. Sp.komandytowa;695877577;;
Bait Serwis Sp. z o.o. Sp.komandytowa;601487212;;
BIK Brokers Sp. z o.o.;(58)5540950;;
BIK Brokers Sp. z o.o.;(58)5540951;;
EXPERT - Centrum Ubezpieczeń;(61)2230165;;
EXPERT - Centrum Ubezpieczeń;500192183;;
Profesjonalny Zespół Ubezpieczeniowy EURO-POL-AGENT;(52)5626240;;
Profesjonalny Zespół Ubezpieczeniowy EURO-POL-AGENT;696722403;;
PWS Konstanta S.A.;(33)8157053;;
PWS Konstanta S.A.;(33)8157052;;
Rema BROKER Sp. z o.o.;(22)6970180;;
Renoma + Multiagencja;535500303;;
Renoma + Multiagencja;(33)4891405;;
Agencja MATECZNY G.Janus Sp.j.;602392170;;
Agencja MATECZNY G.Janus Sp.j.;(12)6564374;;
Agent PZU Warszawa;501105487;;
Agent Ubezpieczeniowy Anna Mikołajczyk;608394887;;
Agent Ubezpieczeniowy Anna Mikołajczyk;792390280;;
Agent Ubezpieczeniowy Usługi Marketingowe Beata Ciok;512305731;;
ATHENA Sp. z o.o. Biuro Usług Brokerskich;(61)6613302-03;;
ATHENA Sp. z o.o. Biuro Usług Brokerskich;(61)6624422;;
Biuro Brokerskie OMEGA Beata Galewska, Piotr Matwijow - Broker Ubezpieczeniowy - Sp.partnerska;(58)6692321;;
Biuro Brokerskie OMEGA Beata Galewska, Piotr Matwijow - Broker Ubezpieczeniowy - Sp.partnerska;(58)6692322;;
BIURO BROKERSKIE RENOMA Mariusz Walkiewicz;(22)8132007;;
BIURO BROKERSKIE RENOMA Mariusz Walkiewicz;(22)8130022;;
Biuro Ubezpieczeń CIERESZKO;(58)7713020;;
Biuro Ubezpieczeń CIERESZKO;(58)7713921;;
Biuro Ubezpieczeń KOPEĆ;(22)4037070;;
Biuro Ubezpieczeń KOPEĆ;(22)6386244;;
Biuro Usług Brokerskich Krzysztof Chechliński;(32)2811491;;
Biuro Usług Brokerskich Krzysztof Chechliński;601506863;;
Centrum Ubezpieczeniowo-Kredytowe;(15)6426370;;
Centrum Ubezpieczeniowo-Kredytowe;502643404;;
CLARA PACTA S.c.;(81)5240216;;
CLARA PACTA S.c.;(81)7460216;;
DOM UBEZPIECZENIOWY SPECTRUM w Płocku;(24)3879090;;
DOM UBEZPIECZENIOWY SPECTRUM w Płocku;504809414;;
EURO POLISY Ubezpieczenia Natalia i Marek Wolski;602368757;;
EURO POLISY Ubezpieczenia Natalia i Marek Wolski;662217413;;
FARGO;(67)3520815;;
Firma Ubezpieczeniowa DAN-KAL;606117345;;
FST Management;(56)6573529;;
FST Management;(56)6573528;;
HORYZONT;(74)8520798;;
HORYZONT;664950500;;
INSURANCE INTERMEDIATION Karolina Łoskot;(41)2524359;;
INSURANCE INTERMEDIATION Karolina Łoskot;500031571;;
