SURF BROTHER;509541990;;
SURF BROTHER;602494105;;
Szkoła Windsurfingu MASTERSurf;606107258;;
HABENDA Kemping i Szkoła Windsurfingu;502542064;;
HABENDA Kemping i Szkoła Windsurfingu;507116419;;
Lulagoga Renata Rosiak;(33)8100803;;
Szkoła Pływania NEMO;502559085;;
ENERGY SPORTS Dystrybucja S.c.;790434746;;
ENERGY SPORTS Dystrybucja S.c.;510086725;;
KenyOnBoard Krzysztof Traczyk;508146103;;
Szkoła Zdrowia dr Lech Powolny;602178208;;
Szkoła Zdrowia dr Lech Powolny;(32)2547239;;
24Surf S.c.;605327791;;
24Surf S.c.;601204198;;
Active Life Wiesław Nicpoń;603974016;;
AIRMAN.PL;501510669;;
AKADEMIA WINDSURFINGU;(76)8547485;;
AKADEMIA WINDSURFINGU;608152130;;
ALOHA Paulina Ziółkowska;504238179;;
ALOHA Paulina Ziółkowska;509336237;;
AR-SPORT Arkadiusz Ziółkowski;607067024;;
AR-SPORT Arkadiusz Ziółkowski;604150274;;
Baza Solar;(58)6742091;;
Baza Solar;602538395;;
Board School;602102934;;
Board School;884624144wsezonie;;
BOARD SPORT Sp. z o.o.;(22)7281677;;
BoardRockerz;600750399;;
BoardRockerz;516707366;;
BOsport Travel;(22)6160434;;
BOsport Travel;(22)6163407;;
Dream Kite Szkoła Kitesurfingu;511826555;;
Dream Kite Szkoła Kitesurfingu;508133189;;
E.K.SURF WINDSURFING;501169908;;
EASY Surf Shop;513020570;;
EMI SURF-BIS;601714056;;
FAMILY WINDSURFING;(91)5610064;;
FAMILY WINDSURFING;600728377;;
FUNBOARD SURF KITE SCHOOL;500015590;;
FUNBOARD SURF KITE SCHOOL;600900777;;
FUNSPORT;(61)8216755;;
FUNSPORT;609630610;;
HiSurf.pl;698645948;;
HiSurf.pl;503751936;;
HYDROSFERA;608380659;;
ILVENTO SPORT;606314003;;
INTERMEDIA;(55)2363633;;
kitePrima-Szkoła Kitesurfingu;696941310;;
kitePrima-Szkoła Kitesurfingu;600748669;;
Kiteresort.pl;722101333;;
KWADRAT;601655189;;
KWADRAT;609485199;;
LSURF;511282829;;
LSURF;507597257;;
Maxsurf Śląska Szkoła Windsurfingu Niewiesze jez.Pławniowice;512431460;;
Maxsurf Śląska Szkoła Windsurfingu Niewiesze jez.Pławniowice;502429536;;
MEGA SURF Windsurfing & Kitesurfing;(58)6224571;;
MEGA SURF Windsurfing & Kitesurfing;605199199;;
MYSZA Surf Center;601771008;;
MYSZA Surf Center;881385531;;
naKajta.pl;794314970;;
NOWE GUTY FUN;603667094;;
NOWE GUTY FUN;509915111;;
Obozy Windsurfingowe i Żeglarskie;697730930;;
Olbrychski SPORT;501497716;;
ORKA Piotr Orlikowski;601620361;;
Ośrodek SURFER`S VILLAGE;501450424;;
Ośrodek Windsurfingu DRAGA;(58)6753377;;
Ośrodek Windsurfingu DRAGA;606307907;;
P.H.U.P. BINGO;605591680;;
P.P.H.U. FIT Paweł Michalski;(76)8629183;;
P.P.H.U. FIT Paweł Michalski;512257145;;
POLSPORTY.PL;509392932;;
POLSPORTY.PL;509514914;;
PRO-SURFING Szkoła Windsurfingu;601389045;;
PRO-SURFING Szkoła Windsurfingu;607389046;;
PROSURF Paweł Giżowski;510070090;;
Rewa Surf Centrum;516403103;;
Rewa Surf Centrum;606261906;;
Scandal Maciej Zwoliński;501456089;;
SEMPRE S.c.;792444806;;
SEMPRE S.c.;(58)6611202;;
SIGN-X Piotr Kunysz;602372713;;
SKIMBOARD STAR Mariusz Stefaniak;784321489;;
SKIMBOARD STAR Mariusz Stefaniak;602727886;;
SOPOT SURF;692074827;;
SURF CHATA;502613853;;
SURF CONNECTION;(58)6743190;;
SURF CONNECTION;602297407;;
SurfParadise;696101166;;
SurfShop.pl & SnowShop.pl;(22)6107778;;
SurfShop.pl & SnowShop.pl;500502050;;
Szkoła FunKite.pl;730148588;;
Szkoła FunKite.pl;(58)6741186;;
Szkoła Kitesurfingu KITESCONTROL;609163733;;
Szkoła Kitesurfingu KITESCONTROL;794993007;;
Szkoła Kitesurfingu SURF BONJO;666666179;;
Szkoła Sportu i Turystyki Extreme Sports;606437629;;
Szkoła Sportu i Turystyki Extreme Sports;696440812;;
Szkoła Windsurfingu BOARDS;604179117;;
Szkoła Windsurfingu BOARDS;(32)2704259biuroszkołyGliwice;;
Szkoła Windsurfingu FreeSurf;795200812;;
Szkoła Windsurfingu i Kitesurfingu Fun Surf;(81)4415415-16;;
Szkoła Windsurfingu i Kitesurfingu Fun Surf;(81)4415945;;
Szkoła Windsurfingu Marzeny Okońskiej NA FALI;602620782;;
Szkoła Windsurfingu POL33;501349446;;
Szkoła Windsurfingu WINDSPORT;503768627;;
VENTO CO.;(71)3413357;;
VENTUS Szkoła Windsurfingu;502613933;;
VENTUS Szkoła Windsurfingu;606915344;;
WakePark Goczałkowice Zdrój;784784441;;
WATERWAY;500008114;;
WINNER Szkoła Windsurfingu i Tenisa;602235998;;
WINNER Szkoła Windsurfingu i Tenisa;669511214;;
Xofto Marcin Popów Sklep KiteOffer.com;720004000;;
AktywneWakacje.pl Aleksander Okoński;(62)5023939;;
AktywneWakacje.pl Aleksander Okoński;510077766;;
AQUA SPORT;783556679;;
BIG BLUE S.c. Centrum Sportów Wodnych;733812772;;
BIG BLUE S.c. Centrum Sportów Wodnych;501349446;;
Boardandski Adam Cudek;502691703;;
COLUMBUS Aktywne Wakacje;604603387;;
COLUMBUS Aktywne Wakacje;604080906;;
EXTREME PLANET;794037015;;
EXTREME PLANET;501450424;;
Fundacja HOBBIT;(71)3210177;;
Fundacja HOBBIT;(71)3210848po15:30;;
