Firma Wielobranżowa KONARSKI Sp.j.;(62)7829132;;
Firma Wielobranżowa KONARSKI Sp.j.;(62)7829134;;
AGROPREF Hurtownia Zaopatrzenia Witrażownictwa;(61)8798025;;
Autorska Pracownia Witraża i Mozaiki OBIEKT Marcin Czeski, Magdalena Czeska;(61)8156827;;
Autorska Pracownia Witraża i Mozaiki OBIEKT Marcin Czeski, Magdalena Czeska;502624133;;
Pracownia Witraży Jolanta Sidor;509991413;;
Pracownia Witraży Jolanta Sidor;(81)5012296;;
Amberlamp;(58)5548078;;
AR Projekt Pracownia Witraży i Szkła Artystycznego;725007247;;
AR Projekt Pracownia Witraży i Szkła Artystycznego;(58)5548724;;
ARTS & HOBBY Centrum Witrażowe;(22)6669580;;
ARTS & HOBBY Centrum Witrażowe;(22)6669581;;
Artystyczna Pracownia Witraży Marcin Szorski;508223202;;
Pracownia Witraży TESTOR;(12)4212072;;
Pracownia Witraży TESTOR;608643384;;
Witrażysta Tadeusz Maria Przybylski;501747263;;
Dubiel Glass;(18)2225005;;
Dubiel Glass;(18)5417871;;
Firma Produkcyjno-Handlowo-Usługowa KRYSZTAŁ Jan Plata;(18)4459504;;
Firma Produkcyjno-Handlowo-Usługowa KRYSZTAŁ Jan Plata;(18)4459499;;
Huta Szkła w Jaśle S.A.;(13)4462091;;
Huta Szkła w Jaśle S.A.;(13)4462094;;
MIEL-MET S.c. A.Maziarz, R.Maziarz, T.Grzelak;(17)5830670;;
BAUTECHNIK Waldemar Podemski;(52)3861099;;
BAUTECHNIK Waldemar Podemski;(52)3860382;;
ELGLAS;(55)2343303;;
ELGLAS;(55)2369939;;
GLASS DECORATOR;(22)3792413;;
GLASS DECORATOR;(22)3792414;;
MART kubki reklamowe i z nadrukiem;(12)2700930;;
MART kubki reklamowe i z nadrukiem;(12)4520455;;
P.P.U.H. Marobex S.c. Robert Kacprzak, Marta Tokarska;(48)3441734;;
Szklarstwo-BOŻEK;(33)8450765;;
Usługowy Zakład Szklarski SZKIEŁKO II;(94)3520859;;
Usługowy Zakład Szklarski SZKIEŁKO II;(94)3450432;;
3K PROJEKT;(81)5118347;;
3K PROJEKT;509116467;;
Aco-Art;(56)6227972;;
Aco-Art;692307602;;
AlkoTiffany Co. Ltd;(55)2794362;;
AlkoTiffany Co. Ltd;728793070;;
ALL-BUD Małgorzata Bednarska-Kuehnel;(42)6563386;;
Anmart Pracownia Witraży Marek Narożny;(71)3570466;;
Anmart Pracownia Witraży Marek Narożny;605299103;;
ANTONIÓW Pracownia Witraży Beata i Marcin Chlebowscy;(75)7543740;;
ANTONIÓW Pracownia Witraży Beata i Marcin Chlebowscy;530567815;;
ARGENTE;(34)3654461;;
ARGENTE;661942142;;
Ars Antiqua S.c. B.J.Sobczyk;(22)7602683;;
Ars Antiqua S.c. B.J.Sobczyk;604800579;;
ARTGLASS;(23)6966272;;
Artysta Plastyk Mirosław Dziedzic;(58)5203082;;
Artysta Plastyk Mirosław Dziedzic;505711062;;
Artystyczna Pracownia Witraży IRYS;(61)8139663;;
Artystyczna Pracownia Witraży IRYS;(61)6709529;;
Artystyczna Pracownia Witraży Jolanta i Adam Wuttke;(33)8180270;;
Artystyczna Pracownia Witraży Jolanta i Adam Wuttke;602689208;;
Artystyczno-Konserwatorska Pracownia Witrażownictwa;(58)3500458;;
Artystyczno-Konserwatorska Pracownia Witrażownictwa;507195703;;
Artystyczno-Konserwatorska Pracownia Witrażownictwa Władysław Kozioł, Wojciech Kozioł;(56)6225296;;
Artystyczno-Konserwatorska Pracownia Witrażownictwa Władysław Kozioł, Wojciech Kozioł;507195703;;
ASTILBE BN;(32)2439430;;
ASTILBE BN;601404740;;
Autorska Pracownia Witraży i Lamp TIFFANY;(61)8708862;;
Autorska Pracownia Witraży i Lamp TIFFANY;516754403;;
B&P.design;697495299;;
Bartolinii;509098121;;
Basole;603362619;;
Colour Glass - Pracownia Witraży i Szkła Artystycznego;(61)8425109;;
Colour Glass - Pracownia Witraży i Szkła Artystycznego;695042705;;
DARWIT;697489923;;
DOLAND Pracownia Witraży i Szkła;(65)5370336;;
DOLAND Pracownia Witraży i Szkła;601572901;;
FURDYNA Pracownia Witraży;(12)2665079;;
FURDYNA Pracownia Witraży;601440730;;
Galeria i Pracownia Artystyczna ORSO;602244899;;
Galeria i Pracownia Artystyczna ORSO;(32)2362244;;
GALERIA TIFFANY-PLEJEWSKI STUDIO;(58)6222211;;
GALERIA TIFFANY-PLEJEWSKI STUDIO;(58)6220777;;
Galeryjka Upominków;606461019;;
Glass Atelier;605213888;;
KONSWIT Pracownia Witraży;(32)2153549;;
KONSWIT Pracownia Witraży;515496081;;
Leprince Art;(32)2516795;;
Leprince Art;603699511;;
Lotronic-Pracownia Lamp;(32)2517636;;
Lotronic-Pracownia Lamp;601409005;;
MEDION Marcin Omernik;609311766;;
MISTYKA SZKŁA;723494303;;
MISTYKA SZKŁA;661163096;;
Olestudio;(71)7927949;;
P.P.H. Witraż;696467953;;
P.P.H.U. ŻAKO;(56)6545992;;
P.P.H.U. ŻAKO;607054777;;
P.P.U.H. MEGAN Adam Proskień;(85)8681413;;
P.P.U.H. MEGAN Adam Proskień;(85)8681412;;
PAN-ART Witraże;663974550;;
PIKTOGRAM Wutke Przemysław;(62)7216512;;
PIKTOGRAM Wutke Przemysław;600660558;;
PM Witraż S.c.;601986600;;
PM Witraż S.c.;601911708;;
POLSKIE MUZY - Pracownia Witrażu 12U;(22)4037690;;
POLSKIE MUZY - Pracownia Witrażu 12U;780517024;;
POWALISZ Pracownia Witrażowa;(61)8771181;;
PPHU Art-Land;504503402;;
PPHU EKO-GLASS Wiesław Zachariasz;(61)2838009;;
PPHU EKO-GLASS Wiesław Zachariasz;608522936;;
Pracownia Artystyczna;501872790;;
Pracownia Artystyczna Atelier Szkła;693431055;;
Pracownia Artystyczna BURZYŃSCY;(55)2779243;;
Pracownia Artystyczna BURZYŃSCY;601833260;;
Pracownia Artystyczna Or Iwona i Piotr Jasztal;(41)2733642;;
Pracownia Artystyczna Or Iwona i Piotr Jasztal;784347505;;
Pracownia Artystyczna Witraży PAW;(12)6366779;;
Pracownia Lamp i Witraży;692138415;;
Pracownia Lamp Witrażowych i Witraży Andrzej Sroka;(22)8775791;;
Pracownia Lamp Witrażowych i Witraży Andrzej Sroka;602898997;;
Pracownia Lamp Witrażowych i Witraży Artystycznych SECESJA Piotr Ruszkowski;(46)8564161;;
Pracownia Lamp Witrażowych i Witraży Artystycznych SECESJA Piotr Ruszkowski;602110508;;
Pracownia Lamp Witrażowych i Witraży Mieczysław Nowalski;504079878;;
Pracownia Projektowo-Konserwatorska PROKON;(77)4547611;;
Pracownia Projektowo-Konserwatorska PROKON;(77)4231177;;
Pracownia Witrażu Janusz Pyka;(33)8115310;;
Pracownia Witrażu Janusz Pyka;608343234;;
Pracownia Witraży;509521609;;
Pracownia Witraży 7 Kolorów Piotr Ucka;880384545;;
Pracownia Witraży Adam Marian Gołembowski;(61)8780272;;
Pracownia Witraży Agnieszka i Jerzy Wojnar;(32)2928572;;
Pracownia Witraży Agnieszka i Jerzy Wojnar;601403110;;
Pracownia Witraży Artystycznych Barbara Broniek-Breitling i Lech Breitling;(22)6436404;;
