Polferro Sp. z o.o. Ścianki Wspinaczkowe Wall Be Safe;(58)3218989;;
Polferro Sp. z o.o. Ścianki Wspinaczkowe Wall Be Safe;601628546;;
Centrum Wspinaczkowe TOTEM;(33)4858501;;
DYNAMIK SPORT Wynajem Mobilnej Ścianki Wspinaczkowej;604677495;;
Extreme Group;(32)7558877;;
Agencja Górska Patagonia;602812840;;
Agencja Górska Patagonia;500274716;;
Oleśnicki Kompleks Rekreacyjny ATOL Sp. z o.o.;(71)7823970;;
GOup - Centrum Przygód;601324080;;
GOup - Centrum Przygód;(48)3650710;;
Ośrodek Sportowo-Rekreacyjny w Zabierzowie;(12)2851154;;
Ośrodek Sportowo-Rekreacyjny w Zabierzowie;(12)2851200;;
P.H.P. ANKO-POL;(14)6261407;;
P.H.P. ANKO-POL;(14)6276714;;
ABC WSPINANIA Szkoła Wspinania;609465237;;
Agencja TREKKING SPORT;(34)3652404;;
Agencja TREKKING SPORT;(34)3275556;;
AKW Kotłownia Ściana Wspinaczkowa;575508283;;
ALP PROFESSIONAL;602342585;;
ALP PROFESSIONAL;608666123;;
Arena Wspinaczkowa WGÓRĘ;(22)2453688;;
ASGARD;888564953;;
AUCCA;883009783;;
AUCCA;511159805;;
Avana Sp. z o.o.;(61)6103040;;
Avana Sp. z o.o.;782780333;;
AVATAR;(12)6521333;;
AVATAR;600921102;;
Centrum Sportów Górskich Trango;725552345;;
Centrum Wspinaczkowe FORTECA;(12)6328333;;
Centrum Wspinaczkowe GATO;(56)6222234;;
Centrum Wspinaczkowe GATO;602397975;;
Centrum Wspinaczkowe ON SIGHT;697837198;;
Centrum Wspinaczkowe PARBAT;509630177;;
Centrum Wspinaczkowe SPIDER;698860550;;
Centrum Wspinaczkowe STRATOSFERA Sp. z o.o.;(42)6333490;;
Centrum Wspinaczkowe TARNOGAJ;(71)7948129;;
Centrum Wspinaczkowe TOP;785522534;;
Centrum Wspinaczkowe TOP;697524922;;
Centrum Wspinaczkowe Transformator;663359666;;
Centrum Wspinania CECHOWNIA;605610651;;
Centrum Wspinania VERTIGO;601631838;;
Climbing & Adventure Szkoła Wspinania;600351990;;
Climbing & Adventure Szkoła Wspinania;602677547;;
CLIMBING SPOT;692398448;;
CRUX;536221878;;
DlaAlpinisty.pl;(22)8315068;;
DlaAlpinisty.pl;501571190;;
Eiger Sp. z o.o.;(71)3565035;;
ELBRUS;(71)3078508;;
FREE;501290873;;
Gecko Climb;502860445;;
GLOMERO;793677433;;
Hala Wspinaczkowa POCHYLNIA;724899484;;
Hurtownia Fatra;(15)8324626;;
Hurtownia Fatra;(15)6445389;;
Kilimanjaro Kurs Skałkowy;609055363;;
Kvapi Products LTD.;(12)4152818;;
Kvapi Products LTD.;609533195;;
Lhotse S.c. Wytwórnia Sprzętu Alpinistycznego;(32)2665263;;
M5 Michał Piątek;501487951;;
M5 Michał Piątek;697126591;;
MONOLIT P.P.H.U.;(32)2309142;;
MONOLIT P.P.H.U.;(32)2302188;;
NAMASTE S.c.;(61)8411533;;
NAMASTE S.c.;609910090;;
Outspider;504948768;;
P.H.U. Quasar Jerzy Borys;(75)6437099;;
P.H.U. Quasar Jerzy Borys;503158607;;
RAT work S.c. Rope Access Technician - Specjalistyczny Sklep Alpinistyczny;790789077;;
RockCity;503301745;;
Snap Outdoor Sp. z o.o.;(32)3017540;;
Speleoklub GAWRA;509236177;;
Sudecka Szkoła Wspinaczki;607343020;;
Szkoła Alpinizmu;(34)3156070;;
Szkoła Alpinizmu;607668531;;
Szkoła Alpinizmu W PIONIE;601242923;;
Szkoła Alpinizmu W PIONIE;501501666;;
SZKOŁA GÓRSKA CERRO TORRE Sp. z o.o.;501568948;;
Szkoła Wspinaczki Skalnej;(12)3764244;;
Szkoła Wspinaczki Skalnej;603740358;;
Szkoła Wspinania ELDORADO;609656769;;
Szkoła Wspinania Gorilla;694284292;;
Szkoła Wspinania HIGH Format Krzysztof Korabik;883686118;;
Szkoła Wspinania Marcina Opozdy RED ROCK;888910861;;
Ściana Wspinaczkowa ELEWATOR;501769966;;
Ściana Wspinaczkowa ELEWATOR;502945357;;
Ściana Wspinaczkowa La Roca;502239143;;
Ściana Wspinaczkowa na Hali Widowiskowo-Sportowej;502557669;;
Ściana Wspinaczkowa ZERWA;602301233;;
Ściana Wspinaczkowa ZERWA;695259090;;
ŚCIANKA S.c.;510439144;;
Ścianka Wspinaczkowa ANIOŁÓW STRÓŻÓW;694928424;;
Ścianka Wspinaczkowa FPINKA;506554690;;
Ścianka Wspinaczkowa OKAPIK;602348197;;
Ścianka Wspinaczkowa OKAPIK;604092337;;
Świdnicka Szkoła Wspinaczki THE GLOB;605764997;;
TRANGO TOWERS S.c.;728798728;;
TRANGO TOWERS S.c.;793006391;;
TRIBLOK Centrum Wspinaczkowe;881473706;;
TRIBLOK Centrum Wspinaczkowe;600686812;;
Uni-Sport Sp. z o.o.;(32)3514290;;
Uni-Sport Sp. z o.o.;(32)3514291;;
VAMOS;502215175;;
VIA Szkolenia Specjalistyczne;607402220;;
WIEŻA CIŚNIEŃ;609690170;;
WIEŻA CIŚNIEŃ;500014582;;
YETI Szkoła Wspinania Arkadiusz Tabisz;606591590;;
ŻYJ-AKTYWNIE.pl;509213027;;
2Wieże Sp. z o.o.;604640042;;
2Wieże Sp. z o.o.;690821221;;
A0 Usługi Alpinistyczne;693446453;;
