LEHNER Karol Jezioro;(12)2768663;;
LEHNER Karol Jezioro;609100021;;
Mag&Kar Irmina Żurawska;508262006;;
Mag&Kar Irmina Żurawska;515561555;;
PPHU LARION LTD Sp. z o.o.;(32)2557190;;
PPHU LARION LTD Sp. z o.o.;(32)2557160;;
EKO-TRANS Adam Kołodziejczyk;603783812;;
EKO-TRANS Adam Kołodziejczyk;608420676;;
Firma Handlowo-Usługowa TRANSKOP S.c.;(14)6810655;;
Firma Handlowo-Usługowa TRANSKOP S.c.;(14)6810656;;
TCRJ Jakub Janda;605596996;;
TCRJ Jakub Janda;(61)8488479;;
BOGMAR Sp. z o.o.;(52)3817600;;
BOGMAR Sp. z o.o.;(52)3817428;;
MARKOP;502824941;;
Przedsiębiorstwo Cama Sp. z o.o.;(12)4132075;;
Przedsiębiorstwo Cama Sp. z o.o.;502526563;;
RECYKLING Katarzyna Baranowska, Albert Kasprzak;(61)8780260;;
RECYKLING Katarzyna Baranowska, Albert Kasprzak;(61)8780207;;
Auto Service POLITOWICZ;(61)8705072;;
Auto Service POLITOWICZ;601161546;;
GRANI-TEC;505058436;;
PPHiU Wujek Sp.j.;(71)3566708;;
PPHiU Wujek Sp.j.;(71)3593496;;
Centrum Utylizacji i Rekultywacji Sp. z o.o.;512151800;;
EMBER;(24)3620081;;
EMBER;(24)3620632;;
HADES Edyta Korzeniowska;660378307;;
PERFEKT Piekut i Partnerzy S.c.;(68)3828016;;
PERFEKT Piekut i Partnerzy S.c.;601847237;;
Diament s.c.;(55)2782431;;
Diament s.c.;502371008;;
F.H.U. WIERCIAK;(12)2772068;;
F.H.U. WIERCIAK;519141300;;
JAGEZ Firma Transportowo-Usługowa Zdzisław Jagiełło;602257172;;
JAGEZ Firma Transportowo-Usługowa Zdzisław Jagiełło;(42)6468902;;
Krzysztof Ślusarczyk Przedsiębiorstwo Handlowo-Usługowe;602476614;;
Krzysztof Ślusarczyk Przedsiębiorstwo Handlowo-Usługowe;(32)6278144;;
MINEX-Budownictwo i Wyburzenia Sp. z o.o.;(91)4623086-87;;
MINEX-Budownictwo i Wyburzenia Sp. z o.o.;501329934;;
P.W.T.U.H. Trans-Kop S.c. Wysoczański;(61)6524858;;
P.W.T.U.H. Trans-Kop S.c. Wysoczański;601726481;;
PPUH ARGO;509329510;;
Prace Ziemne Damian Kruczek;663746587;;
Ren-Trans Sp. z o.o.;(52)3428740;;
Ren-Trans Sp. z o.o.;(52)3610870;;
ZRB KAROL K.Rutkowski, M.Charkiewicz Sp.j.;667782634;;
ZRB KAROL K.Rutkowski, M.Charkiewicz Sp.j.;603701780;;
ALPINISTA Zakład Usług Wysokościowych;(71)3103873;;
ALPINISTA Zakład Usług Wysokościowych;602234659;;
ANI-BUD Sp. z o.o.;601701690;;
ANI-BUD Sp. z o.o.;(91)4160004;;
Digger Sp. z o.o.;730195452;;
Digger Sp. z o.o.;507020470;;
DUET Firma Handlowo-Usługowa;601646820;;
DUET Firma Handlowo-Usługowa;500205889;;
F.H.U. OMEGA;667211250;;
Millenium S.c.;(71)3928076;;
Millenium S.c.;(71)3928077;;
P.P.U.H. WIBA;(33)8100384;;
P.P.U.H. WIBA;(33)8281300-01;;
SAPER PATROL;(95)7463173;;
SAPER PATROL;692373286;;
STD Dąbrowski Jarosław;504232966;;
TRANS-ZŁOM S.c. Łukasz Czapla, Katarzyna Orman;(32)3309710;;
TRANS-ZŁOM S.c. Łukasz Czapla, Katarzyna Orman;608641671;;
Usługi Budowlane Janusz Nowak;(61)8925195;;
Usługi Budowlane Janusz Nowak;602518275;;
Usługi Ogólno-Sprzętowo-Transportowe, Roboty Drogowe, Żwirownia Teresa Groth;(58)7782767;;
