Stacja Narciarska SOSZÓW;(33)8552832;;
Stacja Narciarska SOSZÓW;(33)4742395;;
Arena Narciarska JAWORKI-HOMOLE Spółka jawna;(18)2621543;;
Arena Narciarska JAWORKI-HOMOLE Spółka jawna;609306502;;
CHYROWA-SKI Sp. z o.o.;603871300;;
CHYROWA-SKI Sp. z o.o.;601349984;;
Stacja Narciarska RUSIŃ-SKI;604102302;;
Stacja Narciarska RUSIŃ-SKI;604102402;;
Stacja Narciarska SUCHE Sp. z o.o.;600595959;;
Stacja Narciarska SUCHE Sp. z o.o.;604595959;;
Całoroczny Stok Narciarski SZCZĘŚLIWICE;513910883;;
Całoroczny Stok Narciarski SZCZĘŚLIWICE;(22)6226961;;
Centrum Rekreacji i Sportu KOLOROWA Sp. z o.o.;(75)7619098;;
Centrum Rekreacji i Sportu KOLOROWA Sp. z o.o.;(75)7619024;;
Czarna Góra-Koziniec Sp. z o.o.;667924896;;
Czarna Góra-Koziniec Sp. z o.o.;605050184;;
Kompleks Rekreacyjno-Wypoczynkowy Lesko-Ski;(13)4699345;;
Kompleks Rekreacyjno-Wypoczynkowy Lesko-Ski;(13)4699345;;
Kompleks Rekreacyjno-Wypoczynkowy OAZA;(17)2763727;;
NARTSPORT Wyciągi Narciarskie;(81)8825500;;
NARTSPORT Wyciągi Narciarskie;502168054;;
Stacja Narciarska KOKUSZKA SKI;(18)5476726;;
Stacja Narciarska KOKUSZKA SKI;668114193;;
Stok Narciarski BOBLIWO;603933038;;
Stok Narciarski BOBLIWO;609175577;;
Szczyrkowski Ośrodek Narciarski;(33)8178740;;
Szczyrkowski Ośrodek Narciarski;(33)8178633;;
Czarny Groń Sp. z o.o. Sp.komandytowa;(33)8701630;;
Czarny Groń Sp. z o.o. Sp.komandytowa;(33)8701635;;
Ośrodek Wypoczynkowy KABEL;(18)2014051;;
Ośrodek Wypoczynkowy KABEL;(18)2013484;;
Ośrodek Szkoleniowo Wypoczynkowy SKALNICA (Na Sprzedaż);(33)8553925;;
Poniwiec SPA&SKI;(33)8543210;;
Poniwiec SPA&SKI;(33)8541151;;
Vital & SPA Resort Szarotka;(74)8697100;;
Vital & SPA Resort Szarotka;(74)8697110;;
Zajazd Regionalny Chata Na Groniu S.c. Maria Kowalcze Jacek Kowalcze;505105042;;
Zajazd ZACISZE;(13)4357217;;
Zajazd ZACISZE;601085785;;
BeskidCard;(18)4140967;;
Biuro Usługowo Handlowe Ski Ful`89 Strąg Jan;(33)8661751;;
Biuro Usługowo Handlowe Ski Ful`89 Strąg Jan;602552200;;
Centrum Narciarskie MASTER SKI;504239397;;
Centrum Narciarskie NOSAL;(18)2062700;;
Centrum Sportu i Rekreacji ZIELONA BRAMA;(58)6825155;;
Centrum Sportu i Rekreacji ZIELONA BRAMA;509870705;;
CHATA NA STOKU Centrum Narciarskie AZOTY;(18)4715367Wyciągi;;
CHATA NA STOKU Centrum Narciarskie AZOTY;(18)4715717Chatanastoku;;
CICHE Wyciąg Narciarski;(18)2658837;;
CISOWA Zimowy Ośrodek Rekreacyjny;608146666;;
Czarna Góra S.A.;(74)8141245;;
ELSTER Sp. z o.o.;(18)4429482;;
ELSTER Sp. z o.o.;(18)4429802;;
Firma CZORSZTYN-SKI Sp. z o.o.;(18)2650222;;
KASINA-SKI Sp. z o.o.;(18)3314551;;
KASINA-SKI Sp. z o.o.;(18)3314553;;
Kolej Linowa CZANTORIA Sp. z o.o.;(33)8543550;;
Kolej Linowa KASPROWY WIERCH Polskie Koleje Linowe S.A.;(18)2014510;;
Kolej Linowa PALENICA Polskie Koleje Linowe S.A.;(18)2622199;;
Kolej Linowa PALENICA Polskie Koleje Linowe S.A.;(18)2620195;;
Kolej Linowo-Terenowa GÓRA PARKOWA Polskie Koleje Linowe S.A.;(18)4712262;;
Kolej Linowo-Terenowa GUBAŁÓWKA Polskie Koleje Linowe S.A.;(18)2014830;;
Kolej Linowo-Terenowa ŻAR Polskie Koleje Linowe S.A.;(33)8661136;;
Kolej Linowo-Terenowa ŻAR Polskie Koleje Linowe S.A.;(33)8661128;;
Kompleks Narciarski SŁOTWINY;(18)4712726;;
KOTLINKA Szymbark;(58)6843907;;
LIMANOWA-SKI;(18)3373434;;
LIMANOWA-SKI;531395939;;
Łysa Góra Sp. z o.o.;(75)7139200;;
Miejska Kolej Linowa Karpacz Sp. z o.o.;(75)7619284;;
OŚRODEK MAZURSKI OKRĄGŁE;660811811;;
OŚRODEK MAZURSKI OKRĄGŁE;(87)4210615;;
