Asik Sp. z o.o.;(18)3375521;;
Asik Sp. z o.o.;663763954;;
B.U.T.T. WIKTORIA Wynajem Autokarów;(85)7451635;;
B.U.T.T. WIKTORIA Wynajem Autokarów;609444460;;
GP LINES Paweł Kubiak i Adrian Kubiak Sp.j.;(42)6845023;;
GP LINES Paweł Kubiak i Adrian Kubiak Sp.j.;509922580;;
Piotr Kajmowicz Wynajem Autobusów i Busów;602809025;;
PTHU DAR-BUS Dariusz Denis;(25)6751829;;
STRADA TOUR;(71)3632548;;
STRADA TOUR;(71)7337860;;
TOTEMM Przewozy Autokarowe Maciej Matysiak;(71)3217140;;
TOTEMM Przewozy Autokarowe Maciej Matysiak;602119038;;
B.U.T. i H. TRANS-EUROPA Piotr Chorzępa;(17)8532067;;
B.U.T. i H. TRANS-EUROPA Piotr Chorzępa;609046084;;
Biuro Przewozów Autokarowych GOLEC-TOURIST;(32)2948248;;
Biuro Przewozów Autokarowych GOLEC-TOURIST;663759083;;
CEZAR BUS Grzegorz Wincencik;(12)4518571;;
CEZAR BUS Grzegorz Wincencik;501585201;;
ElitBUS Wynajem autokarów i busów Jarosław Gawłowski;504101116;;
EUROPA TRAVEL & TRANS Sp. z o.o.;607115759;;
Firma Samochodowa Dobrucki;(58)6255072;;
Firma Samochodowa Dobrucki;602729190;;
KOLIBER;602253609;;
KOLIBER;(12)2673703;;
MAŁY-BUS Dariusz Jarosz;(22)6155795;;
MAŁY-BUS Dariusz Jarosz;601242410;;
MK-2 Wynajem Autokarów i Busów Oddział Piastów;(22)2154183;;
MK-2 Wynajem Autokarów i Busów Oddział Piastów;691487883;;
P.T.T. I.J. Machura;(32)2794450;;
P.T.T. I.J. Machura;(32)2319178;;
PAKAR AUTO Wynajem Autokarów i Mikrobusów;(58)3025808;;
PAKAR AUTO Wynajem Autokarów i Mikrobusów;604780710;;
PHU Bus24;601655597;;
PHU Bus24;(58)3026592;;
Przewóz Osób i Wynajem Busów Krzysztof Kwaśny;668304131;;
Przewóz Osób i Wynajem Busów Krzysztof Kwaśny;518492249;;
TOP TRAVEL Autokary;(22)6162325;;
TOP TRAVEL Autokary;(22)8929300;;
Biuro Turystyczne WATRA S.c.;(33)8541406;;
Biuro Turystyczne WATRA S.c.;(33)8545629;;
WOJ-TUR Wojciech Białożyt;(33)4986872;;
WOJ-TUR Wojciech Białożyt;503488797;;
Biuro Pielgrzymkowo-Turystyczne ARKA;(13)4324499;;
Biuro Pielgrzymkowo-Turystyczne ARKA;(13)4202020;;
Biuro Podróży STEFAN-TOURS;(13)4696413;;
Biuro Podróży STEFAN-TOURS;601861735;;
Biuro Podróży VARIUSTUR;(55)2394335;;
ELITA S.c.;604232437;;
ELITA S.c.;795452990;;
HETMAN Józef Zamojski;(81)5263720;;
HETMAN Józef Zamojski;602657549;;
U Tomka;(18)2012025;;
U Tomka;(18)2070973;;
Usługi Transportowe Turystyczne i Handel Heliodor Rogacki;(61)8178484;;
VIP TRAVEL Karpacz-Bus;502251756;;
VIP TRAVEL Karpacz-Bus;790487034;;
WIRAŻ-BUS;(61)8172251;;
WIRAŻ-BUS;(61)8172267;;
Auto Komis Marek Malisz;(14)6789674;;
Auto Komis Marek Malisz;502103619;;
Biuro Podróży EXODUS Sp.j. Ewa i Zbigniew Jaworscy;(68)4521786;;
Biuro Podróży EXODUS Sp.j. Ewa i Zbigniew Jaworscy;(68)4521780;;
Biuro Podróży Simba Travel;(41)3660251;;
Biuro Podróży Simba Travel;608444458;;
Biuro Usług Turystycznych ZBUTA Sp. z o.o.;(74)8461694;;
Biuro Usług Turystycznych ZBUTA Sp. z o.o.;(74)8434803;;
BOLERO-BUS Sp. z o.o.;501211344;;
BOLERO-BUS Sp. z o.o.;(22)6496220;;
DAR-Trans Zakład Usług Transportowych Dariusz Dukiewicz;604190948;;
DAR-Trans Zakład Usług Transportowych Dariusz Dukiewicz;(74)8177309;;
Firma Transportowa JOTKA;660524350;;
Firma Transportowa JOTKA;660524450;;
OSK Krzempek AUTO SEVICE;(32)4733595Naukajazdy;;
OSK Krzempek AUTO SEVICE;797995366Naukajazdy;;
PHU TOMEX Autokarowe Przewozy Osób Przemysław Tomera;(74)8685387;;
PHU TOMEX Autokarowe Przewozy Osób Przemysław Tomera;691835845;;
POL-TRANS;(33)8562752;;
POL-TRANS;601842055;;
Przewozy Autokarowe Krzysztof Okoński;602773070;;
ZWIEDZACZEK;(75)7441636;;
ZWIEDZACZEK;693434440;;
Busownia;575339445;;
Corini.pl wynajem autobusów i busów;609441664;;
INTER-BUS Cezary Ramski, Jerzy Ramski;(91)4421190;;
KM2 Katarzyna Ponichter;(22)2154183;;
KM2 Katarzyna Ponichter;691487883;;
Nowakegarage;722252524;;
Venibus Konrad Wachecki;507082372;;
Wynajem Autobusów i Busów Bowi-Trans;664716987;;
A.T.H. Fides Franciszek Niemyjski i Elżbieta Niemyjska Sp.j.;602374923;;
A.T.H. Fides Franciszek Niemyjski i Elżbieta Niemyjska Sp.j.;(22)6789697;;
AIR BUS Anna Wolan;(13)4202743;;
AKCEPT;662888880;;
AlexTour Biuro Podróży;602623992;;
AlexTour Biuro Podróży;608243210;;
Alfa Bus Sp. z o.o.;(41)3124576;;
Alfa Bus Sp. z o.o.;693440585;;
AM Autokary/Mikrobusy;(12)6619161;;
ARTUR BUS-Busy Kraków;504855385;;
Autokaryplock Jacek Szymczak;791365133;;
Autokaryplock Jacek Szymczak;508779039;;
AWTRANS Wynajem Autobusów;601420939;;
AWTRANS Wynajem Autobusów;(32)2309191;;
BARTHUR Firma Przewozowo-Transportowa;502377176;;
Bauman;504267959;;
Biacomex Autokary;(85)6612733;;
Biuro Przewozowo-Turystyczne EWA Ewa Fercho;(55)2342166;;
Biuro Przewozowo-Turystyczne EWA Ewa Fercho;604841280;;
Biuro Turystyczne ANETA;(81)5260820;;
Biuro Turystyczne ANETA;605834478;;
BODZIO & REJS Autotransport;(12)6264103;;
BODZIO & REJS Autotransport;605418877;;
Bogdanek;601302562;;
Bogdanek;(22)7734123;;
BUSTRAVEL24 Marcin Mildner;605545599;;
BUSTRAVEL24 Marcin Mildner;603820324;;
Busy Sikora;602331521;;
busy-wynajem.pl;506221628;;
busy-wynajem.pl;(12)3973625;;
Centrum Wynajmu Busów i Autokarów GAMAXI;(22)8480909;;
Centrum Wynajmu Busów i Autokarów GAMAXI;602219595;;
CRACTRANS Wynajem Busów;783298939;;
Delta Transport;502148555;;
DELUX Przewozy Turystyczno-Pasażerskie Handel-Usługi Sp.j.;(89)7628090;;
DELUX Przewozy Turystyczno-Pasażerskie Handel-Usługi Sp.j.;(89)7628097;;
EDBUS;(71)7990800;;
EDBUS;(71)7159394;;
EL-MAX Maksimowicz;(89)7643437;;
EMKA-TRANS Sp. z o.o.;(46)8580916-17;;
EMKA-TRANS Sp. z o.o.;(46)8580918;;
EURO-BUS;607437870;;
Expertbus;663287036;;
Expres–Bus;(17)2254012;;
Expres–Bus;603068917;;
F.H.U MAX;602500872;;
F.H.U. ARTMET;501477388;;
F.H.U. TRAVEL-PLUS;664487470;;
F.H.U. TRAVEL-PLUS;515305055;;
F.U. HAZI;607752279;;
FHU Biuro Podróży MILIARDER;(32)2513028;;
FHU Biuro Podróży MILIARDER;(32)2511436;;
FHU InGlob;535448921;;
Firma HENRY Józef Filipczyk;602538872;;
Firma HENRY Józef Filipczyk;607799247;;
Firma MAĆKOWIAK;504262946;;
Firma Przewozowa SAN-BUS;(13)4401888;;
Firma Przewozowa SAN-BUS;605935521;;
Firma Usługowo-Transportowa Sebastian Kołodziejczyk ELITTRAVEL;502500757;;
Firma Usługowo-Transportowa Sebastian Kołodziejczyk ELITTRAVEL;502500797;;
FOREST Auto-Trans;600133244;;
FOREST Auto-Trans;530488490;;
FRED Przewozy Autokarowe Fryderyk Borowiec;(17)8569226;;
FRED Przewozy Autokarowe Fryderyk Borowiec;602591878;;
GG Bus;605927724;;
GO WEST wynajem autokarów;(22)8320463;;
GO WEST wynajem autokarów;(22)8321761;;
INTER AUTO-BUS M.K.Marciniak;603565086;;
INTER-TRANS;(33)8184202;;
INTER-TRANS;(33)8184201;;
IWA-TRANS Sylwester Sikora;(42)6828504;;
IWA-TRANS Sylwester Sikora;601722206;;
JKA-BUS;502264274;;
KAMEL Travel;(81)7469914;;
KAMEL Travel;504911113;;
KANGOOR wynajem busów;500582288;;
KANGOOR wynajem busów;500775704;;
KAPRYS BUS;668586664;;
KOLUMBUS Wynajem Autokarów;(46)8300863;;
KOLUMBUS Wynajem Autokarów;605822842;;
Komfort Bus;602627556;;
Komfort Bus;606384646;;
KrakowBusy;690919020;;
KRAKTOM - TwojeBusy.pl;884848461;;
LEGION;503074336;;
Linie Autokarowe;0801626284;;
Linie Autokarowe;(33)4824000;;
LOKO Nieruchomości Sp. z o.o.;510610305;;
LuxSebTrans Przewozy Krajowe i Międzynarodowe;501566677;;
MagnusTrans;606998302;;
MARIZA Przewozy Autokarowe-Busy;508003031;;
MARIZA Przewozy Autokarowe-Busy;509546948;;
MARKUS Przewozy Autokarowe;(83)3438704;;
MARKUS Przewozy Autokarowe;603130590;;
MARKUS TRAVEL;(89)6242471;;
MARKUS TRAVEL;507077250;;
MASTERTRANS;509378048;;
MAT-POL;(12)2506353;;
MAT-POL;660467592;;
Mati-Trans;512462602;;
Mazovia Express;698890845;;
Mazovia Express;608468410;;
MBUS;606500574;;
MBUS;(32)2810604;;
MEL-MAX;534003400;;
MEL-MAX;501376800;;
Mercedes-Bus;(32)2063489;;
Mercedes-Bus;602438596;;
MK-2 Wynajem Autokarów i Busów;(22)7235212;;
MPJ Transport Paweł Ragiel, Józef Bałakier Sp.j.;665504499;;
MPJ Transport Paweł Ragiel, Józef Bałakier Sp.j.;537356537;;
MTMTOUR;508080088;;
Mul-Mar;602749718;;
Mul-Mar;604959531;;
On Tour Grudziądz Arkadiusz Lewandowski;665132550;;
P.H.U. Szczeblewski i S-ka S.c.;(22)7238687;;
P.H.U. Szczeblewski i S-ka S.c.;(22)7238747;;
P.H.U. Wicher;(61)4385381;;
P.T.U. Bus-Trans;(75)7515800;;
P.T.U. Bus-Trans;601566298;;
P.U.H. Beata Podsiadło Lukar;608659984;;
P.W. DANNYBUS;(52)3277244;;
P.W. DANNYBUS;514133788;;
PH LINDA Teresa Olek;(61)8142935;;
PH LINDA Teresa Olek;608499389;;
PHU Rajwa;(33)8570239;;
PHU Rajwa;601497026;;
PHU TranstomVIP;513628400;;
POLTRANS Sp. z o.o. Wynajem Autokarów i Busów;666202030;;
Przedsiębiorstwo Usługowo-Transportowe SKOJAN;(58)6738613;;
Przedsiębiorstwo Usługowo-Transportowe SKOJAN;502542021;;
Przedsiębiorstwo Wielobranżowe WIZARD;517851773;;
Przewozy Mini Busem SZYMKIEWICZ;603092068;;
Przewozy Mini Busem SZYMKIEWICZ;607364128;;
Przewóz Osób Zbigniew Daniłowski;604541190;;
PUH Usługi Transportowe Marek Olszewski;601392697;;
PUH Usługi Transportowe Marek Olszewski;(87)5672917;;
