DRG-Agro Group;(74)8324615;;
MEPROZET-DREZDENKO;(95)7620446;;
MEPROZET-DREZDENKO;(95)7620411;;
P.P.U.H. WIT-POL Paweł Witos;(33)8411057;;
P.P.U.H. WIT-POL Paweł Witos;(33)8458290;;
AGT Stanisław Graś;(67)2543497;;
AGT Stanisław Graś;660691816;;
FARMA Żuromin Sp. z o.o.;(23)6575260;;
FARMA Żuromin Sp. z o.o.;(23)6575184;;
PRO-AGRO-MECH;(42)7196018;;
PRO-AGRO-MECH;(42)7196034;;
SAC-Centrum S.c.;(23)6618191;;
SAC-Centrum S.c.;608204287;;
SMART AGRO Sp. z o.o.;604968565;;
Firma MARDAR dr Leszek Mardarowicz;(81)5032030;;
GTO GROUP Sp. z o.o.;888555595;;
HEKA-INKUBATOR Sp. z o.o.;(68)3623260;;
HEKA-INKUBATOR Sp. z o.o.;(68)3623269;;
P.H.U. ALFA;(87)4234877;;
P.H.U. ALFA;(87)4234876;;
PELLON Sp. z o.o.;(46)8550244;;
SILOTECH Sp. z o.o.;665403000;;
SILOTECH Sp. z o.o.;602270312;;
GENEU Beata Jerczyńska;(52)3810277;;
GENEU Beata Jerczyńska;(52)3810278;;
JFC Polska Sp. z o.o.;(29)7578377;;
JFC Polska Sp. z o.o.;(29)7578201;;
AGRITECH Ryszard Kujawa;601732106;;
AGRO-SERWIS Kałeccy;(52)3589931;;
AGRO-SERWIS Kałeccy;601332032;;
AgroComplex;(22)7311660;;
AgroComplex;(22)7316415;;
AGROSED;602262316;;
AGROSED;666058055;;
AquaBlend Polska S.c.;507061008;;
AquaBlend Polska S.c.;518830078;;
ASAT INTERNATIONAL Sp. z o.o.;(61)8705720;;
ASAT INTERNATIONAL Sp. z o.o.;(61)8876665;;
AVENA;601449117;;
Big Dutchman Polska Sp. z o.o.;(61)8962800;;
CHŁODROL Sp.j.;(65)5286047;;
Darewit.pl Ewa Zwierzchoniewska;(22)6735669;;
Darewit.pl Ewa Zwierzchoniewska;609819669;;
ELETOR Karol Zduński;(56)4939379;;
ELETOR Karol Zduński;500271191;;
EU SERVICES Sp. z o.o.;(56)4939985;;
EU SERVICES Sp. z o.o.;783998552;;
FARM-POL;504201706;;
FARM-POL;661217767;;
Firma Wielobranżowa AGROCOM;(62)5881002-03;;
GROMET Andrzej Grądzki;(29)7457181;;
GROMET Andrzej Grądzki;604905472;;
Hodowca Sp. z o.o.;(58)6826856;;
Hodowca Sp. z o.o.;(58)6826279;;
INWEST-AGRO;(81)5032222;;
INWEST-AGRO;500118937;;
Lely East Sp. z o.o.;(52)3211100;;
Macro-Pool J.Chojnacki, I.Janczukowicz Sp.j.;(67)2132642;;
Maśliński;(63)2133111;;
Maśliński;606622407;;
P.P.H.U. WŁODEX;(61)8150724;;
P.P.H.U. WŁODEX;(61)8150418;;
P.W. AnMaRol;602267025;;
PHU WOMAR;(61)2866959;;
PHU WOMAR;(61)2853142;;
PIG-SIN Import-Export;(62)7301702;;
PIG-SIN Import-Export;(62)7301678;;
POL FARMING;795979440;;
POLFARMER S.c.;534989666;;
POLFARMER S.c.;534505666;;
POLNET Sp. z o.o. i Wspólnicy Sp.komandytowa;(61)6576700;;
POLNET Sp. z o.o. i Wspólnicy Sp.komandytowa;(61)6570300;;
Polska Ferma Ryszard Grzesiak;(68)3857156;;
Polska Ferma Ryszard Grzesiak;(68)3528109;;
PPUH ROJALEX;(14)6814246;;
PPUH ROJALEX;605923869;;
R.J. ROLIMPEX;(71)3990154;;
ROL-MAR;511587634;;
ROL-TECHNIK;(52)3158775;;
ROL-TECHNIK;509962201;;
ROLCO Sp.j. Wyposażenie Budynków Inwentarskich;(81)7500344;;
Spółdzielcze Przedsiębiorstwo EKO-ROL;(52)3024047;;
Spółdzielcze Przedsiębiorstwo EKO-ROL;(52)3024110;;
Technika Rolniczo-Budowlana ROL-TECH Kalinowski Hubert;509892122;;
Technika Rolniczo-Budowlana ROL-TECH Kalinowski Hubert;880909200;;
Terraexim-Agroimpex Sp. z o.o.;(61)8754378;;
Terraexim-Agroimpex Sp. z o.o.;(61)8754233;;
VITEC dr inż. Arkadiusz Wojciechowski;600832077;;
Warmińsko-Mazurskie Centrum Westfalia Sp.j.;(89)7673399;;
Warmińsko-Mazurskie Centrum Westfalia Sp.j.;(89)7670401;;
WESSTRON Sp. z o.o.;(52)3649607;;
WESSTRON Sp. z o.o.;(52)3649608;;
ZOOTECH Agencja Handlowo-Doradcza;(63)2704049;;
ZOOTECH Agencja Handlowo-Doradcza;(63)2706153;;
ZPUH MARGO;(62)7824793;;
ZPUH MARGO;605454619;;
AGROHES;603059945;;
AGROHES;(65)5711711;;
F.P.H.U. Agro-Max;(23)6856267;;
F.P.H.U. Agro-Max;507145684;;
Inseminacja Waldemar Fros;(32)4301207;;
PLOTTNIK AgroConsulting;698818147;;
PLOTTNIK AgroConsulting;664024866;;
PPHU FACH S.c.;(65)5727637;;
PPHU FACH S.c.;504024671;;
TECHMLEK Sp.j.;(81)8542255;;
TECHMLEK Sp.j.;(81)8543843;;
Zakłady Metalowe w Przysiekach Sp. z o.o.;(13)4429020;;
Zakłady Metalowe w Przysiekach Sp. z o.o.;(13)4429069;;
