Inteligentne Systemy Zdrowia;(22)8857165;;
ALGO SYSTEM;(43)8432504;;
ALGO SYSTEM;(43)8433851;;
Fabryka Węży Gumowych i Tworzyw Sztucznych FAGUMIT Sp. z o.o.;(32)6472929;;
Fabryka Węży Gumowych i Tworzyw Sztucznych FAGUMIT Sp. z o.o.;(32)6472939;;
Gdyńskie Przedsiębiorstwo Handlowe Surtex Sp. z o.o.;(58)6674500;;
Gdyńskie Przedsiębiorstwo Handlowe Surtex Sp. z o.o.;(58)6674505;;
KLEEN-TEX Polska Sp. z o.o.;(41)2672500;;
KLEEN-TEX Polska Sp. z o.o.;(41)2545868;;
LARKIS Sp. z o.o.;(12)2712350;;
LARKIS Sp. z o.o.;(12)2712345;;
P.P.H.U. DAN-GUM wyroby metalowo-gumowe;602582625;;
Przedsiębiorstwo Produkcyjno-Wdrożeniowe NABOR G.Naborczyk;(81)8257744;;
Przedsiębiorstwo Produkcyjno-Wdrożeniowe NABOR G.Naborczyk;(81)8257746;;
SANTOCHEMIA Spółdzielnia Pracy;(25)7577140;;
SANTOCHEMIA Spółdzielnia Pracy;(25)7577141;;
Unimat Producent Wycieraczek;(61)8489395;;
Unimat Producent Wycieraczek;(61)8488055;;
Zakłady Chemiczne Spółdzielnia Pracy;(91)4182811;;
Zakłady Chemiczne Spółdzielnia Pracy;(91)4182448;;
GRAN-TECH Sp. z o.o. Sp.komandytowa;(16)7361221;;
GRAN-TECH Sp. z o.o. Sp.komandytowa;(16)7324939;;
GUMA Hurt-Detal Katarzyna Bronikowska-Trinschek;(61)8477659;;
GUMA Hurt-Detal Katarzyna Bronikowska-Trinschek;501454440;;
IIMPiB Oddział Elastomerów i Technologii Gumy;(22)7236025-29;;
IIMPiB Oddział Elastomerów i Technologii Gumy;(22)7237196;;
LENDER WYROBY GUMOWE Sp.j.;(91)3178582;;
LENDER WYROBY GUMOWE Sp.j.;(91)4391888;;
PIONIER JAWOR Sp. z o.o.;(76)8702849;;
PIONIER JAWOR Sp. z o.o.;(76)8703001;;
POZGUM Sp.j. Paweł i Patryk Paproccy;(61)8523126;;
POZGUM Sp.j. Paweł i Patryk Paproccy;(61)8519996;;
SOBTRADE Sp. z o.o. z siedzibą w Warszawie Oddział w Ostrówku;(25)6755566;;
SOBTRADE Sp. z o.o. z siedzibą w Warszawie Oddział w Ostrówku;(25)6755536;;
Zakład Produkcji Gumowej HOKO Sp.j.;(12)6535515;;
Zakład Produkcji Gumowej HOKO Sp.j.;(12)6535530;;
Zakład Produkcyjny LINOSZCZEL;(32)6465602;;
Zakład Produkcyjny LINOSZCZEL;(32)6465608;;
